District,Konie,Bydło rogate,Trzoda chlewna,Owce,Kozy
AUGUSTOWSKI,14340.0,25513.0,23682.0,15870.0,11.0
BIAŁOSTOCKI,27421.0,47939.0,30138.0,24663.0,53.0
BIELSKI (BIELSK PODLASKI),41844.0,68648.0,45029.0,81540.0,96.0
GRODZIEŃSKI,34111.0,52336.0,31902.0,54145.0,102.0
ŁOMŻYŃSKI,31777.0,57999.0,35091.0,12063.0,45.0
OSTROŁĘCKI,20717.0,47282.0,23214.0,9008.0,26.0
OSTROWSKI (OSTRÓW MAZOWIECKA),14191.0,30786.0,20834.0,4951.0,23.0
SOKÓLSKI,24186.0,37618.0,26838.0,45837.0,8.0
SUWALSKI,21633.0,32149.0,33073.0,19941.0,70.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),13640.0,21937.0,12675.0,5040.0,5.0
WOŁKOWYSKI,28561.0,53744.0,30661.0,64810.0,62.0
WYSOKOMAZOWIECKI,17115.0,34208.0,17188.0,3278.0,20.0
BIAŁYSTOK (MIASTO),1043.0,1165.0,1896.0,274.0,157.0
BĘDZIŃSKI,5048.0,11005.0,2265.0,248.0,6414.0
CZĘSTOCHOWSKI,15078.0,42197.0,18488.0,3081.0,1341.0
IŁŻECKI,16954.0,44723.0,26230.0,1455.0,364.0
JĘDRZEJOWSKI,15330.747591826559,32285.349145233184,15088.047900241101,2568.801325067594,417.0114533878305
KIELECKI,14291.0,43775.0,13166.0,2083.0,346.0
KONECKI,10492.0,4263.0,15376.0,2895.0,313.0
KOZIENICKI,16898.0,3973.0,32092.0,1638.0,198.0
MIECHOWSKI,22261.25240817344,6768.650854766818,21675.9520997589,1345.1986749324058,1744.9885466121696
OLKUSKI,12115.0,4547.0,11571.0,2084.0,2678.0
OPATOWSKI,18437.0,6242.0,29817.0,1445.0,537.0
OPOCZYŃSKI,14126.0,4146.0,22346.0,14282.0,132.0
PIŃCZOWSKI,19745.0,6276.0,16742.0,1151.0,656.0
RADOMSKI,21317.0,6345.0,34467.0,3527.0,58.0
SANDOMIERSKI,14846.0,5495.0,24891.0,1872.0,208.0
STOPNICKI,20253.0,8160.0,21428.0,335.0,211.0
WŁOSZCZOWSKI,13934.0,4212.0,14554.0,1810.0,252.0
ZAWIERCIAŃSKI,6514.0,3044.0,3839.0,1923.0,1771.0
CZĘSTOCHOWA (MIASTO),1073.0,1020.0,1690.0,60.0,230.0
SOSNOWIEC,650.0,519.0,167.0,21.0,1146.0
RADOM (MIASTO),653.0,37.0,426.0,3.0,79.0
BIALSKI (BIAŁA KRAKOWSKA),4400.0,26063.0,13987.0,684.0,1752.0
BOCHEŃSKI,8174.0,36074.0,15281.0,384.0,565.0
BRZESKI (BRZESKO),8101.0,36240.0,12129.0,244.0,711.0
CHRZANOWSKI,4444.0,17874.0,5874.0,186.0,3956.0
DĄBROWSKI,8982.0,29211.0,11784.0,79.0,350.0
GORLICKI,8571.0,47122.0,11530.0,3161.0,1413.0
JASIELSKI,10599.465307772745,43302.523342138586,14641.834780226882,2362.1558200257023,1771.3797660161301
KRAKOWSKI,11334.0,40102.0,13822.0,538.0,2156.0
KRAKÓW (MIASTO),1678.0,1251.0,966.0,12.0,480.0
LIMANOWSKI,4751.0,41040.0,7768.0,4857.0,1050.0
