District,Konie (sztuki),Bydło rogate (sztuki),Trzoda chlewna (sztuki),Owce (sztuki),Kozy (sztuki)
AUGUSTOWSKI,15810.0,24581.0,25162.0,13871.0,0.0
BIAŁOSTOCKI,30567.447518831937,41148.297463025934,34935.63405593467,16699.860062857195,0.0
BIELSKI (BIELSK PODLASKI),44642.0,60895.0,48427.0,49255.0,0.0
GRODZIEŃSKI,33755.88115438335,44535.937158882545,32128.22934237351,30418.776639754386,0.0
ŁOMŻYŃSKI,33272.3977827363,48552.47633591906,33690.31699702848,15904.437504463278,0.0
OSTROŁĘCKI,24571.602217263702,38738.52366408094,17872.683002971524,12638.562495536724,0.0
OSTROWSKI (OSTRÓW MAZOWIECKA),15574.0,30751.0,21949.0,5300.0,0.0
SOKÓLSKI,25279.0,33266.0,25818.0,28784.0,0.0
SUWALSKI,21753.0,28877.0,28905.0,14655.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),15927.0,19588.0,12624.0,7764.0,0.0
WOŁKOWYSKI,29812.0,48173.0,36994.0,41138.0,0.0
WYSOKOMAZOWIECKI,18397.0,30342.0,16134.0,4332.0,0.0
BIAŁYSTOK (MIASTO),439.5524811680615,591.7025369740668,502.3659440653325,240.13993714280522,0.0
BĘDZIŃSKI,5788.266823831509,10700.035396453772,6537.137920689088,246.80839407712173,0.0
CZĘSTOCHOWSKI,15565.071094728715,40042.98213583802,18358.676880917974,2580.212110857746,0.0
IŁŻECKI,19377.0,45838.0,29705.0,2844.0,0.0
JĘDRZEJOWSKI,17422.360941406354,34541.95835233381,17573.749686010768,2937.4269428565494,0.0
KIELECKI,16467.0,46484.0,14981.0,2066.0,0.0
KONECKI,11003.0,35453.0,12378.0,2342.0,0.0
KOZIENICKI,18542.0,36975.0,28056.0,2103.0,0.0
MIECHOWSKI,22337.639058593646,39474.04164766619,19895.250313989232,1298.5730571434508,0.0
OLKUSKI,12494.0,33511.0,12261.0,1964.0,0.0
OPATOWSKI,20767.0,47733.0,30335.0,1627.0,0.0
OPOCZYŃSKI,15014.0,31580.0,17701.0,8728.0,0.0
PIŃCZOWSKI,20249.0,39484.0,19916.0,713.0,0.0
RADOMSKI,24698.94863636824,53895.34132886153,42990.593226995705,4803.258413966408,0.0
SANDOMIERSKI,17927.0,40510.0,32011.0,1495.0,0.0
STOPNICKI,22793.0,48146.0,19075.0,464.0,0.0
WŁOSZCZOWSKI,15683.0,30900.0,15294.0,1383.0,0.0
ZAWIERCIAŃSKI,6605.0,23476.0,5102.0,763.0,0.0
CZĘSTOCHOWA (MIASTO),408.92890527128617,1052.0178641619823,482.3231190820272,67.78788914225402,0.0
SOSNOWIEC,379.73317616849107,701.9646035462281,428.8620793109126,16.191605922878267,0.0
RADOM (MIASTO),338.05136363176007,737.658671138473,588.4067730042925,65.74158603359187,0.0
BIALSKI (BIAŁA KRAKOWSKA),4421.513528831643,28049.074424010767,19797.69712641214,575.0592731864363,0.0
BOCHEŃSKI,9264.0,37829.0,21477.0,184.0,0.0
BRZESKI (BRZESKO),9675.0,37625.0,19290.0,387.0,0.0
CHRZANOWSKI,4442.0,18618.0,8807.0,342.0,0.0
DĄBROWSKI,10367.0,31532.0,16946.0,98.0,0.0
GORLICKI,9021.952004764627,46482.16980533209,14726.750552405654,2504.723303606642,0.0
JASIELSKI,12529.4345769101,45159.54364599911,19355.22895822508,1488.9697201789081,0.0
KRAKOWSKI,11517.97096486824,41055.96241200532,18963.242581893624,410.90759887454954,0.0
KRAKÓW (MIASTO),2137.0,1836.0,2040.0,15.0,0.0
LIMANOWSKI,5014.0,38717.0,9348.0,2397.0,0.0
MIELECKI,11898.750739458737,35867.35706974206,19748.683193690733,74.60967356068934,0.0
MYŚLENICKI,7261.0312737586655,39471.424436679365,13635.741331251938,770.5016054137561,0.0
NOWOSĄDECKI,10851.63108055677,60768.96778590961,21387.54465210389,7794.927946248633,0.0
