District,Pszenica,Żyto,Jęczmień,Owies,Gryka,Ziemniaki jadalne,Siano koniczyny,Siano łąkowe,Słoma,koń roboczy (cena minimalna),koń roboczy (cena maksymalna),krowa dojna (cena minimalna),krowa dojna (cena maksymalna)
AUGUSTOWSKI,53.67,45.63,42.14,44.0,45.6,10.95,11.89,9.63,6.0,259.0,405.0,311.0,498.0
BIAŁOSTOCKI,48.33,41.3,35.79,40.94,38.4,10.99,11.34,9.11,4.75,213.0,471.0,307.0,575.0
BIELSKI (BIELSK PODLASKI),53.89,42.4,39.13,42.6,34.33,11.6,16.2,10.33,5.8,215.0,450.0,325.0,535.0
GRODZIEŃSKI,48.829554360295134,42.564349784083646,39.67343194550535,42.47139422657309,40.556509741855635,10.243702437663284,13.116029164739468,9.620900202342558,5.521560116127034,259.3460054544516,496.38267710636967,274.21889465614055,464.7777875527806
ŁOMŻYŃSKI,81.9369331934976,64.16437077916203,61.6104210491293,64.2516320814422,66.46165547306049,16.54385233833004,20.377503935289816,14.1652728288399,7.542552631141163,398.3442138762813,728.7797176765571,522.157444864353,822.5058479045737
OSTROŁĘCKI,76.54306680650242,55.03562922083797,54.089578950870695,55.528367918557805,60.65834452693951,15.32614766166996,14.662496064710181,10.3147271711601,6.077447368858837,346.6557861237187,690.2202823234429,444.842555135647,757.4941520954263
OSTROWSKI (OSTRÓW MAZOWIECKA),50.62,38.27,37.54,36.71,42.57,12.19,11.09,8.7,4.25,234.0,531.0,306.0,638.0
SOKÓLSKI,53.13,44.5,41.2,44.4,40.14,10.63,9.42,7.4,4.54,285.0,515.0,300.0,480.0
SUWALSKI,55.0,43.2,41.88,43.0,45.0,12.78,12.07,10.25,6.17,235.0,405.0,300.0,440.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),52.8,43.78,42.5,41.57,44.0,10.0,11.81,9.83,4.47,285.0,425.0,314.0,484.0
WOŁKOWYSKI,51.67,43.0,40.06,42.0,37.62,10.0,13.5,9.93,6.9,336.0,609.0,324.0,526.0
WYSOKOMAZOWIECKI,50.82,40.0,37.6,40.75,0.0,11.56,13.27,10.0,5.75,260.0,503.0,309.0,647.0
BIAŁYSTOK (MIASTO),48.33,41.3,35.79,40.94,0.0,10.99,11.34,9.11,4.75,213.0,471.0,307.0,575.0
BĘDZIŃSKI,54.14,42.0,40.0,40.0,0.0,16.75,26.8,19.4,14.0,313.0,625.0,364.0,686.0
