District,Indirect Occupation - Total,Indirect Occupation - A. Agriculture and forestry,Indirect Occupation - B. Mining and industry,Indirect Occupation - C. Trade and insurance,Indirect Occupation - D. Transport and communication,"Indirect Occupation - E. Public service, liberal professions",Indirect Occupation - F. Army,Indirect Occupation - G. Domestic service,Indirect Occupation - H. Unemployed,Indirect Occupation - N. Not further specified
AUGUSTOWSKI,35438.0,31356.0,1725.0,467.0,212.0,489.0,70.0,285.0,368.0,466.0
BIAŁOSTOCKI,92494.94512382387,53046.20838974515,16681.12940517158,5675.389278740783,3759.93307436466,3446.441014152819,713.7366402307325,2581.873288348465,4362.271592570431,2227.962440499248
BIELSKI (BIELSK PODLASKI),84843.0,74001.0,4887.0,1687.0,494.0,1157.0,38.0,712.0,1041.0,826.0
GRODZIEŃSKI,77191.22451234091,57895.50988429967,6850.824588527986,2944.8320619344177,1334.8418058515858,2032.0084871807567,504.7486772823197,1442.670252563831,2344.3391604162252,1841.4495942841168
ŁOMŻYŃSKI,73751.65155978274,58289.95181874398,5050.298622232668,2103.3996513269317,498.91942756571365,2205.711712734089,360.56264619761436,1131.2720197698736,2367.0661549403585,1744.46950627151
OSTROŁĘCKI,55830.34844021726,49240.048181256025,2425.701377767332,880.6003486730683,782.0805724342864,713.2882872659113,162.43735380238564,387.7279802301264,655.9338450596415,582.53049372849
OSTROWSKI (OSTRÓW MAZOWIECKA),49256.0,41068.0,3025.0,1362.0,506.0,685.0,131.0,514.0,949.0,1016.0
SOKÓLSKI,54076.0,49425.0,1870.0,732.0,244.0,547.0,38.0,294.0,460.0,466.0
SUWALSKI,49919.0,41227.0,2468.0,1210.0,336.0,1218.0,267.0,675.0,1360.0,1158.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),29762.0,24588.0,1803.0,625.0,246.0,544.0,35.0,349.0,633.0,939.0
WOŁKOWYSKI,66993.0,58422.0,2526.0,1045.0,1567.0,883.0,339.0,784.0,921.0,506.0
WYSOKOMAZOWIECKI,39224.0,33694.0,2065.0,867.0,901.0,513.0,20.0,374.0,317.0,473.0
BIAŁYSTOK (MIASTO),1330.0548761761336,762.7916102548528,239.87059482841838,81.61072125921663,54.06692563533998,49.558985847181056,10.263359769267472,37.12671165153524,62.72840742956984,32.03755950075205
BĘDZIŃSKI,50148.3896108166,14288.895525386024,24501.261649259548,2825.449988753619,1912.327807779757,1699.9886413940753,134.86406513685182,1926.993876328918,1723.9007096807513,1134.7073470970581
CZĘSTOCHOWSKI,109118.22252054558,66496.00267419379,22285.510267155405,5702.1908129681005,2456.463267172348,2816.991394444767,330.32171660905436,2876.4298154275175,4103.199848497722,2051.1127240768715
IŁŻECKI,75196.0,64625.0,6074.0,1314.0,409.0,692.0,48.0,584.0,482.0,968.0
JĘDRZEJOWSKI,53433.62052374338,45721.57808373915,2558.1258196206795,1545.4648517070186,686.4607242167056,668.9576133794444,27.075353159384377,908.1647184323629,725.3283326417305,592.4650268469052
KIELECKI,96354.0,71993.0,8717.0,3927.0,2139.0,2411.0,788.0,2283.0,2659.0,1437.0
KONECKI,70267.0,52945.0,9006.0,2371.0,2329.0,926.0,39.0,1075.0,804.0,772.0
KOZIENICKI,71767.0,62275.0,4166.0,2379.0,435.0,765.0,54.0,577.0,668.0,448.0
MIECHOWSKI,81028.37947625662,71184.42191626085,3751.874180379321,2050.5351482929814,555.5392757832944,991.0423866205556,133.92464684061562,1016.8352815676371,912.6716673582695,431.53497315309477
OLKUSKI,71660.0,56822.0,8702.0,2075.0,561.0,940.0,36.0,875.0,939.0,710.0
OPATOWSKI,80903.0,61968.0,8980.0,3437.0,569.0,1203.0,76.0,1590.0,1303.0,1777.0
OPOCZYŃSKI,70305.0,63190.0,3371.0,1226.0,226.0,669.0,26.0,594.0,653.0,350.0
