District,Total population
AUGUSTOWSKI,62384.0
BIAŁOSTOCKI,184106.59186415776
BIELSKI (BIELSK PODLASKI),147095.0
GRODZIEŃSKI,139845.12938560595
ŁOMŻYŃSKI,138896.36971964143
OSTROŁĘCKI,100460.63028035857
OSTROWSKI (OSTRÓW MAZOWIECKA),94457.0
SOKÓLSKI,90264.0
SUWALSKI,90116.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),58178.0
WOŁKOWYSKI,115261.0
WYSOKOMAZOWIECKI,70975.0
BIAŁYSTOK (MIASTO),2647.4081358422345
BĘDZIŃSKI,123205.17829542299
CZĘSTOCHOWSKI,228878.84559803538
IŁŻECKI,137240.0
JĘDRZEJOWSKI,101508.72294206913
KIELECKI,179866.0
KONECKI,144956.0
KOZIENICKI,124257.0
MIECHOWSKI,148168.27705793089
OLKUSKI,136239.0
OPATOWSKI,162600.0
OPOCZYŃSKI,122571.0
PIŃCZOWSKI,120402.0
RADOMSKI,190827.17279508073
SANDOMIERSKI,111863.0
STOPNICKI,140624.0
WŁOSZCZOWSKI,90723.0
ZAWIERCIAŃSKI,255144.0751591168
CZĘSTOCHOWA (MIASTO),6013.154401964627
SOSNOWIEC,8082.746545460232
RADOM (MIASTO),2611.827204919281
BIALSKI (BIAŁA KRAKOWSKA),108242.52324676712
BOCHEŃSKI,108375.0
BRZESKI (BRZESKO),96197.0
CHRZANOWSKI,116668.0
DĄBROWSKI,63717.0
GORLICKI,92686.25666186621
JASIELSKI,104836.78818321423
KRAKOWSKI,133845.96829628304
KRAKÓW (MIASTO),183706.0
LIMANOWSKI,78126.0
MIELECKI,72460.91496214148
MYŚLENICKI,99532.64622006513
NOWOSĄDECKI,159687.39831276808
NOWOTARSKI,110290.43364097324
ROPCZYCKI,103691.21181678577
TARNOWSKI,116804.3450253657
WADOWICKI,136807.57486916712
ŻYWIECKI,106755.85372674438
BIALSKI (BIAŁA PODLASKA),94754.87165458329
BIŁGORAJSKI,91016.0
CHEŁMSKI,121475.0
GARWOLIŃSKI,137777.0
HRUBIESZOWSKI,104784.09101693927
JANOWSKI,131502.0
KRASNOSTAWSKI,117080.0
LUBARTOWSKI,96243.0
LUBELSKI,139449.37252080915
ŁUKOWSKI,123273.0
PUŁAWSKI,149021.0
RADZYŃSKI,88000.49876440284
SIEDLECKI,127949.88783345249
SOKOŁOWSKI,76079.0
TOMASZOWSKI,91865.90898306073
WĘGROWSKI,82772.0
WŁODAWSKI,76718.0
ZAMOJSKI,142614.0
LUBLIN (MIASTO),94862.62747919085
BÓBRECKI,83281.0
BRZOZOWSKI,79107.0
DOBROMILSKI,78626.27333033958
DROHOBYCKI,169210.46554059398
GRÓDECKI,74556.4214320462
JAROSŁAWSKI,136286.60297213678
JAWOROWSKI,77343.6101983847
KOLBUSZOWSKI,67461.08503785852
KROŚNIEŃSKI,103164.52929907186
LESKI,92576.0
LWOWSKI,149551.0
LWÓW (MIASTO),219388.0
ŁAŃCUCKI,93039.00642561879
MOŚCISKI,84076.0
NIŻAŃSKI,60925.0
PRZEMYSKI,146596.0
PRZEWORSKI,57628.0
RAWSKI (RAWA RUSKA),106607.0
RUDECKI,72798.80106299974
RZESZOWSKI,172777.46427530935
SAMBORSKI,116900.49401398623
SANOCKI,102167.0
SOKALSKI,98932.62528940325
TARNOBRZESKI,71492.0
ŻÓŁKIEWSKI,84117.70952597633
LUBACZOWSKI,84661.56433443258
TURCZAŃSKI,104884.76711508019
BRZEZIŃSKI,125529.0
KALISKI,180320.0
KOLSKI,115508.0
KONIŃSKI,191921.0
ŁASKI,149404.0
ŁĘCZYCKI,122422.0
ŁÓDZKI,109634.0
ŁÓDŹ (MIASTO),451974.0
PIOTRKOWSKI,197285.0
RADOMSZCZAŃSKI,169847.0
SIERADZKI,155425.0
TURECKI,102139.0
WIELUŃSKI,181361.0
POŁUDNIOWO-WARSZAWSKI,61934.69781370041
PÓŁNOCNO-WARSZAWSKI,53658.80932684247
PRASKO-WARSZAWSKI,50899.06897656393
ŚRÓDMIEJSKO-WARSZAWSKI,15132.423882893214
BARANOWICKI,133075.13543785253
BRASŁAWSKI,133916.69519794616
LIDZKI,134891.28505892606
NIEŚWIESKI,92404.08230742098
NOWOGRÓDZKI,104669.36328319073
SŁONIMSKI,77019.21309287705
STOŁPECKI,90259.0778574208
WOŁOŻYŃSKI,92267.11131473511
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),73296.11947496027
BRZESKI (BRZEŚĆ N.BUG.),117486.7417475614
DROHICKI,63192.0
KOBRYŃSKI,75952.89391674059
KOSZYRSKI,67340.86344490224
ŁUNINIECKI,95879.07542157412
PIŃSKI,116540.5601128868
PRUŻAŃSKI,64393.0
STOLIŃSKI,102689.98967568594
IWACEWICKI,48853.0
BRODNICKI,66674.61660341705
CHEŁMIŃSKI,47364.58262044109
CHOJNICKI,70035.46481957905
DZIAŁDOWSKI,23727.0
GRUDZIĄDZ (MIASTO),33516.0
GRUDZIĄDZKI,42580.00758051392
KARTUSKI,62956.720391167815
KOŚCIERSKI,49513.93700925132
LUBAWSKI,56198.414161701985
SĘPOLEŃSKI,27876.0
STAROGARDZKI,70992.47726514025
ŚWIECKI,78954.66366065515
TCZEWSKI,53854.48226805507
TORUŃ (MIASTO),39841.11630025376
TORUŃSKI,53602.82570087714
