District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Kategoria VaR,Kategoria VaPR,Kategoria VbR,Kategoria VbPR
AUGUSTOWSKI,0.0,0.0,71.0,4.0,401.0,47.0,92.0,16.0,12.0,3.0,21.0,0.0
BIAŁOSTOCKI,14.78736133074722,0.0,419.96106179322106,25.631426306628516,2260.494635426892,151.81690966233813,637.8281853995635,111.3981220249624,11.829889064597777,4.929120443582407,163.6467987269359,38.447139459942775
BIELSKI (BIELSK PODLASKI),1.0,0.0,116.0,10.0,1098.0,63.0,430.0,73.0,8.0,0.0,39.0,9.0
GRODZIEŃSKI,4.647777875527806,0.0,267.7120056304016,18.591111502111225,1653.6793681127933,139.43333626583419,514.0442330333753,151.51755874220646,28.816222828272398,5.577333450633367,90.16689078523943,33.4640007038002
ŁOMŻYŃSKI,4.0,0.0,149.7070344104298,4.74522604560331,1021.2296389707608,53.79832433442427,517.3293072226339,120.85142262324524,2.7452260456033097,1.5817420152011032,63.65393612160882,11.74522604560331
OSTROŁĘCKI,0.0,0.0,38.292965589570215,4.254773954396691,642.7703610292392,56.20167566557573,442.6706927773661,65.14857737675477,2.2547739543966907,0.4182579847988968,8.346063878391174,1.2547739543966905
OSTROWSKI (OSTRÓW MAZOWIECKA),0.0,0.0,59.0,2.0,771.0,23.0,469.0,47.0,0.0,0.0,5.0,1.0
SOKÓLSKI,0.0,0.0,0.0,0.0,0.0,0.0,749.0,68.0,6.0,2.0,21.0,5.0
SUWALSKI,4.0,0.0,172.0,7.0,679.0,42.0,199.0,81.0,1.0,0.0,22.0,11.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),2.0,0.0,72.0,6.0,405.0,18.0,261.0,47.0,2.0,1.0,6.0,0.0
WOŁKOWYSKI,2.0,0.0,86.0,8.0,709.0,56.0,339.0,73.0,16.0,2.0,53.0,11.0
WYSOKOMAZOWIECKI,0.0,0.0,49.0,2.0,377.0,22.0,336.0,31.0,0.0,0.0,2.0,0.0
BIAŁYSTOK (MIASTO),0.21263866925277913,0.0,6.038938206778927,0.3685736933714838,32.50536457310817,2.183090337661866,9.17181460043654,1.6018779750376029,0.1701109354022233,0.07087955641759304,2.353201273064089,0.5528605400572257
BĘDZIŃSKI,12.434275509071444,0.0,185.8764774817603,7.970689428891951,1261.9195503821738,80.34454944323087,678.7839117644386,113.82144504457706,10.840137623293053,6.057723965957883,183.00702928735922,34.75220590996891
CZĘSTOCHOWSKI,13.641604815713158,0.9744003439795114,386.836936559866,16.564805847651694,1874.7462618165798,115.95364093356186,1655.5061844211898,364.42572864833727,2.923201031938534,0.0,110.10723886968478,17.539206191631205
IŁŻECKI,1.0,1.0,41.0,6.0,546.0,26.0,548.0,44.0,1.0,0.0,30.0,3.0
JĘDRZEJOWSKI,2.007965578958403,0.0,62.74079884313146,2.0238967368752085,626.9821497977605,45.37438221104493,630.2297224269118,69.26286410562729,0.01593115791680559,0.007965578958402796,29.20710505291847,8.023896736875209
KIELECKI,6.0,0.0,213.0,8.0,1265.0,68.0,985.0,110.0,3.0,7.0,91.0,34.0
KONECKI,4.0,0.0,79.0,8.0,865.0,29.0,1145.0,128.0,7.0,1.0,52.0,4.0
KOZIENICKI,0.0,0.0,49.0,6.0,389.0,17.0,1062.0,97.0,0.0,0.0,7.0,1.0
MIECHOWSKI,0.9920344210415972,0.0,92.25920115686854,2.9761032631247915,745.0178502022395,46.62561778895507,526.7702775730882,32.737135894372706,1.9840688420831945,0.9920344210415972,25.79289494708153,2.9761032631247915
OLKUSKI,1.0,0.0,78.0,6.0,774.0,35.0,796.0,103.0,1.0,0.0,24.0,3.0
OPATOWSKI,5.0,0.0,93.0,10.0,701.0,47.0,1033.0,121.0,4.0,0.0,64.0,14.0
OPOCZYŃSKI,1.0,0.0,44.0,3.0,389.0,9.0,847.0,126.0,2.0,0.0,3.0,3.0
PIŃCZOWSKI,2.0,0.0,62.0,2.0,552.0,36.0,768.0,154.0,1.0,0.0,36.0,6.0
RADOMSKI,12.82447307076675,0.0,293.9763826991147,13.81097099928727,1092.0532068722148,42.41941092638233,1484.6793824233814,138.1097099928727,1.9729958570410384,0.0,13.81097099928727,5.9189875711231155
SANDOMIERSKI,2.0,0.0,45.0,1.0,543.0,15.0,862.0,36.0,0.0,0.0,27.0,1.0
STOPNICKI,0.0,0.0,61.0,21.0,660.0,64.0,968.0,206.0,1.0,1.0,35.0,7.0
WŁOSZCZOWSKI,0.0,0.0,43.0,3.0,440.0,10.0,420.0,62.0,1.0,0.0,26.0,5.0
ZAWIERCIAŃSKI,25.74998688308824,0.0,384.9292910984729,16.506401848133486,2613.2935405964936,166.38453062918555,1405.6851813870478,235.7114183913462,22.44870651346154,12.54486540458145,378.98698643314486,71.96791205786201
CZĘSTOCHOWA (MIASTO),0.3583951842868415,0.02559965602048868,10.163063440134005,0.43519415234830755,49.25373818342022,3.0463590664381526,43.49381557881026,9.574271351662766,0.07679896806146604,0.0,2.8927611303152205,0.46079380836879624
SOSNOWIEC,0.8157376078403161,0.0,12.194231419766776,0.5229087229745616,82.78690902133259,5.270919927583581,44.530906848513666,7.46713656407674,0.7111558632454038,0.3974106294606668,12.005984279495934,2.2798820321690885
RADOM (MIASTO),0.17552692923325003,0.0,4.02361730088527,0.18902900071273082,14.946793127785215,0.5805890736176732,20.320617576618563,1.890290007127308,0.027004142958961544,0.0,0.18902900071273082,0.08101242887688463
BIALSKI (BIAŁA KRAKOWSKA),3.0,0.0,175.8461596744294,2.5220681913840886,937.1740732421829,38.3972274449136,765.0769580465765,42.308954679377244,0.5220681913840887,2.566204574152266,44.61790935875448,4.088272765536354
BOCHEŃSKI,0.0,0.0,21.0,0.0,437.0,2.0,1105.0,42.0,0.0,0.0,1.0,0.0
BRZESKI (BRZESKO),0.0,0.0,23.0,1.0,278.0,5.0,696.0,14.0,5.0,1.0,4.0,3.0
CHRZANOWSKI,2.0,0.0,140.0,5.0,1320.0,52.0,837.0,43.0,4.0,0.0,22.0,2.0
DĄBROWSKI,0.0,0.0,7.0,0.0,237.0,3.0,579.0,10.0,0.0,0.0,0.0,0.0
GORLICKI,0.2810840457110494,0.0,43.87035327990938,2.0,463.16846585044794,30.248672365688396,734.206188067717,28.686504274266298,24.0,8.0,9.405420228555247,14.0
JASIELSKI,3.0,1.0,46.92386100476831,1.0021600327712499,540.2629677701541,17.243229344249986,710.3389659241543,38.137223311739874,3.0,0.0,14.008640131084999,0.0
KRAKOWSKI,0.0,0.0,16.913924263489164,1.0,468.74114585678825,56.14240532936146,640.3639340726148,104.47468443120485,4.0,0.0,171.0,9.0
KRAKÓW (MIASTO),89.0,5.0,1392.0,38.0,2932.0,108.0,1556.0,83.0,17.0,4.0,161.0,22.0
LIMANOWSKI,0.0,0.0,11.0,0.0,395.0,6.0,344.0,5.0,0.0,0.0,20.0,0.0
MIELECKI,0.0,0.0,18.9011173020413,1.9895912949517158,291.47512471042637,1.9895912949517158,644.627579564356,18.9011173020413,0.0,0.0,4.973978237379289,0.9947956474758579
MYŚLENICKI,0.37031469871770245,0.0,28.45338416598447,4.073461685894727,458.9094873739101,32.187420689853795,823.6809680554612,61.18947701109176,1.7406293974354048,0.37031469871770245,5.332832288459322,0.0
NOWOSĄDECKI,0.556408347700225,1.0,135.5794337356063,66.0,1011.5917293531681,205.4512667816018,1156.8918037928595,208.33845008620136,2.0,1.0,10.782041738501125,4.0
NOWOTARSKI,3.126560449587119,0.0,190.96082472729157,35.39216494545831,675.4494094810904,133.9733083239885,841.3176755836505,77.69522023142036,0.2531208991742385,2.126560449587119,1.1390440462840734,0.0
ROPCZYCKI,0.0,0.0,49.076138995231695,0.9978399672287503,460.73703222984597,7.756770655750016,701.6610340758457,45.86277668826013,0.0,0.0,3.9913598689150014,0.0
TARNOWSKI,5.162507606588726,0.0,89.55021298448432,3.0,848.2398047963839,13.300060852709805,1306.9020081394235,106.97504563953235,1.0,0.0,26.81253803294363,3.0
WADOWICKI,1.320781410357184,0.0,126.79681789521571,4.006527322544935,1060.2109729406861,88.812001407589,886.012500980588,90.12620878669604,15.11949462933028,1.7545768362049183,79.26912333446018,5.911727234463646
ŻYWIECKI,1.1823434413379945,0.0,93.0288892735897,7.005777854717938,682.5149111053424,22.48763680429365,423.5479632611091,29.20545486020975,0.36468688267598887,0.18234344133799443,1.64109097204195,1.0
BIALSKI (BIAŁA PODLASKA),0.0,0.0,51.512088522949405,0.0,590.2926243410582,45.857427681155436,443.01222874656355,114.22702269609695,53.274879779957324,0.021526189769134025,70.4317857619775,1.620218938163353
BIŁGORAJSKI,0.0,0.0,40.0,1.0,667.0,47.0,416.0,45.0,24.0,2.0,36.0,13.0
CHEŁMSKI,0.0,0.0,0.0,0.0,1139.0,121.0,605.0,197.0,42.0,12.0,106.0,18.0
GARWOLIŃSKI,1.0,0.0,75.0,3.0,915.0,57.0,922.0,163.0,1.0,0.0,0.0,0.0
