District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Kategoria VR,Kategoria VPR,Kategoria VIR,Kategoria VIPR,Kategoria VIIR,Kategoria VIIPR,Kategoria VIIIR,Kategoria VIIIPR,R,PR
AUGUSTOWSKI,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,5.0,0.0,18.0,3.0,306.0,13.0,338.0,16.0
BIAŁOSTOCKI,0.0,0.0,0.9858240887164814,0.9858240887164814,5.914944532298889,2.9574722661494444,37.46131537122629,7.886592709731851,52.248676701973515,7.886592709731851,41.40461172609222,10.844064975881295,86.75251980705036,8.872416798448333,1605.9074405191482,128.15713153314258,1830.675332746506,167.59009508180185
BIELSKI (BIELSK PODLASKI),0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,9.0,2.0,21.0,1.0,48.0,2.0,1015.0,50.0,1103.0,56.0
GRODZIEŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,13.943333626583417,0.0,26.957111678061274,2.7886667253166837,28.816222828272398,1.8591111502111224,65.06889025738928,6.5068890257389285,1122.903134727518,69.71666813291709,1257.6886931178242,80.87133503418383
ŁOMŻYŃSKI,0.0,0.0,0.0,0.0,1.0,0.0,6.1634840304022065,0.0,8.581742015201103,0.0,23.81742015201103,3.5817420152011032,36.14438821281544,4.0,811.9068600738957,35.14438821281544,887.6138944843254,42.72613022801655
OSTROŁĘCKI,0.0,0.0,0.0,0.0,0.0,0.0,2.8365159695977935,0.0,2.4182579847988968,0.0,16.18257984798897,1.4182579847988968,23.855611787184557,1.0,504.09313992610436,17.855611787184557,549.3861055156746,20.273869771983453
OSTROWSKI (OSTRÓW MAZOWIECKA),0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,1.0,19.0,21.0,18.0,0.0,487.0,24.0,539.0,46.0
SOKÓLSKI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,9.0,1.0,20.0,1.0,450.0,22.0,483.0,24.0
SUWALSKI,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,10.0,0.0,36.0,1.0,408.0,24.0,462.0,25.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,16.0,0.0,11.0,1.0,428.0,25.0,458.0,27.0
WOŁKOWYSKI,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,14.0,0.0,33.0,9.0,81.0,10.0,525.0,22.0,658.0,42.0
WYSOKOMAZOWIECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,3.0,15.0,1.0,474.0,10.0,502.0,15.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.014175911283518609,0.014175911283518609,0.08505546770111165,0.042527733850555825,0.5386846287737072,0.11340729026814887,0.7513232980264862,0.11340729026814887,0.5953882739077816,0.1559350241187047,1.2474801929496375,0.12758320155166747,23.092559480851815,1.8428684668574191,26.324667253494056,2.4099049181981633
BĘDZIŃSKI,18.76869916936287,0.0,5.630609750808861,0.0,15.014959335490296,0.0,37.53739833872574,0.9384349584681435,49.737052798811604,2.8153048754044305,55.36766254962047,4.692174792340717,119.18123972545422,14.076524377022153,1534.3411570954147,161.4108128565207,1835.5787787636887,183.93325185975613
