District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Buraki Cukrowe
AUGUSTOWSKI,27424.0,106600.0,41548.0,136115.0,904811.0,0.0
BIAŁOSTOCKI,36234.0,328602.0,45737.0,113271.0,1307966.0,0.0
BIELSKI (BIELSK PODLASKI),122777.0,389849.0,65211.0,146859.0,2020464.0,0.0
GRODZIEŃSKI,51890.0,453286.0,86270.0,139648.0,1815672.0,0.0
ŁOMŻYŃSKI,137712.97085194892,547442.2103083495,46484.4247051094,216999.48889166943,2874238.391790486,8740.0
OSTROŁĘCKI,59605.02914805108,358498.78969165054,30867.5752948906,85529.51110833057,2100094.608209514,16866.0
OSTROWSKI (OSTRÓW MAZOWIECKA),51440.0,281996.0,17614.0,51640.0,1162519.0,12118.0
SOKÓLSKI,29760.0,285985.0,47248.0,149785.0,1255309.0,0.0
SUWALSKI,41676.0,201311.0,56420.0,359334.0,1229681.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),56331.0,162678.0,28816.0,84267.0,970761.0,0.0
WOŁKOWYSKI,46507.0,344032.0,92478.0,144701.0,2248782.0,0.0
WYSOKOMAZOWIECKI,84331.0,225337.0,34326.0,94003.0,1040374.0,19473.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,8741.0,96379.0,17788.0,14308.0,698600.0,0.0
CZĘSTOCHOWSKI,29674.0,521441.0,35705.0,125944.0,2592982.0,8515.0
IŁŻECKI,77072.0,444808.0,163833.0,252906.0,1993020.0,21512.0
JĘDRZEJOWSKI,220239.528761741,300712.56460638496,102820.92585875363,109632.93734304183,1778071.7920471537,1089.9301688782546
KIELECKI,52053.0,250011.0,45081.0,53974.0,2116448.0,0.0
KONECKI,18984.0,312549.0,27868.0,59893.0,1886943.0,0.0
KOZIENICKI,49533.0,458431.0,97509.0,142303.0,1695417.0,54926.0
MIECHOWSKI,374184.471238259,309054.43539361504,152926.07414124638,216692.06265695815,1797711.2079528463,135740.06983112174
OLKUSKI,71127.0,292150.0,66302.0,94028.0,1700152.0,0.0
OPATOWSKI,245862.0,345197.0,170814.0,292488.0,2148753.0,254654.0
OPOCZYŃSKI,37626.0,540613.0,58335.0,146727.0,2272000.0,0.0
PIŃCZOWSKI,243412.0,258729.0,125655.0,123245.0,1282781.0,213020.0
RADOMSKI,60270.09094296112,664920.3202793289,130170.37466413956,178436.758812863,2493779.951482163,1416.6110253554655
SANDOMIERSKI,180423.0,206459.0,121304.0,133273.0,1712169.0,182261.0
STOPNICKI,140094.0,261104.0,86544.0,120883.0,2166809.0,38176.0
WŁOSZCZOWSKI,109366.0,240582.0,40114.0,69640.0,1210680.0,0.0
ZAWIERCIAŃSKI,17597.0,189512.0,21025.0,24251.0,954556.0,0.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0,0.0,0.0,0.0
RADOM (MIASTO),824.9090570388778,9100.679720671109,1781.6253358604467,2442.2411871370027,34132.0485178372,19.38897464453439
BIALSKI (BIAŁA KRAKOWSKA),20932.316688637038,87233.49799350514,7300.629830218373,87812.41974740966,780284.3188295342,3884.8550021044994
BOCHEŃSKI,93091.0,115597.0,34814.0,61614.0,578921.0,0.0
BRZESKI (BRZESKO),93797.0,122285.0,40351.0,71146.0,1227994.0,2430.0
CHRZANOWSKI,16913.0,111030.0,9346.0,34609.0,620893.0,0.0
DĄBROWSKI,74741.0,104458.0,31347.0,54271.0,685588.0,10521.0
GORLICKI,85098.54559833174,91312.74560572124,38228.98924706571,110316.2897169151,661544.1035155841,0.0
JASIELSKI,111232.97669076688,130870.58457670211,51522.207418467064,91055.17315430127,1018581.8757256509,1765.9738809322826
KRAKOWSKI,137030.2140570594,207047.15716161896,32408.038834089202,107490.87804037504,1230812.8446716815,11647.238574819632
KRAKÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
LIMANOWSKI,43396.0,49356.0,28502.0,72383.0,526693.0,0.0
MIELECKI,86214.9595841427,156859.37769399327,45623.317984537796,94104.68386427373,1043138.7367605946,650.596353449211
MYŚLENICKI,59472.23331136319,90217.43570379821,23640.356213404633,111580.266792965,774549.4639528907,62.76142518036751
NOWOSĄDECKI,87632.21285203118,110561.10717109134,84647.34006820746,187679.23746940334,1471961.1704611208,0.0
NOWOTARSKI,5293.772288082603,46760.828148664914,81766.958740958,315944.3083458299,1667142.6632285109,0.0
ROPCZYCKI,101905.02330923313,164887.4154232979,49686.792581532936,94451.82684569874,1237377.124274349,30477.026119067723
TARNOWSKI,107886.24154963708,148673.14722318744,48963.670684726836,93105.47281368157,975252.7260232951,7094.0
WADOWICKI,67721.24568422808,140458.0456367445,20432.823906060792,163096.13390531635,1183093.8951350725,12195.1449978955
ŻYWIECKI,15928.217970629687,55790.03535566829,27889.192475269,123466.99316810403,769254.81418231,0.0
BIALSKI (BIAŁA PODLASKA),65398.1771842005,360942.5834519771,29763.561743943646,147718.727052306,1858082.431637091,10571.805223653746
BIŁGORAJSKI,38298.0,155797.0,34483.0,83210.0,659286.0,0.0
CHEŁMSKI,197583.0,270652.0,116121.0,84789.0,1343420.0,119451.0
GARWOLIŃSKI,74715.0,440458.0,137185.0,144326.0,2509100.0,7236.0
HRUBIESZOWSKI,325914.0,162722.0,145669.0,175666.0,1227044.0,352098.0
JANOWSKI,104851.0,255474.0,109572.0,154502.0,1518447.0,69322.0
KRASNOSTAWSKI,300002.0,208996.0,128507.0,140754.0,1612230.0,261985.0
LUBARTOWSKI,63548.0,345450.0,35954.0,105929.0,1704614.0,37186.0
LUBELSKI,452519.0,427335.0,197131.0,264503.0,2416389.0,560298.0
ŁUKOWSKI,70442.0,374994.0,30833.0,163315.0,2026677.0,0.0
PUŁAWSKI,133731.0,333404.0,143864.0,120597.0,2017060.0,301597.0
RADZYŃSKI,91259.40772057997,213088.63602550153,20425.6823486152,118535.47003207283,1366021.5235044823,32501.468422711187
SIEDLECKI,60881.884068471736,368248.78159818426,30411.406076853447,144831.83242396396,2317171.0181254186,7042.922055018782
SOKOŁOWSKI,86525.0,251337.0,46570.0,92651.0,1526185.0,41778.0
TOMASZOWSKI,254640.0,210727.0,141491.0,141450.0,1128312.0,286809.0
WĘGROWSKI,45632.0,185791.0,26633.0,80085.0,1405307.0,12409.0
WŁODAWSKI,73392.0,277600.0,27541.0,88742.0,1404800.0,15885.0
ZAMOJSKI,241365.0,225898.0,146895.0,175761.0,1471950.0,207126.0
LUBLIN (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
BÓBRECKI,112653.0,59469.0,37190.0,67311.0,938993.0,231120.0
BRZOZOWSKI,56875.0,102200.0,39813.0,52769.0,660548.0,8730.0
DOBROMILSKI,43015.35237113454,83766.47913765501,21286.410328754988,59084.20724159094,517743.4827731054,7328.0
DROHOBYCKI,43022.32927135836,97320.04614067344,24531.704843287043,65436.00969627598,882485.4633872436,325.17946233184824
GRÓDECKI,55712.349279526294,78114.54814223792,24164.46433667556,59090.20342262262,776917.7743660307,13829.534631583323
JAROSŁAWSKI,110965.97018713018,173991.34098881122,41930.033841189055,68090.18841330051,723968.2231259597,277326.17364668084
JAWOROWSKI,49416.515038611156,172216.62785992277,32769.18695843841,89184.81617183646,937642.821002251,1148.2676580531397
KOLBUSZOWSKI,21611.0404158573,111446.62230600673,26095.682015462204,42060.31613572627,731233.2632394054,3.4036465507889404
KROŚNIEŃSKI,73674.3925643883,115500.563732517,39672.96098595552,79055.4672424867,780874.647782535,3880.3353892179593
LESKI,14450.0,45555.0,14864.0,147295.0,537474.0,0.0
LWOWSKI,151859.0,135825.0,43539.0,140357.0,1178592.0,39048.0
LWÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
ŁAŃCUCKI,80904.47744591268,180793.5199532332,35593.0852915913,62051.57857493266,792150.6921937878,78405.59133798452
MOŚCISKI,77250.0,125207.0,31925.0,51584.0,749501.0,6156.0
NIŻAŃSKI,24562.0,64182.0,19664.0,26435.0,675527.0,3856.0
PRZEMYSKI,116521.0,129798.0,36217.0,59487.0,982588.0,91741.0
PRZEWORSKI,83418.0,84062.0,18148.0,40543.0,425231.0,321375.0
RAWSKI (RAWA RUSKA),116201.0,126954.0,70645.0,73992.0,1037689.0,37860.0
RUDECKI,83227.65072047371,72179.45185776208,46084.53566332444,53289.79657737738,929197.2256339693,29980.465368416677
RZESZOWSKI,136181.12998969902,184309.9163142498,47095.95372245318,89718.95418258064,1082834.6600236774,25252.07327279753
SAMBORSKI,69421.49097140096,121421.74406540407,40756.92943679247,63352.0658017326,991267.4265227204,5416.820537668151
SANOCKI,54109.0,82215.0,39765.0,91985.0,754620.0,12212.0
SOKALSKI,238040.82479416474,167960.06402280385,106907.20896053918,110270.27308552011,1177808.1762443176,76111.97523824497
TARNOBRZESKI,29642.0,86645.0,36207.0,41346.0,727704.0,32645.0
ŻÓŁKIEWSKI,102140.0,99718.0,38439.0,66459.0,659122.0,2412.0
LUBACZOWSKI,56967.51477425867,112526.03115126601,36275.77920037253,68422.99541486303,720163.9558717893,7333.558695266065
TURCZAŃSKI,7302.827386106132,28448.730656267464,7626.955391165501,193040.71726040047,584385.6273169306,0.0
BRZEZIŃSKI,44162.0,393714.0,12315.0,101339.0,1858278.0,6739.0
KALISKI,128008.0,423837.0,33238.0,151140.0,1951155.0,298255.0
KOLSKI,112700.0,490255.0,48150.0,78568.0,2407638.0,213861.0
KONIŃSKI,109627.0,811213.0,62383.0,135504.0,3323903.0,244595.0
ŁASKI,43205.0,480169.0,25372.0,113003.0,1902348.0,8896.0
ŁĘCZYCKI,167069.0,300514.0,45738.0,111041.0,1785548.0,382549.0
ŁÓDZKI,16194.0,263168.0,7094.0,76747.0,1355973.0,0.0
ŁÓDŹ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
PIOTRKOWSKI,76628.0,635461.0,42976.0,164539.0,2825317.0,0.0
RADOMSZCZAŃSKI,51024.0,590834.0,51673.0,100812.0,3143622.0,1048.0
SIERADZKI,74281.0,696824.0,22594.0,177371.0,2786346.0,40120.0
TURECKI,67177.0,434020.0,19548.0,110922.0,1865226.0,105141.0
WIELUŃSKI,45090.0,632426.0,21824.0,183501.0,3034528.0,80925.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0
BARANOWICKI,40910.0,281191.0,78032.0,166260.0,2019938.0,0.0
BRASŁAWSKI,24476.0,184853.0,68916.0,101580.0,1040634.0,0.0
LIDZKI,11734.0,317889.0,132498.0,211360.0,1569940.0,0.0
NIEŚWIESKI,37458.0,250594.0,65541.0,162121.0,1752432.0,0.0
NOWOGRÓDZKI,73407.40388605742,303845.58773478464,97938.66662689636,181972.9221299285,1395462.3038819984,0.0
SŁONIMSKI,32630.0,333572.0,49846.0,93544.0,1175310.0,0.0
STOŁPECKI,23310.59611394258,279712.4122652153,72121.33337310364,100377.07787007147,1285959.6961180016,0.0
WOŁOŻYŃSKI,12950.0,134316.0,74173.0,112130.0,990738.0,0.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),8468.0,166995.0,71212.0,87184.0,901447.0,0.0
BRZESKI (BRZEŚĆ N.BUG.),71906.53102674782,496893.9989243371,91717.34983058771,171335.9704916572,3025180.026733008,114.80429861628696
DROHICKI,24688.0,180918.0,28608.0,73568.0,1103231.0,0.0
KOBRYŃSKI,40570.0,312985.0,42831.0,87578.0,1281388.0,984.0
KOSZYRSKI,6592.0,174824.0,25508.0,43427.0,1001275.0,0.0
ŁUNINIECKI,3871.0,125003.0,13225.0,26301.0,951427.0,0.0
PIŃSKI,18196.0,357873.0,34594.0,109512.0,1272201.0,0.0
PRUŻAŃSKI,12248.0,207643.0,37247.0,60519.0,1135457.0,1595.0
STOLIŃSKI,11353.0,113925.0,13163.0,26020.0,1009775.0,0.0
IWACEWICKI,4647.0,137945.0,28943.0,42665.0,1186616.0,0.0
BRODNICKI,67040.67587773994,457528.93704094,88472.8674297026,46645.6387133504,1327365.7010883156,155591.63336895272
CHEŁMIŃSKI,192208.0857906627,183494.28828142496,101635.01734199542,55697.978449485236,885199.811892465,750480.1434975526
CHOJNICKI,27874.835936125703,325546.4174864565,32619.35564152873,71742.74756970997,1236425.9016342496,5288.919835976956
DZIAŁDOWSKI,12507.0,138741.0,35943.0,25298.0,587036.0,3546.0
GRUDZIĄDZ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
GRUDZIĄDZKI,175355.45992125882,191272.93626992524,94444.14964164178,66132.8234477544,737617.0477834659,441224.3814351895
KARTUSKI,6215.686759544672,141020.91557643085,16045.537751462367,98824.07002567628,979341.841453501,591.2551198117384
KOŚCIERSKI,11607.41657677925,176523.88534536902,14641.509546324216,70586.17319907289,866195.5528796519,14.814208684951273
LUBAWSKI,45166.25090298203,309377.0976724724,92016.6768640966,71722.031155031,1225469.3732036038,34108.147697559514
SĘPOLEŃSKI,18586.0,154520.0,43806.0,57842.0,714219.0,21517.0
STAROGARDZKI,79727.64046303963,247690.38379083053,54644.1039494304,71678.47249330123,1034466.9813926903,151736.14541655127
ŚWIECKI,101323.75874542621,371951.58566703036,88784.08133016655,71544.68624636279,1778468.6786407612,225158.51110836788
TCZEWSKI,152117.66138385038,121857.76956968436,78336.84216075427,64865.971945960206,605831.1983326657,403245.67150259524
TORUŃ (MIASTO),1267.786179858279,1566.966358802156,684.8091312621605,310.75834724700246,6292.656974968797,6280.055835972223
TORUŃSKI,164697.41107917187,201550.30798269025,88878.43871486843,40671.74194099583,814838.9779443137,808616.152177671
TUCHOLSKI,34807.655865915156,211877.85408561438,49304.24701834327,42454.17320465172,832698.4229770545,58790.71628242469
WĄBRZESKI,112841.09858531771,204845.92382243948,73821.93063605479,29916.8924529906,765840.6213169097,274756.5218411864
MORSKI,15116.87581185001,145032.13776582215,22379.693641373226,84407.87039349132,919770.9614276809,2315.564982786016
GDYNIA (MIASTO),86.7001204776495,812.5932840674404,126.73920099518361,468.9704149191318,5133.271057702439,13.36568871729415
BYDGOSKI,109557.24393959793,378058.71983238874,106817.29047041053,72625.22460810827,1300040.5942786161,184952.34506169727
BYDGOSZCZ (MIASTO),281.75606040205594,972.280167611246,274.70952958946253,186.77539189171875,3343.4057213837823,475.65493830271964
CHODZIESKI,23116.0,249880.0,46744.0,62996.0,1073485.0,24835.0
CZARNKOWSKI,24059.804749417814,202024.86004149643,24911.437458594322,43347.2543530828,908178.065428853,58514.38990049419
GNIEŹNIEŃSKI,120328.16216524555,434893.8234191704,98326.35872142449,91902.29550222475,1812013.9306466244,305442.4720375525
GOSTYŃSKI,176096.25391587472,170219.16394102797,74394.71369386642,113491.56799802143,1293205.324314211,726810.6488022446
INOWROCŁAWSKI,233556.443453687,283969.0892196788,175635.72091938808,51323.67591988817,1051256.5093342476,1673038.5503692178
JAROCIŃSKI,158271.16420287156,328383.0135443682,65362.68422639517,156143.48535807134,1929718.4890578683,488456.75542696443
KĘPIŃSKI,51201.16766632975,361877.31763208937,22854.95782387806,143848.03496379274,1739822.3177745289,108686.597769267
KOŚCIAŃSKI,151604.55144453017,301262.9956660941,81330.32441956017,103748.45839360874,2264408.711521689,471346.41442540416
KROTOSZYŃSKI,142694.4411667664,165319.11660717207,43556.64458472686,139687.27004150278,1372602.24562801,470285.5370297521
LESZCZYŃSKI,89900.21874353492,230297.42355250806,41421.529195279545,91581.82591145491,1515909.9406919365,375634.4097294263
MIĘDZYCHODZKI,34310.0,187555.0,22346.0,39044.0,871692.0,88185.0
MOGILEŃSKI,262164.29311716056,495436.9249374339,226608.9434766151,83494.82257092977,2077114.633831129,1236451.2465509747
NOWOTOMYSKI,126402.5451917089,340322.9572414097,62079.43244465527,73986.38228547404,1772679.61368211,776408.3049473505
OBORNICKI,71474.9376625215,308212.3750064755,54987.532314471755,74573.86557070164,1489321.895376016,198717.57640848574
OSTROWSKI (OSTRÓW WIELKOPOLSKI),75906.2179673077,305599.2763141176,30788.745593969157,119292.58767789032,1625638.0303043784,84150.00624292149
