City,Population
Warszawa,1178211.0
Łódź,605467.0
Lwów,316177.0
Poznań,246698.0
Kraków,221260.0
Wilno,196383.0
Katowice,127044.0
Częstochowa,117588.0
Bydgoszcz,117528.0
Lublin,112539.0
Sosnowiec,109454.0
Białystok,91335.0
Chorzów,80734.0
Radom,78073.0
Stanisławów (dziś Iwano-Frankiwsk),60256.0
Kielce,58397.0
Włocławek,56277.0
Kalisz,55215.0
Toruń,54280.0
Przemyśl,51379.0
Piotrków (Trybunalski),51294.0
Grudziądz,50405.0
Grodno,49332.0
Brześć nad Bugiem,48431.0
Będzin,47835.0
Pabianice,45614.0
Tarnów,45235.0
Borysław,41683.0
Równe,40788.0
Tomaszów Mazowiecki,38088.0
Siemianowice Śląskie,37888.0
Dąbrowa Górnicza,36987.0
Siedlce,36927.0
Tarnopol,35831.0
Łuck,35737.0
Kołomyja,33391.0
Płock,32777.0
Zawiercie,32713.0
Drohobycz,32622.0
Pińsk,31913.0
Inowrocław,30862.0
Stryj,30682.0
Nowy Sącz,30278.0
Gdynia,30210.0
Gniezno,29924.0
Świętochłowice,29717.0
Chełm,29222.0
Hajduki Wielkie,28385.0
Kowel,27653.0
Rzeszów,27499.0
Zgierz,26646.0
Ostrowiec (Świętokrzyski),25983.0
Żyrardów,25081.0
Łomża,25065.0
Włodzimierz (dziś Ukraina),24609.0
Zamość,24273.0
Pruszków,23703.0
Kutno,23451.0
Rybnik,23046.0
Radomsko,22980.0
Mysłowice,22943.0
Zduńska Wola,22904.0
Baranowicze,22893.0
Biała Krakowska (dziś część Bielska-Białej),22891.0
Tczew,22728.0
Bielsko (dziś część Bielska-Białej),22573.0
Jarosław (nad Sanem),22330.0
Ruda Śląska,22201.0
Sambor,22111.0
Suwałki,21957.0
Czeladź,21035.0
Skierniewice,20191.0
Krzemieniec,19997.0
Mława,19584.0
Ostrów Wielkopolski,19555.0
Lida,19490.0
Leszno,19258.0
Czortków,19215.0
Jaworzno,19055.0
Lipiny,17934.0
Chrzanów,17833.0
Cieszyn,17791.0
Zakopane,17703.0
Łowicz,17613.0
Ostrów Mazowiecka,17611.0
Biała Podlaska,17549.0
Międzyrzec (nad Krzną),16837.0
Kamień Koszyrski,16636.0
Słonim,16284.0
Tarnowskie Góry,15773.0
Grodzisk Mazowiecki,15678.0
Pułtusk,15487.0
Wołkowysk,15163.0
Otwock,14996.0
Ozorków,14979.0
Skarżysko-Kamienna,14320.0
Sanok,14262.0
Chojnice,14255.0
Łuków,13971.0
Ciechanów,13954.0
Koło,13771.0
Ostrołęka,13438.0
Hrubieszów,13359.0
Starogard (Gdański),13356.0
Złoczów,13265.0
Wieluń,13220.0
Wołomin,13114.0
Brzeziny,13045.0
Mińsk Mazowiecki,13015.0
Krotoszyn,12969.0
Ostróg,12955.0
Gródek Jagielloński,12942.0
Jędrzejów,12853.0
Dubno,12696.0
Wejherowo,12559.0
Chełmno,12531.0
Brody,12401.0
Horodenka,12303.0
Bochnia,12274.0
Ruda Pabianicka,12164.0
Augustów,12147.0
Sokal,12135.0
Kałusz,12131.0
Krosno,12125.0
Oświęcim,11949.0
Brzeżany,11721.0
Dawidgródek,11701.0
Kraśnik,11615.0
Aleksandrów (Łódzki),11554.0
Mikołów,11463.0
Rawa Ruska,11146.0
Końskie,11102.0
Chełmża,11098.0
Śniatyn,10915.0
Rawicz,10827.0
Sochaczew,10822.0
Wyszków,10772.0
Bolechów,10744.0
Jaworów,10690.0
Szydłowiec,10590.0
Łęczyca,10553.0
Sieradz,10537.0
Krasnystaw,10435.0
Tomaszów Lubelski,10433.0
Lipno,10415.0
Nowy Targ,10406.0
Płońsk,10393.0
Konin,10390.0
Żółkiew,10348.0
Nakło (nad Notecią),10303.0
Kościan,10275.0
Buczacz,10274.0
Zdołbunów,10228.0
Turka,10145.0
Jasło,10112.0
Kobryń,10101.0
Sierpc,10051.0
