District,Roman Catholic,% Roman Catholic,Greek Catholic,% Greek Catholic,Orthodox,% Orthodox,Evangelical,% Evangelical,Mosaic (Jewish),% Mosaic (Jewish),Other Christian denominations,% Other Christian,Other or unknown,% Other
AUGUSTOWSKI,67821.0,0.90729221,35.0,0.000468221,840.0,0.011237308,322.0,0.004307635,4266.0,0.057069471,1356.0,0.018140226,111.0,0.00148493
BIAŁOSTOCKI,105685.0,0.754472508,116.0,0.00082811,21919.0,0.156477106,983.0,0.007017519,11005.0,0.078563372,75.0,0.000535416,295.0,0.00210597
BIELSKI (BIELSK PODLASKI),91215.0,0.450644731,328.0,0.001620473,91421.0,0.451662467,330.0,0.001630354,18502.0,0.091408527,430.0,0.002124401,184.0,0.000909046
GRODZIEŃSKI,89122.0,0.418206987,217.0,0.001018277,86988.0,0.408193144,489.0,0.002294643,35693.0,0.167490204,140.0,0.000656953,456.0,0.00213979
ŁOMŻYŃSKI,145230.0,0.86360582,84.0,0.000499503,211.0,0.001254705,1048.0,0.0062319,21451.0,0.127557725,45.0,0.000267591,98.0,0.000582754
OSTROŁĘCKI,103871.0,0.922584313,44.0,0.000390809,122.0,0.001083606,159.0,0.001412241,8122.0,0.072139767,177.0,0.001572118,92.0,0.000817146
OSTROWSKI (OSTRÓW MAZOWIECKA),85540.0,0.857621239,56.0,0.000561454,104.0,0.001042701,1559.0,0.015630483,12361.0,0.123930981,14.0,0.000140364,107.0,0.001072778
SOKÓLSKI,81030.0,0.785669268,63.0,0.00061085,13266.0,0.128627527,27.0,0.000261793,8528.0,0.082687739,8.0,7.75682e-05,213.0,0.002065254
SUWALSKI,87350.0,0.79319676,173.0,0.001570956,1346.0,0.012222585,7163.0,0.065044859,8133.0,0.073853111,5817.0,0.052822273,142.0,0.001289456
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),60763.0,0.890757165,39.0,0.000571722,161.0,0.002360185,135.0,0.001979037,6981.0,0.102338195,12.0,0.000175914,124.0,0.001817782
WOŁKOWYSKI,76373.0,0.445773287,169.0,0.000986418,80452.0,0.46958156,284.0,0.001657649,13283.0,0.077530103,613.0,0.003577953,153.0,0.000893029
WYSOKOMAZOWIECKI,78584.0,0.881945614,41.0,0.000460142,335.0,0.003759694,116.0,0.001301864,9875.0,0.110826796,4.0,4.48919e-05,148.0,0.001660999
BIAŁYSTOK (MIASTO),41493.0,0.455461521,126.0,0.00138308,7502.0,0.082348163,2633.0,0.028901988,39165.0,0.429907465,123.0,0.00135015,59.0,0.000647633
BĘDZIŃSKI,198211.0,0.856906316,101.0,0.000436643,365.0,0.001577969,312.0,0.001348839,31875.0,0.137802084,107.0,0.000462583,339.0,0.001465566
CZĘSTOCHOWSKI,174127.0,0.954298335,48.0,0.000263063,82.0,0.000449399,761.0,0.00417064,6927.0,0.037963237,80.0,0.000438438,441.0,0.002416889
IŁŻECKI,147062.0,0.92076034,61.0,0.000381923,105.0,0.000657409,660.0,0.004132283,11377.0,0.071231796,98.0,0.000613581,355.0,0.002222667
JĘDRZEJOWSKI,99883.8488225679,0.9170980321329981,21.25489852666889,0.0001951390421215475,38.533693790212986,0.00035357667223394074,27.2867608425025,0.0002506271674082541,9492.917724606546,0.08730677754203557,4.103552526459237,3.7525121918117485e-05,296.32594905585364,0.0027239014804838974
KIELECKI,190243.0,0.867513007,164.0,0.000747844,381.0,0.00173737,969.0,0.004418665,26895.0,0.122641897,30.0,0.000136801,615.0,0.002804416
KONECKI,156301.0,0.872341969,59.0,0.000329289,151.0,0.000842756,227.0,0.001266925,21840.0,0.121892685,3.0,1.67435e-05,593.0,0.003309632
KOZIENICKI,125935.0,0.88000587,48.0,0.000335413,107.0,0.000747692,2606.0,0.01821015,14073.0,0.098339005,1.0,6.98778e-06,337.0,0.002354881
MIECHOWSKI,145693.1511774321,0.942546295867002,31.74510147333111,0.00020537195787845248,66.46630620978702,0.00042999632776605923,35.7132391574975,0.00023104283259174591,7213.0822753934535,0.046664266457964426,12.896447473540764,8.343217808188252e-05,289.6740509441464,0.0018740155195161028
OLKUSKI,140045.0,0.922994286,61.0,0.000402033,65.0,0.000428395,130.0,0.000856791,11234.0,0.0740399,6.0,3.95442e-05,188.0,0.001239051
OPATOWSKI,158886.0,0.851721014,77.0,0.000412765,93.0,0.000498534,71.0,0.000380601,24763.0,0.132744027,2254.0,0.012082746,403.0,0.002160313
OPOCZYŃSKI,119801.0,0.917846526,64.0,0.000490331,47.0,0.000360087,1284.0,0.009837271,8854.0,0.067834268,5.0,3.83071e-05,469.0,0.003593209
PIŃCZOWSKI,112747.0,0.894122032,54.0,0.000428238,33.0,0.000261701,12.0,9.51641e-05,12900.0,0.102301385,4.0,3.17214e-05,348.0,0.002759758
RADOMSKI,140866.0,0.936316444,44.0,0.000292462,43.0,0.000285815,1189.0,0.007903115,7774.0,0.051672682,6.0,3.98812e-05,525.0,0.003489601
SANDOMIERSKI,107315.0,0.869919424,42.0,0.000340461,75.0,0.000607967,161.0,0.001305102,15427.0,0.125054717,1.0,8.10622e-06,341.0,0.002764222
STOPNICKI,135246.0,0.883435342,58.0,0.00037886,36.0,0.000235154,234.0,0.001528503,17157.0,0.112070599,4.0,2.61283e-05,356.0,0.002325414
