City,Population
Aleksandrów (Łódzki),13333.0
Aleksandrów Kujawski,9554.0
Andrychów,7000.0
Augustów,17861.0
Baranowicze,30119.0
Baranów (Sandomierski),2000.0
Barcin,2394.0
Barysz,6240.0
Bełchatów,10264.0
Bełz,4897.0
Beresteczko,6486.0
Bereza Kartuska,4879.0
Bereźne,6043.0
Będzin,50721.0
Biała Krakowska (dziś część Bielska-Białej),30337.0
Biała Podlaska,22000.0
Biała Rawska,3200.0
Białystok,105346.0
Biecz,4960.0
Bielsk Podlaski,8214.0
Bielsko (dziś część Bielska-Białej),32000.0
Bieruń Stary,4000.0
Biłgoraj,8828.0
Błaszki,4986.0
Błażowa,5008.0
Błonie,8700.0
Bochnia,14780.0
Bogumin,2581.0
Bogumin Nowy,10700.0
Bohorodczany,3166.0
Bojanowo,3025.0
Bolechów,11744.0
Bołszowce,4990.0
Borek,2280.0
Borszczów,6304.0
Borysław,45166.0
Bóbrka (Ukraina),5609.0
Brańsk,4611.0
Brasław,4500.0
Brodnica,11220.0
Brody,13628.0
Brok,3200.0
Brzesko,3863.0
Brześć Kujawski,6775.0
Brześć nad Bugiem,57008.0
Brzeziny,14000.0
Brzeżany,11731.0
Brzozów,4750.0
Buczacz,10672.0
Budzanów,4933.0
Buk,3586.0
Bursztyn,4384.0
Busko (dziś Busko-Zdrój),5570.0
Bydgoszcz,141000.0
Chełm,30900.0
Chełmno,13452.0
Chełmża,12983.0
Chęciny,5657.0
Chmielnik,8250.0
Chodecz,1900.0
Chodzież,8478.0
Chojnice,16975.0
Chorostków,7310.0
Choroszcz,3028.0
Chorzele,4000.0
Chorzów,109500.0
Chrzanów,21651.0
Chyrów,4314.0
Ciechanowiec,6169.0
Ciechanów,15200.0
Ciechocinek,5220.0
Cieszanów,3197.0
Cieszyn,20385.0
Czarnków,4986.0
Czeladź,21235.0
Czempiń,2406.0
Czerniejewo,1587.0
Czersk,8500.0
Częstochowa,138000.0
Czortków,19038.0
Dawidgródek,10566.0
Dąbie,4212.0
Dąbrowa (Tarnowska),6100.0
Dąbrowa Górnicza,41373.0
Dąbrowa Grodzieńska (dziś Dąbrowa Białostocka),4096.0
Dąbrowica,7565.0
Delatyn,8864.0
Dębica,10575.0
Dobczyce,3380.0
Dobra,3009.0
Dobrzyń nad Drwęcą,5694.0
Dobrzyń nad Wisłą,3207.0
Dokszyce,3184.0
