level,name,path,parent,is_leaf
1,Business Permissions,Business Permissions,,False
1,Census 1921,Census 1921,,False
1,Census 1931,Census 1931,,False
1,Crops,Crops,,False
1,District Area,District Area,,True
1,Employment,Employment,,False
1,Forests,Forests,,False
1,Livestock,Livestock,,False
1,Prices,Prices,,False
1,Yearbook 1939,Yearbook 1939,,False
2,Industrial Occupations,Business Permissions/Industrial Occupations,Business Permissions,False
2,Industry,Business Permissions/Industry,Business Permissions,False
2,Trade,Business Permissions/Trade,Business Permissions,False
2,Ethnicity,Census 1921/Ethnicity,Census 1921,False
2,Indirect Occupation,Census 1921/Indirect Occupation,Census 1921,False
2,Population,Census 1921/Population,Census 1921,False
2,Religion,Census 1921/Religion,Census 1921,False
2,Economically Active Population,Census 1931/Economically Active Population,Census 1931,False
2,Indirect Occupation,Census 1931/Indirect Occupation,Census 1931,False
2,Mother Tongue,Census 1931/Mother Tongue,Census 1931,False
2,Population,Census 1931/Population,Census 1931,False
2,Religion,Census 1931/Religion,Census 1931,False
2,Area,Crops/Area,Crops,False
2,Average Yield per ha,Crops/Average Yield per ha,Crops,False
2,Size,Crops/Size,Crops,False
2,Yields (q per ha),Crops/Yields (q per ha),Crops,False
2,Employment Share,Employment/Employment Share,Employment,False
2,Industry,Employment/Industry,Employment,False
2,Mining,Employment/Mining,Employment,True
2,Mining and Industry - Total,Employment/Mining and Industry - Total,Employment,True
2,Public works,Employment/Public works,Employment,True
2,Total,Employment/Total,Employment,True
2,Area,Forests/Area,Forests,True
2,Goats,Livestock/Goats,Livestock,True
2,Horned Cattle,Livestock/Horned Cattle,Livestock,True
2,Horses,Livestock/Horses,Livestock,True
2,Pigs,Livestock/Pigs,Livestock,True
2,Sheep,Livestock/Sheep,Livestock,True
2,Sheep and Goats,Livestock/Sheep and Goats,Livestock,True
2,Local Paid to Producers,Prices/Local Paid to Producers,Prices,False
2,Population,Yearbook 1939/Population,Yearbook 1939,False
3,Category IIIPR,Business Permissions/Industrial Occupations/Category IIIPR,Business Permissions/Industrial Occupations,True
3,Category IIIR,Business Permissions/Industrial Occupations/Category IIIR,Business Permissions/Industrial Occupations,True
3,Category IIPR,Business Permissions/Industrial Occupations/Category IIPR,Business Permissions/Industrial Occupations,True
3,Category IIR,Business Permissions/Industrial Occupations/Category IIR,Business Permissions/Industrial Occupations,True
3,Category IPR,Business Permissions/Industrial Occupations/Category IPR,Business Permissions/Industrial Occupations,True
3,Category IR,Business Permissions/Industrial Occupations/Category IR,Business Permissions/Industrial Occupations,True
3,Category IVPR,Business Permissions/Industrial Occupations/Category IVPR,Business Permissions/Industrial Occupations,True
3,Category IVR,Business Permissions/Industrial Occupations/Category IVR,Business Permissions/Industrial Occupations,True
3,Registration Permits,Business Permissions/Industrial Occupations/Registration Permits,Business Permissions/Industrial Occupations,False
3,Together,Business Permissions/Industrial Occupations/Together,Business Permissions/Industrial Occupations,False
3,Trade at Fairs,Business Permissions/Industrial Occupations/Trade at Fairs,Business Permissions/Industrial Occupations,False
3,01. Number of workers in plants I-VII,Business Permissions/Industry/01. Number of workers in plants I-VII,Business Permissions/Industry,True
3,02. Plants of All Types,Business Permissions/Industry/02. Plants of All Types,Business Permissions/Industry,False
3,03. Plants of All Types,Business Permissions/Industry/03. Plants of All Types,Business Permissions/Industry,False
3,04. Plants of All Types,Business Permissions/Industry/04. Plants of All Types,Business Permissions/Industry,False
3,05. Plants of All Types,Business Permissions/Industry/05. Plants of All Types,Business Permissions/Industry,False
3,06. Plants of All Types,Business Permissions/Industry/06. Plants of All Types,Business Permissions/Industry,False
