level,name,path,parent,is_leaf
1,Ceny,Ceny,,False
1,Inwentarz żywy,Inwentarz żywy,,False
1,Lasy,Lasy,,False
1,Powierzchnia powiatów,Powierzchnia powiatów,,True
1,Rocznik 1939,Rocznik 1939,,False
1,Spis Powszechny 1921,Spis Powszechny 1921,,False
1,Spis Powszechny 1931,Spis Powszechny 1931,,False
1,Uprawy rolne,Uprawy rolne,,False
1,Zatrudnienie,Zatrudnienie,,False
1,Zezwolenia dla przedsiębiorstw,Zezwolenia dla przedsiębiorstw,,False
2,Lokalne płacone producentom,Ceny/Lokalne płacone producentom,Ceny,False
2,Bydło rogate,Inwentarz żywy/Bydło rogate,Inwentarz żywy,True
2,Konie,Inwentarz żywy/Konie,Inwentarz żywy,True
2,Kozy,Inwentarz żywy/Kozy,Inwentarz żywy,True
2,Owce,Inwentarz żywy/Owce,Inwentarz żywy,True
2,Owce i kozy,Inwentarz żywy/Owce i kozy,Inwentarz żywy,True
2,Trzoda chlewna,Inwentarz żywy/Trzoda chlewna,Inwentarz żywy,True
2,Powierzchnia,Lasy/Powierzchnia,Lasy,True
2,Ludność,Rocznik 1939/Ludność,Rocznik 1939,False
2,Ludność,Spis Powszechny 1921/Ludność,Spis Powszechny 1921,False
2,Narodowość,Spis Powszechny 1921/Narodowość,Spis Powszechny 1921,False
2,Wyznanie,Spis Powszechny 1921/Wyznanie,Spis Powszechny 1921,False
2,Zawód Główny,Spis Powszechny 1921/Zawód Główny,Spis Powszechny 1921,False
2,Język ojczysty,Spis Powszechny 1931/Język ojczysty,Spis Powszechny 1931,False
2,Ludność,Spis Powszechny 1931/Ludność,Spis Powszechny 1931,False
2,Ludność aktywna zawodowo,Spis Powszechny 1931/Ludność aktywna zawodowo,Spis Powszechny 1931,False
2,Wyznanie,Spis Powszechny 1931/Wyznanie,Spis Powszechny 1931,False
2,Zawód Główny,Spis Powszechny 1931/Zawód Główny,Spis Powszechny 1931,False
2,Plony (q na ha),Uprawy rolne/Plony (q na ha),Uprawy rolne,False
2,Powierzchnia,Uprawy rolne/Powierzchnia,Uprawy rolne,False
2,Przeciętny zbiór z ha,Uprawy rolne/Przeciętny zbiór z ha,Uprawy rolne,False
2,Zbiory,Uprawy rolne/Zbiory,Uprawy rolne,False
2,Górnictwo,Zatrudnienie/Górnictwo,Zatrudnienie,True
2,Górnictwo i przemysł - ogółem,Zatrudnienie/Górnictwo i przemysł - ogółem,Zatrudnienie,True
2,Przemysł,Zatrudnienie/Przemysł,Zatrudnienie,False
2,Public works,Zatrudnienie/Public works,Zatrudnienie,True
2,Razem,Zatrudnienie/Razem,Zatrudnienie,True
2,Udział w całkowitym zatrudnieniu,Zatrudnienie/Udział w całkowitym zatrudnieniu,Zatrudnienie,False
2,Handel,Zezwolenia dla przedsiębiorstw/Handel,Zezwolenia dla przedsiębiorstw,False
2,Przemysł,Zezwolenia dla przedsiębiorstw/Przemysł,Zezwolenia dla przedsiębiorstw,False
2,Zajęcia przemysłowe,Zezwolenia dla przedsiębiorstw/Zajęcia przemysłowe,Zezwolenia dla przedsiębiorstw,False
3,Groch,Ceny/Lokalne płacone producentom/Groch,Ceny/Lokalne płacone producentom,True
3,Gryka,Ceny/Lokalne płacone producentom/Gryka,Ceny/Lokalne płacone producentom,True
3,Jęczmień,Ceny/Lokalne płacone producentom/Jęczmień,Ceny/Lokalne płacone producentom,False
3,Koń roboczy (cena maksymalna),Ceny/Lokalne płacone producentom/Koń roboczy (cena maksymalna),Ceny/Lokalne płacone producentom,True
3,Koń roboczy (cena minimalna),Ceny/Lokalne płacone producentom/Koń roboczy (cena minimalna),Ceny/Lokalne płacone producentom,True
3,Krowa dojna (cena maksymalna),Ceny/Lokalne płacone producentom/Krowa dojna (cena maksymalna),Ceny/Lokalne płacone producentom,True
3,Krowa dojna (cena minimalna),Ceny/Lokalne płacone producentom/Krowa dojna (cena minimalna),Ceny/Lokalne płacone producentom,True
3,Owies,Ceny/Lokalne płacone producentom/Owies,Ceny/Lokalne płacone producentom,True
3,Pszenica,Ceny/Lokalne płacone producentom/Pszenica,Ceny/Lokalne płacone producentom,True
3,Siano,Ceny/Lokalne płacone producentom/Siano,Ceny/Lokalne płacone producentom,False
3,Słoma,Ceny/Lokalne płacone producentom/Słoma,Ceny/Lokalne płacone producentom,True
3,Wieprz (za kg),Ceny/Lokalne płacone producentom/Wieprz (za kg),Ceny/Lokalne płacone producentom,True
3,Ziemniaki,Ceny/Lokalne płacone producentom/Ziemniaki,Ceny/Lokalne płacone producentom,False
3,Żyto,Ceny/Lokalne płacone producentom/Żyto,Ceny/Lokalne płacone producentom,True
3,Ogółem,Rocznik 1939/Ludność/Ogółem,Rocznik 1939/Ludność,True
3,Ogółem,Spis Powszechny 1921/Ludność/Ogółem,Spis Powszechny 1921/Ludność,True
3,Ogółem (dane z publikacji o spisie 1931),Spis Powszechny 1921/Ludność/Ogółem (dane z publikacji o spisie 1931),Spis Powszechny 1921/Ludność,True
3,% Białorusińska,Spis Powszechny 1921/Narodowość/% Białorusińska,Spis Powszechny 1921/Narodowość,True
3,% Inna i niewiadoma: ogółem,Spis Powszechny 1921/Narodowość/% Inna i niewiadoma: ogółem,Spis Powszechny 1921/Narodowość,True
3,% Mniejszości razem,Spis Powszechny 1921/Narodowość/% Mniejszości razem,Spis Powszechny 1921/Narodowość,True
3,% Niemiecka,Spis Powszechny 1921/Narodowość/% Niemiecka,Spis Powszechny 1921/Narodowość,True
3,% Polska,Spis Powszechny 1921/Narodowość/% Polska,Spis Powszechny 1921/Narodowość,True
3,% Rusińska,Spis Powszechny 1921/Narodowość/% Rusińska,Spis Powszechny 1921/Narodowość,True
