Year;Agriculture;Industry;Services;Total
1924;4626259807;5065896334;4919914696;14612070837
1925;5760197815;4886684559;4511664463;15158546837
1926;6856594615;4217462674;3592317433;14666374721
1927;8817512174;4846459361;4046235855;17710207389
1928;11393499142;5483685069;4482656055;21359840266
1929;7553522727;5927712202;5144802854;18626037783
1930;6693654101;5604883183;6067259141;18365796425
1931;5822018449;4814151829;6109612781;16745783060
1932;6648206884;4236644489;6231053544;17115904918
1933;6315323011;4469320636;6107833993;16892477639
1934;7501471681;4999068817;6271833637;18772374135
1935;6487130290;5477175131;6311979952;18276285373
1936;7560826778;6111372069;6395060517;20067259364
1937;10984158945;6567441698;6165923394;23717524037
1938;10172120978;7691049839;6852511390;24715682207
