District;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
AUGUSTOWSKI;23108539,85;28971430,8;31125347,59;38571710,53;46516106,91;35321921,53;35874506,48;29632691,52;33648873,51;33052629,46;36072075,91;34183944,93;41223031,38;51064064,59;45799986,47
BARANOWICKI;40698676,94;42149934,54;40563932,97;57037329,04;85077679,42;61033197,64;52755043,92;56890314,73;56238378,55;50390552,44;59086100,78;58670910,69;65301837,35;88890219,74;74765133,52
BIALSKI (BIAŁA KRAKOWSKA);92514733,97;86024615,79;76376590,93;90143745,51;112636080,7;109504020,4;110168729,7;107155361,8;96519981,21;93958724,18;96688807,04;93678658,05;101115388,4;112424138;122689137,5
BIALSKI (BIAŁA PODLASKA);50427430,89;60593062,21;66021718,85;77775097,75;90975093,67;70165844,2;66845837,96;67011733,74;68485011,37;64090506,1;75408955,51;74269223,34;78098782,44;97394574,77;91612482,39
BIAŁOSTOCKI;145751640,4;130296552,1;116274483,6;131436526,3;154503806,1;150806532,2;150698013,5;137763241,5;132879683,5;138437388,5;154418068;155396741,8;177985614,2;195487474,9;205156301,7
BIELSKI (BIELSK PODLASKI);62003725,56;65573030,4;71474940,61;83360324,29;99744599,85;81898086,73;81325701,91;69891216,55;84329746,58;83225486,97;94600507,55;92126803,81;107525103;133379063,9;122229116
BIELSKO;183553020;182056559,1;146485458,5;174670051,6;194935951,2;160959293,7;127294701,7;87997751,55;86823849,42;92838250,24;112771708,3;131449994,4;139486849,6;153542780,4;176313222,3
BIŁGORAJSKI;24345187,3;30555545,45;37666524,44;47617757,39;56232867,32;41899835,14;37748272,77;29364128,02;35672421,23;32602594,42;44011627,51;43244891,9;49321758,71;62679900,92;57104236,67
BOCHEŃSKI;26327899,15;27771889,63;27714578,23;33828245,03;41570648,83;32263569,13;32690415,56;27872466,9;35166759,96;32462448,42;32516963,78;36679457,31;38174223,57;48046774,03;45129532,58
BORSZCZOWSKI;18897626,5;24968448,91;28045943,71;34826213,04;40759801,47;28954553,56;28459761,22;26424564,02;28102281,55;27599203,77;30726525,22;32215976,26;35495056,57;47557659,64;42002382,01
BRASŁAWSKI;41100556,14;35726601,67;36390751,93;43431466,9;58764881,14;47974081,64;43363842,38;40249080,55;44673225,12;43054439,65;54214553,76;47760369,11;50196160,4;95848346,16;82781632,7
BRODNICKI;34130322,18;37697570,48;38262915,52;52883587,08;65116753,86;49740677,52;45713320,68;43804661,24;40485853,93;34835432,06;42967250,08;39853383,73;43392582,61;54700303,06;64562064,54
BRODZKI;25756179,35;29458397,46;29743225,19;37774205,56;45563208,2;34027470,4;30942579,26;29846885,24;30899992,31;31029463,43;33543314,7;35416185,78;39356073,88;48616786,79;44329877,06
