Foreign region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
OstPreussen;838 425 857;931 125 925;956 384 733;1 052 735 076;1 101 563 286;1 094 555 424;1 081 104 826;999 331 676;922 903 421;980 813 610;1 070 390 169;1 150 918 000;1 252 254 564;1 327 577 079;1 427 417 461
Pommern;1 168 592 913;1 297 797 710;1 333 003 285;1 467 295 814;1 535 352 279;1 525 584 763;1 506 837 400;1 392 862 476;1 286 337 235;1 367 052 107;1 491 903 376;1 604 142 583;1 745 384 875;1 850 368 943;1 989 525 867
Berlin + Brandburg;15 147 728 791;16 822 528 629;17 278 876 175;19 019 625 049;19 901 797 846;19 775 187 728;19 532 177 556;18 054 792 902;16 673 973 754;17 720 229 454;19 338 597 273;20 793 482 923;22 624 317 183;23 985 159 072;25 788 962 019
Schlessien;6 493 606 993;7 211 568 879;7 407 198 313;8 153 431 575;8 531 605 988;8 477 330 105;8 373 155 244;7 739 822 323;7 147 885 604;7 596 399 928;8 290 170 244;8 913 858 174;9 698 709 707;10 282 082 470;11 055 346 079
Danzig;461 899 038;473 273 129;453 106 937;542 642 989;648 550 778;560 778 744;547 863 367;494 353 584;500 268 258;489 316 508;539 539 775;521 106 924;567 657 118;666 596 293;691 068 756
Romania;5 554 616 035;5 656 664 989;6 292 141 866;6 356 286 954;6 263 315 668;6 481 905 668;6 469 596 812;6 692 285 070;6 143 238 730;6 259 318 566;6 408 198 964;6 940 851 855;7 222 371 979;7 556 360 887;7 469 086 684
Latvia;1 349 763 158;1 454 882 707;1 472 884 962;1 521 265 789;1 531 672 932;1 677 857 143;1 822 398 496;1 671 699 248;1 660 950 376;1 822 368 421;1 994 577 068;2 038 168 421;2 061 998 872;2 242 484 211;2 304 444 361
Lithuania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 981 989 098
Czechoslovakia;12 494 698;13 963 954;13 909 049;14 956 883;16 271 365;16 722 013;16 175 707;15 622 385;14 998 169;14 361 873;13 811 558;13 677 930;14 801 710;16 461 602;16 660 113
Belarusian SSR;0;0;0;0;0;0;0;0;0;0;3 280 770 865;3 784 214 075;4 077 410 054;4 452 768 233;4 477 204 682
Ukrainian SSR;0;0;0;0;0;0;0;0;0;0;19 103 957 780;22 035 512 044;23 742 794 828;25 928 508 827;26 070 802 484
Romania;5 554 616 035;5 656 664 989;6 292 141 866;6 356 286 954;6 263 315 668;6 481 905 668;6 469 596 812;6 692 285 070;6 143 238 730;6 259 318 566;6 408 198 964;6 940 851 855;7 222 371 979;7 556 360 887;7 469 086 684
