District;former_german_partition;former_russian_partition;former_ah_partition
AUGUSTOWSKI;FAŁSZ;PRAWDA;FAŁSZ
BARANOWICKI;FAŁSZ;PRAWDA;FAŁSZ
BIALSKI (BIAŁA KRAKOWSKA);FAŁSZ;FAŁSZ;PRAWDA
BIALSKI (BIAŁA PODLASKA);FAŁSZ;PRAWDA;FAŁSZ
BIAŁOSTOCKI;FAŁSZ;PRAWDA;FAŁSZ
BIELSKI (BIELSK PODLASKI);FAŁSZ;PRAWDA;FAŁSZ
BIELSKO;FAŁSZ;FAŁSZ;PRAWDA
BIŁGORAJSKI;FAŁSZ;PRAWDA;FAŁSZ
BOCHEŃSKI;FAŁSZ;FAŁSZ;PRAWDA
BORSZCZOWSKI;FAŁSZ;FAŁSZ;PRAWDA
BRASŁAWSKI;FAŁSZ;PRAWDA;FAŁSZ
BRODNICKI;PRAWDA;FAŁSZ;FAŁSZ
BRODZKI;FAŁSZ;FAŁSZ;PRAWDA
BRZESKI (BRZESKO);FAŁSZ;FAŁSZ;PRAWDA
BRZESKI (BRZEŚĆ N.BUG.);FAŁSZ;PRAWDA;FAŁSZ
BRZEZIŃSKI;FAŁSZ;PRAWDA;FAŁSZ
BRZEŻAŃSKI;FAŁSZ;FAŁSZ;PRAWDA
BRZOZOWSKI;FAŁSZ;FAŁSZ;PRAWDA
BUCZACKI;FAŁSZ;FAŁSZ;PRAWDA
BYDGOSKI;PRAWDA;FAŁSZ;FAŁSZ
BÓBRECKI;FAŁSZ;FAŁSZ;PRAWDA
BĘDZIŃSKI;FAŁSZ;PRAWDA;FAŁSZ
BŁOŃSKI;FAŁSZ;PRAWDA;FAŁSZ
CHEŁMIŃSKI;PRAWDA;FAŁSZ;FAŁSZ
CHEŁMSKI;FAŁSZ;PRAWDA;FAŁSZ
CHODZIESKI;PRAWDA;FAŁSZ;FAŁSZ
CHOJNICKI;PRAWDA;FAŁSZ;FAŁSZ
CHORZÓW;FAŁSZ;FAŁSZ;PRAWDA
CHRZANOWSKI;FAŁSZ;FAŁSZ;PRAWDA
CIECHANOWSKI;FAŁSZ;PRAWDA;FAŁSZ
CIESZYŃSKI;FAŁSZ;FAŁSZ;PRAWDA
CZARNKOWSKI;PRAWDA;FAŁSZ;FAŁSZ
CZORTKOWSKI;FAŁSZ;FAŁSZ;PRAWDA
CZĘSTOCHOWSKI;FAŁSZ;PRAWDA;FAŁSZ
DOBROMILSKI;FAŁSZ;FAŁSZ;PRAWDA
DOLIŃSKI;FAŁSZ;FAŁSZ;PRAWDA
DROHICKI;FAŁSZ;PRAWDA;FAŁSZ
DROHOBYCKI;FAŁSZ;FAŁSZ;PRAWDA
DUBIEŃSKI;FAŁSZ;PRAWDA;FAŁSZ
DZIAŁDOWSKI;PRAWDA;FAŁSZ;FAŁSZ
DZIŚNIEŃSKI;FAŁSZ;PRAWDA;FAŁSZ
DĄBROWSKI;FAŁSZ;FAŁSZ;PRAWDA
GARWOLIŃSKI;FAŁSZ;PRAWDA;FAŁSZ
GNIEŹNIEŃSKI;PRAWDA;FAŁSZ;FAŁSZ
GORLICKI;FAŁSZ;FAŁSZ;PRAWDA
GOSTYNIŃSKI;FAŁSZ;PRAWDA;FAŁSZ
GOSTYŃSKI;PRAWDA;FAŁSZ;FAŁSZ
GRODZIEŃSKI;FAŁSZ;PRAWDA;FAŁSZ
GRUDZIĄDZKI;PRAWDA;FAŁSZ;FAŁSZ
GRÓDECKI;FAŁSZ;FAŁSZ;PRAWDA
GRÓJECKI;FAŁSZ;PRAWDA;FAŁSZ
HOROCHOWSKI;FAŁSZ;PRAWDA;FAŁSZ
HORODEŃSKI;FAŁSZ;FAŁSZ;PRAWDA
HRUBIESZOWSKI;FAŁSZ;PRAWDA;FAŁSZ
INOWROCŁAWSKI;PRAWDA;FAŁSZ;FAŁSZ
IWACEWICKI;FAŁSZ;PRAWDA;FAŁSZ
IŁŻECKI;FAŁSZ;PRAWDA;FAŁSZ
JANOWSKI;FAŁSZ;PRAWDA;FAŁSZ
JAROCIŃSKI;PRAWDA;FAŁSZ;FAŁSZ
JAROSŁAWSKI;FAŁSZ;FAŁSZ;PRAWDA
JASIELSKI;FAŁSZ;FAŁSZ;PRAWDA
JAWOROWSKI;FAŁSZ;FAŁSZ;PRAWDA
JĘDRZEJOWSKI;FAŁSZ;PRAWDA;FAŁSZ
KALISKI;FAŁSZ;PRAWDA;FAŁSZ
KAMIONECKI;FAŁSZ;FAŁSZ;PRAWDA
KARTUSKI;PRAWDA;FAŁSZ;FAŁSZ
KATOWICE;FAŁSZ;FAŁSZ;PRAWDA
KAŁUSKI;FAŁSZ;FAŁSZ;PRAWDA
KIELECKI;FAŁSZ;PRAWDA;FAŁSZ
KOBRYŃSKI;FAŁSZ;PRAWDA;FAŁSZ
KOLBUSZOWSKI;FAŁSZ;FAŁSZ;PRAWDA
KOLSKI;FAŁSZ;PRAWDA;FAŁSZ
KONECKI;FAŁSZ;PRAWDA;FAŁSZ
KONIŃSKI;FAŁSZ;PRAWDA;FAŁSZ
KOPYCZYNIECKI;FAŁSZ;FAŁSZ;PRAWDA
KOSOWSKI (KOSÓW HUCULSKI);FAŁSZ;FAŁSZ;PRAWDA
KOSTOPOLSKI;FAŁSZ;PRAWDA;FAŁSZ
KOSZYRSKI;FAŁSZ;PRAWDA;FAŁSZ
KOWELSKI;FAŁSZ;PRAWDA;FAŁSZ
KOZIENICKI;FAŁSZ;PRAWDA;FAŁSZ
KOŁOMYJSKI;FAŁSZ;FAŁSZ;PRAWDA
KOŚCIAŃSKI;PRAWDA;FAŁSZ;FAŁSZ
KOŚCIERSKI;PRAWDA;FAŁSZ;FAŁSZ
KRAKOWSKI;FAŁSZ;FAŁSZ;PRAWDA
KRAKÓW (MIASTO);FAŁSZ;FAŁSZ;PRAWDA
KRASNOSTAWSKI;FAŁSZ;PRAWDA;FAŁSZ
KROTOSZYŃSKI;PRAWDA;FAŁSZ;FAŁSZ
KROŚNIEŃSKI;FAŁSZ;FAŁSZ;PRAWDA
KRZEMIENIECKI;FAŁSZ;PRAWDA;FAŁSZ
KUTNOWSKI;FAŁSZ;PRAWDA;FAŁSZ
KĘPIŃSKI;PRAWDA;FAŁSZ;FAŁSZ
LESKI;FAŁSZ;FAŁSZ;PRAWDA
LESZCZYŃSKI;PRAWDA;FAŁSZ;FAŁSZ
LIDZKI;FAŁSZ;PRAWDA;FAŁSZ
LIMANOWSKI;FAŁSZ;FAŁSZ;PRAWDA
LIPNOWSKI;FAŁSZ;PRAWDA;FAŁSZ
LUBACZOWSKI;FAŁSZ;FAŁSZ;PRAWDA
LUBARTOWSKI;FAŁSZ;PRAWDA;FAŁSZ
LUBAWSKI;PRAWDA;FAŁSZ;FAŁSZ
LUBELSKI;FAŁSZ;PRAWDA;FAŁSZ
LUBLINIECKI;PRAWDA;FAŁSZ;FAŁSZ
LUBOMELSKI;FAŁSZ;PRAWDA;FAŁSZ
LWOWSKI;FAŁSZ;FAŁSZ;PRAWDA
LWÓW (MIASTO);FAŁSZ;FAŁSZ;PRAWDA
M. ST. WARSZAWA;FAŁSZ;PRAWDA;FAŁSZ
MAKOWSKI (MAKÓW MAZOWIECKI);FAŁSZ;PRAWDA;FAŁSZ
MIECHOWSKI;FAŁSZ;PRAWDA;FAŁSZ
MIELECKI;FAŁSZ;FAŁSZ;PRAWDA
MIĘDZYCHODZKI;PRAWDA;FAŁSZ;FAŁSZ
MIŃSKI;FAŁSZ;PRAWDA;FAŁSZ
MOGILEŃSKI;PRAWDA;FAŁSZ;FAŁSZ
MORSKI;PRAWDA;FAŁSZ;FAŁSZ
