District;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
KOŚCIAŃSKI;63164.0;62787.4;62410.8;62034.2;61657.600000000006;61281.0;60904.399999999994;60527.8;60151.2;59774.600000000006;59398.0;59021.4;58644.8;58268.2;57891.6;57515.0;57138.4;56761.8
ZBOROWSKI;57788.0;58612.8;59437.600000000006;60262.399999999994;61087.2;61912.0;62736.8;63561.6;64386.4;65211.2;66036.0;66860.8;67685.6;68510.4;69335.2;70160.0;70984.8;71809.6
MIĘDZYCHODZKI;23323.0;23279.600000000002;23236.2;23192.8;23149.4;23106.0;23062.6;23019.2;22975.8;22932.4;22889.0;22845.6;22802.2;22758.8;22715.4;22672.0;22628.6;22585.2
KOŁOMYJSKI;119908.0;121494.2;123080.40000000001;124666.59999999999;126252.8;127839.0;129425.20000000001;131011.40000000001;132597.6;134183.8;135770.0;137356.2;138942.4;140528.6;142114.8;143701.0;145287.2;146873.4
DZIŚNIEŃSKI;127638.0;129301.6;130965.20000000001;132628.8;134292.40000000002;135956.0;137619.6;139283.2;140946.80000000002;142610.4;144274.0;145937.6;147601.2;149264.8;150928.4;152592.0;154255.6;155919.2
STOLIŃSKI;81480.0;84005.6;86531.2;89056.8;91582.4;94108.0;96633.6;99159.2;101684.8;104210.40000000001;106736.0;109261.6;111787.2;114312.8;116838.4;119364.0;121889.6;124415.2
STANISŁAWOWSKI;104798.0;107374.8;109951.6;112528.4;115105.2;117682.0;120258.79999999999;122835.6;125412.4;127989.20000000001;130566.0;133142.8;135719.6;138296.4;140873.2;143450.0;146026.8;148603.6
ŚREDZKI;39650.0;39529.5;39409.0;39288.5;39168.0;39047.5;38927.0;38806.5;38686.0;38565.5;38445.0;38324.5;38204.0;38083.5;37963.0;37842.5;37722.0;37601.5
WOŁKOWYSKI;101226.0;106346.70000000001;111467.40000000001;116588.1;121708.8;126829.5;131950.2;137070.9;142191.6;147312.30000000002;152433.0;157553.7;162674.4;167795.1;172915.8;178036.5;183157.2;188277.9
HORODEŃSKI;71293.0;72222.8;73152.6;74082.4;75012.2;75942.0;76871.8;77801.6;78731.4;79661.20000000001;80591.0;81520.8;82450.6;83380.4;84310.2;85240.0;86169.8;87099.6
KATOWICE;98820.21105990955;99212.3899539186;99604.56884792764;99996.74774193668;100388.92663594573;100781.10552995477;101173.28442396382;101565.46331797287;101957.6422119819;102349.82110599095;102742.0;103134.17889400905;103526.3577880181;103918.53668202713;104310.71557603618;104702.89447004523;105095.07336405427;105487.25225806332
MIELECKI;64554.0;64899.4;65244.8;65590.2;65935.6;66281.0;66626.4;66971.8;67317.2;67662.6;68008.0;68353.4;68698.8;69044.2;69389.6;69735.0;70080.4;70425.8
PUŁAWSKI;137832.0;139904.8;141977.6;144050.4;146123.2;148196.0;150268.8;152341.6;154414.4;156487.2;158560.0;160632.8;162705.6;164778.4;166851.2;168924.0;170996.8;173069.6
RAWSKI (RAWA RUSKA);91599.0;92866.20000000001;94133.4;95400.59999999999;96667.8;97935.0;99202.2;100469.4;101736.6;103003.8;104271.0;105538.2;106805.4;108072.6;109339.8;110607.0;111874.2;113141.4
MOGILEŃSKI;67337.0;67164.3;66991.6;66818.9;66646.2;66473.5;66300.8;66128.1;65955.4;65782.7;65610.0;65437.3;65264.6;65091.9;64919.2;64746.5;64573.8;64401.1
SOKALSKI;84401.0;85168.50000000001;85936.0;86703.5;87471.0;88238.5;89006.0;89773.5;90541.0;91308.5;92076.0;92843.5;93611.0;94378.5;95146.0;95913.5;96681.0;97448.5
BUCZACKI;99932.0;101533.20000000001;103134.40000000001;104735.59999999999;106336.8;107938.0;109539.2;111140.4;112741.6;114342.8;115944.0;117545.2;119146.4;120747.6;122348.8;123950.0;125551.2;127152.4
PRZEMYŚLAŃSKI;71038.0;71946.8;72855.6;73764.4;74673.2;75582.0;76490.8;77399.6;78308.4;79217.20000000001;80126.0;81034.8;81943.6;82852.4;83761.2;84670.0;85578.8;86487.6
GOSTYNIŃSKI;65513.0;65771.0;66029.0;66287.0;66545.0;66803.0;67061.0;67319.0;67577.0;67835.0;68093.0;68351.0;68609.0;68867.0;69125.0;69383.0;69641.0;69899.0
BIŁGORAJSKI;92986.0;94564.80000000002;96143.6;97722.4;99301.20000000001;100880.0;102458.79999999999;104037.59999999999;105616.40000000001;107195.20000000001;108774.0;110352.8;111931.6;113510.4;115089.2;116668.0;118246.8;119825.6
RUDECKI;64516.0;65056.700000000004;65597.40000000001;66138.09999999999;66678.8;67219.5;67760.2;68300.9;68841.6;69382.3;69923.0;70463.7;71004.4;71545.1;72085.8;72626.5;73167.2;73707.9
RADOMSZCZAŃSKI;149241.0;150660.1;152079.2;153498.3;154917.4;156336.5;157755.6;159174.7;160593.8;162012.90000000002;163432.0;164851.1;166270.2;167689.3;169108.4;170527.5;171946.6;173365.7
STRYJSKI;96072.0;97905.40000000001;99738.8;101572.19999999998;103405.6;105239.0;107072.4;108905.8;110739.2;112572.6;114406.0;116239.4;118072.8;119906.2;121739.6;123573.0;125406.4;127239.8
PŁOŃSKI;65114.0;65705.7;66297.40000000001;66889.09999999999;67480.8;68072.5;68664.2;69255.9;69847.6;70439.3;71031.0;71622.7;72214.4;72806.1;73397.8;73989.5;74581.2;75172.9
KRZEMIENIECKI;192805.0;195828.0;198851.0;201874.0;204897.0;207920.0;210943.0;213966.0;216989.0;220012.0;223035.0;226058.0;229081.0;232104.0;235127.0;238150.0;241173.0;244196.0
CHRZANOWSKI;75194.0;76391.1;77588.20000000001;78785.29999999999;79982.4;81179.5;82376.6;83573.7;84770.8;85967.9;87165.0;88362.1;89559.2;90756.3;91953.4;93150.5;94347.6;95544.7
MYŚLENICKI;82996.0;83715.20000000001;84434.40000000001;85153.59999999999;85872.8;86592.0;87311.2;88030.4;88749.6;89468.79999999999;90188.0;90907.2;91626.4;92345.6;93064.8;93784.0;94503.2;95222.4
TARNOWSKI;81031.0;82365.90000000001;83700.8;85035.7;86370.6;87705.5;89040.4;90375.3;91710.2;93045.1;94380.0;95714.9;97049.8;98384.7;99719.6;101054.5;102389.4;103724.3
SOKOŁOWSKI;67930.0;68541.8;69153.6;69765.4;70377.2;70989.0;71600.79999999999;72212.6;72824.4;73436.2;74048.0;74659.8;75271.6;75883.4;76495.2;77107.0;77718.8;78330.6
CZORTKOWSKI;58245.0;58899.8;59554.6;60209.399999999994;60864.2;61519.0;62173.799999999996;62828.600000000006;63483.4;64138.200000000004;64793.0;65447.8;66102.6;66757.4;67412.2;68067.0;68721.8;69376.6
SIERPECKI;57266.0;57955.700000000004;58645.4;59335.09999999999;60024.8;60714.5;61404.2;62093.9;62783.6;63473.3;64163.0;64852.7;65542.4;66232.1;66921.8;67611.5;68301.2;68990.9
SANDOMIERSKI;102086.0;103090.20000000001;104094.40000000001;105098.6;106102.8;107107.0;108111.20000000001;109115.4;110119.6;111123.79999999999;112128.0;113132.2;114136.4;115140.6;116144.8;117149.0;118153.2;119157.4
RADZYŃSKI;68956.49876440284;69714.28871560188;70472.07866680092;71229.86861799996;71987.658569199;72745.44852039806;73503.2384715971;74261.02842279614;75018.81837399518;75776.60832519422;76534.39827639326;77292.1882275923;78049.97817879134;78807.76812999038;79565.55808118942;80323.34803238846;81081.13798358751;81838.92793478655
RYBNICKI;149164.38012123408;152639.34210911067;156114.30409698727;159589.26608486386;163064.22807274043;166539.19006061705;170014.15204849362;173489.1140363702;176964.0760242468;180439.0380121234;183914.0;187388.9619878766;190863.9239757532;194338.8859636298;197813.84795150638;201288.80993938295;204763.77192725957;208238.73391513614
WOLSZTYŃSKI;42524.0;42401.299999999996;42278.600000000006;42155.9;42033.2;41910.5;41787.8;41665.1;41542.399999999994;41419.700000000004;41297.0;41174.3;41051.6;40928.9;40806.2;40683.5;40560.8;40438.1
ŻÓŁKIEWSKI;70026.0;70765.5;71505.0;72244.5;72984.0;73723.5;74463.0;75202.5;75942.0;76681.5;77421.0;78160.5;78900.0;79639.5;80379.0;81118.5;81858.0;82597.5
LIDZKI;134672.0;137604.3;140536.6;143468.9;146401.2;149333.5;152265.8;155198.09999999998;158130.4;161062.7;163995.0;166927.3;169859.6;172791.9;175724.2;178656.5;181588.8;184521.1
CIESZYŃSKI;52560.7098298967;53196.838846907034;53832.967863917365;54469.09688092769;55105.22589793803;55741.35491494835;56377.483931958675;57013.61294896901;57649.741965979345;58285.87098298967;58922.0;59558.12901701033;60194.25803402066;60830.387051030986;61466.51606804132;62102.64508505165;62738.77410206198;63374.90311907231
LESZCZYŃSKI;38065.0;38023.8;37982.6;37941.4;37900.2;37859.0;37817.8;37776.6;37735.4;37694.200000000004;37653.0;37611.8;37570.6;37529.4;37488.2;37447.0;37405.8;37364.6
PIŃSKI;110891.0;115041.1;119191.20000000001;123341.29999999999;127491.4;131641.5;135791.6;139941.7;144091.8;148241.90000000002;152392.0;156542.1;160692.2;164842.3;168992.4;173142.5;177292.6;181442.7
DOLIŃSKI;74558.0;76539.7;78521.4;80503.1;82484.79999999999;84466.5;86448.2;88429.90000000001;90411.59999999999;92393.3;94375.0;96356.7;98338.4;100320.1;102301.8;104283.5;106265.2;108246.9
NADWÓRNIAŃSKI;96296.0;98983.50000000001;101671.0;104358.5;107046.0;109733.5;112421.0;115108.5;117796.0;120483.5;123171.0;125858.5;128546.0;131233.5;133921.0;136608.5;139296.0;141983.5
