District,year,scenario,ma_total,ma_total_no_self,ma_domestic,ma_domestic_no_self,ma_domestic_inter,ma_domestic_self,ma_foreign
AUGUSTOWSKI,1924,baseline,1004490810.2737794,1004447960.2275388,54186.80023443488,11336.753993843737,11336.753993843737,42850.046240591146,1004436623.473545
BARANOWICKI,1924,baseline,997023008.1856236,996984720.3913745,52761.14664034804,14473.35239117025,14473.35239117025,38287.79424917779,996970247.0389833
BIALSKI (BIAŁA KRAKOWSKA),1924,baseline,1252720569.7169034,1251884793.849239,962593.8033104262,126817.93564603789,126817.93564603789,835775.8676643883,1251757975.913593
BIALSKI (BIAŁA PODLASKA),1924,baseline,1127502602.721265,1127414915.111727,112029.06140471016,24341.451866638352,24341.451866638352,87687.6095380718,1127390573.6598604
BIAŁOSTOCKI,1924,baseline,1103997088.8284047,1103842271.385513,176874.99019572794,22057.547304136566,22057.547304136566,154817.44289159137,1103820213.838209
BIELSKI (BIELSK PODLASKI),1924,baseline,1099135348.8771884,1099101012.6573396,55017.68197143433,20681.462122668203,20681.462122668203,34336.21984876613,1099080331.195217
BIELSKO,1924,baseline,1249925144.3624241,1246425906.6342275,3589237.3115360485,89999.58333950402,89999.58333950402,3499237.7281965446,1246335907.050888
BIŁGORAJSKI,1924,baseline,1089214748.7786658,1089158353.9398036,75443.47605682664,19048.6371947071,19048.6371947071,56394.83886211954,1089139305.302609
BOCHEŃSKI,1924,baseline,1205362507.9429748,1205211216.554645,236488.6391757831,85197.2508460763,85197.2508460763,151291.38832970677,1205126019.303799
BORSZCZOWSKI,1924,baseline,1008011931.1961079,1007921357.4141161,95730.70512008674,5156.923128391601,5156.923128391601,90573.78199169514,1007916200.4909878
BRASŁAWSKI,1924,baseline,895866170.7061033,895836701.3950995,31823.522123030878,2354.211119213706,2354.211119213706,29469.311003817173,895834347.1839803
BRODNICKI,1924,baseline,1235813826.3120053,1235630071.1583233,207245.46516892585,23490.311486985396,23490.311486985396,183755.15368194046,1235606580.8468363
BRODZKI,1924,baseline,1053167968.1688265,1053061907.9807016,119340.97628389433,13280.788158990741,13280.788158990741,106060.1881249036,1053048627.1925426
BRZESKI (BRZESKO),1924,baseline,1166818962.4387748,1166642869.6469395,226628.02778711746,50535.23595201579,50535.23595201579,176092.79183510167,1166592334.4109876
BRZESKI (BRZEŚĆ N.BUG.),1924,baseline,1116301866.4008236,1116259429.8756015,65017.33061016619,22580.8053881063,22580.8053881063,42436.52522205989,1116236849.0702133
BRZEZIŃSKI,1924,baseline,1284014815.9214475,1283592549.2376828,588694.384046495,166427.70028183435,166427.70028183435,422266.6837646606,1283426121.537401
BRZEŻAŃSKI,1924,baseline,1086166860.130718,1086071718.7317963,123605.96301353733,28464.564091817898,28464.564091817898,95141.39892171943,1086043254.1677043
BRZOZOWSKI,1924,baseline,1123845331.5905335,1123601307.2717414,259863.75988517606,15839.441092940957,15839.441092940957,244024.3187922351,1123585467.8306484
BUCZACKI,1924,baseline,1061621789.0565437,1061533964.4554517,108767.69870655087,20943.097614500202,20943.097614500202,87824.60109205067,1061513021.3578372
BYDGOSKI,1924,baseline,1306091317.7224133,1305712188.6353195,414037.54744209757,34908.46034839985,34908.46034839985,379129.0870936977,1305677280.174971
BÓBRECKI,1924,baseline,1095974610.4788718,1095801956.595688,202856.06137831137,30202.178194506847,30202.178194506847,172653.88318380452,1095771754.4174936
BĘDZIŃSKI,1924,baseline,1299630833.6275744,1299126482.0703855,548841.7292931597,44490.172104224155,44490.172104224155,504351.55718893546,1299081991.8982813
BŁOŃSKI,1924,baseline,1238760659.4046283,1238360523.9229412,447654.61790127534,47519.13621418867,47519.13621418867,400135.4816870867,1238313004.786727
CHEŁMIŃSKI,1924,baseline,1249159667.5139875,1248938619.3230557,250660.82421496577,29612.633283164974,29612.633283164974,221048.1909318008,1248909006.6897726
CHEŁMSKI,1924,baseline,1119612511.2912412,1119504060.0207818,135803.07165457253,27351.801195081174,27351.801195081174,108451.27045949135,1119476708.2195866
CHODZIESKI,1924,baseline,1342232151.5761073,1342057207.6317585,203558.51903744478,28614.574688648503,28614.574688648503,174943.94434879627,1342028593.0570698
CHOJNICKI,1924,baseline,1231864827.2606013,1231798251.8636918,86874.17820750977,20298.781297953483,20298.781297953483,66575.3969095563,1231777953.082394
CHORZÓW,1924,baseline,1399732879.7778816,1337496663.2026432,63922629.723724246,1686413.1484857816,1686413.1484857816,62236216.575238466,1335810250.0541573
CHRZANOWSKI,1924,baseline,1282221285.0132844,1281594392.798808,743146.5262668376,116254.31179053443,116254.31179053443,626892.2144763032,1281478138.4870176
CIECHANOWSKI,1924,baseline,1184962677.9435153,1184728600.8655467,282810.34119099687,48733.26322235878,48733.26322235878,234077.0779686381,1184679867.6023242
CIESZYŃSKI,1924,baseline,1212666543.404533,1212005659.760608,712333.4980083101,51449.85408320616,51449.85408320616,660883.6439251039,1211954209.9065247
CZARNKOWSKI,1924,baseline,1340030681.2157295,1339886773.6731584,162620.97157030186,18713.428999268603,18713.428999268603,143907.54257103326,1339868060.2441592
CZORTKOWSKI,1924,baseline,1055994497.6468372,1055807322.5526074,214642.68139618728,27467.587166396894,27467.587166396894,187175.09422979038,1055779854.965441
CZĘSTOCHOWSKI,1924,baseline,1267866600.2597427,1267523560.2580402,369711.37891576387,26671.377213207437,26671.377213207437,343040.00170255644,1267496888.880827
DOBROMILSKI,1924,baseline,1120836872.3895402,1120711724.8130488,149224.2740735024,24076.697582360375,24076.697582360375,125147.57649114201,1120687648.1154666
DOLIŃSKI,1924,baseline,1100674059.544934,1100618188.1177812,75540.69719329232,19669.270040418447,19669.270040418447,55871.427152873875,1100598518.8477407
DROHICKI,1924,baseline,1033326390.7991495,1033287242.6719122,49108.34134741726,9960.214110086496,9960.214110086496,39148.127237330766,1033277282.457802
DROHOBYCKI,1924,baseline,1116925597.9015572,1116629967.8471494,330229.28808262036,34599.23367470739,34599.23367470739,295630.05440791295,1116595368.6134746
DUBIEŃSKI,1924,baseline,1018093095.6683818,1018032844.6288365,70967.95249983676,10716.912954522555,10716.912954522555,60251.0395453142,1018022127.715882
DZIAŁDOWSKI,1924,baseline,1190118450.6735268,1190035129.4427888,95463.78660841897,12142.5558705283,12142.5558705283,83321.23073789067,1190022986.8869183
DZIŚNIEŃSKI,1924,baseline,888528612.7866977,888492700.3925952,40601.9091227421,4689.515020170958,4689.515020170958,35912.39410257114,888488010.877575
DĄBROWSKI,1924,baseline,1165650919.8431742,1165530618.3079977,164418.9044849364,44117.369308436515,44117.369308436515,120301.53517649989,1165486500.9386892
GARWOLIŃSKI,1924,baseline,1186666239.7732646,1186581979.873341,148241.65281801694,63981.75289434889,63981.75289434889,84259.89992366804,1186517998.1204467
GNIEŹNIEŃSKI,1924,baseline,1403587631.5903614,1403281552.080056,370429.1539560553,64349.643650565944,64349.643650565944,306079.51030548936,1403217202.4364054
GORLICKI,1924,baseline,1148448418.507153,1148303908.1925228,178638.17219794192,34127.85756776908,34127.85756776908,144510.31463017286,1148269780.334955
GOSTYNIŃSKI,1924,baseline,1262444407.042333,1262227249.5524194,282904.3249818346,65746.83506841752,65746.83506841752,217157.4899134171,1262161502.717351
GOSTYŃSKI,1924,baseline,1419856928.242932,1419597019.4031696,311028.0281875957,51119.18842510709,51119.18842510709,259908.8397624886,1419545900.2147446
GRODZIEŃSKI,1924,baseline,1042660190.3449138,1042613592.9524744,58614.718128832246,12017.325689259258,12017.325689259258,46597.392439572985,1042601575.626785
GRUDZIĄDZKI,1924,baseline,1246189947.6278708,1245826638.765886,399896.4034370133,36587.54145223616,36587.54145223616,363308.8619847771,1245790051.224434
GRÓDECKI,1924,baseline,1099096340.928892,1098965962.077153,232907.44655555737,102528.59481672356,102528.59481672356,130378.8517388338,1098863433.4823363
GRÓJECKI,1924,baseline,1172419234.725463,1172241249.7389357,322711.04554262734,144726.0590155891,144726.0590155891,177984.98652703827,1172096523.6799202
HOROCHOWSKI,1924,baseline,1043312368.2992632,1043161093.5178611,155759.7009290943,4484.91952690725,4484.91952690725,151274.78140218707,1043156608.5983342
HORODEŃSKI,1924,baseline,1067053264.3438344,1066924131.5926361,141647.35005507676,12514.598856791716,12514.598856791716,129132.75119828504,1066911616.9937793
HRUBIESZOWSKI,1924,baseline,1076702838.888865,1076590392.3704107,132962.4185832804,20515.900129189322,20515.900129189322,112446.51845409107,1076569876.4702816
INOWROCŁAWSKI,1924,baseline,1324291189.7173333,1323988678.5666056,347876.65457718656,45365.50384947587,45365.50384947587,302511.1507277107,1323943313.062756
IWACEWICKI,1924,baseline,1017767145.0986272,1017733143.463872,42677.96647180174,8676.33171653431,8676.33171653431,34001.63475526743,1017724467.1321554
IŁŻECKI,1924,baseline,1197654471.602903,1197526234.385671,155750.26478298893,27513.047550986645,27513.047550986645,128237.21723200228,1197498721.33812
JANOWSKI,1924,baseline,1137837877.5798013,1137758883.141712,105164.31844801498,26169.880358647028,26169.880358647028,78994.43808936795,1137732713.2613533
JAROCIŃSKI,1924,baseline,1377478242.0219047,1377262827.856152,259920.07872592227,44505.91297306635,44505.91297306635,215414.16575285592,1377218321.943179
