scenario,year,District,avg_distance_km,avg_distance_miles,avg_distance_minutes
baseline,1924,AUGUSTOWSKI,536.3674245086698,333.28316293437666,
baseline,1924,BARANOWICKI,512.2832994992413,318.317986093143,
baseline,1924,BIALSKI (BIAŁA KRAKOWSKA),444.8961823209365,276.44558570494263,
baseline,1924,BIALSKI (BIAŁA PODLASKA),365.7454889232459,227.26364019772623,
baseline,1924,BIAŁOSTOCKI,410.7412758988412,255.22271734653884,
baseline,1924,BIELSKI (BIELSK PODLASKI),402.57882404783885,250.15080647742968,
baseline,1924,BIELSKO,452.04351233680575,280.8867293042333,
baseline,1924,BIŁGORAJSKI,402.41018460758613,250.0460188198004,
baseline,1924,BOCHEŃSKI,411.7035125279545,255.82062328300762,
baseline,1924,BORSZCZOWSKI,614.1266839616277,381.60051173992053,
baseline,1924,BRASŁAWSKI,763.1891268679001,474.22359095103394,
baseline,1924,BRODNICKI,445.0051081550995,276.51326905944234,
baseline,1924,BRODZKI,465.2334625040024,289.08258182957445,
baseline,1924,BRZESKI (BRZESKO),410.5588154600965,255.10934172125565,
baseline,1924,BRZESKI (BRZEŚĆ N.BUG.),368.9530062659282,229.25669845646607,
baseline,1924,BRZEZIŃSKI,351.08427970674154,218.1535899656577,
baseline,1924,BRZEŻAŃSKI,484.5420644108913,301.08038710505997,
baseline,1924,BRZOZOWSKI,409.44404834350195,254.41665776325016,
baseline,1924,BUCZACKI,546.986992749416,339.8818546716974,
baseline,1924,BYDGOSKI,488.59678861368127,303.59987513767175,
baseline,1924,BÓBRECKI,458.89473257492176,285.1438788748117,
baseline,1924,BĘDZIŃSKI,425.56221393174116,264.43201843297993,
baseline,1924,BŁOŃSKI,382.090070418287,237.4196891458814,
baseline,1924,CHEŁMIŃSKI,483.31278295153896,300.3165472553807,
baseline,1924,CHEŁMSKI,357.29025861187677,222.00980528392049,
baseline,1924,CHODZIESKI,542.8349823908658,337.30191584319465,
baseline,1924,CHOJNICKI,542.14726884987,336.87459059251256,
