scenario,District,avg_distance_km_1924,avg_distance_km_1938,change_ratio_km_1938_vs_1924,proportional_change_km_1938_vs_1924,avg_distance_miles_1924,avg_distance_miles_1938,change_ratio_miles_1938_vs_1924,proportional_change_miles_1938_vs_1924,avg_distance_minutes_1924,avg_distance_minutes_1938,change_ratio_minutes_1938_vs_1924,proportional_change_minutes_1938_vs_1924
baseline,AUGUSTOWSKI,536.3674245086698,526.1234507802271,0.9809012008180278,-0.019098799181972183,333.28316293437666,326.9178547347605,0.9809012008180279,-0.019098799181972114,,,,
baseline,BARANOWICKI,512.2832994992413,504.61488594171004,0.9850309124560042,-0.014969087543995892,318.317986093143,313.5530562924863,0.9850309124560042,-0.014969087543995866,,,,
baseline,BIALSKI (BIAŁA KRAKOWSKA),444.8961823209365,412.11162222868563,0.9263096394281916,-0.07369036057180846,276.44558570494263,256.0742108158606,0.9263096394281916,-0.07369036057180847,,,,
baseline,BIALSKI (BIAŁA PODLASKA),365.7454889232459,359.87580854113907,0.9839514619868938,-0.016048538013106194,227.26364019772623,223.6163910290161,0.9839514619868938,-0.01604853801310628,,,,
baseline,BIAŁOSTOCKI,410.7412758988412,400.948815422618,0.9761590542494324,-0.023840945750567614,255.22271734653884,249.13796638796757,0.9761590542494324,-0.023840945750567586,,,,
baseline,BIELSKI (BIELSK PODLASKI),402.57882404783885,396.8329171787133,0.9857272501038385,-0.014272749896161415,250.15080647742968,246.58046658025424,0.9857272501038385,-0.014272749896161476,,,,
baseline,BIELSKO,452.04351233680575,417.83030569148104,0.9243143509162159,-0.07568564908378408,280.8867293042333,259.62763487782127,0.9243143509162159,-0.07568564908378406,,,,
baseline,BIŁGORAJSKI,402.41018460758613,398.19977833516083,0.9895370285507781,-0.010462971449221937,250.0460188198004,247.42979446389722,0.9895370285507781,-0.01046297144922189,,,,
baseline,BOCHEŃSKI,411.7035125279545,380.05208941754915,0.9231208329604518,-0.07687916703954822,255.82062328300762,236.15334685347193,0.9231208329604518,-0.07687916703954825,,,,
baseline,BORSZCZOWSKI,614.1266839616277,606.602670909548,0.9877484348936875,-0.012251565106312498,381.60051173992053,376.9253082257367,0.9877484348936875,-0.012251565106312506,,,,
baseline,BRASŁAWSKI,763.1891268679001,752.0556278346791,0.9854118741459112,-0.014588125854088745,474.22359095103394,467.3055575232624,0.9854118741459114,-0.014588125854088668,,,,
baseline,BRODNICKI,445.0051081550995,423.34154995388826,0.9513184055548847,-0.048681594445115314,276.51326905944234,263.0521622363975,0.9513184055548847,-0.04868159444511528,,,,
baseline,BRODZKI,465.2334625040024,457.78132097614736,0.9839819313775373,-0.01601806862246266,289.08258182957445,284.45203719626966,0.9839819313775373,-0.016018068622462637,,,,
baseline,BRZESKI (BRZESKO),410.5588154600965,390.24630955301274,0.950524735696345,-0.04947526430365499,255.10934172125565,242.4877396132651,0.950524735696345,-0.04947526430365496,,,,
baseline,BRZESKI (BRZEŚĆ N.BUG.),368.9530062659282,363.3894570405978,0.9849207104134005,-0.015079289586599537,229.25669845646607,225.7996703107733,0.9849207104134006,-0.015079289586599456,,,,
baseline,BRZEZIŃSKI,351.08427970674154,335.44411776594455,0.955451830671937,-0.04454816932806309,218.1535899656577,208.43524690034272,0.9554518306719368,-0.04454816932806311,,,,
baseline,BRZEŻAŃSKI,484.5420644108913,476.69668340396,0.9838086688789965,-0.016191331121003502,301.08038710505997,296.205494863402,0.9838086688789964,-0.01619133112100357,,,,
baseline,BRZOZOWSKI,409.44404834350195,399.85726960564347,0.9765858637422037,-0.023414136257796276,254.41665776325016,248.45971147212828,0.9765858637422037,-0.02341413625779635,,,,
baseline,BUCZACKI,546.986992749416,539.4177342606107,0.986161904050481,-0.013838095949519057,339.8818546716974,335.1785369552499,0.9861619040504808,-0.013838095949519192,,,,
baseline,BYDGOSKI,488.59678861368127,451.9857906285285,0.9250690982046139,-0.07493090179538611,303.59987513767175,280.8508627086394,0.9250690982046139,-0.07493090179538604,,,,
baseline,BÓBRECKI,458.89473257492176,452.3548950458603,0.9857487195541219,-0.014251280445878135,285.1438788748117,281.0802134895413,0.9857487195541219,-0.014251280445878107,,,,
baseline,BĘDZIŃSKI,425.56221393174116,386.5040810109282,0.9082199226290383,-0.09178007737096172,264.43201843297993,240.16242732184148,0.9082199226290384,-0.09178007737096164,,,,
baseline,BŁOŃSKI,382.090070418287,335.64989711138855,0.8784575237559594,-0.12154247624404056,237.4196891458814,208.5631122180006,0.8784575237559594,-0.12154247624404055,,,,
baseline,CHEŁMIŃSKI,483.31278295153896,452.10549534467594,0.9354304526847325,-0.06456954731526753,300.3165472553807,280.92524374781664,0.9354304526847325,-0.06456954731526755,,,,
baseline,CHEŁMSKI,357.29025861187677,353.19547574306347,0.9885393380588597,-0.01146066194114026,222.00980528392049,219.4654259579431,0.9885393380588597,-0.011460661941140265,,,,
baseline,CHODZIESKI,542.8349823908658,502.50598643260366,0.9257067114933587,-0.07429328850664124,337.30191584319465,312.2426472956134,0.9257067114933588,-0.0742932885066412,,,,
baseline,CHOJNICKI,542.14726884987,517.6178920186392,0.954755140824986,-0.045244859175013995,336.87459059251256,321.6327471815138,0.9547551408249859,-0.045244859175014036,,,,
baseline,CHORZÓW,419.810677497086,383.0002529446331,0.9123166071622645,-0.08768339283773556,260.8581804870418,237.98525017245962,0.9123166071622645,-0.08768339283773548,,,,
baseline,CHRZANOWSKI,409.12977530817307,381.85474847726834,0.9333340458773501,-0.06666595412264989,254.2213776130148,237.2734669160687,0.9333340458773501,-0.06666595412264982,,,,
baseline,CIECHANOWSKI,393.96131002234114,380.98057529557525,0.9670507372258719,-0.03294926277412816,244.79613316989213,236.73028105198688,0.9670507372258719,-0.03294926277412818,,,,
baseline,CIESZYŃSKI,472.37689929427324,437.30966920719845,0.9257642993561604,-0.07423570064383951,293.52130629138185,271.7315464649461,0.9257642993561606,-0.07423570064383943,,,,
baseline,CZARNKOWSKI,562.1391616386552,526.3200335144744,0.9362806746646741,-0.06371932533532584,349.29697300657284,327.04000554492245,0.936280674664674,-0.06371932533532598,,,,
baseline,CZORTKOWSKI,559.7400668211055,552.0271034515449,0.9862204551241716,-0.0137795448758284,347.80624506069717,343.0136332987899,0.9862204551241716,-0.01377954487582846,,,,
baseline,CZĘSTOCHOWSKI,402.0131120263818,387.2701311859708,0.9633271144662477,-0.03667288553375222,249.7992894329449,240.63842868515786,0.9633271144662477,-0.03667288553375227,,,,
baseline,DOBROMILSKI,421.4723810486623,412.77440259843956,0.9793628744341886,-0.02063712556581142,261.89071488458836,256.486043316995,0.9793628744341886,-0.02063712556581142,,,,
baseline,DOLIŃSKI,478.0578390394837,469.3885857154027,0.9818656810617323,-0.018134318938267637,297.05127750180304,291.6644548945655,0.9818656810617323,-0.018134318938267655,,,,
baseline,DROHICKI,465.2129972330051,459.63234100891697,0.9880040835976621,-0.01199591640233785,289.06986530366964,285.60220736505175,0.9880040835976621,-0.011995916402337872,,,,
baseline,DROHOBYCKI,435.27934679533445,426.7494985690858,0.9804037377627767,-0.01959626223722332,270.46996299756375,265.16976267537143,0.9804037377627768,-0.019596262237223237,,,,
baseline,DUBIEŃSKI,493.7876348291246,487.9571169609275,0.9881922562313357,-0.011807743768664326,306.825316441408,303.2024017231285,0.9881922562313357,-0.011807743768664352,,,,
baseline,DZIAŁDOWSKI,434.46953002193453,418.5781689081367,0.9634235314200388,-0.03657646857996124,269.9667663392595,260.0923353926178,0.9634235314200388,-0.036576468579961254,,,,
baseline,DZIŚNIEŃSKI,752.3299838697255,744.2546086758904,0.9892661792471726,-0.010733820752827392,467.47603440711526,462.45823044754667,0.9892661792471725,-0.0107338207528275,,,,
baseline,DĄBROWSKI,410.1526745790077,391.6066971897115,0.9547827466727303,-0.045217253327269655,254.85697755583257,243.33304503946823,0.9547827466727304,-0.045217253327269585,,,,
baseline,GARWOLIŃSKI,341.5436633696993,335.8912008673415,0.9834502492401994,-0.01654975075980061,212.22532765169342,208.71305137414086,0.9834502492401993,-0.016549750759800665,,,,
baseline,GNIEŹNIEŃSKI,463.8722171198292,438.7281443247092,0.9457952602739631,-0.05420473972603685,288.2367434239654,272.6129457671889,0.9457952602739632,-0.05420473972603684,,,,
baseline,GORLICKI,424.9865391669819,404.6464742786662,0.9521395079284525,-0.047860492071547474,264.0743108287267,251.4355843690091,0.9521395079284526,-0.0478604920715474,,,,
baseline,GOSTYNIŃSKI,405.4211716496652,385.1338374920774,0.9499598551426451,-0.0500401448573549,251.91695884912411,239.31099773628964,0.9499598551426451,-0.050040144857354876,,,,
