scenario,year,District,avg_inverse_distance
baseline,1924,AUGUSTOWSKI,0.003529727028549723
baseline,1924,BARANOWICKI,0.003977064595392107
baseline,1924,BIALSKI (BIAŁA KRAKOWSKA),0.00543499873645822
baseline,1924,BIALSKI (BIAŁA PODLASKA),0.005208684538144874
baseline,1924,BIAŁOSTOCKI,0.004845301923607056
baseline,1924,BIELSKI (BIELSK PODLASKI),0.004735839539037447
baseline,1924,BIELSKO,0.005228211697860671
baseline,1924,BIŁGORAJSKI,0.004925441698897414
baseline,1924,BOCHEŃSKI,0.0057006021875424875
baseline,1924,BORSZCZOWSKI,0.0034694640176810895
baseline,1924,BRASŁAWSKI,0.0023660388781059135
baseline,1924,BRODNICKI,0.00515469845913397
baseline,1924,BRODZKI,0.004806004653955109
baseline,1924,BRZESKI (BRZESKO),0.005647497574377197
baseline,1924,BRZESKI (BRZEŚĆ N.BUG.),0.005263393168302922
baseline,1924,BRZEZIŃSKI,0.006187150218696666
baseline,1924,BRZEŻAŃSKI,0.005046983454967185
baseline,1924,BRZOZOWSKI,0.005062448047442335
baseline,1924,BUCZACKI,0.0044656058744593115
baseline,1924,BYDGOSKI,0.0053115460508570845
baseline,1924,BÓBRECKI,0.005307010211890463
baseline,1924,BĘDZIŃSKI,0.005653476397055861
baseline,1924,BŁOŃSKI,0.005369340637250635
baseline,1924,CHEŁMIŃSKI,0.00492373003927194
baseline,1924,CHEŁMSKI,0.005559717396265502
baseline,1924,CHODZIESKI,0.004697123141272627
baseline,1924,CHOJNICKI,0.004415199218430886
baseline,1924,CHORZÓW,0.007281471987719291
baseline,1924,CHRZANOWSKI,0.005987368122010789
baseline,1924,CIECHANOWSKI,0.005239931681158785
baseline,1924,CIESZYŃSKI,0.0046860896659557515
baseline,1924,CZARNKOWSKI,0.004253576863289791
baseline,1924,CZORTKOWSKI,0.004553548190668175
baseline,1924,CZĘSTOCHOWSKI,0.0051728762363953
baseline,1924,DOBROMILSKI,0.0053362780211274365
baseline,1924,DOLIŃSKI,0.004842631172563612
baseline,1924,DROHICKI,0.004009015308672882
baseline,1924,DROHOBYCKI,0.005452548113302701
baseline,1924,DUBIEŃSKI,0.004314420264758406
baseline,1924,DZIAŁDOWSKI,0.0048643751090713195
baseline,1924,DZIŚNIEŃSKI,0.002535490177408771
