scenario,District,avg_inverse_distance_1924,avg_inverse_distance_1938,avg_inverse_distance_change_ratio_1938_vs_1924,avg_inverse_distance_proportional_change_1938_vs_1924
baseline,AUGUSTOWSKI,0.003529727028549723,0.0035869979555534426,1.0162253133289036,0.01622531332890366
baseline,BARANOWICKI,0.003977064595392107,0.0040193928393685765,1.0106430868700276,0.010643086870027652
baseline,BIALSKI (BIAŁA KRAKOWSKA),0.00543499873645822,0.005757823424894984,1.0593973805865384,0.059397380586538435
baseline,BIALSKI (BIAŁA PODLASKA),0.005208684538144874,0.0052814667024042,1.0139732333041709,0.013973233304170935
baseline,BIAŁOSTOCKI,0.004845301923607056,0.004943643732515851,1.0202963221816288,0.020296322181628895
baseline,BIELSKI (BIELSK PODLASKI),0.004735839539037447,0.004797534557857531,1.0130272612303548,0.013027261230354827
baseline,BIELSKO,0.005228211697860671,0.0056507646382986795,1.080821696759317,0.08082169675931687
baseline,BIŁGORAJSKI,0.004925441698897414,0.004960129853321613,1.0070426484658146,0.007042648465814544
baseline,BOCHEŃSKI,0.0057006021875424875,0.006026515009469422,1.0571716480478415,0.057171648047841556
baseline,BORSZCZOWSKI,0.0034694640176810895,0.0034855377290039474,1.0046329090721053,0.004632909072105395
baseline,BRASŁAWSKI,0.0023660388781059135,0.002432181183726548,1.0279548684650455,0.027954868465045503
baseline,BRODNICKI,0.00515469845913397,0.005792367375742907,1.1237063470665305,0.12370634706653058
baseline,BRODZKI,0.004806004653955109,0.004825515500299084,1.004059681117437,0.004059681117436875
baseline,BRZESKI (BRZESKO),0.005647497574377197,0.005787664646778266,1.0248193240554913,0.024819324055491296
baseline,BRZESKI (BRZEŚĆ N.BUG.),0.005263393168302922,0.0053218427794907795,1.011104929713374,0.01110492971337415
baseline,BRZEZIŃSKI,0.006187150218696666,0.0065515450790052925,1.058895428012638,0.058895428012638
baseline,BRZEŻAŃSKI,0.005046983454967185,0.005075460180533234,1.0056423259200546,0.005642325920054703
baseline,BRZOZOWSKI,0.005062448047442335,0.005120310999371652,1.0114298361952672,0.011429836195267225
baseline,BUCZACKI,0.0044656058744593115,0.0044869445061378995,1.0047784404352906,0.0047784404352906856
baseline,BYDGOSKI,0.0053115460508570845,0.0058164515790701315,1.0950581098946839,0.0950581098946839
baseline,BÓBRECKI,0.005307010211890463,0.005301296132683509,0.9989232959842151,-0.0010767040157848953
baseline,BĘDZIŃSKI,0.005653476397055861,0.006223018997189907,1.100742014317181,0.10074201431718108
baseline,BŁOŃSKI,0.005369340637250635,0.006471316986997647,1.2052349486083784,0.2052349486083784
baseline,CHEŁMIŃSKI,0.00492373003927194,0.005417656572151318,1.1003155187103666,0.10031551871036656
baseline,CHEŁMSKI,0.005559717396265502,0.00560628303292297,1.0083755402187793,0.008375540218779223
baseline,CHODZIESKI,0.004697123141272627,0.004979724367154967,1.0601647470978952,0.06016474709789532
baseline,CHOJNICKI,0.004415199218430886,0.004645406963538698,1.0521398319121884,0.05213983191218838
baseline,CHORZÓW,0.007281471987719291,0.0077898761742088134,1.0698216222416266,0.0698216222416266
baseline,CHRZANOWSKI,0.005987368122010789,0.0063119964909382,1.0542188758586615,0.054218875858661586
baseline,CIECHANOWSKI,0.005239931681158785,0.005491939420349041,1.048093707041334,0.048093707041333984
baseline,CIESZYŃSKI,0.0046860896659557515,0.005090957658365871,1.0863978330059427,0.08639783300594275
