scenario,District,log_change_ma_total,log_change_ma_total_no_self,log_change_ma_domestic,log_change_ma_domestic_no_self,log_change_ma_foreign
baseline,AUGUSTOWSKI,0.9777251077737361,0.97773596295999,0.6433137268659745,0.4721977783359659,0.9777404417202504
baseline,BARANOWICKI,1.0796690634039763,1.0796835008476684,0.5855170727382735,0.5230327339925847,1.079689697910844
baseline,BIALSKI (BIAŁA KRAKOWSKA),0.8935366171552914,0.893841889339253,0.29597761005643797,0.3818051349204765,0.8938824868379278
baseline,BIALSKI (BIAŁA PODLASKA),0.9743543367632341,0.9743787823343553,0.5891151679932634,0.5600635730186507,0.9743861061224166
baseline,BIAŁOSTOCKI,0.9774842348218016,0.9775502064947297,0.3749369626715442,0.5805747231499936,0.9775567538657519
baseline,BIELSKI (BIELSK PODLASKI),0.9799240924366153,0.9799322175614513,0.6208018727330842,0.5165884443581614,0.9799391953494272
baseline,BIELSKO,0.8927066487548636,0.8944082014792976,-0.014177943267647208,0.6791061645994816,0.8944221888713138
baseline,BIŁGORAJSKI,0.9680125493078506,0.9680181957895719,0.7961809732955931,0.6078502399940522,0.9680234853522833
baseline,BOCHEŃSKI,0.9157587535277507,0.9157981672016398,0.5092091500695162,0.4541942937071699,0.9158243050499415
baseline,BORSZCZOWSKI,0.9844918862161265,0.984507123263672,0.7882671188983732,0.5849017745251253,0.9845088086897533
baseline,BRASŁAWSKI,0.9917472417581266,0.9917555612428828,0.6926946314983216,0.5938587420397923,0.9917564239173409
baseline,BRODNICKI,0.8716916612198133,0.8717227176189262,0.6990469162617678,1.0825221442100048,0.8717182563615751
baseline,BRODZKI,1.0563482435146518,1.0563886822938962,0.5504910787128665,0.6085001046169403,1.0563932354302565
baseline,BRZESKI (BRZESKO),0.9217227481088521,0.9217955089704724,0.3408977783286904,0.5708429947730966,0.9218083304721425
baseline,BRZESKI (BRZEŚĆ N.BUG.),0.9950476950771403,0.9950629551122674,0.5140246125294183,0.5717816307286743,0.9950699363688749
baseline,BRZEZIŃSKI,0.8667577269929971,0.8668903115774036,0.4490748733473051,0.662099811449167,0.8669143246805966
baseline,BRZEŻAŃSKI,0.9589123452575166,0.9589317103018722,0.673883283131385,0.5463077228901287,0.958940571376079
baseline,BRZOZOWSKI,0.9318503462952066,0.9319409286409126,0.3966917630407263,0.46478921718686195,0.9319461899243109
baseline,BUCZACKI,0.9695679968342432,0.9695751422002594,0.8177215967529445,0.5083548141082215,0.969582431944616
baseline,BYDGOSKI,0.8494305812957954,0.8495529577865817,0.3461661126664861,0.7299520098035135,0.8495559716017524
baseline,BÓBRECKI,0.964690489556542,0.9647691964251877,0.29539959603515165,0.41746028557517256,0.9647808138149045
baseline,BĘDZIŃSKI,0.8887051267680981,0.8885531019171289,1.23667397845219,1.4166033191536478,0.8885292783592185
baseline,BŁOŃSKI,0.8977411148510512,0.8978103067495837,1.1571185434732119,2.619230118176633,0.897634059622046
baseline,CHEŁMIŃSKI,0.8671651995613132,0.8672022558142345,0.6569735521616256,0.8245230569520494,0.8672032464809369
baseline,CHEŁMSKI,0.9896876508547194,0.9897321856154377,0.4129619406096108,0.554016404340647,0.9897408151585978
baseline,CHODZIESKI,0.8324738306941448,0.8325084800339546,0.5229816734158153,0.5199071221563916,0.8325142040583806
baseline,CHOJNICKI,0.8495502279242864,0.8495490674707682,0.8282301865663513,0.674363970020611,0.8495517156560659
baseline,CHORZÓW,0.8626440570453973,0.8870296510563165,0.1600138602082133,1.2320464742636794,0.886509363053154
baseline,CHRZANOWSKI,0.8901164305689697,0.8901853638911561,0.707138233631321,0.5205746145527197,0.8902133953493276
baseline,CIECHANOWSKI,0.895853552841757,0.8959674877437642,0.149643850464118,0.565125528403021,0.8959790749839804
baseline,CIESZYŃSKI,0.8994964744560647,0.8997323473823258,0.38017902900179124,0.846935830636605,0.8997345305573532
baseline,CZARNKOWSKI,0.8275987278620747,0.8276258607341269,0.5329752596333108,0.5062169553407116,0.8276296997781323
baseline,CZORTKOWSKI,0.9828845716796799,0.9829473640594664,0.5534152241388579,0.6050515250560817,0.9829555513370032
baseline,CZĘSTOCHOWSKI,0.8621229332959324,0.8621807001254744,0.6574914049899352,1.0278307487088334,0.8621769090903335
baseline,DOBROMILSKI,0.9432855135769351,0.9433322090324197,0.40426883396318836,0.417500727831726,0.9433409945243945
baseline,DOLIŃSKI,0.946409938202617,0.9464211864705341,0.6336603234189102,0.43219680353542955,0.9464283713995094
baseline,DROHICKI,1.0042183089224466,1.0042326276816773,0.5370834946413616,0.5663238557869477,1.004236045969062
baseline,DROHOBYCKI,0.9493967165116537,0.9495063780299127,0.4100303259844509,0.3703488941875879,0.94952000046462
baseline,DUBIEŃSKI,1.0993011658815952,1.0993286775122861,0.5160476903084668,0.7239269832251871,1.099331972377982
baseline,DZIAŁDOWSKI,0.88452028139357,0.8845168234341365,0.9495410339814949,1.0578642018468187,0.8845148920974637
baseline,DZIŚNIEŃSKI,1.0110575078688377,1.0110759862169374,0.39247997082200925,0.3321130611816887,1.0110785875563373
baseline,DĄBROWSKI,0.9184808924985646,0.9185144675895032,0.5357981183788727,0.5646597466036507,0.9185257486460578
baseline,GARWOLIŃSKI,0.9178962867273448,0.9179112179827165,0.6876673374511562,0.6952996129647993,0.9179219797636229
baseline,GNIEŹNIEŃSKI,0.8309695285757073,0.8310938309078253,0.08461560549642755,0.45037294133558703,0.8311083510903821
baseline,GORLICKI,0.9268136791230788,0.9268546440651484,0.5198844242847205,0.4623649413460811,0.9268656867141729
baseline,GOSTYNIŃSKI,0.8714565373884007,0.8715539781426607,0.1609494226421173,0.4891610315053896,0.8715705310173973
baseline,GOSTYŃSKI,0.8272177366708604,0.8272850964638003,0.3767012543655497,0.4175332121983466,0.8272972027322716
baseline,GRODZIEŃSKI,0.9853733734832559,0.9853901687777515,0.5148045138158892,0.5175543730081547,0.985394475492491
baseline,GRUDZIĄDZKI,0.8610093255390332,0.8610386063598803,0.755853633671256,0.7623740249529565,0.8610413656695748
baseline,GRÓDECKI,0.9828389600348935,0.9828959584436419,0.33921474431581444,0.35324912696670197,0.9829395510974663
baseline,GRÓJECKI,0.9296062873402491,0.9296795790505961,0.4386277545657329,0.6129214865499861,0.9297131014249196
baseline,HOROCHOWSKI,1.0409014728187636,1.0410043626439816,-0.08411585615096406,1.431528968684093,1.041002308591274
baseline,HORODEŃSKI,0.9502171925729002,0.9502542724759877,0.5790406301058635,0.5219605550669311,0.9502583588755016
baseline,HRUBIESZOWSKI,0.9980504109255968,0.9980836322301236,0.6123276300794309,0.5963464426717131,0.9980899370034919
baseline,INOWROCŁAWSKI,0.85676779098549,0.8568871072798494,0.19624907675710013,0.6024642401650961,0.8568948045071352
baseline,IWACEWICKI,1.0277446256725966,1.02776009489655,0.43691251936624376,0.5498179638518117,1.0277633339822927
