scenario,year,origin_district,rank_nearest,dest_district,distance_km,distance_miles,distance_minutes,domestic_contribution
baseline,1924,AUGUSTOWSKI,1,SUWALSKI,49.201213317671105,30.572207120414614,,4831.142847829696
baseline,1924,AUGUSTOWSKI,2,GRODZIEŃSKI,98.47662939999206,61.19052168690247,,1211.8939024253878
baseline,1924,AUGUSTOWSKI,3,SOKÓLSKI,110.11566970936926,68.42268380298049,,355.46970842681475
baseline,1924,BARANOWICKI,1,NIEŚWIESKI,57.31108556952605,35.61144655142197,,3095.061866964133
baseline,1924,BARANOWICKI,2,SŁONIMSKI,62.63676588116466,38.92066985234517,,1986.2334129360715
baseline,1924,BARANOWICKI,3,NOWOGRÓDZKI,78.70824274207365,48.90701950088505,,1340.9911156249068
baseline,1924,BIALSKI (BIAŁA KRAKOWSKA),1,BIELSKO,34.948619437749734,21.71605860865399,,49418.30668105474
baseline,1924,BIALSKI (BIAŁA KRAKOWSKA),2,ŻYWIECKI,40.3088731205362,25.046764799780696,,10189.328719733401
baseline,1924,BIALSKI (BIAŁA KRAKOWSKA),3,CIESZYŃSKI,46.61783383003929,28.96697002480534,,9752.255871458961
baseline,1924,BIALSKI (BIAŁA PODLASKA),1,BRZESKI (BRZEŚĆ N.BUG.),52.23667721981892,32.458356360756106,,6338.65108978533
baseline,1924,BIALSKI (BIAŁA PODLASKA),2,ŁUKOWSKI,76.43542599619016,47.49475708667868,,1274.0449162997954
baseline,1924,BIALSKI (BIAŁA PODLASKA),3,RADZYŃSKI,94.70999429123742,58.85004386274049,,759.471129075054
baseline,1924,BIAŁOSTOCKI,1,WYSOKOMAZOWIECKI,51.916503841661424,32.259409908597,,2398.298940859494
baseline,1924,BIAŁOSTOCKI,2,SOKÓLSKI,59.60165317732872,37.034738836449925,,1831.1898763757615
baseline,1924,BIAŁOSTOCKI,3,BIELSKI (BIELSK PODLASKI),65.04215773189536,40.41531059202555,,3177.875684841638
