District,straight_line_to_center_km,straight_line_to_center_miles
AUGUSTOWSKI,246.321016647584,153.05673643532592
BARANOWICKI,304.37509244504184,189.1298555676681
BIALSKI (BIAŁA KRAKOWSKA),288.3602385621353,179.17868979559256
BIALSKI (BIAŁA PODLASKA),90.12465531383857,56.00084719701519
BIAŁOSTOCKI,180.1053021300782,111.91221168986883
BIELSKI (BIELSK PODLASKI),133.37371181228076,82.87455668250871
BIELSKO,303.92615636529854,188.85089970686192
BIŁGORAJSKI,145.51529856669973,90.41898658568877
BOCHEŃSKI,227.84465323617945,141.57606002601807
BORSZCZOWSKI,439.013817413331,272.7904547399389
BRASŁAWSKI,543.5913116059296,337.77187688388807
BRODNICKI,251.080634586677,156.0142249937581
BRODZKI,284.9107219886465,177.03526023280727
BRZESKI (BRZESKO),217.15292628932124,134.93253096132185
BRZESKI (BRZEŚĆ N.BUG.),123.89677921693146,76.98586559880393
BRZEZIŃSKI,157.96113002105727,98.15246532231438
BRZEŻAŃSKI,325.6031471306746,202.3203531357344
BRZOZOWSKI,220.9919666866369,137.31799933204226
BUCZACKI,377.0339011246332,234.27793217571445
BYDGOSKI,322.61524810103225,200.4637593277865
BÓBRECKI,287.7693912712431,178.81155442360358
BĘDZIŃSKI,239.19655291869583,148.62980128364293
BŁOŃSKI,108.91076795279093,67.67399279359365
CHEŁMIŃSKI,297.79263154575034,185.03970525621443
CHEŁMSKI,113.7024687377708,70.65141670205738
CHODZIESKI,375.52250065575936,233.33879175496986
CHOJNICKI,380.16883522578513,236.22588931308132
CHORZÓW,267.9699378356801,166.5087482428944
CHRZANOWSKI,254.61083214064735,158.20778737806617
CIECHANOWSKI,161.64675888533554,100.44260821533983
CIESZYŃSKI,319.7999302701922,198.71440247191958
CZARNKOWSKI,404.11562041332013,251.10572717184513
CZORTKOWSKI,400.48144137568585,248.84755370905128
CZĘSTOCHOWSKI,230.6982540650409,143.34920482664853
DOBROMILSKI,240.11993323036148,149.20356303128295
