District,weighted_distance_to_center_km_1924,weighted_distance_to_center_km_1929,weighted_distance_to_center_km_1931,weighted_distance_to_center_km_1938,weighted_distance_to_center_miles_1924,weighted_distance_to_center_miles_1929,weighted_distance_to_center_miles_1931,weighted_distance_to_center_miles_1938,change_ratio_km_1938_vs_1924,proportional_change_km_1938_vs_1924,change_ratio_miles_1938_vs_1924,proportional_change_miles_1938_vs_1924
AUGUSTOWSKI,359.5999355360629,359.48493065049047,359.4442561743897,359.0510315748645,223.44497154397894,223.37351084322592,223.3482369033367,223.10389854070513,0.9984735704683035,-0.0015264295316964644,0.9984735704683035,-0.0015264295316964657
BARANOWICKI,336.1849187539936,335.9641310637832,335.89175501681825,335.72641974482787,208.89555915108775,208.75836808323405,208.7133957065554,208.61066116326344,0.9986361702039905,-0.0013638297960095155,0.9986361702039905,-0.0013638297960094526
BIALSKI (BIAŁA KRAKOWSKA),343.77631689511594,344.074579487603,344.1792013620416,344.10720881445064,213.61263380543508,213.79796553079137,213.86297452953318,213.818240448244,1.0009625209855153,0.0009625209855152903,1.0009625209855153,0.0009625209855153218
BIALSKI (BIAŁA PODLASKA),96.73805746639523,96.67917281349928,96.66009968725614,96.5317417576952,60.110223505951474,60.07363429029686,60.06178280277003,59.98202490772083,0.9978672746372678,-0.0021327253627322603,0.9978672746372678,-0.002132725362732244
BIAŁOSTOCKI,221.29158862606243,221.30599877625315,221.31100415777635,221.20883958854623,137.50417571616504,137.5131297655992,137.51623996452165,137.45275786397457,0.9996260633400936,-0.0003739366599063894,0.9996260633400937,-0.00037393665990627465
BIELSKI (BIELSK PODLASKI),182.25521420238508,182.53701292161296,182.62599069895793,182.99536426095,113.24810470415022,113.42320625611556,113.47849446660219,113.70801248619077,1.0040610638318586,0.004061063831858456,1.0040610638318586,0.004061063831858469
BIELSKO,347.7462218385567,347.6924695527426,347.6724216526464,347.0452613869428,216.07941761004582,216.04601749845722,216.03356031472654,215.64386111326604,0.9979842758667287,-0.002015724133271385,0.9979842758667287,-0.002015724133271323
BIŁGORAJSKI,225.94459035058048,225.93269965623887,225.92843767333716,225.94109297743927,140.39541605073055,140.3880275180968,140.38537924551918,140.3932428844844,0.9999845211025598,-1.5478897440246398e-05,0.9999845211025598,-1.547889744030156e-05
BOCHEŃSKI,328.754149208624,328.7758700630676,328.78428419499085,304.310065288187,204.27829444791192,204.29179115695837,204.29701945452567,189.08944957818605,0.9256463105354601,-0.07435368946453988,0.9256463105354602,-0.07435368946453981
BORSZCZOWSKI,565.634336507847,565.5369197240169,565.5006538202374,565.598738928427,351.46877331021744,351.4082413458321,351.38570676493475,351.4466540066956,0.9999370660917797,-6.293390822028671e-05,0.9999370660917796,-6.293390822037623e-05
BRASŁAWSKI,613.7556732294706,613.7187779987106,613.7053999886966,613.6636996028683,381.3699764302694,381.3470508038368,381.3387380963764,381.3128266859339,0.999850146189088,-0.00014985381091206984,0.999850146189088,-0.00014985381091202295
BRODNICKI,310.4810153465969,310.46116309534847,310.4535672452949,309.2640854604995,192.92389898693025,192.9115633737198,192.90684353277612,192.16773404667603,0.9960805014608093,-0.003919498539190701,0.9960805014608094,-0.003919498539190574
BRODZKI,406.5670809688621,406.5653529376899,406.5647164318155,406.56270203231986,252.62899366870283,252.62791992024532,252.62752441395364,252.62627272452463,0.9999892294857424,-1.0770514257616451e-05,0.9999892294857423,-1.0770514257662423e-05
BRZESKI (BRZESKO),306.65343038086166,306.70244654691334,306.7212395803574,306.10457066822516,190.5455486891864,190.57600591330208,190.58768335928627,190.20450318068575,0.9982101628148923,-0.001789837185107693,0.9982101628148923,-0.0017898371851077025
BRZESKI (BRZEŚĆ N.BUG.),131.63063820296458,131.49511063076508,131.4579366913949,131.64933821096335,81.7914612908143,81.70724838774913,81.68414957986874,81.80308093348451,1.000142064250801,0.00014206425080109402,1.0001420642508012,0.0001420642508011618
BRZEZIŃSKI,220.24251644363864,219.8501596729618,219.71206572956837,219.67299831559131,136.85231268510017,136.60851356614796,136.52270599444762,136.49843063635728,0.9974141317614619,-0.002585868238538147,0.9974141317614619,-0.0025858682385381296
BRZEŻAŃSKI,415.2614434178826,415.2676566154822,415.26987500182685,415.29640621035117,258.0314183580131,258.0352790588188,258.03665749976017,258.05314322333214,1.0000841946514003,8.419465140028507e-05,1.0000841946514005,8.419465140044541e-05
BRZOZOWSKI,285.8898531574818,285.82636975863943,285.8018518680186,286.05817238720397,177.64366394631764,177.60421720329555,177.5889824970826,177.7482526344093,1.0005887555219717,0.0005887555219717427,1.0005887555219717,0.000588755521971629
BUCZACKI,501.21112444260683,501.2081448883384,501.20707934341004,501.1253184921301,311.43805760602703,311.4362061974117,311.43554409869404,311.38474027677336,0.9998288027813186,-0.00017119721868140504,0.9998288027813187,-0.0001711972186813473
BYDGOSKI,416.12395199467164,414.6205818169,414.099913493664,390.3001855143543,258.5673561748811,257.633205544149,257.3096773474715,242.52121657323985,0.9379421291263522,-0.062057870873647725,0.9379421291263522,-0.0620578708736478
BÓBRECKI,387.2545950394337,387.05671833179713,386.98654506018545,388.1845607360094,240.62877497424796,240.50582012654712,240.46221649059248,241.2066286890949,1.002401432309618,0.0024014323096179747,1.002401432309618,0.002401432309617976
BĘDZIŃSKI,302.8994715382793,302.8300897303316,302.80582595490586,296.5721240902399,188.21294752921213,188.1698356858259,188.1547588794258,184.28131731807647,0.9791107346080671,-0.02088926539193292,0.9791107346080671,-0.020889265391932907
BŁOŃSKI,252.92820417416897,252.65306131649461,252.55812570532632,158.67438749934288,157.16225115590754,156.99128536329158,156.93229512764432,98.5956628348542,0.627349520064113,-0.372650479935887,0.627349520064113,-0.3726504799358869
CHEŁMIŃSKI,401.54204119364124,401.4974970320674,401.4809054483343,379.84653658658783,249.50657967853405,249.47890122831274,249.4685916993369,236.02562228534467,0.9459695315027029,-0.054030468497297104,0.9459695315027029,-0.05403046849729711
CHEŁMSKI,160.3510370288463,160.37059788787033,160.3770435246848,160.43917733217003,99.63748422965125,99.64963878018388,99.65364391197693,99.69225205806782,1.0005496709279647,0.0005496709279646535,1.0005496709279647,0.0005496709279646209
CHODZIESKI,482.0258449508298,482.02021287155844,482.0180892414279,459.16181466490985,299.51688130294207,299.51338169221316,299.5120621300353,285.3098359401497,0.9525667958981489,-0.047433204101851145,0.9525667958981489,-0.04743320410185114
CHOJNICKI,454.3682357437328,453.97448707853647,453.82663764262776,452.2329708720589,282.33124501231896,282.0865810104773,281.99471165863724,281.0044533437421,0.9953005850680148,-0.004699414931985229,0.9953005850680149,-0.004699414931985136
