origin_district,dest_district,time_min
AUGUSTOWSKI,BARANOWICKI,1405.5075552240232
AUGUSTOWSKI,BIALSKI (BIAŁA KRAKOWSKA),2798.3483712283037
AUGUSTOWSKI,BIALSKI (BIAŁA PODLASKA),1421.839324068851
AUGUSTOWSKI,BIAŁOSTOCKI,814.085246946301
AUGUSTOWSKI,BIELSKI (BIELSK PODLASKI),1026.2204001649634
AUGUSTOWSKI,BIELSKO,2780.8862428702314
AUGUSTOWSKI,BIŁGORAJSKI,2026.805547911024
AUGUSTOWSKI,BOCHEŃSKI,2609.2707227232163
AUGUSTOWSKI,BORSZCZOWSKI,3389.3279224439843
AUGUSTOWSKI,BRASŁAWSKI,1722.3652252729817
AUGUSTOWSKI,BRODNICKI,2034.4979556899389
AUGUSTOWSKI,BRODZKI,2525.8075667556336
AUGUSTOWSKI,BRZESKI (BRZESKO),2781.419470719921
AUGUSTOWSKI,BRZESKI (BRZEŚĆ N.BUG.),1228.014238790993
AUGUSTOWSKI,BRZEZIŃSKI,1857.833740222494
AUGUSTOWSKI,BRZEŻAŃSKI,2700.6705674336213
AUGUSTOWSKI,BRZOZOWSKI,2629.2367294365945
AUGUSTOWSKI,BUCZACKI,3014.7692744038477
AUGUSTOWSKI,BYDGOSKI,2333.7111945118168
AUGUSTOWSKI,BÓBRECKI,2707.5010157681136
AUGUSTOWSKI,BĘDZIŃSKI,2460.7746829686666
AUGUSTOWSKI,BŁOŃSKI,1539.372051980389
AUGUSTOWSKI,CHEŁMIŃSKI,2343.1876668899167
AUGUSTOWSKI,CHEŁMSKI,1631.1019650067662
AUGUSTOWSKI,CHODZIESKI,2620.334564653862
AUGUSTOWSKI,CHOJNICKI,2686.7012414130986
AUGUSTOWSKI,CHORZÓW,2525.4105266053903
AUGUSTOWSKI,CHRZANOWSKI,2541.7018337197856
AUGUSTOWSKI,CIECHANOWSKI,1660.3343617289274
AUGUSTOWSKI,CIESZYŃSKI,2804.4495445430157
AUGUSTOWSKI,CZARNKOWSKI,2876.4743338682524
AUGUSTOWSKI,CZORTKOWSKI,3045.309602127632
AUGUSTOWSKI,CZĘSTOCHOWSKI,2271.670843051375
AUGUSTOWSKI,DOBROMILSKI,2811.2549048936726
AUGUSTOWSKI,DOLIŃSKI,2778.688584668073
AUGUSTOWSKI,DROHICKI,1772.9961897690334
AUGUSTOWSKI,DROHOBYCKI,2662.996631278856
AUGUSTOWSKI,DUBIEŃSKI,2451.765567082509
AUGUSTOWSKI,DZIAŁDOWSKI,1995.8762115333996
AUGUSTOWSKI,DZIŚNIEŃSKI,1844.432623995432
AUGUSTOWSKI,DĄBROWSKI,2636.9541155927736
AUGUSTOWSKI,GARWOLIŃSKI,1679.8109972803131
AUGUSTOWSKI,GNIEŹNIEŃSKI,2498.516733565467
AUGUSTOWSKI,GORLICKI,2827.84971155072
AUGUSTOWSKI,GOSTYNIŃSKI,2065.200467801914
AUGUSTOWSKI,GOSTYŃSKI,2600.9910212589684
AUGUSTOWSKI,GRODZIEŃSKI,684.3263168428537
AUGUSTOWSKI,GRUDZIĄDZKI,2208.8177103253165
AUGUSTOWSKI,GRÓDECKI,2435.4422247529524
AUGUSTOWSKI,GRÓJECKI,1602.0130835180305
AUGUSTOWSKI,HOROCHOWSKI,2322.328870768026
AUGUSTOWSKI,HORODEŃSKI,3253.6941278373965
AUGUSTOWSKI,HRUBIESZOWSKI,2020.1734185067667
AUGUSTOWSKI,INOWROCŁAWSKI,2345.680198346529
AUGUSTOWSKI,IWACEWICKI,1519.3308551218058
AUGUSTOWSKI,IŁŻECKI,2292.854076895323
AUGUSTOWSKI,JANOWSKI,2038.6554697766824
AUGUSTOWSKI,JAROCIŃSKI,2490.894236419198
AUGUSTOWSKI,JAROSŁAWSKI,2425.5914041348074
AUGUSTOWSKI,JASIELSKI,2699.536425260937
AUGUSTOWSKI,JAWOROWSKI,2512.289236845849
AUGUSTOWSKI,JĘDRZEJOWSKI,2164.324324571065
AUGUSTOWSKI,KALISKI,2375.250574143013
AUGUSTOWSKI,KAMIONECKI,2258.438028878918
AUGUSTOWSKI,KARTUSKI,2794.6083987232832
AUGUSTOWSKI,KATOWICE,2568.2885719401734
AUGUSTOWSKI,KAŁUSKI,2997.723057963875
AUGUSTOWSKI,KIELECKI,2077.1109553044294
AUGUSTOWSKI,KOBRYŃSKI,1478.9453092991987
AUGUSTOWSKI,KOLBUSZOWSKI,2467.1214545376492
AUGUSTOWSKI,KOLSKI,2094.9923597005572
AUGUSTOWSKI,KONECKI,2051.7364863567614
AUGUSTOWSKI,KONIŃSKI,2256.166377171433
AUGUSTOWSKI,KOPYCZYNIECKI,3049.885610794687
AUGUSTOWSKI,KOSOWSKI (KOSÓW HUCULSKI),3408.727065975354
AUGUSTOWSKI,KOSTOPOLSKI,2368.8686367017076
AUGUSTOWSKI,KOSZYRSKI,2058.8118948758215
AUGUSTOWSKI,KOWELSKI,1810.7189527777346
AUGUSTOWSKI,KOZIENICKI,1776.4740370676316
AUGUSTOWSKI,KOŁOMYJSKI,2948.814229112795
AUGUSTOWSKI,KOŚCIAŃSKI,2715.4056451655565
AUGUSTOWSKI,KOŚCIERSKI,2677.2381125536713
AUGUSTOWSKI,KRAKOWSKI,2750.1171447891234
AUGUSTOWSKI,KRAKÓW (MIASTO),2765.222005317943
AUGUSTOWSKI,KRASNOSTAWSKI,1895.589992624302
AUGUSTOWSKI,KROTOSZYŃSKI,2542.306420321474
AUGUSTOWSKI,KROŚNIEŃSKI,2771.3922170661385
AUGUSTOWSKI,KRZEMIENIECKI,2650.8238617464353
AUGUSTOWSKI,KUTNOWSKI,1881.363333206478
AUGUSTOWSKI,KĘPIŃSKI,2548.9369411395774
AUGUSTOWSKI,LESKI,3121.0757836938565
AUGUSTOWSKI,LESZCZYŃSKI,2693.0627675331534
AUGUSTOWSKI,LIDZKI,1028.7345944659637
AUGUSTOWSKI,LIMANOWSKI,2945.6340586756282
AUGUSTOWSKI,LIPNOWSKI,1962.84686280886
AUGUSTOWSKI,LUBACZOWSKI,2321.884910173497
AUGUSTOWSKI,LUBARTOWSKI,1713.7078522264042
AUGUSTOWSKI,LUBAWSKI,2028.0530925417222
AUGUSTOWSKI,LUBELSKI,1826.6112713829139
AUGUSTOWSKI,LUBLINIECKI,2692.7421745475635
AUGUSTOWSKI,LUBOMELSKI,1946.6033077425082
AUGUSTOWSKI,LWOWSKI,2368.8671699465353
AUGUSTOWSKI,LWÓW (MIASTO),2258.1989110829445
AUGUSTOWSKI,M. ST. WARSZAWA,1379.044223120114
AUGUSTOWSKI,MAKOWSKI (MAKÓW MAZOWIECKI),2014.5608368807511
AUGUSTOWSKI,MIECHOWSKI,2413.2916074755526
AUGUSTOWSKI,MIELECKI,2314.854497398128
AUGUSTOWSKI,MIĘDZYCHODZKI,2919.223666089379
AUGUSTOWSKI,MIŃSKI,1439.2120822163388
AUGUSTOWSKI,MOGILEŃSKI,2397.694927860565
AUGUSTOWSKI,MORSKI,2847.367704321217
AUGUSTOWSKI,MOŁODECZAŃSKI,1456.4941352996932
AUGUSTOWSKI,MOŚCISKI,2759.078020184578
AUGUSTOWSKI,MYŚLENICKI,3077.476283666226
AUGUSTOWSKI,MŁAWSKI,1887.8105222745262
AUGUSTOWSKI,NADWÓRNIAŃSKI,3030.0808049720627
AUGUSTOWSKI,NIESZAWSKI,2147.7016975494107
AUGUSTOWSKI,NIEŚWIESKI,1786.6288620143062
AUGUSTOWSKI,NIŻAŃSKI,2292.4378566748223
AUGUSTOWSKI,NOWOGRÓDZKI,1173.5820958780128
AUGUSTOWSKI,NOWOSĄDECKI,2804.2324497987042
AUGUSTOWSKI,NOWOTARSKI,2927.0238040845843
AUGUSTOWSKI,NOWOTOMYSKI,2814.33714817513
AUGUSTOWSKI,OBORNICKI,2701.273201181111
AUGUSTOWSKI,OLKUSKI,2538.6025853498386
AUGUSTOWSKI,OPATOWSKI,2203.686048522794
AUGUSTOWSKI,OPOCZYŃSKI,1982.0820883732588
AUGUSTOWSKI,OSTROWSKI (OSTRÓW MAZOWIECKA),1207.3085995493896
AUGUSTOWSKI,OSTROWSKI (OSTRÓW WIELKOPOLSKI),2386.1839988201414
AUGUSTOWSKI,OSTROŁĘCKI,1301.5479069296646
AUGUSTOWSKI,OSZMIAŃSKI,1749.6322222207862
AUGUSTOWSKI,PIOTRKOWSKI,2020.3972774572976
AUGUSTOWSKI,PIŃCZOWSKI,2463.826141231002
AUGUSTOWSKI,PIŃSKI,1836.1208715930804
AUGUSTOWSKI,PODHAJECKI,2670.202509964444
AUGUSTOWSKI,POSTAWSKI,1714.540491583418
AUGUSTOWSKI,POZNAŃ (MIASTO),2550.6868565213035
AUGUSTOWSKI,POZNAŃSKI,2571.8325892653465
AUGUSTOWSKI,PRUŻAŃSKI,1524.00837128879
AUGUSTOWSKI,PRZASNYCKI,1525.3403668379094
AUGUSTOWSKI,PRZEMYSKI,2509.6169001658077
AUGUSTOWSKI,PRZEMYŚLAŃSKI,2531.887292799849
AUGUSTOWSKI,PRZEWORSKI,2398.1847683020937
AUGUSTOWSKI,PSZCZYŃSKI,2658.373906862439
AUGUSTOWSKI,PUŁAWSKI,1923.6004109605817
AUGUSTOWSKI,PUŁTUSKI,1749.8682658942128
AUGUSTOWSKI,PŁOCKI,2092.436965070485
AUGUSTOWSKI,PŁOŃSKI,1654.7382358858672
AUGUSTOWSKI,RADOMSKI,1822.3599965281235
AUGUSTOWSKI,RADOMSZCZAŃSKI,2093.555024156226
AUGUSTOWSKI,RADZIECHOWSKI,2384.1174030595857
AUGUSTOWSKI,RADZYMIŃSKI,1257.5571229992454
AUGUSTOWSKI,RADZYŃSKI,1611.2247771705659
AUGUSTOWSKI,RAWICKI,2584.9936449691922
AUGUSTOWSKI,RAWSKI (RAWA MAZOWIECKA),1934.3361264769562
AUGUSTOWSKI,RAWSKI (RAWA RUSKA),2163.6659729263115
AUGUSTOWSKI,ROHATYŃSKI,2777.351886365092
AUGUSTOWSKI,ROPCZYCKI,2456.2313999759103
AUGUSTOWSKI,RUDECKI,2647.5157977125655
AUGUSTOWSKI,RYBNICKI,2710.6153372759295
AUGUSTOWSKI,RYPIŃSKI,1942.8394790909474
