scenario,year,origin_district,dest_district,distance_value
baseline,1924,AUGUSTOWSKI,BARANOWICKI,171.51525221429821
baseline,1924,AUGUSTOWSKI,BIALSKI (BIAŁA KRAKOWSKA),435.1580219866909
baseline,1924,AUGUSTOWSKI,BIALSKI (BIAŁA PODLASKA),195.98124138415483
baseline,1924,AUGUSTOWSKI,BIAŁOSTOCKI,96.04585791897827
baseline,1924,AUGUSTOWSKI,BIELSKI (BIELSK PODLASKI),126.1727305471933
baseline,1924,AUGUSTOWSKI,BIELSKO,437.62480579130175
baseline,1924,AUGUSTOWSKI,BIŁGORAJSKI,296.96149985506474
baseline,1924,AUGUSTOWSKI,BOCHEŃSKI,414.7392498698604
baseline,1924,AUGUSTOWSKI,BORSZCZOWSKI,500.35369096320903
baseline,1924,AUGUSTOWSKI,BRASŁAWSKI,248.79015065423314
baseline,1924,AUGUSTOWSKI,BRODNICKI,316.2157394829558
baseline,1924,AUGUSTOWSKI,BRODZKI,388.91381964981827
baseline,1924,AUGUSTOWSKI,BRZESKI (BRZESKO),401.006504111135
baseline,1924,AUGUSTOWSKI,BRZESKI (BRZEŚĆ N.BUG.),169.55308657291178
baseline,1924,AUGUSTOWSKI,BRZEZIŃSKI,289.67714710058317
baseline,1924,AUGUSTOWSKI,BRZEŻAŃSKI,406.91633601100483
baseline,1924,AUGUSTOWSKI,BRZOZOWSKI,388.10461936826624
baseline,1924,AUGUSTOWSKI,BUCZACKI,461.02953007022165
baseline,1924,AUGUSTOWSKI,BYDGOSKI,382.77225799122465
baseline,1924,AUGUSTOWSKI,BÓBRECKI,390.18445067354685
baseline,1924,AUGUSTOWSKI,BĘDZIŃSKI,408.07013845281597
baseline,1924,AUGUSTOWSKI,BŁOŃSKI,281.41620697041924
baseline,1924,AUGUSTOWSKI,CHEŁMIŃSKI,372.7984201745596
baseline,1924,AUGUSTOWSKI,CHEŁMSKI,236.74667471905076
baseline,1924,AUGUSTOWSKI,CHODZIESKI,423.7708371174539
baseline,1924,AUGUSTOWSKI,CHOJNICKI,405.62308550834456
baseline,1924,AUGUSTOWSKI,CHORZÓW,407.2445535674193
baseline,1924,AUGUSTOWSKI,CHRZANOWSKI,405.1546378854407
baseline,1924,AUGUSTOWSKI,CIECHANOWSKI,254.0771695730004
baseline,1924,AUGUSTOWSKI,CIESZYŃSKI,452.9148563203605
baseline,1924,AUGUSTOWSKI,CZARNKOWSKI,435.2201385698717
baseline,1924,AUGUSTOWSKI,CZORTKOWSKI,471.59802243252517
baseline,1924,AUGUSTOWSKI,CZĘSTOCHOWSKI,360.7485503272645
baseline,1924,AUGUSTOWSKI,DOBROMILSKI,417.12508336105077
baseline,1924,AUGUSTOWSKI,DOLIŃSKI,418.32926735854215
baseline,1924,AUGUSTOWSKI,DROHICKI,237.6470573756275
baseline,1924,AUGUSTOWSKI,DROHOBYCKI,407.8921820464116
baseline,1924,AUGUSTOWSKI,DUBIEŃSKI,362.7249052568471
baseline,1924,AUGUSTOWSKI,DZIAŁDOWSKI,292.582294761817
baseline,1924,AUGUSTOWSKI,DZIŚNIEŃSKI,256.8178948513575
baseline,1924,AUGUSTOWSKI,DĄBROWSKI,402.9811035159292
baseline,1924,AUGUSTOWSKI,GARWOLIŃSKI,224.6553817844365
baseline,1924,AUGUSTOWSKI,GNIEŹNIEŃSKI,366.01993495634997
baseline,1924,AUGUSTOWSKI,GORLICKI,420.94189416508993
baseline,1924,AUGUSTOWSKI,GOSTYNIŃSKI,298.4412884521024
baseline,1924,AUGUSTOWSKI,GOSTYŃSKI,404.7238622124724
baseline,1924,AUGUSTOWSKI,GRODZIEŃSKI,61.19052168690247
baseline,1924,AUGUSTOWSKI,GRUDZIĄDZKI,344.60020971335433
baseline,1924,AUGUSTOWSKI,GRÓDECKI,366.6037151677305
