scenario,year,origin_district,dest_district,distance_value
fixed14,1929,AUGUSTOWSKI,BARANOWICKI,1381.7460224393842
fixed14,1929,AUGUSTOWSKI,BIALSKI (BIAŁA KRAKOWSKA),3229.295271552216
fixed14,1929,AUGUSTOWSKI,BIALSKI (BIAŁA PODLASKA),1565.9711972594605
fixed14,1929,AUGUSTOWSKI,BIAŁOSTOCKI,869.7221560805706
fixed14,1929,AUGUSTOWSKI,BIELSKI (BIELSK PODLASKI),1113.1111869372166
fixed14,1929,AUGUSTOWSKI,BIELSKO,3220.653068156799
fixed14,1929,AUGUSTOWSKI,BIŁGORAJSKI,2262.080267065206
fixed14,1929,AUGUSTOWSKI,BOCHEŃSKI,3020.5386300579175
fixed14,1929,AUGUSTOWSKI,BORSZCZOWSKI,3787.902423308884
fixed14,1929,AUGUSTOWSKI,BRASŁAWSKI,1941.9663554088052
fixed14,1929,AUGUSTOWSKI,BRODNICKI,2339.095812354625
fixed14,1929,AUGUSTOWSKI,BRODZKI,2846.6002695850952
fixed14,1929,AUGUSTOWSKI,BRZESKI (BRZESKO),3103.4869639293224
fixed14,1929,AUGUSTOWSKI,BRZESKI (BRZEŚĆ N.BUG.),1348.2160982094485
fixed14,1929,AUGUSTOWSKI,BRZEZIŃSKI,2177.6218303921373
fixed14,1929,AUGUSTOWSKI,BRZEŻAŃSKI,3033.8476371498123
fixed14,1929,AUGUSTOWSKI,BRZOZOWSKI,2942.6471423106327
fixed14,1929,AUGUSTOWSKI,BUCZACKI,3398.730871255386
fixed14,1929,AUGUSTOWSKI,BYDGOSKI,2776.719799626743
fixed14,1929,AUGUSTOWSKI,BÓBRECKI,3004.2543549609964
fixed14,1929,AUGUSTOWSKI,BĘDZIŃSKI,2979.7125325438774
fixed14,1929,AUGUSTOWSKI,BŁOŃSKI,2103.9045499763297
fixed14,1929,AUGUSTOWSKI,CHEŁMIŃSKI,2761.0388569303514
fixed14,1929,AUGUSTOWSKI,CHEŁMSKI,1813.0006802375904
fixed14,1929,AUGUSTOWSKI,CHODZIESKI,3091.3309665612824
fixed14,1929,AUGUSTOWSKI,CHOJNICKI,3073.060583061318
fixed14,1929,AUGUSTOWSKI,CHORZÓW,2945.648011108452
fixed14,1929,AUGUSTOWSKI,CHRZANOWSKI,2950.62959977249
fixed14,1929,AUGUSTOWSKI,CIECHANOWSKI,1908.290823844726
fixed14,1929,AUGUSTOWSKI,CIESZYŃSKI,3252.9570913019447
fixed14,1929,AUGUSTOWSKI,CZARNKOWSKI,3179.5465376616935
fixed14,1929,AUGUSTOWSKI,CZORTKOWSKI,3426.1748746334215
fixed14,1929,AUGUSTOWSKI,CZĘSTOCHOWSKI,2678.9240163692034
fixed14,1929,AUGUSTOWSKI,DOBROMILSKI,3143.6302631802287
fixed14,1929,AUGUSTOWSKI,DOLIŃSKI,3122.165323909392
fixed14,1929,AUGUSTOWSKI,DROHICKI,1949.8076090872269
fixed14,1929,AUGUSTOWSKI,DROHOBYCKI,2996.780066050542
fixed14,1929,AUGUSTOWSKI,DUBIEŃSKI,2745.4263676614028
fixed14,1929,AUGUSTOWSKI,DZIAŁDOWSKI,2284.737729075312
fixed14,1929,AUGUSTOWSKI,DZIŚNIEŃSKI,2069.4849762108333
fixed14,1929,AUGUSTOWSKI,DĄBROWSKI,2968.8641804563954
fixed14,1929,AUGUSTOWSKI,GARWOLIŃSKI,1846.603490067268
fixed14,1929,AUGUSTOWSKI,GNIEŹNIEŃSKI,2670.5792922486175
fixed14,1929,AUGUSTOWSKI,GORLICKI,3090.212096713672
fixed14,1929,AUGUSTOWSKI,GOSTYNIŃSKI,2290.9931566053788
fixed14,1929,AUGUSTOWSKI,GOSTYŃSKI,2941.317920585477
fixed14,1929,AUGUSTOWSKI,GRODZIEŃSKI,729.1920103532963
fixed14,1929,AUGUSTOWSKI,GRUDZIĄDZKI,2539.2094324332493
fixed14,1929,AUGUSTOWSKI,GRÓDECKI,2734.642769378806
fixed14,1929,AUGUSTOWSKI,GRÓJECKI,2475.0308125031984
