scenario,year,District,target_label,dest_id,distance_km,distance_miles,distance_minutes
baseline,1924,AUGUSTOWSKI,Gdynia,City:Gdynia,756.1311249897727,469.83795326602007,
baseline,1924,AUGUSTOWSKI,Stołpce,Border_Crossing:Stołpce,329.2075501141417,204.56002462197435,
baseline,1924,AUGUSTOWSKI,Zbąszyń,Border_Crossing:Zbąszyń,686.6573384233998,426.6689570334863,
baseline,1924,AUGUSTOWSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,712.4137187413895,442.67322482805594,
baseline,1924,BARANOWICKI,Gdynia,City:Gdynia,814.9968262628796,506.41539293179176,
baseline,1924,BARANOWICKI,Stołpce,Border_Crossing:Stołpce,75.1624840350665,46.703787867353306,
baseline,1924,BARANOWICKI,Zbąszyń,Border_Crossing:Zbąszyń,745.5230396965065,463.24639669925796,
baseline,1924,BARANOWICKI,Zebrzydowice,Border_Crossing:Zebrzydowice,688.9987019593201,428.1238124351647,
baseline,1924,BIALSKI (BIAŁA KRAKOWSKA),Gdynia,City:Gdynia,715.4956669892968,444.5882580928063,
baseline,1924,BIALSKI (BIAŁA KRAKOWSKA),Stołpce,Border_Crossing:Stołpce,730.084574274428,453.65338200147556,
baseline,1924,BIALSKI (BIAŁA KRAKOWSKA),Zbąszyń,Border_Crossing:Zbąszyń,564.1714407353447,350.5597723011619,
baseline,1924,BIALSKI (BIAŁA KRAKOWSKA),Zebrzydowice,Border_Crossing:Zebrzydowice,47.62948777572889,29.595582448692436,
baseline,1924,BIALSKI (BIAŁA PODLASKA),Gdynia,City:Gdynia,610.3081313603442,379.22777389150843,
baseline,1924,BIALSKI (BIAŁA PODLASKA),Stołpce,Border_Crossing:Stołpce,309.4819464727326,192.30310656170835,
baseline,1924,BIALSKI (BIAŁA PODLASKA),Zbąszyń,Border_Crossing:Zbąszyń,540.8343447939708,336.0587776589744,
baseline,1924,BIALSKI (BIAŁA PODLASKA),Zebrzydowice,Border_Crossing:Zebrzydowice,449.55184067172166,279.3384767900284,
baseline,1924,BIAŁOSTOCKI,Gdynia,City:Gdynia,617.8227780797721,383.8971574382061,
baseline,1924,BIAŁOSTOCKI,Stołpce,Border_Crossing:Stołpce,266.6169969187909,165.668069992426,
baseline,1924,BIAŁOSTOCKI,Zbąszyń,Border_Crossing:Zbąszyń,548.348991513399,340.7281612056723,
baseline,1924,BIAŁOSTOCKI,Zebrzydowice,Border_Crossing:Zebrzydowice,574.1053718313888,356.7324290002419,
baseline,1924,BIELSKI (BIELSK PODLASKI),Gdynia,City:Gdynia,644.688681944962,400.590850988823,
baseline,1924,BIELSKI (BIELSK PODLASKI),Stołpce,Border_Crossing:Stołpce,283.46841075359276,176.1390498583707,
baseline,1924,BIELSKI (BIELSK PODLASKI),Zbąszyń,Border_Crossing:Zbąszyń,575.214895378589,357.4218547562892,
baseline,1924,BIELSKI (BIELSK PODLASKI),Zebrzydowice,Border_Crossing:Zebrzydowice,535.0689974077115,332.4763579882271,
baseline,1924,BIELSKO,Gdynia,City:Gdynia,718.8507629488598,446.673017424296,
baseline,1924,BIELSKO,Stołpce,Border_Crossing:Stołpce,734.0544792178688,456.12016580608633,
baseline,1924,BIELSKO,Zbąszyń,Border_Crossing:Zbąszyń,567.5265366949077,352.6445316326515,
baseline,1924,BIELSKO,Zebrzydowice,Border_Crossing:Zebrzydowice,26.557941331167772,16.50233456288905,
baseline,1924,BIŁGORAJSKI,Gdynia,City:Gdynia,737.7663782947817,458.4266322474068,
baseline,1924,BIŁGORAJSKI,Stołpce,Border_Crossing:Stołpce,471.9939698386606,293.28336503261835,
baseline,1924,BIŁGORAJSKI,Zbąszyń,Border_Crossing:Zbąszyń,666.7442167342648,414.29552069638686,
baseline,1924,BIŁGORAJSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,514.1222871939403,319.4606797159859,
baseline,1924,BOCHEŃSKI,Gdynia,City:Gdynia,744.0978604517351,462.36083164675506,
baseline,1924,BOCHEŃSKI,Stołpce,Border_Crossing:Stołpce,680.3989496248937,422.7801757273698,
baseline,1924,BOCHEŃSKI,Zbąszyń,Border_Crossing:Zbąszyń,592.773634197783,368.33234585511065,
baseline,1924,BOCHEŃSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,139.82929970565772,86.88587178740424,
baseline,1924,BORSZCZOWSKI,Gdynia,City:Gdynia,1077.4561244520482,669.4999895068937,
baseline,1924,BORSZCZOWSKI,Stołpce,Border_Crossing:Stołpce,697.7677695187665,433.5726567136455,
baseline,1924,BORSZCZOWSKI,Zbąszyń,Border_Crossing:Zbąszyń,976.3215278302166,606.6578840693895,
baseline,1924,BORSZCZOWSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,666.9781017025134,414.4408500329925,
baseline,1924,BRASŁAWSKI,Gdynia,City:Gdynia,1010.2868626831806,627.7629581523106,
baseline,1924,BRASŁAWSKI,Stołpce,Border_Crossing:Stołpce,423.4757262671953,263.1355355063734,
baseline,1924,BRASŁAWSKI,Zbąszyń,Border_Crossing:Zbąszyń,940.8130761168077,584.5939619197769,
