District,year,rural_pop,city_pop_sum,pop_total,dist_makoszowy_min,dist_zbaszyn_min,dist_gdansk_min
KOŚCIAŃSKI,1913,66176.79999999999,15539.199999999999,81715.99999999999,2498.4642595057217,430.0195243975217,1633.7081640500865
ZBOROWSKI,1913,51189.59999999998,9343.400000000001,60532.99999999998,2826.800728449273,5165.391732279653,5229.876271054075
MIĘDZYCHODZKI,1913,23670.20000000001,5740.0,29410.20000000001,2976.19116175486,390.7930621981825,1884.2453174790626
KOŁOMYJSKI,1913,107218.40000000002,35661.6,142880.00000000003,2931.6830726073067,5270.274076437687,5547.069393417247
DZIŚNIEŃSKI,1913,114329.19999999995,8986.2,123315.39999999995,4859.0232954199455,5280.120116702599,4884.16869563395
STOLIŃSKI,1913,61275.19999999995,11882.0,73157.19999999995,3781.410755342394,4749.956096899191,4354.004675830543
STANISŁAWOWSKI,1913,84183.59999999998,51411.200000000004,135594.8,2695.683568541148,5034.274572371527,5311.069889351088
ŚREDZKI,1913,40614.0,10644.599999999999,51258.6,2409.7370222348964,665.559929095807,1583.0374829697894
WOŁKOWYSKI,1913,60260.40000000002,10147.8,70408.20000000003,2905.2903690706453,3574.9177763697257,3178.9663553010787
HORODEŃSKI,1913,63854.59999999998,8254.8,72109.39999999998,3289.2659987166576,5627.857002547038,5904.652319526599
KATOWICE,1913,95682.77990783729,174609.60000000003,270292.3799078373,190.85108690227415,2713.9257675456874,2990.72108452525
MIELECKI,1913,61790.79999999999,6955.0,68745.79999999999,1211.3943092068612,3549.9853130372403,3826.780630016804
PUŁAWSKI,1913,121249.6000000001,8946.0,130195.6000000001,1841.6616228181679,2962.578452089456,2611.9382720144827
RAWSKI (RAWA RUSKA),1913,81461.40000000002,12773.599999999999,94235.00000000003,2453.184791317399,4791.775795147778,5068.57111212734
MOGILEŃSKI,1913,68718.59999999998,19408.0,88126.59999999998,2559.5721041078946,944.182385824419,1135.200609911036
SOKALSKI,1913,78260.99999999988,12167.8,90428.79999999989,3041.7566734771576,5380.347677307538,5657.142994287098
BUCZACKI,1913,87122.40000000002,15751.0,102873.40000000002,3008.2513340186765,5346.842337849057,5623.637654828619
PRZEMYŚLAŃSKI,1913,63767.59999999998,7584.2,71351.79999999997,2463.3308109736176,4801.921814803997,5078.717131783558
GOSTYNIŃSKI,1913,63449.0,12222.0,75671.0,2063.416099458696,2065.501307676389,1806.7382176408787
BIŁGORAJSKI,1913,80355.59999999986,5342.0,85697.59999999986,2030.4028009512142,4368.993804781593,4645.789121761157
RUDECKI,1913,60190.40000000002,7850.200000000001,68040.60000000002,2237.899158641304,4576.490162471683,4853.285479451247
RADOMSZCZAŃSKI,1913,137888.19999999995,18645.6,156533.79999999996,797.4685754604278,2055.8512549563043,2332.646571935867
STRYJSKI,1913,81404.80000000005,29444.6,110849.40000000005,2431.01795940059,4769.6089632309695,5046.404280210531
PŁOŃSKI,1913,60380.40000000002,8519.2,68899.60000000002,2505.173115767209,2534.433534034907,1923.0254115307594
KRZEMIENIECKI,1913,168621.0,12924.8,181545.8,3165.0612971016976,4997.476453199234,4646.8362731242605
CHRZANOWSKI,1913,65617.19999999995,33936.4,99553.59999999995,360.95231160879655,2699.5433154391767,2976.33863241874
MYŚLENICKI,1913,77242.3999999999,9557.4,86799.7999999999,1000.2152689374275,3350.593987970895,3627.3893049504586
TARNOWSKI,1913,70351.79999999993,31452.0,101803.79999999993,960.8003318473542,3299.391335677734,3576.1866526572976
SOKOŁOWSKI,1913,63035.59999999998,6578.2,69613.79999999997,2143.7733681709374,2854.7775867355185,2458.826165666873
CZORTKOWSKI,1913,53006.59999999998,12608.6,65615.19999999998,3089.5090634895073,5428.100067319889,5539.0442850249365
SIERPECKI,1913,51748.40000000002,12150.6,63899.00000000002,3188.567275606238,2210.7277913547546,1621.7193254615668
SANDOMIERSKI,1913,94052.40000000002,8611.4,102663.80000000002,1609.4902018713715,3948.081205701751,4224.876522681315
RADZYŃSKI,1913,62894.179154810525,16576.800000000003,79470.97915481053,2029.7402479512477,2998.2855895080424,2602.334168439396
RYBNICKI,1913,121364.68421822131,17252.800000000003,138617.48421822133,367.62098766697665,2889.7832402884096,3166.578557267973
WOLSZTYŃSKI,1913,43505.59999999998,7462.6,50968.199999999975,2606.8128282678235,189.92965243642203,1748.0513589934526
ŻÓŁKIEWSKI,1913,64110.0,11717.599999999999,75827.6,2379.404367165383,4717.995370995763,4994.7906879753245
LIDZKI,1913,111213.6000000001,8529.8,119743.4000000001,3489.297993760327,4158.925401059407,3762.9739799907607
CIESZYŃSKI,1913,47471.677693813996,16039.6,63511.277693813994,520.7025703525363,3042.8648229739692,3319.660139953533
LESZCZYŃSKI,1913,38394.59999999998,18185.0,56579.59999999998,2406.952805798687,422.673847537237,1769.6692788489424
