District,year,scenario,ma_total,ma_total_no_self,ma_domestic,ma_domestic_no_self,ma_domestic_inter,ma_domestic_self,ma_foreign
AUGUSTOWSKI,1924,fixed14,328298704.2312974,328298457.46997243,272.0316060113132,25.27028109500316,25.27028109500316,246.76132491631006,328298432.19969136
BARANOWICKI,1924,fixed14,329208600.1258457,329208379.6372426,256.10469881852066,35.61609575976333,35.61609575976333,220.48860305875735,329208344.02114683
BIALSKI (BIAŁA KRAKOWSKA),1924,fixed14,406496201.55751747,406491388.5601331,5003.279276288088,190.28189196490732,190.28189196490732,4812.997384323181,406491198.27824116
BIALSKI (BIAŁA PODLASKA),1924,fixed14,370351741.9207188,370351236.95251906,578.0578815575338,73.0896818324648,73.0896818324648,504.968199725069,370351163.86283726
BIAŁOSTOCKI,1924,fixed14,363077616.88899606,363076725.3390287,954.0588943806141,62.508927035717484,62.508927035717484,891.5499673448966,363076662.83010167
BIELSKI (BIELSK PODLASKI),1924,fixed14,359253000.9768784,359252803.24427724,252.64861855422708,54.916017420995345,54.916017420995345,197.73260113323175,359252748.3282598
BIELSKO,1924,fixed14,407474546.3871377,407454395.26446635,20330.08202401629,178.95935265990184,178.95935265990184,20151.12267135639,407454216.3051137
BIŁGORAJSKI,1924,fixed14,358351473.34767956,358351148.585716,375.97212758426696,51.21016401051701,51.21016401051701,324.76196357374994,358351097.375552
BOCHEŃSKI,1924,fixed14,399316614.83628565,399315743.5918714,1099.300019258224,228.05560502079945,228.05560502079945,871.2444142374246,399315515.5362664
BORSZCZOWSKI,1924,fixed14,325999010.0315484,325998488.44269586,533.921221624626,12.332369105561195,12.332369105561195,521.5888525190649,325998476.11032677
BRASŁAWSKI,1924,fixed14,295011827.9533553,295011658.2479089,179.1466703660752,9.441223926843854,9.441223926843854,169.70544643923134,295011648.806685
BRODNICKI,1924,fixed14,409570961.77992135,409569903.585843,1143.067665132508,84.87358681154026,84.87358681154026,1058.1940783209677,409569818.7122562
BRODZKI,1924,fixed14,349496567.3775212,349495956.6068257,662.3651271307508,51.59443163133695,51.59443163133695,610.7706954994138,349495905.0123941
BRZESKI (BRZESKO),1924,fixed14,372879218.2286181,372878204.1599195,1064.7033982330752,50.634699626122966,50.634699626122966,1014.0686986069521,372878153.52521986
BRZESKI (BRZEŚĆ N.BUG.),1924,fixed14,369087898.68718696,369087654.30721295,317.8486787253699,73.46870468572264,73.46870468572264,244.37997403964727,369087580.83850825
BRZEZIŃSKI,1924,fixed14,423285527.55791074,423283095.8432335,2881.784424822599,450.06974762775445,450.06974762775445,2431.714677194844,423282645.7734859
BRZEŻAŃSKI,1924,fixed14,356403888.85584056,356403340.96337104,600.8951473532021,53.00267782461954,53.00267782461954,547.8924695285825,356403287.96069324
BRZOZOWSKI,1924,fixed14,365762053.5025698,365760648.2353762,1442.764523081182,37.497329470406484,37.497329470406484,1405.2671936107756,365760610.7380467
BUCZACKI,1924,fixed14,349618575.98292184,349618070.2258264,551.4587968677765,45.70170140209817,45.70170140209817,505.75709546567833,349618024.524125
BYDGOSKI,1924,fixed14,434178212.4566122,434176029.15918183,2321.5916437014603,138.29421330319232,138.29421330319232,2183.297430398268,434175890.86496854
BÓBRECKI,1924,fixed14,354741591.85513455,354740597.5901405,1041.6235588490688,47.358564784224335,47.358564784224335,994.2649940648445,354740550.2315757
BĘDZIŃSKI,1924,fixed14,428725042.4591624,428722138.04086185,3039.065736686763,134.64743613367438,134.64743613367438,2904.4183005530886,428722003.3934257
BŁOŃSKI,1924,fixed14,410052371.51008904,410050067.24275964,2489.3980582282916,185.13072883731294,185.13072883731294,2304.267329390979,410049882.1120308
CHEŁMIŃSKI,1924,fixed14,410483050.60378796,410481777.6496313,1360.2712168413063,87.31706024090528,87.31706024090528,1272.9541566004011,410481690.3325711
CHEŁMSKI,1924,fixed14,370285700.2091141,370285075.6688502,703.7003686340544,79.16010472708714,79.16010472708714,624.5402639069672,370284996.50874543
