scenario,District,log_change_ma_total,log_change_ma_domestic,log_change_ma_foreign
baseline,AUGUSTOWSKI,0.5356893263331379,0.6440731136370985,0.5356793612625985
baseline,BARANOWICKI,0.5324895060833938,0.6019833076869698,0.5324840795078387
baseline,BIALSKI (BIAŁA KRAKOWSKA),0.6016655623766951,0.29540285836426783,0.601954343181113
baseline,BIALSKI (BIAŁA PODLASKA),0.5323889838227984,0.5891667117763131,0.5323798442292578
baseline,BIAŁOSTOCKI,0.5366051319683187,0.3744200617417608,0.5366436478486598
baseline,BIELSKI (BIELSK PODLASKI),0.5317371821329715,0.6210057768107884,0.5317296911815994
baseline,BIELSKO,0.6012252423519868,-0.014485994421983506,0.6031085778190217
baseline,BIŁGORAJSKI,0.5293735949767502,0.7949150560951992,0.5293385999659854
baseline,BOCHEŃSKI,0.5899131051403472,0.5092260283247523,0.589935573409047
baseline,BORSZCZOWSKI,0.5316100361561489,0.7882538240145482,0.5315601797286824
baseline,BRASŁAWSKI,0.5340318781383964,0.6854398781057487,0.5340221853210849
baseline,BRODNICKI,0.5498272401524673,0.6989344532809785,0.5497884564827906
baseline,BRODZKI,0.5318384158745566,0.550431950636229,0.5318348037684579
baseline,BRZESKI (BRZESKO),0.5760468052651824,0.3424291971208486,0.5761077935974797
baseline,BRZESKI (BRZEŚĆ N.BUG.),0.5320200364686656,0.5140250886779771,0.5320217021812503
baseline,BRZEZIŃSKI,0.5313315320446144,0.5006502374641748,0.5313497817025272
baseline,BRZEŻAŃSKI,0.5318189380429565,0.674156718531,0.5317882763099995
baseline,BRZOZOWSKI,0.5345823064710586,0.396660086546321,0.5346295930875904
baseline,BUCZACKI,0.53180898871096,0.8177534837764071,0.5317477789436822
baseline,BYDGOSKI,0.5612371205607971,0.34148709647958597,0.5613255348939497
baseline,BÓBRECKI,0.5311555342051477,0.29555227193116096,0.5312233045601289
baseline,BĘDZIŃSKI,0.6054940335327181,1.2357449064028216,0.6049805253933442
baseline,BŁOŃSKI,0.5297408319467571,1.15907831475878,0.5292775308132036
baseline,CHEŁMIŃSKI,0.5561698182751798,0.6509567915448642,0.5561416103807488
baseline,CHEŁMSKI,0.5292224692195902,0.4118024930790636,0.5292442835097582
baseline,CHODZIESKI,0.560841400397873,0.5225314748209318,0.560849275418434
baseline,CHOJNICKI,0.5555194000246999,0.8304502028130809,0.5554874547449771
baseline,CHORZÓW,0.5886771635393941,0.13307172993286542,0.6124612167260644
baseline,CHRZANOWSKI,0.5937626747783291,0.7088172974387756,0.5936629477047184
baseline,CIECHANOWSKI,0.537888231054108,0.15122778565334727,0.5380018540753504
baseline,CIESZYŃSKI,0.606923238413767,0.3799262488229864,0.6070947131393076
baseline,CZARNKOWSKI,0.5617165183625481,0.5336733066260866,0.5617211460191633
baseline,CZORTKOWSKI,0.5317449803419052,0.5533990535045792,0.53173688211659
baseline,CZĘSTOCHOWSKI,0.5370110413186246,0.6583632281548137,0.5369577648556678
baseline,DOBROMILSKI,0.5322366120224942,0.4040424722662692,0.5322627160390816
baseline,DOLIŃSKI,0.5322221473739575,0.6338841030186337,0.5322092980173956
baseline,DROHICKI,0.531788570110777,0.5370588044371711,0.5317881652537544
baseline,DROHOBYCKI,0.5321673229516222,0.41008812181824617,0.5322248553204183
baseline,DUBIEŃSKI,0.5315795930008385,0.5154056827213171,0.5315814987127148
baseline,DZIAŁDOWSKI,0.5409262785318703,0.9498502788698016,0.5408668613076166
baseline,DZIŚNIEŃSKI,0.5310196468259285,0.38841682253955945,0.531029718099223
baseline,DĄBROWSKI,0.5703715994818666,0.5377521937613299,0.5703784182779117
baseline,GARWOLIŃSKI,0.5292151654617072,0.6478574016828134,0.5291911274983256
baseline,GNIEŹNIEŃSKI,0.5554576663607875,0.033996009954094575,0.5555970656113303
baseline,GORLICKI,0.5737218760016276,0.5181882481997189,0.5737349567956898
baseline,GOSTYNIŃSKI,0.5412573585125457,0.1594570857069506,0.5413599735326358
baseline,GOSTYŃSKI,0.5761371328767311,0.37650890350269073,0.5761908544475389
baseline,GRODZIEŃSKI,0.5351915235846363,0.5146716906698785,0.5351933676707858
baseline,GRUDZIĄDZKI,0.5503081147948308,0.7554282996375452,0.5502039582667635
baseline,GRÓDECKI,0.5324372976374363,0.33985821444656494,0.5325001171169461
baseline,GRÓJECKI,0.5550305611939947,0.42480977555099564,0.5550815290931475
baseline,HOROCHOWSKI,0.5214041741971052,-0.096099975748146,0.5215209747617671
baseline,HORODEŃSKI,0.5316898128532976,0.5790465776255722,0.5316778528000405
baseline,HRUBIESZOWSKI,0.5293613517485021,0.6097914275622518,0.5293442079901531
baseline,INOWROCŁAWSKI,0.5702165006060476,0.19243269259591678,0.57033089793131
baseline,IWACEWICKI,0.5318510429735213,0.4338399580113155,0.5318573129846875
baseline,IŁŻECKI,0.5313007714923934,0.563295243321889,0.5312944142254743
baseline,JANOWSKI,0.5325737436267595,0.7516940577666773,0.5325383643208461
baseline,JAROCIŃSKI,0.5787536659063299,0.28029414263959573,0.5788203971326844
baseline,JAROSŁAWSKI,0.5306722072099603,0.40371103651615314,0.5306994822550486
baseline,JASIELSKI,0.5664276360453826,0.3137673058291277,0.5664929624232435
