scenario,year,origin_district,dest_district,distance_value
baseline,1925,AUGUSTOWSKI,BARANOWICKI,195.6658583807216
baseline,1925,AUGUSTOWSKI,BIALSKI (BIAŁA KRAKOWSKA),440.02269630440935
baseline,1925,AUGUSTOWSKI,BIALSKI (BIAŁA PODLASKA),200.58909157157018
baseline,1925,AUGUSTOWSKI,BIAŁOSTOCKI,100.64938874013096
baseline,1925,AUGUSTOWSKI,BIELSKI (BIELSK PODLASKI),130.72635962667226
baseline,1925,AUGUSTOWSKI,BIELSKO,442.22112074332375
baseline,1925,AUGUSTOWSKI,BIŁGORAJSKI,301.5631954289759
baseline,1925,AUGUSTOWSKI,BOCHEŃSKI,419.3452688632503
baseline,1925,AUGUSTOWSKI,BORSZCZOWSKI,505.65088958387594
baseline,1925,AUGUSTOWSKI,BRASŁAWSKI,248.8436493629333
baseline,1925,AUGUSTOWSKI,BRODNICKI,323.81056844965156
baseline,1925,AUGUSTOWSKI,BRODZKI,393.5168640972852
baseline,1925,AUGUSTOWSKI,BRZESKI (BRZESKO),405.6160149095592
baseline,1925,AUGUSTOWSKI,BRZESKI (BRZEŚĆ N.BUG.),174.1594758737311
baseline,1925,AUGUSTOWSKI,BRZEZIŃSKI,300.67532237302663
baseline,1925,AUGUSTOWSKI,BRZEŻAŃSKI,411.520425376392
baseline,1925,AUGUSTOWSKI,BRZOZOWSKI,392.69983947708795
baseline,1925,AUGUSTOWSKI,BUCZACKI,465.6324047469604
baseline,1925,AUGUSTOWSKI,BYDGOSKI,391.0764820413475
baseline,1925,AUGUSTOWSKI,BÓBRECKI,394.7612217730917
baseline,1925,AUGUSTOWSKI,BĘDZIŃSKI,422.0198454276996
baseline,1925,AUGUSTOWSKI,BŁOŃSKI,290.6540033106635
baseline,1925,AUGUSTOWSKI,CHEŁMIŃSKI,380.39001288681106
baseline,1925,AUGUSTOWSKI,CHEŁMSKI,241.35266355896698
baseline,1925,AUGUSTOWSKI,CHODZIESKI,432.9842504425153
baseline,1925,AUGUSTOWSKI,CHOJNICKI,413.16970193643857
baseline,1925,AUGUSTOWSKI,CHORZÓW,412.4113338866059
baseline,1925,AUGUSTOWSKI,CHRZANOWSKI,412.02946294121153
baseline,1925,AUGUSTOWSKI,CIECHANOWSKI,261.6743824869741
baseline,1925,AUGUSTOWSKI,CIESZYŃSKI,457.513638635151
baseline,1925,AUGUSTOWSKI,CZARNKOWSKI,457.59946053934726
baseline,1925,AUGUSTOWSKI,CZORTKOWSKI,476.90769058875526
baseline,1925,AUGUSTOWSKI,CZĘSTOCHOWSKI,370.06674176111756
baseline,1925,AUGUSTOWSKI,DOBROMILSKI,421.7363404247209
baseline,1925,AUGUSTOWSKI,DOLIŃSKI,422.944053725355
baseline,1925,AUGUSTOWSKI,DROHICKI,242.25215213836978
baseline,1925,AUGUSTOWSKI,DROHOBYCKI,412.49395926865867
baseline,1925,AUGUSTOWSKI,DUBIEŃSKI,367.3270781373572
baseline,1925,AUGUSTOWSKI,DZIAŁDOWSKI,300.1564960283094
baseline,1925,AUGUSTOWSKI,DZIŚNIEŃSKI,256.8405178659326
baseline,1925,AUGUSTOWSKI,DĄBROWSKI,407.5837788215186
baseline,1925,AUGUSTOWSKI,GARWOLIŃSKI,229.25713252681794
baseline,1925,AUGUSTOWSKI,GNIEŹNIEŃSKI,391.1323685634077
baseline,1925,AUGUSTOWSKI,GORLICKI,432.88478154228034
baseline,1925,AUGUSTOWSKI,GOSTYNIŃSKI,307.0378086383026
baseline,1925,AUGUSTOWSKI,GOSTYŃSKI,411.94378313719074
baseline,1925,AUGUSTOWSKI,GRODZIEŃSKI,61.38494485454624
baseline,1925,AUGUSTOWSKI,GRUDZIĄDZKI,352.23195540696
baseline,1925,AUGUSTOWSKI,GRÓDECKI,371.20594916330907
baseline,1925,AUGUSTOWSKI,GRÓJECKI,241.33526990466416
baseline,1925,AUGUSTOWSKI,HOROCHOWSKI,372.9390525933975
baseline,1925,AUGUSTOWSKI,HORODEŃSKI,490.24204215121017
baseline,1925,AUGUSTOWSKI,HRUBIESZOWSKI,308.1131591122219
baseline,1925,AUGUSTOWSKI,INOWROCŁAWSKI,380.44194050832414
baseline,1925,AUGUSTOWSKI,IWACEWICKI,212.1318709467806
baseline,1925,AUGUSTOWSKI,IŁŻECKI,334.04431463708033
baseline,1925,AUGUSTOWSKI,JANOWSKI,300.1268483911272
baseline,1925,AUGUSTOWSKI,JAROCIŃSKI,395.1680776634543
baseline,1925,AUGUSTOWSKI,JAROSŁAWSKI,373.06234644686486
baseline,1925,AUGUSTOWSKI,JASIELSKI,418.60529400251204
baseline,1925,AUGUSTOWSKI,JAWOROWSKI,385.0920387405495
baseline,1925,AUGUSTOWSKI,JĘDRZEJOWSKI,340.6874878059391
baseline,1925,AUGUSTOWSKI,KALISKI,371.44467609719993
baseline,1925,AUGUSTOWSKI,KAMIONECKI,340.53491497764577
baseline,1925,AUGUSTOWSKI,KARTUSKI,454.5992604719481
baseline,1925,AUGUSTOWSKI,KATOWICE,414.7031244960165
baseline,1925,AUGUSTOWSKI,KAŁUSKI,430.25843243944615
baseline,1925,AUGUSTOWSKI,KIELECKI,321.4229357407502
baseline,1925,AUGUSTOWSKI,KOBRYŃSKI,212.41886836443985
baseline,1925,AUGUSTOWSKI,KOLBUSZOWSKI,375.55048892055777
baseline,1925,AUGUSTOWSKI,KOLSKI,319.6328669458806
baseline,1925,AUGUSTOWSKI,KONECKI,318.2455539061747
baseline,1925,AUGUSTOWSKI,KONIŃSKI,341.2843686203208
baseline,1925,AUGUSTOWSKI,KOPYCZYNIECKI,468.99550522575254
baseline,1925,AUGUSTOWSKI,KOSOWSKI (KOSÓW HUCULSKI),488.44229090634286
baseline,1925,AUGUSTOWSKI,KOSTOPOLSKI,343.45144283983973
baseline,1925,AUGUSTOWSKI,KOSZYRSKI,302.75472182763724
baseline,1925,AUGUSTOWSKI,KOWELSKI,255.2144164499358
baseline,1925,AUGUSTOWSKI,KOZIENICKI,260.20511594988716
baseline,1925,AUGUSTOWSKI,KOŁOMYJSKI,460.46227347653587
baseline,1925,AUGUSTOWSKI,KOŚCIAŃSKI,430.25651230107877
baseline,1925,AUGUSTOWSKI,KOŚCIERSKI,437.4243364637595
baseline,1925,AUGUSTOWSKI,KRAKOWSKI,436.756119166035
baseline,1925,AUGUSTOWSKI,KRAKÓW (MIASTO),436.62630515769905
baseline,1925,AUGUSTOWSKI,KRASNOSTAWSKI,266.7841868597968
baseline,1925,AUGUSTOWSKI,KROTOSZYŃSKI,396.9143346846718
baseline,1925,AUGUSTOWSKI,KROŚNIEŃSKI,430.85634743995536
baseline,1925,AUGUSTOWSKI,KRZEMIENIECKI,387.10422603642263
baseline,1925,AUGUSTOWSKI,KUTNOWSKI,288.1366299080868
baseline,1925,AUGUSTOWSKI,KĘPIŃSKI,397.7395572057617
baseline,1925,AUGUSTOWSKI,LESKI,472.70698731850973
baseline,1925,AUGUSTOWSKI,LESZCZYŃSKI,426.21022192292617
baseline,1925,AUGUSTOWSKI,LIDZKI,131.93467970970053
baseline,1925,AUGUSTOWSKI,LIMANOWSKI,450.2368765741196
baseline,1925,AUGUSTOWSKI,LIPNOWSKI,312.2556155993046
baseline,1925,AUGUSTOWSKI,LUBACZOWSKI,352.80329467206485
baseline,1925,AUGUSTOWSKI,LUBARTOWSKI,256.51098228740165
baseline,1925,AUGUSTOWSKI,LUBAWSKI,321.7756788892401
baseline,1925,AUGUSTOWSKI,LUBELSKI,272.6603511823431
baseline,1925,AUGUSTOWSKI,LUBLINIECKI,446.5456570580858
baseline,1925,AUGUSTOWSKI,LUBOMELSKI,272.7517087519614
baseline,1925,AUGUSTOWSKI,LWOWSKI,357.49069590818135
baseline,1925,AUGUSTOWSKI,LWÓW (MIASTO),352.56822149992286
baseline,1925,AUGUSTOWSKI,M. ST. WARSZAWA,210.99555812046154
baseline,1925,AUGUSTOWSKI,MAKOWSKI (MAKÓW MAZOWIECKI),304.7270485466459
baseline,1925,AUGUSTOWSKI,MIECHOWSKI,375.9946848815789
baseline,1925,AUGUSTOWSKI,MIELECKI,358.69307894483046
baseline,1925,AUGUSTOWSKI,MIĘDZYCHODZKI,454.0404069178717
baseline,1925,AUGUSTOWSKI,MIŃSKI,204.9163243119585
baseline,1925,AUGUSTOWSKI,MOGILEŃSKI,392.253954091086
baseline,1925,AUGUSTOWSKI,MORSKI,490.2075126764047
baseline,1925,AUGUSTOWSKI,MOŁODECZAŃSKI,202.81020387634487
baseline,1925,AUGUSTOWSKI,MOŚCISKI,405.3770799503422
baseline,1925,AUGUSTOWSKI,MYŚLENICKI,469.41931703217216
baseline,1925,AUGUSTOWSKI,MŁAWSKI,285.8587247529894
baseline,1925,AUGUSTOWSKI,NADWÓRNIAŃSKI,462.3495913735093
baseline,1925,AUGUSTOWSKI,NIESZAWSKI,333.86860715856943
baseline,1925,AUGUSTOWSKI,NIEŚWIESKI,195.66025948666578
baseline,1925,AUGUSTOWSKI,NIŻAŃSKI,328.9936957670738
baseline,1925,AUGUSTOWSKI,NOWOGRÓDZKI,170.8184966792674
baseline,1925,AUGUSTOWSKI,NOWOSĄDECKI,433.99464729267186
baseline,1925,AUGUSTOWSKI,NOWOTARSKI,471.9863600356202
baseline,1925,AUGUSTOWSKI,NOWOTOMYSKI,443.0846739617985
baseline,1925,AUGUSTOWSKI,OBORNICKI,423.5178250750795
