scenario,year,origin_district,dest_district,distance_value
fixed14,1935,AUGUSTOWSKI,BARANOWICKI,1573.517217027982
fixed14,1935,AUGUSTOWSKI,BIALSKI (BIAŁA KRAKOWSKA),3178.626516007929
fixed14,1935,AUGUSTOWSKI,BIALSKI (BIAŁA PODLASKA),1593.9777811534989
fixed14,1935,AUGUSTOWSKI,BIAŁOSTOCKI,897.1059522819709
fixed14,1935,AUGUSTOWSKI,BIELSKI (BIELSK PODLASKI),1133.3984880250498
fixed14,1935,AUGUSTOWSKI,BIELSKO,3164.216084274582
fixed14,1935,AUGUSTOWSKI,BIŁGORAJSKI,2289.8032258014696
fixed14,1935,AUGUSTOWSKI,BOCHEŃSKI,2972.476138147376
fixed14,1935,AUGUSTOWSKI,BORSZCZOWSKI,3831.812558680577
fixed14,1935,AUGUSTOWSKI,BRASŁAWSKI,1937.7215217816029
fixed14,1935,AUGUSTOWSKI,BRODNICKI,2395.793444583551
fixed14,1935,AUGUSTOWSKI,BRODZKI,2874.2469385383083
fixed14,1935,AUGUSTOWSKI,BRZESKI (BRZESKO),3131.4494539364996
fixed14,1935,AUGUSTOWSKI,BRZESKI (BRZEŚĆ N.BUG.),1377.279703794209
fixed14,1935,AUGUSTOWSKI,BRZEZIŃSKI,2099.3332923314606
fixed14,1935,AUGUSTOWSKI,BRZEŻAŃSKI,3061.7908978541
fixed14,1935,AUGUSTOWSKI,BRZOZOWSKI,2970.9716895021816
fixed14,1935,AUGUSTOWSKI,BUCZACKI,3425.0024972713486
fixed14,1935,AUGUSTOWSKI,BYDGOSKI,2810.8911319773565
fixed14,1935,AUGUSTOWSKI,BÓBRECKI,3048.9046507980115
fixed14,1935,AUGUSTOWSKI,BĘDZIŃSKI,2977.9425154399833
fixed14,1935,AUGUSTOWSKI,BŁOŃSKI,1740.3932124564935
fixed14,1935,AUGUSTOWSKI,CHEŁMIŃSKI,2817.7724233775193
fixed14,1935,AUGUSTOWSKI,CHEŁMSKI,1841.3373239961052
fixed14,1935,AUGUSTOWSKI,CHODZIESKI,3128.577739901655
fixed14,1935,AUGUSTOWSKI,CHOJNICKI,3124.795377338875
fixed14,1935,AUGUSTOWSKI,CHORZÓW,2880.242714958486
fixed14,1935,AUGUSTOWSKI,CHRZANOWSKI,2918.536772110128
fixed14,1935,AUGUSTOWSKI,CIECHANOWSKI,1965.4778018186737
fixed14,1935,AUGUSTOWSKI,CIESZYŃSKI,3198.8354565300333
fixed14,1935,AUGUSTOWSKI,CZARNKOWSKI,3314.8224119734855
fixed14,1935,AUGUSTOWSKI,CZORTKOWSKI,3467.733892547657
fixed14,1935,AUGUSTOWSKI,CZĘSTOCHOWSKI,2577.9294818536805
fixed14,1935,AUGUSTOWSKI,DOBROMILSKI,3180.309863461651
fixed14,1935,AUGUSTOWSKI,DOLIŃSKI,3149.9688963108306
fixed14,1935,AUGUSTOWSKI,DROHICKI,1977.629578461272
fixed14,1935,AUGUSTOWSKI,DROHOBYCKI,3026.000210924882
fixed14,1935,AUGUSTOWSKI,DUBIEŃSKI,2772.697426756243
fixed14,1935,AUGUSTOWSKI,DZIAŁDOWSKI,2335.2469909972383
fixed14,1935,AUGUSTOWSKI,DZIŚNIEŃSKI,2063.784518061428
fixed14,1935,AUGUSTOWSKI,DĄBROWSKI,2996.6136588655613
fixed14,1935,AUGUSTOWSKI,GARWOLIŃSKI,1873.8516209240565
fixed14,1935,AUGUSTOWSKI,GNIEŹNIEŃSKI,2841.032587949698
fixed14,1935,AUGUSTOWSKI,GORLICKI,3208.3658456295334
fixed14,1935,AUGUSTOWSKI,GOSTYNIŃSKI,2330.8636428910604
fixed14,1935,AUGUSTOWSKI,GOSTYŃSKI,2962.7566898813493
fixed14,1935,AUGUSTOWSKI,GRODZIEŃSKI,725.3316607557697
fixed14,1935,AUGUSTOWSKI,GRUDZIĄDZKI,2595.7760812960237
fixed14,1935,AUGUSTOWSKI,GRÓDECKI,2761.9010532368748
fixed14,1935,AUGUSTOWSKI,GRÓJECKI,1810.8171144384155
fixed14,1935,AUGUSTOWSKI,HOROCHOWSKI,2606.140042604329
fixed14,1935,AUGUSTOWSKI,HORODEŃSKI,3681.969600301727
