District,year,scenario,ma_total,ma_domestic,ma_foreign
AUGUSTOWSKI,1924,fixed14,200596744.71785104,270.72804899636947,200596473.98980203
BARANOWICKI,1924,fixed14,193821124.00931734,240.60675197719132,193820883.40256536
BIALSKI (BIAŁA KRAKOWSKA),1924,fixed14,280472135.4247544,4999.690722606657,280467135.7340318
BIALSKI (BIAŁA PODLASKA),1924,fixed14,232987713.1641574,577.1734669996698,232987135.99069038
BIAŁOSTOCKI,1924,fixed14,223757380.62364823,951.7077911053034,223756428.9158571
BIELSKI (BIELSK PODLASKI),1924,fixed14,222134876.54564142,252.05589853255717,222134624.48974288
BIELSKO,1924,fixed14,281904814.9180187,20328.222688926668,281884486.6953298
BIŁGORAJSKI,1924,fixed14,214168554.72940493,375.7731589054609,214168178.95624602
BOCHEŃSKI,1924,fixed14,266877858.45420852,1096.1756453694425,266876762.27856314
BORSZCZOWSKI,1924,fixed14,181702060.61876187,533.8958760067296,181701526.72288585
BRASŁAWSKI,1924,fixed14,175850139.944198,179.0001069818912,175849960.94409102
BRODNICKI,1924,fixed14,280614909.3953482,1141.660188130256,280613767.73516005
BRODZKI,1924,fixed14,204585668.05228886,662.0616834489755,204585005.9906054
BRZESKI (BRZESKO),1924,fixed14,242551302.01353306,1063.6070189768354,242550238.40651408
BRZESKI (BRZEŚĆ N.BUG.),1924,fixed14,228092528.35513788,317.1262403795621,228092211.2288975
BRZEZIŃSKI,1924,fixed14,289132172.36042744,2774.27001725864,289129398.0904102
BRZEŻAŃSKI,1924,fixed14,201008272.4982535,599.493454064659,201007673.00479943
BRZOZOWSKI,1924,fixed14,228392197.8610753,1442.5472094808954,228390755.31386584
BUCZACKI,1924,fixed14,193148773.2903279,551.417570400762,193148221.8727575
BYDGOSKI,1924,fixed14,300059059.6166072,2308.1230469651614,300056751.4935602
BÓBRECKI,1924,fixed14,202736365.99299824,1041.40493017645,202735324.58806807
BĘDZIŃSKI,1924,fixed14,297583620.7611102,3002.56854461394,297580618.19256556
BŁOŃSKI,1924,fixed14,276240240.1964672,2482.229440352185,276237757.9670269
CHEŁMIŃSKI,1924,fixed14,283908805.6231396,1354.164281592932,283907451.458858
CHEŁMSKI,1924,fixed14,226250482.8810866,703.2966702003016,226249779.5844164
CHODZIESKI,1924,fixed14,313140651.2430185,1110.5676775065251,313139540.675341
CHOJNICKI,1924,fixed14,269967724.79466724,422.54136197832565,269967302.25330526
CHORZÓW,1924,fixed14,317659309.53013617,360677.4369580891,317298632.0931781
CHRZANOWSKI,1924,fixed14,295257674.3318136,3954.0219138089674,295253720.30989975
