District,year,rural_pop,city_pop_sum,pop_total,MA_district
KOŚCIAŃSKI,1913,66176.79999999999,15539.2,81715.99999999999,11969.201690403834
ZBOROWSKI,1913,51189.59999999998,9343.4,60532.99999999998,9959.150600505274
MIĘDZYCHODZKI,1913,23670.20000000001,5740.0,29410.20000000001,9232.801872078842
KOŁOMYJSKI,1913,107218.40000000002,35661.6,142880.00000000003,10342.333524273437
DZIŚNIEŃSKI,1913,114329.19999999995,8986.2,123315.39999999995,5880.722269850304
STOLIŃSKI,1913,61275.19999999995,11882.0,73157.19999999995,8469.684752553265
STANISŁAWOWSKI,1913,84183.59999999998,51411.200000000004,135594.8,11657.792133426725
ŚREDZKI,1913,40614.0,10644.599999999999,51258.6,11990.44570565574
WOŁKOWYSKI,1913,60260.40000000002,10147.8,70408.20000000003,10114.49461531619
HORODEŃSKI,1913,63854.59999999998,8254.8,72109.39999999998,8873.745122724167
KATOWICE,1913,95682.77990783729,174609.6,270292.3799078373,17027.645996609426
MIELECKI,1913,61790.79999999999,6955.0,68745.79999999999,13128.799886269311
PUŁAWSKI,1913,121249.6000000001,8946.0,130195.6000000001,12507.271816870176
RAWSKI (RAWA RUSKA),1913,81461.40000000002,12773.6,94235.00000000003,11884.555781903153
MOGILEŃSKI,1913,68718.59999999998,19408.0,88126.59999999998,11849.053207792018
SOKALSKI,1913,78260.99999999988,12167.8,90428.79999999989,8279.830899957713
BUCZACKI,1913,87122.40000000002,15751.0,102873.40000000002,10296.973398191949
PRZEMYŚLAŃSKI,1913,63767.59999999998,7584.2,71351.79999999997,12020.709371626448
GOSTYNIŃSKI,1913,63449.0,12222.0,75671.0,11171.3036657497
BIŁGORAJSKI,1913,80355.59999999986,5342.0,85697.59999999986,9739.159630875787
RUDECKI,1913,60190.40000000002,7850.200000000001,68040.60000000002,11633.32096665808
RADOMSZCZAŃSKI,1913,137888.19999999995,18645.6,156533.79999999996,14766.843541314094
STRYJSKI,1913,81404.80000000005,29444.6,110849.40000000005,10587.098028363878
PŁOŃSKI,1913,60380.40000000002,8519.2,68899.60000000002,10719.256310812616
KRZEMIENIECKI,1913,168621.0,12924.8,181545.8,9413.669211769453
CHRZANOWSKI,1913,65617.19999999995,33936.4,99553.59999999995,16913.84029001795
MYŚLENICKI,1913,77242.3999999999,9557.4,86799.7999999999,11605.109645717843
TARNOWSKI,1913,70351.79999999993,31452.0,101803.79999999993,14146.145284437182
SOKOŁOWSKI,1913,63035.59999999998,6578.2,69613.79999999997,12660.297906742098
CZORTKOWSKI,1913,53006.59999999998,12608.6,65615.19999999998,10720.93388476943
SIERPECKI,1913,51748.40000000002,12150.6,63899.00000000002,8539.400154160916
SANDOMIERSKI,1913,94052.40000000002,8611.4,102663.80000000002,10683.681094724896
RADZYŃSKI,1913,62894.179154810525,16576.800000000003,79470.97915481053,12259.467293043457
RYBNICKI,1913,121364.68421822131,17252.800000000003,138617.48421822133,13886.075599244252
WOLSZTYŃSKI,1913,43505.59999999998,7462.6,50968.199999999975,11012.179199656015
ŻÓŁKIEWSKI,1913,64110.0,11717.6,75827.6,12546.539631673359
LIDZKI,1913,111213.6000000001,8529.8,119743.4000000001,8718.352002652588
CIESZYŃSKI,1913,47471.677693813996,16039.6,63511.277693813994,13329.575574742481
LESZCZYŃSKI,1913,38394.59999999998,18185.0,56579.59999999998,11863.833060507128
PIŃSKI,1913,77690.19999999995,18172.8,95862.99999999996,9073.784650174017
DOLIŃSKI,1913,58704.40000000002,18689.8,77394.20000000003,11247.28812023671
NADWÓRNIAŃSKI,1913,74796.0,7638.200000000001,82434.2,9757.901657662587
ZBARASKI,1913,57466.79999999999,7772.0,65238.79999999999,10200.625730053289
BŁOŃSKI,1913,58855.39999999991,34154.6,93009.99999999991,14091.407497193357
SKIERNIEWICKI,1913,46247.79999999999,13811.8,60059.59999999999,15667.328812943808
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),1913,37958.20000000001,12190.2,50148.40000000001,9270.610073352094
LWOWSKI,1913,96779.59999999998,5551.0,102330.59999999998,15628.238177773594
MOŚCISKI,1913,71088.79999999993,8680.0,79768.79999999993,11641.44144206676
TORUŃSKI,1913,36785.59999999998,40008.4,76793.99999999997,13102.44030923805
SIERADZKI,1913,109595.80000000005,35728.4,145324.20000000004,14393.186606317238
CZARNKOWSKI,1913,37607.20000000001,5800.0,43407.20000000001,9500.064082648803
RADOMSKI,1913,114276.0,51235.0,165511.0,13802.46576767289
KOWELSKI,1913,84663.99999999977,17296.0,101959.99999999977,10382.817713450258
WILEJSKI,1913,88661.40000000002,1674.6,90336.00000000003,6453.456400776013
KROŚNIEŃSKI,1913,81979.80000000005,11139.2,93119.00000000004,12911.162436638375
