District,MA_1913,MA_1939,delta,pct_change,log_change,from_year,to_year
AUGUSTOWSKI,8235.934810714165,18679.388655326664,10443.453844612499,1.268035029979421,0.8189138310634334,1913,1939
BARANOWICKI,9113.29063927918,18746.40163400581,9633.110994726632,1.0570398087828972,0.721267963319189,1913,1939
BIALSKI (BIAŁA KRAKOWSKA),14041.982748284765,28171.83023784425,14129.847489559485,1.0062572887924568,0.6962709409325587,1913,1939
BIALSKI (BIAŁA PODLASKA),12071.273667303536,28225.499227714634,16154.225560411098,1.3382370415614644,0.8493972443783093,1913,1939
BIAŁOSTOCKI,11185.358748118419,25837.731119308948,14652.37237119053,1.3099599843997245,0.8372302016129787,1913,1939
BIELSKI (BIELSK PODLASKI),10980.117294754202,24999.191458500707,14019.074163746505,1.2767690715329767,0.8227573640785497,1913,1939
BIELSKO,13978.09828530909,29082.538294102163,15104.440008793074,1.0805790387572078,0.7326462389894743,1913,1939
BIŁGORAJSKI,9739.159630875787,25640.694599338978,15901.534968463191,1.6327419994278554,0.9680258884088317,1913,1939
BOCHEŃSKI,14380.31456234301,30817.391472565894,16437.076910222884,1.1430262418087715,0.7622189617775348,1913,1939
BORSZCZOWSKI,7985.498474542388,16457.914445193037,8472.415970650649,1.0609752162198194,0.7231792767122052,1913,1939
BRASŁAWSKI,4968.660540301456,13427.629705881061,8458.969165579605,1.7024646978733595,0.9941642076793435,1913,1939
BRODNICKI,12182.836724167497,27863.228680548003,15680.391956380507,1.2870887389695365,0.8272797157612288,1913,1939
BRODZKI,12329.126635188293,25576.996091186444,13247.86945599815,1.0745180780435564,0.7297288751628201,1913,1939
BRZESKI (BRZESKO),12006.942261280768,24571.05013754612,12564.107876265352,1.0464036224094535,0.7160839219784112,1913,1939
BRZESKI (BRZEŚĆ N.BUG.),12145.21784360821,28673.28564261984,16528.06779901163,1.360870427508225,0.8590303762535676,1913,1939
BRZEZIŃSKI,16279.800607236055,36042.80961869752,19763.00901146147,1.2139589106931195,0.7947822752583651,1913,1939
BRZEŻAŃSKI,11190.674226463914,23505.139248069932,12314.465021606018,1.1004220811365002,0.7421383155507701,1913,1939
BRZOZOWSKI,11177.201904736032,24566.978154976943,13389.776250240911,1.1979542254280435,0.7875270302086346,1913,1939
BUCZACKI,10296.973398191949,21355.833759437584,11058.860361245635,1.0739913500395626,0.7294749391330466,1913,1939
BYDGOSKI,11941.588123866197,26571.014174167347,14629.42605030115,1.2250821162608259,0.7997938211218276,1913,1939
BÓBRECKI,11224.367248684335,23004.03140897176,11779.664160287426,1.0494724468025738,0.717582417008785,1913,1939
BĘDZIŃSKI,14704.453528830365,32466.220522666023,17761.766993835656,1.207917516894521,0.7920497712381476,1913,1939
BŁOŃSKI,14091.407497193357,40288.00379460535,26196.59629741199,1.8590475296828703,1.0504885377850144,1913,1939
CHEŁMIŃSKI,11330.904863738186,24950.786532211754,13619.881668473568,1.202011828028024,0.7893714097792603,1913,1939
CHEŁMSKI,11881.613823640277,29732.57896884682,17850.965145206545,1.5024024017418687,0.9172512311437568,1913,1939
CHODZIESKI,10837.909001864466,23097.663021661006,12259.75401979654,1.1311918210133958,0.7566813636188616,1913,1939
CHOJNICKI,9306.938468228544,19836.406284136567,10529.467815908023,1.1313567669812015,0.75675875673919,1913,1939
CHORZÓW,20922.098654075264,41807.21901794122,20885.120363865957,0.9982325726103913,0.6922630761599962,1913,1939
CHRZANOWSKI,16913.84029001795,35092.10114025339,18178.26085023544,1.074756562586423,0.7298438275647623,1913,1939
CIECHANOWSKI,13053.070007582042,30030.263933248472,16977.19392566643,1.3006284280866498,0.8331823152175861,1913,1939
CIESZYŃSKI,13329.575574742481,28560.607959125253,15231.032384382772,1.1426494638916531,0.7620431304995936,1913,1939
CZARNKOWSKI,9500.064082648803,20158.06326361822,10657.999180969417,1.1218870828919454,0.7523058261896853,1913,1939
CZORTKOWSKI,10720.93388476943,21962.70016031819,11241.766275548758,1.0485808789026523,0.7171472992379169,1913,1939
CZĘSTOCHOWSKI,14443.648889940247,30758.165354548055,16314.516464607808,1.1295287353579044,0.7559007042360406,1913,1939
DOBROMILSKI,12046.796821118618,24968.171387093884,12921.374565975266,1.072598364348892,0.7288030685892899,1913,1939
DOLIŃSKI,11247.28812023671,23555.011027460172,12307.722907223462,1.0942835975792917,0.739211536697022,1913,1939
DROHICKI,9013.541477195677,20541.240199588567,11527.69872239289,1.2789311228619789,0.8237065272802813,1913,1939
DROHOBYCKI,12821.71963434843,27197.421653325357,14375.702018976926,1.1211992173394192,0.7519815973101007,1913,1939
DUBIEŃSKI,10766.468928133343,21720.666261276532,10954.19733314319,1.0174363950021998,0.7018275940241985,1913,1939
DZIAŁDOWSKI,10843.294005774927,24126.601069283028,13283.3070635081,1.2250250759993841,0.79976818566678,1913,1939
DZIŚNIEŃSKI,5880.722269850304,13366.10807024643,7485.385800396126,1.272868443179628,0.8210426651398102,1913,1939
DĄBROWSKI,13280.400853179295,28485.685148876775,15205.28429569748,1.1449416673335855,0.7631123572939202,1913,1939
GARWOLIŃSKI,12894.955475586614,28548.36871906837,15653.413243481757,1.213917587627006,0.7947636102996061,1913,1939
GNIEŹNIEŃSKI,12805.227231829995,25630.712329342652,12825.485097512657,1.001581999703395,0.6939378677361336,1913,1939
GORLICKI,12771.958565421539,26220.440083018082,13448.481517596543,1.052969397662047,0.7192872317698527,1913,1939
GOSTYNIŃSKI,11171.3036657497,28270.386535685015,17099.082869935315,1.5306255546843377,0.9284665269929384,1913,1939
GOSTYŃSKI,12410.234913100952,25965.44484802586,13555.20993492491,1.092260543804473,0.7382450813754193,1913,1939
GRODZIEŃSKI,9174.46069622449,20241.19234319989,11066.7316469754,1.206254189036923,0.791296140411287,1913,1939
GRUDZIĄDZKI,12015.928353765485,26262.891345536398,14246.962991770914,1.1856730976018408,0.7819238349310691,1913,1939
GRÓDECKI,13632.642809232642,28406.90218789587,14774.259378663228,1.083741398157768,0.7341650270156865,1913,1939
GRÓJECKI,11753.254739835766,34021.71455781248,22268.459817976713,1.8946632495338798,1.0628687828545669,1913,1939
HOROCHOWSKI,9152.254066841566,21105.86004282691,11953.605975985343,1.306083276172699,0.8355505340190543,1913,1939
