Region;District;Pszenica;Øyto;JÍczmieÒ;Owies;Gryka;Groch;Ziemniaki jadalne;Ziemniaki fabryczne;Siano koniczyny;Siano ≥πkowe;S≥oma;koÒ roboczy (cena minimalna);koÒ roboczy (cena maksymalna);krowa dojna (cena minimalna);krowa dojna (cena maksymalna)
BIA£OSTOCKIE;AUGUSTOWSKI;53,67;45,63;42,14;44;45,6;47,56;10,95;9;11,89;9,63;6;259.0;405.0;311.0;498.0
BIA£OSTOCKIE;BIA£OSTOCKI;48,33;41,3;35,79;40,94;38,4;39;10,99;9;11,34;9,11;4,75;213.0;471.0;307.0;575.0
BIA£OSTOCKIE;BIA£YSTOK (MIASTO);;;;;;;;;;;;;;;
BIA£OSTOCKIE;BIELSKI (BIELSK PODLASKI);53,89;42,4;39,13;42,6;34,33;39,83;11,6;9;16,2;10,33;5,8;215.0;450.0;325.0;535.0
BIA£OSTOCKIE;GRODZIE—SKI;52,53;45,79;42,68;45,69;43,63;48,29;11,02;8,27;14,11;10,35;5,94;279.0;534.0;295.0;500.0
BIA£OSTOCKIE;KOLNE—SKI;52,2;38,1;37,44;38,25;40,33;46,13;9,1;7,5;8,9;7,16;4,68;255.0;505.0;320.0;520.0
BIA£OSTOCKIE;OSTROWSKI (OSTR”W MAZOWIECKA);50,62;38,27;37,54;36,71;42,57;57,11;12,19;11,75;11,09;8,7;4,25;234.0;531.0;306.0;638.0
BIA£OSTOCKIE;OSTRO£ CKI;54,71;39,1;38,43;39,53;43,79;48,47;11,52;9,4;10,94;7,32;4,12;240.0;479.0;311.0;540.0
BIA£OSTOCKIE;SOK”LSKI;53,13;44,5;41,2;44,4;40,14;44,3;10,63;9;9,42;7,4;4,54;285.0;515.0;300.0;480.0
BIA£OSTOCKIE;SUWALSKI;55;43,2;41,88;43;45;45,71;12,78;8;12,07;10,25;6,17;235.0;405.0;300.0;440.0
BIA£OSTOCKIE;SZCZUCZY—SKI (WOJ. BIA£OSTOCKIE);52,8;43,78;42,5;41,57;44;45;10;X;11,81;9,83;4,47;285.0;425.0;314.0;484.0
BIA£OSTOCKIE;WO£KOWYSKI;51,67;43;40,06;42;37,62;42,85;10;8,6;13,5;9,93;6,9;336.0;609.0;324.0;526.0
BIA£OSTOCKIE;WYSOKOMAZOWIECKI;50,82;40;37,6;40,75;X;40,17;11,56;10;13,27;10;5,75;260.0;503.0;309.0;647.0
BIA£OSTOCKIE;£OMØY—SKI;51,57;42;39,83;42;43;55;11,25;8;15,2;10;4,82;250.0;435.0;336.0;520.0
KIELECKIE;B DZI—SKI;54,14;42;40;40;X;X;16,75;X;26,8;19,4;14;313.0;625.0;364.0;686.0
KIELECKIE;CZ STOCHOWA (MIASTO);;;;;;;;;;;;;;;
KIELECKIE;CZ STOCHOWSKI;51,25;41,7;40,25;41,67;48;72,71;15,56;10,75;17,63;14,89;10,18;218.0;460.0;302.0;534.0
KIELECKIE;I£ØECKI;51,44;39,69;38,47;39,46;41,56;51,9;11,69;7,8;11,44;10,06;5,57;237.0;519.0;281.0;491.0
