Region;District;Pszenica (za q = 100kg);Øyto (za q = 100kg);JÍczmieÒ browarniany (za q = 100kg);JÍczmieÒ innych gatunkÛw (za q = 100kg);Owies (za q = 100kg);Gryka (za q = 100kg);Groch (za q = 100kg);Ziemniaki jadalne (za q = 100kg);Ziemniaki fabryczne (za q = 100kg);Siano koniczyny (za q = 100kg);Siano ≥πkowe (za q = 100kg);S≥oma (za q = 100kg)
BIA£OSTOCKIE;AUGUSTOWSKI;36,50;16,5;19,00;17,67;16,75;21,00;20,00;4,43;3,00;7,80;5,55;3,45
BIA£OSTOCKIE;BIA£OSTOCKI;34,38;16,3;19,00;16,11;17,89;20,00;20,30;6,11;5,00;9,64;7,03;3,94
BIA£OSTOCKIE;BIA£YSTOK (MIASTO);;;;;;;;;;;;
BIA£OSTOCKIE;BIELSKI (BIELSK PODLASKI);29,75;15;20,50;18,43;17,88;16,00;16,50;6,43;5,00;9,07;5,89;3,09
BIA£OSTOCKIE;GRODZIE—SKI;30,45;14,8;17,22;17,08;17,32;19,88;22,58;5,04;2,88;8,79;6,49;3,77
BIA£OSTOCKIE;KOLNE—SKI;32,53;14,38;15,75;15,63;15,36;19,33;22,40;4,53;4,33;10,13;8,19;3,56
BIA£OSTOCKIE;OSTROWSKI (OSTR”W MAZOWIECKA);31,78;15,33;X;18,67;21;23,80;20,67;5,22;X;7,00;6,33;4,25
BIA£OSTOCKIE;OSTRO£ CKI;31,50;15,24;18,17;16,75;17,43;24,78;25,67;4,9;3,00;8,46;6,60;3,7
BIA£OSTOCKIE;SOK”LSKI;32,00;15,13;19,00;17,4;17,83;18,75;22,17;4,82;3,90;7,54;4,36;4,04
BIA£OSTOCKIE;SUWALSKI;31,11;14,6;17,80;17,33;16,86;29,00;17,80;4,89;3,50;4,94;4,15;3,22
BIA£OSTOCKIE;SZCZUCZY—SKI (WOJ. BIA£OSTOCKIE);32,07;16,57;19,17;17;17,21;24,75;21,75;4,45;3,67;8,00;5,87;3,44
BIA£OSTOCKIE;WO£KOWYSKI;30,90;14,95;19,09;17,77;20,8;20,55;21,40;4,8;4,00;8,61;6,27;4,09
BIA£OSTOCKIE;WYSOKOMAZOWIECKI;30,94;14,89;17,50;17,1;17,21;24,00;20,00;5,47;X;9,67;7,28;4,02
BIA£OSTOCKIE;£OMØY—SKI;30,17;16,33;X;19;18;18,00;19,00;5,13;4,00;7,50;6,33;3,9
KIELECKIE;B DZI—SKI;37,00;17,4;20,00;20;20;X;X;8,67;X;12,67;8,00;6,25
KIELECKIE;CZ STOCHOWA (MIASTO);;;;;;;;;;;;
KIELECKIE;CZ STOCHOWSKI;32,18;15,85;17,71;17;19,11;X;X;6,84;5,00;8,86;7,31;3,94
KIELECKIE;I£ØECKI;30,19;13,81;16,14;15,45;15,4;22,00;30,20;6,46;X;8,75;7,00;4,57
KIELECKIE;J DRZEJOWSKI;31,05;15,85;18,30;17,21;18,25;X;30,80;6,68;5,20;7,91;6,29;4,04
KIELECKIE;KIELECKI;32,69;16,06;17,50;16,08;18,5;X;32,50;8,11;6,00;11,31;9,14;5,33
KIELECKIE;KONECKI;35,07;16,53;X;19,2;18,93;X;X;6,6;4,67;12,64;8,90;5,42
KIELECKIE;KOZIENICKI;31,42;12,92;15,43;15;17,45;27,33;32,00;6,64;3,25;11,50;7,80;4,86
