Region;District;Pszenica (z≥ za q = 100kg);Øyto (z≥ za q = 100kg);JÍczmieÒ browarniany (z≥ za q = 100kg);JÍczmieÒ innych gatunkÛw (z≥ za q = 100kg);Owies (z≥ za q = 100kg);Gryka (z≥ za q = 100kg);Groch (z≥ za q = 100kg);Ziemniaki jadalne (z≥ za q = 100kg);Ziemniaki fabryczne (z≥ za q = 100kg);Siano koniczyny (z≥ za q = 100kg);Siano ≥πkowe (z≥ za q = 100kg);S≥oma (z≥ za q = 100kg)
BIA£OSTOCKIE;AUGUSTOWSKI;20,4;15,2;16,00;15,2;13,5;X;20,25;5,4;4,00;6,02;4,64;3,93
BIA£OSTOCKIE;BIA£OSTOCKI;20,08;14,73;15,66;15,2;15,64;18,00;16,71;3,84;X;6,10;4,73;4,04
BIA£OSTOCKIE;BIA£YSTOK (MIASTO);;;;;;;;;;;;
BIA£OSTOCKIE;BIELSKI (BIELSK PODLASKI);23,45;15,5;16,00;15,78;15,72;16,00;18,66;4,15;X;7,75;5,23;3,72
BIA£OSTOCKIE;GRODZIE—SKI;21,75;15,11;13,78;13,62;15;14,83;19,00;4,31;3,30;6,91;5,73;4,54
BIA£OSTOCKIE;OSTROWSKI (OSTR”W MAZOWIECKA);22,38;13,77;X;17,75;17;18,50;21,20;3,76;X;7,50;6;4,5
BIA£OSTOCKIE;OSTRO£ CKI;21,61;13,89;17,00;15,36;14,58;16,20;18,63;3,1;2,20;7,19;5,61;3,66
BIA£OSTOCKIE;SOK”LSKI;20,42;14,7;15,83;14,18;15,06;15,30;18,30;4,49;3,30;6,48;5,05;4,1
BIA£OSTOCKIE;SUWALSKI;19,55;13,08;15,00;13,5;12,4;X;16,71;4,32;3,33;5,19;4,4;3,63
BIA£OSTOCKIE;SZCZUCZY—SKI (WOJ. BIA£OSTOCKIE);22,75;13,78;14,50;14,5;14,33;12,67;16,60;3,28;2,75;6,54;4,83;3,98
BIA£OSTOCKIE;WO£KOWYSKI;21,58;15,63;15,33;14,3;15,72;15,00;17,91;4,28;3,60;7,06;5,18;3,98
BIA£OSTOCKIE;WYSOKOMAZOWIECKI;22,73;14,33;14,33;14,11;15,83;X;21,00;4,25;4,00;7,40;6,51;4,78
BIA£OSTOCKIE;£OMØY—SKI;20,5;13,75;15,33;14,89;15,63;17,50;17,00;3,47;2,50;6,31;5,33;3,76
KIELECKIE;B DZI—SKI;24,8;20,5;18,00;16,5;22;X;X;6,83;X;13,00;8,25;7,83
KIELECKIE;CZ STOCHOWA (MIASTO);;;;;;;;;;;;
KIELECKIE;CZ STOCHOWSKI;25,88;15,8;16,67;16,22;16,82;24,33;25,00;3,95;X;9,50;7,77;5,32
KIELECKIE;I£ØECKI;23,36;15,43;14,80;13,21;12,08;19,75;24,00;4,65;3,50;11,00;9,25;6,56
KIELECKIE;J DRZEJOWSKI;25,25;15,9;16,73;15,64;16,2;23,00;25,14;4,62;4,00;11,57;8,9;6,7
KIELECKIE;KIELECKI;25,5;16,69;18,00;16,25;15,44;X;26,00;4,13;4,00;10,25;8,63;6,83
KIELECKIE;KONECKI;22,11;15,11;16,00;15,83;17;X;26,00;4;X;13,70;9,83;6,86
KIELECKIE;KOZIENICKI;23,95;14,95;14,22;14,17;13,63;18,56;X;3,88;3,57;8,20;7,08;5,41
KIELECKIE;MIECHOWSKI;25,79;16,67;16,80;16,42;16,67;X;28,00;4,7;X;9,11;6,56;5,22
KIELECKIE;OLKUSKI;25,95;16,9;18,50;15,94;16,28;21,00;26,00;5,26;4,30;10,87;8,27;6,47
KIELECKIE;OPATOWSKI;23,27;15,77;14,40;14,11;13,42;20,00;26,40;4;X;9,80;8,75;5,92
KIELECKIE;OPOCZY—SKI;20,15;14,44;13,67;13,36;13,38;16,00;24,33;3,34;2,83;9,33;7,51;6,28
KIELECKIE;PI—CZOWSKI;25,05;16,58;16,57;15,39;16,28;X;28,40;4,94;3,00;8,31;6,63;4,69
KIELECKIE;RADOM (MIASTO);;;;;;;;;;;;
KIELECKIE;RADOMSKI;24,1;14,8;16,30;14,18;14,4;18,67;25,50;3,04;2,46;10,21;7,88;4,96
KIELECKIE;SANDOMIERSKI;24,38;15,38;13,75;13,27;12,82;X;26,40;4,06;4,00;8,00;6,5;4,42
KIELECKIE;SOSNOWIEC;;;;;;;;;;;;
KIELECKIE;STOPNICKI;24,67;16,11;16,00;15,89;15,33;X;28,00;3,84;3,00;8,40;7;4,8
KIELECKIE;W£OSZCZOWSKI;26,06;15,44;16,29;15,25;17,23;24,50;27,00;3,79;3,50;9,75;7,42;6,29
KIELECKIE;ZAWIERCIA—SKI;25,6;17,31;17,50;17,38;19,27;X;27,67;5,38;4,17;11,56;8,27;6,96
