Region;District;Pszenica;Øyto;JÍczmieÒ browarny;JÍczmieÒ na kaszÍ;Owies;Gryka;Groch;Ziemniaki jadalne;Ziemniaki fabryczne;Siano - koniczyny;Siano - ≥πkowe;S≥oma
BIA£OSTOCKIE;AUGUSTOWSKI;15,08;10,46;X;11,38;11,69;13,60;18,89;2,95;2,72;4,03;3,28;2,2
NOWOGR”DZKIE;BARANOWICKI;15,23;10,27;10,86;10,25;11,07;13,10;16,57;2,49;1,87;4,27;3,36;1,8
KIELECKIE;B DZI—SKI;17,14;14;X;15,4;15;X;X;5,06;X;8,67;6,31;3,85
KRAKOWSKIE;BIALSKI (BIA£A KRAKOWSKA);17,25;14,33;15,00;13;13,44;X;X;5,07;X;9,00;6,61;4,5
LUBELSKIE;BIALSKI (BIA£A PODLASKA);15,48;9,96;11,50;11,48;11,42;13,71;18,80;2,31;1,80;4,88;3,93;2,02
BIA£OSTOCKIE;BIA£OSTOCKI;15,84;11;13,00;12;12,38;15,70;16,21;2,85;2,63;5,42;4,33;2,34
BIA£OSTOCKIE;BIELSKI (BIELSK PODLASKI);14,91;10;11,75;11,23;11,16;13,28;14,42;2,82;2,51;4,41;3,21;1,8
åL•SKIE;BIELSKI (BIELSKO);18,33;14,7;17,33;16;14,4;X;X;5,39;5,25;9,40;7,05;4,7
LUBELSKIE;BI£GORAJSKI;15,06;11,41;12,00;11,13;11,06;14,31;25,00;3,26;X;4,98;4,13;2,52
WARSZAWSKIE;B£O—SKI;17,71;12,33;13,43;12,83;13,6;16,00;19,33;4,27;3,04;6,82;4,86;2,96
KRAKOWSKIE;BOCHE—SKI;17,38;13,38;14,67;13,86;13,5;X;X;4,69;4,00;7,39;5,63;3,36
TARNOPOLSKIE;BORSZCZOWSKI;14,63;9,88;10,17;9,71;10,63;12,83;15,29;3,29;2,67;4,10;4;2,31
LWOWSKIE;B”BRECKI;15,5;10,88;12,75;11,14;11,25;13,75;19,75;3;X;5,21;4,21;2,71
ZIEMIA WILE—SKA;BRAS£AWSKI;12,6;8,81;10,00;9,07;8,87;9,50;9,78;2,16;X;3,54;2,51;1,76
POMORSKIE;BRODNICKI;14,4;11;12,63;11,78;11;X;17,33;3,06;2,67;X;4;1,6
TARNOPOLSKIE;BRODZKI;13,79;10,36;10,00;9,5;9,62;12,38;15,00;2,89;2,67;4,75;3,48;2,34
KRAKOWSKIE;BRZESKI (BRZESKO);16,78;12,61;13,50;12;11,89;X;X;3,65;3,00;6,25;4,29;2,33
POLESKIE;BRZESKI (BRZEå∆ N.BUG.);15,2;10,11;12,00;11;11,39;13,08;15,30;2,37;1,75;4,35;3,07;1,84
£”DZKIE;BRZEZI—SKI;17;12,59;X;13,33;13,65;16,00;X;3,2;X;7,78;6,02;2,9
TARNOPOLSKIE;BRZEØA—SKI;14,27;10,27;10,50;10,3;10,64;11,22;15,33;2,83;X;4,90;4,17;2,43
LWOWSKIE;BRZOZOWSKI;16,54;13;X;12,73;12,33;X;21,50;3,72;2,50;5,40;4,85;2,39
TARNOPOLSKIE;BUCZACKI;14;10,07;11,00;9,8;9,57;11,83;19,00;3,55;2,63;5,00;4,5;2,58
POZNA—SKIE;BYDGOSKI;16,08;12,25;14,13;13,17;13,27;X;17,83;4,12;X;6,70;5,19;3,01
POMORSKIE;CHE£MI—SKI;15,89;11,74;13,83;12,53;12,33;X;18,00;3,44;2,75;6,38;5,38;2,8
LUBELSKIE;CHE£MSKI;15;10,29;10,80;10,07;10,4;12,29;15,50;3,04;2,33;3,69;2,95;1,78
POZNA—SKIE;CHODZIESKI;14,75;11,46;13,00;12,55;12,25;X;X;4,33;2,20;5,00;4,69;2,08
POMORSKIE;CHOJNICKI;14;11,33;13,00;12,59;12,29;X;23,14;2,99;2,44;6,22;4,59;2,67
KRAKOWSKIE;CHRZANOWSKI;18;15,25;X;15;14,42;X;28,33;5,42;X;9,42;6,83;4,91
WARSZAWSKIE;CIECHANOWSKI;16,83;11,06;12,29;11,69;12,06;14,13;18,33;2,53;1,83;5,07;4,03;2,1
åL•SKIE;CIESZY—SKI;18,56;14,5;16,36;15,69;14;X;X;5,79;4,33;9,22;6,91;4,43
POZNA—SKIE;CZARNKOWSKI;15,47;11,87;14,00;12,85;12,5;X;22,00;4,31;3,50;7,17;5,64;2,25
KIELECKIE;CZ STOCHOWSKI;16,81;12,15;14,00;12,6;12,78;X;29,00;3,14;3,00;6,70;5,06;2,65
TARNOPOLSKIE;CZORTKOWSKI;13,29;9,29;9,86;9,21;10,33;12,64;14,25;2,74;2,60;5,27;3;2,46
KRAKOWSKIE;D•BROWSKI;16,13;11,87;12,00;11,7;11,27;X;22,60;3,19;2,50;5,73;3,73;2,26
LWOWSKIE;DOBROMILSKI;15,8;11,8;X;12;9,8;X;X;3,05;X;6,00;4,2;3
STANIS£AWOWSKIE;DOLI—SKI;16;13;X;12,5;12,4;X;X;3,47;X;5,10;3,93;2,92
POLESKIE;DROHICKI;14,75;10,57;X;10,58;10,64;11,18;13,50;2,44;2,40;3,63;2,37;1,78
LWOWSKIE;DROHOBYCKI;16,22;12,56;X;11,71;10,67;18,00;20,00;3,28;X;4,33;3,33;2,56
WO£Y—SKIE;DUBIE—SKI;13,93;10,07;10,06;9,63;9,67;11,58;13,00;2,71;2,69;4,24;3,4;1,91
POMORSKIE;DZIA£DOWSKI;15,13;10,71;12,50;11,45;11,72;X;17,22;2,89;2,78;6,10;4,38;2,34
ZIEMIA WILE—SKA;DZIåNIE—SKI;12,46;8,39;9,00;8,88;9,61;X;9,90;1,94;1,64;3,83;2,88;1,72
LUBELSKIE;GARWOLI—SKI;16,22;10,94;12,75;12,11;11,33;15,33;22,00;3,52;3,00;6,16;4,33;2,25
POZNA—SKIE;GNIEèNIE—SKI;15,46;11,64;13,70;12,48;12,34;X;17,71;4,42;3,31;5,83;5,65;2,38
KRAKOWSKIE;GORLICKI;17,06;13;X;13,45;12,71;X;17,50;4,07;X;7,52;5,61;3,66
WARSZAWSKIE;GOSTYNI—SKI;17,2;12;13,25;12,64;12,31;15,50;17,75;3,66;3,25;6,50;5,18;3,21
POZNA—SKIE;GOSTY—SKI;16,13;12,08;13,44;12,38;12,62;X;21,00;3,94;2,74;7,00;6,29;2,68
BIA£OSTOCKIE;GRODZIE—SKI;15,76;10,38;11,21;10,88;11,57;12,44;16,88;2,48;2,24;4,25;3,42;1,95
LWOWSKIE;GR”DECKI;15;11,25;12,50;11,4;11,91;12,50;X;3,94;2,83;5,00;3,81;2,6
WARSZAWSKIE;GR”JECKI;16,82;11,58;12,33;12,18;13;X;X;3,55;2,13;6,20;4,23;2,02
POMORSKIE;GRUDZI•DZKI;15,59;11,83;14,50;12,83;13,11;X;18,11;4,01;2,43;5,75;5;2,43
WO£Y—SKIE;HOROCHOWSKI;13,85;9,5;10,00;9,61;9,65;11,00;13,57;2,73;2,38;3,90;3;1,65
STANIS£AWOWSKIE;HORODE—SKI;14,2;10,6;13,50;10;9,78;X;20,50;2,6;2,50;5,33;4;2,36
LUBELSKIE;HRUBIESZOWSKI;14,33;9,87;11,17;10;11;13,60;18,40;2,64;2,38;4,11;3,53;1,91
KIELECKIE;I£ØECKI;14,55;10,64;12,67;10,82;11,5;13,67;22,40;3,01;2,17;5,00;4,25;2,54
POZNA—SKIE;INOWROC£AWSKI;16,33;12,19;13,60;12,68;13,17;X;20,38;3,94;3,14;6,71;5,75;2,39
POLESKIE;IWACEWICKI;14,5;10,25;10,67;10,33;10,29;11,33;16,00;2,26;X;X;2,52;1,58
LUBELSKIE;JANOWSKI;14,88;10,56;11,67;10,46;10,94;12,00;20,40;2,7;2,17;5,00;4,13;2,16
POZNA—SKIE;JAROCI—SKI;16,06;11,94;14,33;12,5;12,56;X;19,60;4,11;X;6,50;6;2,86
LWOWSKIE;JAROS£AWSKI;15,42;12,05;12,55;11,69;11,89;14,25;25,25;3,23;2,86;4,72;3,87;2,14
KRAKOWSKIE;JASIELSKI;16,22;12,26;12,56;12,22;11,64;X;21,29;3,09;2,32;6,31;4,11;2,52
LWOWSKIE;JAWOROWSKI;15,19;11,19;11,40;11;11,13;13,89;16,83;3,29;3,25;5,06;3,62;2,42
KIELECKIE;J DRZEJOWSKI;15,94;11,67;13,00;11,88;11,87;X;17,43;2,61;2,50;5,00;3,58;2,22
£”DZKIE;KALISKI;17,07;12,27;13,17;12;12,57;X;24,67;3,49;2,35;8,00;6,67;2,46
STANIS£AWOWSKIE;KA£USKI;16,67;12,6;X;11,6;10,63;13,00;20,50;3,75;3,33;5,61;3,79;2,4
TARNOPOLSKIE;KAMIONECKI;14,45;11;11,14;11;11;12,83;15,00;2,89;2,50;5,00;3,4;2,25
POMORSKIE;KARTUSKI;15,57;11,94;13,71;12,5;12,67;X;23,17;3,47;2,75;5,57;5,18;3,27
åL•SKIE;KATOWICKI;19,33;14,67;X;;16;X;X;6,15;X;10,25;8,88;4,5
POZNA—SKIE;K PI—SKI;15,41;11,87;14,22;13;13,14;X;21,29;3,17;2,49;6,06;5,82;2,9
KIELECKIE;KIELECKI;18,2;12,6;X;12,14;13;X;21,33;3,01;2,60;5,67;4,56;2,88
POLESKIE;KOBRY—SKI;14,92;10,07;11,50;10,57;10,93;11,92;15,80;2,76;X;3,73;2,44;1,93
LWOWSKIE;KOLBUSZOWSKI;16,56;11,5;12,17;11,36;11,25;14,29;19,78;3,04;2,00;6,08;4,29;2,71
£”DZKIE;KOLSKI;16,38;11,92;13,40;12,36;12,46;X;19,60;3,55;X;6,80;5,81;2,86
STANIS£AWOWSKIE;KO£OMYJSKI;15,57;11,5;12,50;10,25;10,46;13,50;18,50;4,03;3,25;5,72;4,15;2,57
KIELECKIE;KONECKI;17;11,71;X;12,67;13,43;X;X;2,08;X;6,00;4,5;2,63
£”DZKIE;KONI—SKI;16,14;11,81;13,00;12,11;12,4;15,80;21,67;3,73;2,90;7,93;6,44;3,16
TARNOPOLSKIE;KOPYCZYNIECKI;14,22;10;9,75;9,63;10,56;13,20;18,50;2,67;2,25;6,25;4,33;2,87
STANIS£AWOWSKIE;KOSOWSKI (KOS”W HUCULSKI);15,71;11,63;X;12,29;11,38;X;X;3,26;X;4,92;3,86;2,6
WO£Y—SKIE;KOSTOPOLSKI;15;10,2;10,75;10,6;10,32;10,84;12,53;2,83;X;3,96;2,92;1,87
POLESKIE;KOSZYRSKI;13,4;9,36;X;9,89;9,7;12,17;12,80;2,54;X;3,33;2,38;1,37
POZNA—SKIE;KOåCIA—SKI;15,81;11,75;12,89;12,53;13,36;X;19,44;4,04;3,00;7,00;5,72;2,64
