Region;District;Roman Catholic;% Roman Catholic;Greek Catholic;% Greek Catholic;Evangelical;% Evangelical;Orthodox;% Orthodox;Mosaic (Jewish);% Mosaic (Jewish);Other Christian denominations;% Other Christian;Other or unknown;% Other
BIA£OSTOCKIE;AUGUSTOWSKI;56400;0,904077969;23;0,000368684;289;0,004632598;683;0,01094832;4036;0,064696076;932;0,014939728;21;0,000336625
BIA£OSTOCKIE;BIA£OSTOCKI;113491;0,607703182;415;0,002222175;3347;0,017921972;18295;0,097963096;51087;0,273552374;45;0,000240959;74;0,000396243
BIA£OSTOCKIE;BIA£OWIESKI;2363;0,132166229;;0;106;0,005928743;14058;0,786285586;1349;0,075451647;;0;3;0,000167795
BIA£OSTOCKIE;BIELSKI (BIELSK PODLASKI);64311;0,497701523;27;0,000208952;140;0,001083457;48672;0,37667162;15977;0,123645679;79;0,000611379;10;7,73898E-05
BIA£OSTOCKIE;GRODZIE—SKI;61910;0,411517984;19;0,000126294;328;0,002180228;56150;0,373231058;31823;0,211528619;25;0,000166176;188;0,001249643
BIA£OSTOCKIE;KOLNE—SKI;57633;0,905382054;12;0,000188513;200;0,003141888;125;0,00196368;5684;0,089292447;1;1,57094E-05;1;1,57094E-05
BIA£OSTOCKIE;OSTROWSKI (OSTR”W MAZOWIECKA);78238;0,828292239;;0;1233;0,013053559;173;0,001831521;14799;0,156674466;;0;14;0,000148216
BIA£OSTOCKIE;OSTRO£ CKI;66942;0,906630912;2;2,70871E-05;79;0,001069939;111;0,001503332;6631;0,08980714;71;0,000961591;;0
BIA£OSTOCKIE;SEJNE—SKI;16329;0,828714982;4;0,000203004;257;0,013043037;228;0,011571255;855;0,043392205;2029;0,102974015;2;0,000101502
BIA£OSTOCKIE;SOK”LSKI;72225;0,800152885;26;0,000288044;31;0,000343437;9357;0,10366259;8413;0,093204378;;0;212;0,002348666
BIA£OSTOCKIE;SUWALSKI;54710;0,776998239;12;0,000170425;5822;0,08268477;427;0,006064307;7244;0,102880191;2195;0,031173664;2;2,84042E-05
BIA£OSTOCKIE;SZCZUCZY—SKI (WOJ. BIA£OSTOCKIE);50561;0,86907422;11;0,000189075;144;0,002475162;151;0,002595483;7278;0,125098835;33;0,000567225;;0
BIA£OSTOCKIE;WO£KOWYSKI;53308;0,462498156;26;0,000225575;260;0,00225575;47954;0,416047058;13672;0,118617746;;0;41;0,000355714
BIA£OSTOCKIE;WYSOKOMAZOWIECKI;62002;0,873575203;20;0,000281789;81;0,001141247;740;0,010426206;8114;0,114321944;;0;18;0,00025361
BIA£OSTOCKIE;£OMØY—SKI;83804;0,822696706;16;0,000157071;758;0,007441221;268;0,002630933;17001;0,166897364;1;9,81691E-06;17;0,000166888
KIELECKIE;B DZI—SKI;332991;0,861706587;82;0,000212198;1292;0,003343408;954;0,00246874;50440;0,130527493;617;0,001596659;56;0,000144916
KIELECKIE;CZ STOCHOWSKI;202442;0,861851404;34;0,000144747;1277;0,005436541;882;0,003754917;30167;0,128429236;56;0,000238407;34;0,000144747
KIELECKIE;I£ØECKI;126405;0,921050714;5;3,64325E-05;492;0,003584961;51;0,000371612;10242;0,074628388;45;0,000327893;;0
KIELECKIE;J DRZEJOWSKI;89931;0,896450323;2;1,99364E-05;9;8,97138E-05;24;0,000239237;10347;0,10314098;6;5,98092E-05;;0
KIELECKIE;KIELECKI;154548;0,859239656;71;0,000394738;857;0,004764658;164;0,00091179;24214;0,134622441;;0;12;6,67163E-05
KIELECKIE;KONECKI;125537;0,866035211;9;6,20878E-05;161;0,001110682;79;0,000544993;19135;0,132005574;;0;35;0,000241453
KIELECKIE;KOZIENICKI;108794;0,875556307;3;2,41435E-05;2369;0,019065324;68;0,000547253;13021;0,104790877;;0;2;1,60957E-05
KIELECKIE;MIECHOWSKI;140921;0,943511563;8;5,35626E-05;24;0,000160688;76;0,000508845;8318;0,055691694;8;5,35626E-05;3;0,000020086
KIELECKIE;OLKUSKI;124456;0,913512284;6;4,40403E-05;105;0,000770704;66;0,000484443;11592;0,085085768;12;8,80805E-05;2;1,46801E-05
KIELECKIE;OPATOWSKI;137603;0,846266913;4;2,46002E-05;39;0,000239852;21;0,000129151;24915;0,153228782;;0;18;0,000110701
KIELECKIE;OPOCZY—SKI;111169;0,906976365;1;8,15854E-06;1312;0,010704;33;0,000269232;10053;0,082017769;;0;3;2,44756E-05
KIELECKIE;PI—CZOWSKI;105712;0,87799206;1;8,30551E-06;9;7,47496E-05;27;0,000224249;14639;0,121584359;13;0,000107972;1;8,30551E-06
KIELECKIE;RADOMSKI;159757;0,825877925;10;5,16959E-05;1509;0,007800909;252;0,001302736;31880;0,164806476;3;1,55088E-05;28;0,000144748
KIELECKIE;SANDOMIERSKI;95722;0,855707428;8;7,15161E-05;151;0,001349865;51;0,000455915;15904;0,142173909;;0;27;0,000241367
KIELECKIE;STOPNICKI;122434;0,870647969;3;2,13335E-05;206;0,001464899;46;0,000327113;17916;0,127403573;1;7,11116E-06;18;0,000128001
KIELECKIE;W£OSZCZOWSKI;82480;0,909141012;;0;495;0,005456169;42;0,000462948;7706;0,084939872;;0;;0
