Column1;Column2
District;Total population
AUGUSTOWSKI;0
BIAŁOSTOCKI;0
BIELSKI (BIELSK PODLASKI);0
GRODZIEŃSKI;0
ŁOMŻYŃSKI;0
OSTROŁĘCKI;0
OSTROWSKI (OSTRÓW MAZOWIECKA);0
SOKÓLSKI;0
SUWALSKI;0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);0
WOŁKOWYSKI;0
WYSOKOMAZOWIECKI;0
BIAŁYSTOK (MIASTO);0
BĘDZIŃSKI;0
CZĘSTOCHOWSKI;0
IŁŻECKI;0
JĘDRZEJOWSKI;0
KIELECKI;0
KONECKI;0
KOZIENICKI;0
MIECHOWSKI;0
OLKUSKI;0
OPATOWSKI;0
OPOCZYŃSKI;0
PIŃCZOWSKI;0
RADOMSKI;0
SANDOMIERSKI;0
STOPNICKI;0
WŁOSZCZOWSKI;0
ZAWIERCIAŃSKI;0
CZĘSTOCHOWA (MIASTO);0
SOSNOWIEC;0
RADOM (MIASTO);0
BIALSKI (BIAŁA KRAKOWSKA);114666
BOCHEŃSKI;108375
BRZESKI (BRZESKO);96197
CHRZANOWSKI;116668
DĄBROWSKI;63717
GORLICKI;92518
JASIELSKI;106870
KRAKOWSKI;143266
KRAKÓW (MIASTO);183706
LIMANOWSKI;78126
MIELECKI;72621
MYŚLENICKI;93863
NOWOSĄDECKI;157839
NOWOTARSKI;104483
ROPCZYCKI;101658
TARNOWSKI;118821
WADOWICKI;128130
ŻYWIECKI;109847
BIALSKI (BIAŁA PODLASKA);0
BIŁGORAJSKI;0
CHEŁMSKI;0
GARWOLIŃSKI;0
HRUBIESZOWSKI;0
JANOWSKI;0
KRASNOSTAWSKI;0
LUBARTOWSKI;0
LUBELSKI;0
ŁUKOWSKI;0
PUŁAWSKI;0
RADZYŃSKI;0
SIEDLECKI;0
SOKOŁOWSKI;0
TOMASZOWSKI;0
WĘGROWSKI;0
WŁODAWSKI;0
ZAMOJSKI;0
LUBLIN (MIASTO);0
BÓBRECKI;83281
BRZOZOWSKI;79107
DOBROMILSKI;83370
DROHOBYCKI;165391
GRÓDECKI;73396
JAROSŁAWSKI;137812
JAWOROWSKI;78246
KOLBUSZOWSKI;67301
KROŚNIEŃSKI;102127
LESKI;92576
LWOWSKI;120317
LWÓW (MIASTO);249627
ŁAŃCUCKI;92154
MOŚCISKI;84076
NIŻAŃSKI;60925
PRZEMYSKI;146596
PRZEWORSKI;59052
RAWSKI (RAWA RUSKA);106607
RUDECKI;72987
RZESZOWSKI;174700
SAMBORSKI;123682
SANOCKI;102167
SOKALSKI;98732
TARNOBRZESKI;71492
ŻÓŁKIEWSKI;84574
LUBACZOWSKI;80777
TURCZAŃSKI;97179
BRZEZIŃSKI;0
KALISKI;0
KOLSKI;0
KONIŃSKI;0
ŁASKI;0
ŁĘCZYCKI;0
ŁÓDZKI;0
ŁÓDŹ (MIASTO);0
PIOTRKOWSKI;0
RADOMSZCZAŃSKI;0
SIERADZKI;0
TURECKI;0
WIELUŃSKI;0
POŁUDNIOWO-WARSZAWSKI;0
PÓŁNOCNO-WARSZAWSKI;0
PRASKO-WARSZAWSKI;0
ŚRÓDMIEJSKO-WARSZAWSKI;0
