Region;District;Powierzchnia plantacji (ha);Przeciętny zbiór z ha;Ogólny zbiór
BIAŁOSTOCKIE;AUGUSTOWSKI;;;0.0
BIAŁOSTOCKIE;BIAŁOSTOCKI;;;0.0
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);;;0.0
BIAŁOSTOCKIE;GRODZIEŃSKI;;;0.0
BIAŁOSTOCKIE;KOLNEŃSKI;;;0.0
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);;;0.0
BIAŁOSTOCKIE;OSTROŁĘCKI;;;0.0
BIAŁOSTOCKIE;SEJNEŃSKI;;;0.0
BIAŁOSTOCKIE;SOKÓLSKI;;;0.0
BIAŁOSTOCKIE;SUWALSKI;;;0.0
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);;;0.0
BIAŁOSTOCKIE;WOŁKOWYSKI;;;0.0
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;;;0.0
BIAŁOSTOCKIE;ŁOMŻYŃSKI;;;0.0
KIELECKIE;BĘDZIŃSKI;;;0.0
KIELECKIE;CZĘSTOCHOWSKI;;;0.0
KIELECKIE;IŁŻECKI;;;0.0
KIELECKIE;JĘDRZEJOWSKI;;;0.0
KIELECKIE;KIELECKI;;;0.0
KIELECKIE;KONECKI;;;0.0
KIELECKIE;KOZIENICKI;;;0.0
KIELECKIE;MIECHOWSKI;;;0.0
KIELECKIE;OLKUSKI;;;0.0
KIELECKIE;OPATOWSKI;1 679;205.0;344195.0
KIELECKIE;OPOCZYŃSKI;;;0.0
KIELECKIE;PIŃCZOWSKI;1 282;180.0;230760.0
KIELECKIE;RADOMSKI;;;0.0
KIELECKIE;SANDOMIERSKI;1 804;198.0;357192.0
KIELECKIE;STOPNICKI;;;0.0
KIELECKIE;WŁOSZCZOWSKI;;;0.0
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);;;0.0
KRAKOWSKIE;BOCHEŃSKI;;;0.0
KRAKOWSKIE;BRZESKI (BRZESKO);;;0.0
KRAKOWSKIE;CHRZANOWSKI;;;0.0
KRAKOWSKIE;DĄBROWSKI;;;0.0
KRAKOWSKIE;GORLICKI;;;0.0
KRAKOWSKIE;GRYBOWSKI;;;0.0
KRAKOWSKIE;JASIELSKI;;;0.0
KRAKOWSKIE;KRAKOWSKI;;;0.0
KRAKOWSKIE;KRAKÓW (MIASTO);;;
KRAKOWSKIE;LIMANOWSKI;;;0.0
KRAKOWSKIE;MAKOWSKI (MAKÓW PODHALAŃSKI);;;0.0
KRAKOWSKIE;MIELECKI;;;0.0
KRAKOWSKIE;MYŚLENICKI;;;0.0
KRAKOWSKIE;NOWOSĄDECKI;;;0.0
KRAKOWSKIE;NOWOTARSKI;;;0.0
KRAKOWSKIE;OŚWIĘCIMSKI;;;0.0
KRAKOWSKIE;PILZNEŃSKI;;;0.0
KRAKOWSKIE;ROPCZYCKI;;;0.0
KRAKOWSKIE;SPISKO-ORAWSKI;;;0.0
KRAKOWSKIE;TARNOWSKI;;;0.0
KRAKOWSKIE;WADOWICKI;;;0.0
KRAKOWSKIE;WIELICKI;;;0.0
KRAKOWSKIE;ŻYWIECKI;;;0.0
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);;;0.0
LUBELSKIE;BIŁGORAJSKI;;;0.0
LUBELSKIE;CHEŁMSKI;1 091;242.0;264022.0
LUBELSKIE;GARWOLIŃSKI;;;0.0
LUBELSKIE;HRUBIESZOWSKI;3 281;134.0;439654.0
LUBELSKIE;JANOWSKI;1 717;157.0;269569.0
LUBELSKIE;KONSTANTYNOWSKI;;;0.0
LUBELSKIE;KRASNOSTAWSKI;;;0.0
LUBELSKIE;LUBARTOWSKI;;;0.0
LUBELSKIE;LUBELSKI;4 928;128.0;630784.0
LUBELSKIE;PUŁAWSKI;2 983;180.0;536940.0
LUBELSKIE;RADZYŃSKI;;;0.0
LUBELSKIE;SIEDLECKI;;;0.0
LUBELSKIE;SOKOŁOWSKI;851;210.0;178710.0
LUBELSKIE;TOMASZOWSKI;1 342;180.0;241560.0
LUBELSKIE;WĘGROWSKI;;;0.0
LUBELSKIE;WŁODAWSKI;;;0.0
LUBELSKIE;ZAMOJSKI;1 411;175.0;246925.0
LUBELSKIE;ŁUKOWSKI;;;0.0
LWOWSKIE;BRZOZOWSKI;3 015;172.0;518580.0
LWOWSKIE;BÓBRECKI;2 763;160.0;442080.0
LWOWSKIE;DOBROMILSKI;;;0.0
LWOWSKIE;DROHOBYCKI;;;0.0
LWOWSKIE;GRÓDECKI;;;0.0
LWOWSKIE;JAROSŁAWSKI;;;0.0
LWOWSKIE;JAWOROWSKI;;;0.0
LWOWSKIE;KOLBUSZOWSKI;;;0.0
LWOWSKIE;KROŚNIEŃSKI;;;0.0
LWOWSKIE;LESKI;;;0.0
LWOWSKIE;LUBACZOWSKI;;;0.0
LWOWSKIE;LWOWSKI;;;0.0
LWOWSKIE;LWÓW (MIASTO);;;
LWOWSKIE;MOŚCISKI;;;0.0
LWOWSKIE;NIŻAŃSKI;;;0.0
LWOWSKIE;PRZEMYSKI;;;0.0
LWOWSKIE;PRZEWORSKI;;;0.0
LWOWSKIE;RAWSKI (RAWA RUSKA);;;0.0
LWOWSKIE;RUDECKI;;;0.0
LWOWSKIE;RZESZOWSKI;;;0.0
LWOWSKIE;SAMBORSKI;;;0.0
LWOWSKIE;SANOCKI;;;0.0
LWOWSKIE;SOKALSKI;;;0.0
LWOWSKIE;STAROSAMBORSKI;;;0.0
LWOWSKIE;STRZYŻOWSKI;;;0.0
LWOWSKIE;TARNOBRZESKI;;;0.0
LWOWSKIE;ŁAŃCUCKI;;;0.0
LWOWSKIE;ŻÓŁKIEWSKI;;;0.0
M. ST. WARSZAWA;M. ST. WARSZAWA;;;
NOWOGRÓDZKIE;BARANOWICKI;;;0.0
NOWOGRÓDZKIE;LIDZKI;;;0.0
NOWOGRÓDZKIE;NIEŚWIESKI;;;0.0
NOWOGRÓDZKIE;NOWOGRÓDZKI;;;0.0
NOWOGRÓDZKIE;STOŁPECKI;;;0.0
NOWOGRÓDZKIE;SŁONIMSKI;;;0.0
NOWOGRÓDZKIE;WOŁOŻYŃSKI;;;0.0
