Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;RazemR;RazemPR;Handel jarmarczny - hurtR;Handel jarmarczny - hurtPR;Handel jarmarczny - detalR;Handel jarmarczny - detalPR;Karty rejestracyjneR;Karty rejestracyjnePR
Białostocka;AUGUSTOWSKI;3.0;0.0;5.0;1.0;1.0;0.0;;;9.0;1.0;;;;;;
Poleska;BARANOWICKI;0.0;0.0;10.0;3.0;2.0;0.0;1.0;0.0;13.0;3.0;0.0;0.0;0.0;0.0;57.0;5.0
Krakowska;BIALSKI (BIAŁA KRAKOWSKA);0.0;0.0;18.0;0.0;5.0;0.0;5.0;0.0;28.0;0.0;0.0;0.0;0.0;0.0;113.0;0.0
Lubelska;BIALSKI (BIAŁA PODLASKA);0.0;0.0;4.0;0.0;0.0;0.0;;;4.0;0.0;;;;;;
Białostocka;BIAŁOSTOCKI;0.0;0.0;20.0;4.0;5.0;0.0;;;25.0;4.0;;;;;;
Białostocka;BIELSKI (BIELSK PODLASKI);0.0;0.0;7.0;1.0;1.0;0.0;;;8.0;1.0;;;;;;
Śląska;BIELSKI (BIELSKO);0.0;0.0;64.0;3.0;19.0;0.0;2.0;0.0;85.0;3.0;0.0;0.0;0.0;0.0;193.0;6.0
;BIELSKO (MIASTO);;;;;;;;;;;;;;;;
Lubelska;BIŁGORAJSKI;0.0;0.0;2.0;0.0;0.0;0.0;;;2.0;0.0;;;;;;
Krakowska;BOCHEŃSKI;0.0;0.0;7.0;1.0;0.0;0.0;0.0;0.0;7.0;1.0;0.0;0.0;0.0;0.0;13.0;0.0
Lwowska;BOHORODCZAŃSKI;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0
Lwowska;BORSZCZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0
Wileńska;BRASŁAWSKI;0.0;0.0;7.0;2.0;0.0;0.0;0.0;0.0;7.0;2.0;0.0;0.0;0.0;0.0;23.0;8.0
Pomorska;BRODNICKI;0.0;0.0;12.0;3.0;14.0;0.0;3.0;0.0;29.0;3.0;0.0;0.0;0.0;0.0;14.0;1.0
Lwowska;BRODZKI;0.0;0.0;6.0;0.0;5.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;60.0;0.0
Krakowska;BRZESKI (BRZESKO);0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0
Poleska;BRZESKI (BRZEŚĆ N.BUG.);0.0;0.0;2.0;0.0;7.0;1.0;0.0;0.0;9.0;1.0;0.0;0.0;0.0;1.0;63.0;5.0
Łódzka;BRZEZIŃSKI;0.0;0.0;14.0;0.0;1.0;0.0;8.0;3.0;23.0;3.0;0.0;0.0;0.0;0.0;37.0;0.0
Lwowska;BRZEŻAŃSKI;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;31.0;0.0
Lwowska;BRZOZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0
Lwowska;BUCZACKI;0.0;0.0;7.0;0.0;2.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0
Wielkopolska;BYDGOSKI;0.0;0.0;28.0;3.0;7.0;1.0;43.0;21.0;78.0;25.0;0.0;0.0;0.0;0.0;117.0;0.0
;BYDGOSZCZ (MIASTO);;;;;;;;;;;;;;;;
Lwowska;BÓBRECKI;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0
Kielecka;BĘDZIŃSKI;2.0;0.0;13.0;4.0;4.0;0.0;;;19.0;4.0;;;;;;
Warszawa Okręgowa;BŁOŃSKI;0.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;38.0;0.0
Pomorska;CHEŁMIŃSKI;0.0;0.0;0.0;1.0;2.0;0.0;1.0;1.0;3.0;2.0;0.0;0.0;0.0;0.0;11.0;0.0
Lubelska;CHEŁMSKI;0.0;0.0;25.0;4.0;1.0;0.0;;;26.0;4.0;;;;;;
Wielkopolska;CHODZIESKI;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;38.0;0.0
Pomorska;CHOJNICKI;0.0;0.0;28.0;4.0;7.0;1.0;10.0;0.0;45.0;5.0;0.0;0.0;0.0;0.0;26.0;0.0
