Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VR;Kategoria VPR;Kategoria VIR;Kategoria VIPR;Kategoria VIIR;Kategoria VIIPR;Kategoria VIIIR;Kategoria VIIIPR;R;PR
Białostocka;AUGUSTOWSKI;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;5.0;0.0;5.0;0.0;18.0;3.0;306.0;13.0;338.0;16.0
Warszawa Okręgowa;NIESZAWSKI;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;9.0;0.0;22.0;1.0;18.0;11.0;299.0;83.0;352.0;95.0
Poleska;BARANOWICKI;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;3.0;0.0;12.0;2.0;69.0;10.0;548.0;87.0;637.0;99.0
Krakowska;BIALSKI (BIAŁA KRAKOWSKA);0.0;0.0;6.0;0.0;9.0;3.0;42.0;6.0;32.0;3.0;39.0;1.0;87.0;8.0;703.0;26.0;918.0;47.0
Lubelska;BIALSKI (BIAŁA PODLASKA);0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;3.0;0.0;11.0;0.0;26.0;0.0;441.0;20.0;484.0;20.0
Białostocka;BIAŁOSTOCKI;0.0;0.0;1.0;1.0;6.0;3.0;38.0;8.0;53.0;8.0;42.0;11.0;88.0;9.0;1629.0;130.0;1857.0;170.0
Białostocka;BIELSKI (BIELSK PODLASKI);0.0;0.0;0.0;1.0;1.0;0.0;9.0;0.0;9.0;2.0;21.0;1.0;48.0;2.0;1015.0;50.0;1103.0;56.0
Śląska;BIELSKI (BIELSKO);7.0;0.0;13.0;0.0;14.0;1.0;72.0;6.0;73.0;6.0;52.0;10.0;155.0;14.0;972.0;50.0;1358.0;87.0
;BIELSKO (MIASTO);;;;;;;;;;;;;;;;;;
Lubelska;BIŁGORAJSKI;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;10.0;1.0;8.0;2.0;41.0;5.0;234.0;23.0;294.0;31.0
Krakowska;BOCHEŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;7.0;0.0;11.0;0.0;22.0;0.0;469.0;13.0;512.0;13.0
Lwowska;BOHORODCZAŃSKI;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;4.0;0.0;5.0;0.0;21.0;0.0;289.0;29.0;323.0;29.0
Lwowska;BORSZCZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;18.0;0.0;32.0;2.0;399.0;3.0;453.0;5.0
Wileńska;BRASŁAWSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;9.0;0.0;25.0;0.0;44.0;1.0;216.0;26.0;296.0;27.0
Pomorska;BRODNICKI;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;13.0;1.0;34.0;3.0;52.0;2.0;476.0;32.0;580.0;38.0
Lwowska;BRODZKI;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;8.0;0.0;23.0;0.0;38.0;5.0;381.0;16.0;454.0;21.0
Krakowska;BRZESKI (BRZESKO);2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;1.0;10.0;2.0;11.0;0.0;274.0;10.0;302.0;13.0
Poleska;BRZESKI (BRZEŚĆ N.BUG.);0.0;0.0;0.0;0.0;0.0;0.0;7.0;1.0;16.0;0.0;20.0;7.0;84.0;3.0;1004.0;76.0;1131.0;87.0
Łódzka;BRZEZIŃSKI;2.0;0.0;2.0;0.0;6.0;1.0;11.0;2.0;26.0;1.0;42.0;2.0;69.0;9.0;783.0;50.0;941.0;65.0
Lwowska;BRZEŻAŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;21.0;2.0;15.0;0.0;199.0;10.0;242.0;12.0
Lwowska;BRZOZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;20.0;2.0;24.0;2.0;203.0;9.0;249.0;13.0
Lwowska;BUCZACKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;26.0;0.0;41.0;0.0;365.0;9.0;439.0;9.0
Wielkopolska;BYDGOSKI;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;20.0;2.0;24.0;0.0;29.0;0.0;320.0;12.0;407.0;14.0
Wielkopolska;BYDGOSZCZ (MIASTO);0.0;0.0;2.0;0.0;9.0;1.0;48.0;0.0;79.0;3.0;58.0;2.0;156.0;4.0;1026.0;84.0;1378.0;94.0
Lwowska;BÓBRECKI;1.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;6.0;0.0;26.0;2.0;16.0;2.0;305.0;4.0;356.0;9.0
