District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VaR;Kategoria VaPR;Kategoria VbR;Kategoria VbPR
AUGUSTOWSKI;0.0;0.0;67.0;6.0;409.0;44.0;162.0;37.0;15.0;0.0;26.0;2.0
NIESZAWSKI;0.0;0.0;53.0;45.0;587.0;208.0;477.0;258.0;2.0;1.0;18.0;2.0
BARANOWICKI;1.0;0.0;175.0;23.0;1078.0;103.0;625.0;113.0;2.0;0.0;3.0;0.0
BIALSKI (BIAŁA KRAKOWSKA);5.0;0.0;187.0;5.0;640.0;55.0;553.0;64.0;4.0;2.0;25.0;10.0
BIALSKI (BIAŁA PODLASKA);1.0;0.0;67.0;2.0;639.0;8.0;364.0;33.0;3.0;0.0;22.0;2.0
BIAŁOSTOCKI;11.0;1.0;367.0;46.0;2228.0;141.0;992.0;119.0;13.0;11.0;303.0;65.0
BIELSKI (BIELSK PODLASKI);0.0;0.0;93.0;6.0;1211.0;79.0;650.0;81.0;4.0;0.0;37.0;3.0
BIELSKI (BIELSKO);21.0;0.0;490.0;13.0;734.0;58.0;511.0;42.0;2.0;0.0;39.0;1.0
BIELSKO (MIASTO);;;;;;;;;;;;
BIŁGORAJSKI;0.0;0.0;26.0;5.0;600.0;59.0;640.0;101.0;1.0;0.0;1.0;0.0
BOCHEŃSKI;0.0;0.0;59.0;1.0;687.0;20.0;722.0;39.0;1.0;1.0;8.0;1.0
BOHORODCZAŃSKI;0.0;0.0;26.0;0.0;358.0;23.0;279.0;31.0;0.0;0.0;3.0;0.0
BORSZCZOWSKI;0.0;0.0;23.0;0.0;607.0;27.0;643.0;17.0;0.0;0.0;1.0;0.0
BRASŁAWSKI;0.0;0.0;78.0;2.0;534.0;24.0;432.0;58.0;1.0;0.0;0.0;0.0
BRODNICKI;0.0;0.0;107.0;1.0;603.0;51.0;236.0;59.0;10.0;0.0;6.0;2.0
BRODZKI;0.0;0.0;34.0;6.0;421.0;27.0;827.0;31.0;0.0;0.0;31.0;3.0
BRZESKI (BRZESKO);0.0;0.0;53.0;0.0;269.0;14.0;869.0;55.0;5.0;0.0;12.0;3.0
BRZESKI (BRZEŚĆ N.BUG.);3.0;0.0;226.0;34.0;1658.0;128.0;644.0;113.0;1.0;0.0;0.0;0.0
BRZEZIŃSKI;1.0;0.0;124.0;3.0;1052.0;81.0;1156.0;221.0;8.0;2.0;23.0;9.0
BRZEŻAŃSKI;0.0;0.0;23.0;0.0;549.0;21.0;479.0;37.0;1.0;0.0;4.0;1.0
BRZOZOWSKI;0.0;0.0;21.0;0.0;664.0;25.0;340.0;23.0;0.0;0.0;1.0;1.0
BUCZACKI;2.0;4.0;51.0;4.0;604.0;25.0;1041.0;59.0;0.0;0.0;0.0;0.0
BYDGOSKI;0.0;0.0;67.0;4.0;396.0;20.0;139.0;17.0;0.0;1.0;5.0;1.0
BYDGOSZCZ (MIASTO);14.0;2.0;509.0;26.0;1266.0;88.0;850.0;135.0;7.0;0.0;105.0;4.0
BÓBRECKI;0.0;0.0;27.0;1.0;434.0;12.0;701.0;30.0;0.0;0.0;0.0;0.0
BĘDZIŃSKI;18.0;0.0;578.0;40.0;3042.0;208.0;1768.0;317.0;17.0;9.0;680.0;204.0
BŁOŃSKI;0.0;0.0;91.0;4.0;959.0;76.0;645.0;120.0;1.0;0.0;16.0;4.0
