Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki Cukrowe
BIAŁOSTOCKIE;AUGUSTOWSKI;27 424;106 600;41 548;136 115;904 811;0
BIAŁOSTOCKIE;BIAŁOSTOCKI;36 234;328 602;45 737;113 271;1 307 966;0
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);;;;;;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);122 777;389 849;65 211;146 859;2 020 464;0
BIAŁOSTOCKIE;GRODZIEŃSKI;51 890;453 286;86 270;139 648;1 815 672;0
BIAŁOSTOCKIE;KOLNEŃSKI;41 441;286 318;26 650;90 498;1 802 138;0
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);51 440;281 996;17 614;51 640;1 162 519;12 118
BIAŁOSTOCKIE;OSTROŁĘCKI;42 272;238 744;19 721;47 678;1 346 336;16 866
BIAŁOSTOCKIE;SOKÓLSKI;29 760;285 985;47 248;149 785;1 255 309;0
BIAŁOSTOCKIE;SUWALSKI;41 676;201 311;56 420;359 334;1 229 681;0
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);56 331;162 678;28 816;84 267;970 761;0
BIAŁOSTOCKIE;WOŁKOWYSKI;46 507;344 032;92 478;144 701;2 248 782;0
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;84 331;225 337;34 326;94 003;1 040 374;19 473
BIAŁOSTOCKIE;ŁOMŻYŃSKI;113 605;380 879;30 981;164 353;1 825 859;8 740
KIELECKIE;BĘDZIŃSKI;8 741;96 379;17 788;14 308;698 600;0
KIELECKIE;CZĘSTOCHOWA (MIASTO);;;;;;
KIELECKIE;CZĘSTOCHOWSKI;29 674;521 441;35 705;125 944;2 592 982;8 515
KIELECKIE;IŁŻECKI;77 072;444 808;163 833;252 906;1 993 020;21 512
KIELECKIE;JĘDRZEJOWSKI;217 235;298 231;101 593;107 893;1 763 637;0
KIELECKIE;KIELECKI;52 053;250 011;45 081;53 974;2 116 448;0
KIELECKIE;KONECKI;18 984;312 549;27 868;59 893;1 886 943;0
KIELECKIE;KOZIENICKI;49 533;458 431;97 509;142 303;1 695 417;54 926
KIELECKIE;MIECHOWSKI;377 189;311 536;154 154;218 432;1 812 146;136 830
KIELECKIE;OLKUSKI;71 127;292 150;66 302;94 028;1 700 152;0
KIELECKIE;OPATOWSKI;245 862;345 197;170 814;292 488;2 148 753;254 654
KIELECKIE;OPOCZYŃSKI;37 626;540 613;58 335;146 727;2 272 000;0
KIELECKIE;PIŃCZOWSKI;243 412;258 729;125 655;123 245;1 282 781;213 020
KIELECKIE;RADOMSKI;61 095;674 021;131 952;180 879;2 527 912;1 436
KIELECKIE;SANDOMIERSKI;180 423;206 459;121 304;133 273;1 712 169;182 261
KIELECKIE;SOSNOWIEC;;;;;;
KIELECKIE;STOPNICKI;140 094;261 104;86 544;120 883;2 166 809;38 176
KIELECKIE;WŁOSZCZOWSKI;109 366;240 582;40 114;69 640;1 210 680;0
KIELECKIE;ZAWIERCIAŃSKI;17 597;189 512;21 025;24 251;954 556;0
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);13 118;60 300;4 163;68 108;602 293;3 770
KRAKOWSKIE;BOCHEŃSKI;93 091;115 597;34 814;61 614;578 921;0
KRAKOWSKIE;BRZESKI (BRZESKO);93 797;122 285;40 351;71 146;1 227 994;2 430
KRAKOWSKIE;CHRZANOWSKI;16 913;111 030;9 346;34 609;620 893;0
KRAKOWSKIE;DĄBROWSKI;74 741;104 458;31 347;54 271;685 588;10 521
KRAKOWSKIE;GORLICKI;69 244;78 020;30 536;90 535;526 167;0
KRAKOWSKIE;GRYBOWSKI;56 405;47 291;27 369;70 375;481 625;0
KRAKOWSKIE;JASIELSKI;90 732;96 935;42 951;73 060;776 485;1 700
KRAKOWSKIE;KRAKOWSKI;108 663;167 040;25 018;89 419;1 007 922;11 370
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;;
KRAKOWSKIE;LIMANOWSKI;43 396;49 356;28 502;72 383;526 693;0
KRAKOWSKIE;MAKOWSKI (MAKÓW PODHALAŃSKI);22 364;55 084;30 612;120 820;643 671;0
KRAKOWSKIE;MIELECKI;86 666;157 680;45 862;94 597;1 048 596;654
KRAKOWSKIE;MYŚLENICKI;45 022;61 386;10 978;64 116;493 020;0
KRAKOWSKIE;NOWOSĄDECKI;56 248;84 248;69 419;148 522;1 203 981;0
KRAKOWSKIE;NOWOTARSKI;1 866;38 318;77 075;297 426;1 568 486;0
KRAKOWSKIE;OŚWIĘCIMSKI;14 968;51 590;6 010;37 743;340 935;220
KRAKOWSKIE;PILZNEŃSKI;49 608;82 137;20 703;43 518;585 643;0
KRAKOWSKIE;ROPCZYCKI;72 798;116 686;37 555;68 929;893 831;30 543
KRAKOWSKIE;TARNOWSKI;98 720;140 988;44 516;81 669;896 985;7 094
KRAKOWSKIE;WADOWICKI;53 613;98 672;8 041;107 486;819 987;12 090
KRAKOWSKIE;WIELICKI;34 789;49 064;9 063;22 163;273 349;340
KRAKOWSKIE;ŻYWIECKI;11 975;46 053;22 478;102 110;655 475;0
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);39 096;242 919;18 280;92 612;1 183 256;4 825
LUBELSKIE;BIŁGORAJSKI;38 298;155 797;34 483;83 210;659 286;0
LUBELSKIE;CHEŁMSKI;197 583;270 652;116 121;84 789;1 343 420;119 451
LUBELSKIE;GARWOLIŃSKI;74 715;440 458;137 185;144 326;2 509 100;7 236
LUBELSKIE;HRUBIESZOWSKI;325 914;162 722;145 669;175 666;1 227 044;352 098
LUBELSKIE;JANOWSKI;104 851;255 474;109 572;154 502;1 518 447;69 322
LUBELSKIE;KONSTANTYNOWSKI;48 356;218 569;21 269;101 899;1 248 526;10 464
LUBELSKIE;KRASNOSTAWSKI;300 002;208 996;128 507;140 754;1 612 230;261 985
LUBELSKIE;LUBARTOWSKI;63 548;345 450;35 954;105 929;1 704 614;37 186
LUBELSKIE;LUBELSKI;452 519;427 335;197 131;264 503;2 416 389;560 298
LUBELSKIE;LUBLIN (MIASTO);;;;;;
LUBELSKIE;PUŁAWSKI;133 731;333 404;143 864;120 597;2 017 060;301 597
LUBELSKIE;RADZYŃSKI;91 654;214 010;20 514;119 048;1 371 928;32 642
LUBELSKIE;SIEDLECKI;38 964;269 180;20 771;98 645;1 751 263;2 300
LUBELSKIE;SOKOŁOWSKI;86 525;251 337;46 570;92 651;1 526 185;41 778
LUBELSKIE;TOMASZOWSKI;254 640;210 727;141 491;141 450;1 128 312;286 809
LUBELSKIE;WĘGROWSKI;45 632;185 791;26 633;80 085;1 405 307;12 409
LUBELSKIE;WŁODAWSKI;73 392;277 600;27 541;88 742;1 404 800;15 885
LUBELSKIE;ZAMOJSKI;241 365;225 898;146 895;175 761;1 471 950;207 126
LUBELSKIE;ŁUKOWSKI;70 442;374 994;30 833;163 315;2 026 677;0
LWOWSKIE;BRZOZOWSKI;56 875;102 200;39 813;52 769;660 548;8 730
LWOWSKIE;BÓBRECKI;112 653;59 469;37 190;67 311;938 993;231 120
LWOWSKIE;DOBROMILSKI;41 266;79 310;19 831;53 172;475 797;7 328
LWOWSKIE;DROHOBYCKI;39 070;90 579;22 264;62 360;828 137;0
LWOWSKIE;GRÓDECKI;54 953;77 456;23 744;58 604;768 440;13 556
LWOWSKIE;JAROSŁAWSKI;112 453;175 780;42 102;68 144;724 731;284 619
LWOWSKIE;JAWOROWSKI;50 575;177 168;33 545;91 627;963 312;1 189
LWOWSKIE;KOLBUSZOWSKI;21 160;110 626;25 857;41 568;725 776;0
LWOWSKIE;KROŚNIEŃSKI;50 291;87 214;31 338;61 807;616 662;816
LWOWSKIE;LESKI;14 450;45 555;14 864;147 295;537 474;0
LWOWSKIE;LUBACZOWSKI;54 322;105 786;35 328;65 927;693 732;0
LWOWSKIE;LWOWSKI;151 859;135 825;43 539;140 357;1 178 592;39 048
LWOWSKIE;LWÓW (MIASTO);;;;;;
LWOWSKIE;MOŚCISKI;77 250;125 207;31 925;51 584;749 501;6 156
LWOWSKIE;NIŻAŃSKI;24 562;64 182;19 664;26 435;675 527;3 856
LWOWSKIE;PRZEMYSKI;116 521;129 798;36 217;59 487;982 588;91 741
LWOWSKIE;PRZEWORSKI;83 418;84 062;18 148;40 543;425 231;321 375
LWOWSKIE;RAWSKI (RAWA RUSKA);116 201;126 954;70 645;73 992;1 037 689;37 860
LWOWSKIE;RUDECKI;83 987;72 838;46 505;53 776;937 675;30 254
LWOWSKIE;RZESZOWSKI;102 560;144 191;35 071;64 616;850 294;21 055
LWOWSKIE;SAMBORSKI;69 790;119 033;40 043;54 316;959 682;5 742
LWOWSKIE;SANOCKI;54 109;82 215;39 765;91 985;754 620;12 212
LWOWSKIE;SOKALSKI;239 098;168 706;107 382;110 760;1 183 039;76 450
LWOWSKIE;STAROSAMBORSKI;11 010;28 048;9 160;37 210;264 001;0
LWOWSKIE;STRZYŻOWSKI;59 818;72 361;21 322;44 124;420 079;7 839
LWOWSKIE;TARNOBRZESKI;29 642;86 645;36 207;41 346;727 704;32 645
LWOWSKIE;TURCZAŃSKI;1 626;13 987;2 904;173 855;448 265;0
LWOWSKIE;ŁAŃCUCKI;78 091;176 838;34 631;60 279;768 825;77 828
LWOWSKIE;ŻÓŁKIEWSKI;102 140;99 718;38 439;66 459;659 122;2 412
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;;
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;;;;;;
NOWOGRÓDZKIE;BARANOWICKI;40 910;281 191;78 032;166 260;2 019 938;0
NOWOGRÓDZKIE;LIDZKI;11 734;317 889;132 498;211 360;1 569 940;0
NOWOGRÓDZKIE;NIEŚWIESKI;37 458;250 594;65 541;162 121;1 752 432;0
NOWOGRÓDZKIE;NOWOGRÓDZKI;72 998;298 933;96 672;180 210;1 372 877;0
NOWOGRÓDZKIE;STOŁPECKI;23 720;284 625;73 388;102 140;1 308 545;0
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);8 468;166 995;71 212;87 184;901 447;0
NOWOGRÓDZKIE;SŁONIMSKI;32 630;333 572;49 846;93 544;1 175 310;0
NOWOGRÓDZKIE;WOŁOŻYŃSKI;12 950;134 316;74 173;112 130;990 738;0
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);71 376;494 496;91 484;170 218;3 011 482;0
POLESKIE;DROHICKI;24 688;180 918;28 608;73 568;1 103 231;0
POLESKIE;KOBRYŃSKI;40 570;312 985;42 831;87 578;1 281 388;984
POLESKIE;KOSOWSKI (KOSÓW POLESKI);4 647;137 945;28 943;42 665;1 186 616;0
POLESKIE;KOSZYRSKI;6 592;174 824;25 508;43 427;1 001 275;0
POLESKIE;PIŃSKI;18 196;357 873;34 594;109 512;1 272 201;0
POLESKIE;PRUŻAŃSKI;12 248;207 643;37 247;60 519;1 135 457;1 595
POLESKIE;STOLIŃSKI;11 353;113 925;13 163;26 020;1 009 775;0
POLESKIE;ŁUNINIECKI;3 871;125 003;13 225;26 301;951 427;0
POMORSKIE;BRODNICKI;56 355;430 171;79 142;41 165;1 222 036;132 524
POMORSKIE;CHEŁMIŃSKI;192 270;181 028;101 474;55 601;880 193;749 335
POMORSKIE;CHOJNICKI;28 261;330 107;33 067;72 749;1 253 749;5 348
POMORSKIE;DZIAŁDOWSKI;12 507;138 741;35 943;25 298;587 036;3 546
POMORSKIE;GDYNIA (MIASTO);;;;;;
POMORSKIE;GNIEWSKI;86 209;84 267;44 641;37 135;441 609;307 683
POMORSKIE;GRUDZIĄDZ (MIASTO);;;;;;
POMORSKIE;GRUDZIĄDZKI;179 206;195 473;96 518;67 585;753 814;450 913
POMORSKIE;KARTUSKI;6 623;150 262;17 097;105 300;1 043 518;630
POMORSKIE;KOŚCIERSKI;11 929;180 201;14 833;70 949;876 739;0
POMORSKIE;LUBAWSKI;47 012;322 020;95 777;74 653;1 275 549;35 502
POMORSKIE;MORSKI;14 952;140 137;21 857;80 877;885 266;2 305
POMORSKIE;STAROGARDZKI;59 860;218 717;43 486;60 032;890 168;83 506
POMORSKIE;SĘPOLEŃSKI;18 586;154 520;43 806;57 842;714 219;21 517
POMORSKIE;TCZEWSKI;94 635;65 670;48 571;40 105;311 374;198 088
POMORSKIE;TORUŃ (MIASTO);;;;;;
POMORSKIE;TORUŃSKI;163 590;202 195;88 365;40 099;811 979;810 353
POMORSKIE;TUCHOLSKI;26 392;177 065;41 890;35 892;667 318;41 772
POMORSKIE;WĄBRZESKI;119 842;217 555;78 402;31 773;813 355;291 803
POMORSKIE;ŚWIECKI;100 319;397 082;91 716;73 756;1 894 290;208 450
POZNAŃSKIE;BYDGOSKI;109 839;379 031;107 092;72 812;1 303 384;185 428
POZNAŃSKIE;BYDGOSZCZ (MIASTO);;;;;;
