Region;District;Indirect Occupation - Total;Indirect Occupation - A. Agriculture;Indirect Occupation - Excluding Agriculture - Total;Indirect Occupation  - Horticulture;Indirect Occupation - B. Mining and industry;Indirect Occupation - C. Trade and insurance;Indirect Occupation - D. Transport and communication;Indirect Occupation - E. Public service, liberal professions;Indirect Occupation - Schooling, Education, and Culture;Indirect Occupation - Public Hygiene and Sanitation;Indirect Occupation - G. Domestic service;Indirect Occupation - N. Not further specified
BIAŁOSTOCKIE;AUGUSTOWSKI;74751;57492;17259;1408;8792;2070;1013;1281;524;292;543;1336
BIAŁOSTOCKIE;BIAŁOSTOCKI;140078;102254;37824;1659;20158;3583;4897;2133;749;749;589;3307
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);91101;1982;89119;362;42899;14887;8516;5636;2278;2443;2724;9374
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);202410;154358;48052;4019;24934;6658;3704;2377;1230;799;1148;3183
BIAŁOSTOCKIE;GRODZIEŃSKI;213105;135833;77272;2056;34106;12523;6438;5933;2130;1992;2524;9570
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);99741;71613;28128;729;14243;4210;2013;1284;973;480;491;3705
BIAŁOSTOCKIE;OSTROŁĘCKI;112587;88787;23800;859;10262;3528;3340;1473;851;361;554;2572
BIAŁOSTOCKIE;SOKÓLSKI;103135;87461;15674;661;6947;2665;1352;1018;587;346;396;1702
BIAŁOSTOCKIE;SUWALSKI;110124;79337;30787;1082;13019;4482;1433;3427;972;643;1105;4624
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);68215;49483;18732;451;9901;2651;1197;1530;540;308;486;1668
BIAŁOSTOCKIE;WOŁKOWYSKI;171327;139024;32303;1266;13163;4689;5660;1890;1027;629;1142;2837
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;89103;65095;24008;304;9789;3532;5680;1250;681;397;509;1866
BIAŁOSTOCKIE;ŁOMŻYŃSKI;168167;116556;51611;871;24145;8426;2926;3542;1883;1105;1297;7416
KIELECKIE;BĘDZIŃSKI;231310;20389;210921;442;155899;20004;11002;4784;2759;2795;4864;8372
KIELECKIE;CZĘSTOCHOWA (MIASTO);117179;1714;115465;555;72866;14880;7587;5310;2087;2202;3541;6437
KIELECKIE;CZĘSTOCHOWSKI;182466;126371;56095;1789;40197;4709;3013;1778;1060;449;906;2194
KIELECKIE;IŁŻECKI;159718;115074;44644;1356;28973;5498;2945;1647;957;547;1014;1707
KIELECKIE;JĘDRZEJOWSKI;108533;82491;26042;759;11560;5725;2887;1349;783;480;930;1569
KIELECKIE;KIELECKI;219297;122555;96742;2492;49545;14791;9473;6007;2220;1497;3153;7564
KIELECKIE;KONECKI;179174;100487;78687;2405;46493;9700;9872;2348;1474;1024;1743;3628
KIELECKIE;KOZIENICKI;143107;101936;41171;1989;23770;6251;2716;1529;985;548;807;2576
KIELECKIE;MIECHOWSKI;154574;122917;31657;823;15634;6745;2037;1719;1148;542;1234;1775
KIELECKIE;OLKUSKI;151729;97301;54428;650;36802;7309;2306;1867;1013;728;1164;2589
KIELECKIE;OPATOWSKI;186547;111154;75393;1576;47731;11958;3586;2756;1640;908;1836;3402
KIELECKIE;OPOCZYŃSKI;130524;102265;28259;1046;17130;4178;1361;1253;846;358;692;1395
KIELECKIE;PIŃCZOWSKI;126098;97860;28238;645;13071;7109;1283;1743;1035;455;988;1909
KIELECKIE;RADOM (MIASTO);77902;757;77145;500;42155;12107;7630;3596;1683;1523;2459;5492
KIELECKIE;RADOMSKI;150447;123370;27077;969;16040;3470;2393;1182;808;309;690;1216
KIELECKIE;SANDOMIERSKI;123362;88411;34951;917;16871;7459;1628;1925;1171;691;1052;3237
KIELECKIE;SOSNOWIEC;108959;433;108526;158;68720;15877;6646;4618;1831;2013;4003;4660
KIELECKIE;STOPNICKI;153091;122055;31036;811;13422;9055;1328;1709;1109;1056;885;1661
KIELECKIE;WŁOSZCZOWSKI;100607;80003;20604;1136;10563;4061;858;1237;689;304;763;993
KIELECKIE;ZAWIERCIAŃSKI;131073;50359;80714;460;58504;6827;6731;2374;1118;871;1299;2530
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);;;;;;;;;;;;
KRAKOWSKIE;BOCHEŃSKI;;;;;;;;;;;;
KRAKOWSKIE;BRZESKI (BRZESKO);;;;;;;;;;;;
KRAKOWSKIE;CHRZANOWSKI;;;;;;;;;;;;
KRAKOWSKIE;DĄBROWSKI;;;;;;;;;;;;
KRAKOWSKIE;GORLICKI;;;;;;;;;;;;
KRAKOWSKIE;JASIELSKI;;;;;;;;;;;;
KRAKOWSKIE;KRAKOWSKI;;;;;;;;;;;;
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;;;;;;;;
