Region;District;Indirect Occupation - Total;Indirect Occupation - A. Agriculture;Indirect Occupation - Excluding Agriculture - Total;Indirect Occupation  - Horticulture;Indirect Occupation - B. Mining and industry;Indirect Occupation - C. Trade and insurance;Indirect Occupation - D. Transport and communication;Indirect Occupation - E. Public service, liberal professions;Indirect Occupation - Schooling, Education, and Culture;Indirect Occupation - Public Hygiene and Sanitation;Indirect Occupation - G. Domestic service;Indirect Occupation - N. Not further specified
BIAŁOSTOCKIE;AUGUSTOWSKI;;;;;;;;;;;;
BIAŁOSTOCKIE;BIAŁOSTOCKI;;;;;;;;;;;;
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);;;;;;;;;;;;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);;;;;;;;;;;;
BIAŁOSTOCKIE;GRODZIEŃSKI;;;;;;;;;;;;
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);;;;;;;;;;;;
BIAŁOSTOCKIE;OSTROŁĘCKI;;;;;;;;;;;;
BIAŁOSTOCKIE;SOKÓLSKI;;;;;;;;;;;;
BIAŁOSTOCKIE;SUWALSKI;;;;;;;;;;;;
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);;;;;;;;;;;;
BIAŁOSTOCKIE;WOŁKOWYSKI;;;;;;;;;;;;
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;;;;;;;;;;;;
BIAŁOSTOCKIE;ŁOMŻYŃSKI;;;;;;;;;;;;
KIELECKIE;BĘDZIŃSKI;;;;;;;;;;;;
KIELECKIE;CZĘSTOCHOWA (MIASTO);;;;;;;;;;;;
KIELECKIE;CZĘSTOCHOWSKI;;;;;;;;;;;;
KIELECKIE;IŁŻECKI;;;;;;;;;;;;
KIELECKIE;JĘDRZEJOWSKI;;;;;;;;;;;;
KIELECKIE;KIELECKI;;;;;;;;;;;;
KIELECKIE;KONECKI;;;;;;;;;;;;
KIELECKIE;KOZIENICKI;;;;;;;;;;;;
KIELECKIE;MIECHOWSKI;;;;;;;;;;;;
KIELECKIE;OLKUSKI;;;;;;;;;;;;
KIELECKIE;OPATOWSKI;;;;;;;;;;;;
KIELECKIE;OPOCZYŃSKI;;;;;;;;;;;;
KIELECKIE;PIŃCZOWSKI;;;;;;;;;;;;
KIELECKIE;RADOM (MIASTO);;;;;;;;;;;;
KIELECKIE;RADOMSKI;;;;;;;;;;;;
KIELECKIE;SANDOMIERSKI;;;;;;;;;;;;
KIELECKIE;SOSNOWIEC;;;;;;;;;;;;
KIELECKIE;STOPNICKI;;;;;;;;;;;;
KIELECKIE;WŁOSZCZOWSKI;;;;;;;;;;;;
KIELECKIE;ZAWIERCIAŃSKI;;;;;;;;;;;;
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);139127;43037;96090;878;62102;10090;7674;2826;1346;1206;2950;7018
KRAKOWSKIE;BOCHEŃSKI;113790;80879;32911;457;10033;4054;7192;1975;933;462;1208;6597
KRAKOWSKIE;BRZESKI (BRZESKO);102226;82357;19869;315;9688;2751;2229;1129;682;251;893;1931
KRAKOWSKIE;CHRZANOWSKI;138061;31935;106126;682;70096;8728;9023;2344;1110;918;2581;10644
KRAKOWSKIE;DĄBROWSKI;66678;56787;9891;166;3302;2803;646;764;416;157;501;1136
KRAKOWSKIE;GORLICKI;104805;82009;22796;219;11971;3677;1659;1304;605;359;1187;1815
KRAKOWSKIE;JASIELSKI;116146;93016;23130;185;8426;4201;2705;1713;769;410;1513;3208
KRAKOWSKIE;KRAKOWSKI;187509;87916;99593;850;54054;7386;13126;4113;1765;2195;2511;13593
KRAKOWSKIE;KRAKÓW (MIASTO);219286;1958;217328;471;67128;45490;16469;15369;9213;8773;18247;36168
KRAKOWSKIE;LIMANOWSKI;87279;76234;11045;156;4639;1970;1074;826;426;176;647;1131
KRAKOWSKIE;MIELECKI;77465;63419;14046;335;4808;3980;667;976;617;214;703;1746
KRAKOWSKIE;MYŚLENICKI;102692;88190;14502;179;7356;2049;611;962;584;247;727;1787
KRAKOWSKIE;NOWOSĄDECKI;183867;122225;61642;683;20471;10040;12160;3515;1609;1675;3056;8433
KRAKOWSKIE;NOWOTARSKI;129489;99025;30464;271;11354;6417;2124;2410;1276;1444;2012;3156
KRAKOWSKIE;ROPCZYCKI;110925;90781;20144;403;6340;3836;2943;1446;776;275;935;3190
KRAKOWSKIE;TARNOWSKI;142365;79750;62615;322;26540;10926;6938;3767;1610;1458;3305;7749
KRAKOWSKIE;WADOWICKI;145143;107290;37853;725;19495;4342;3211;2190;1004;535;1871;4480
KRAKOWSKIE;ŻYWIECKI;130949;81172;49777;2257;30070;3299;5569;1710;755;522;1549;4046
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);;;;;;;;;;;;
LUBELSKIE;BIŁGORAJSKI;;;;;;;;;;;;
LUBELSKIE;CHEŁMSKI;;;;;;;;;;;;
LUBELSKIE;GARWOLIŃSKI;;;;;;;;;;;;
LUBELSKIE;HRUBIESZOWSKI;;;;;;;;;;;;
LUBELSKIE;JANOWSKI;;;;;;;;;;;;
LUBELSKIE;KRASNOSTAWSKI;;;;;;;;;;;;
LUBELSKIE;LUBARTOWSKI;;;;;;;;;;;;
LUBELSKIE;LUBELSKI;;;;;;;;;;;;
LUBELSKIE;LUBLIN (MIASTO);;;;;;;;;;;;
LUBELSKIE;PUŁAWSKI;;;;;;;;;;;;
LUBELSKIE;RADZYŃSKI;;;;;;;;;;;;
LUBELSKIE;SIEDLECKI;;;;;;;;;;;;
LUBELSKIE;SOKOŁOWSKI;;;;;;;;;;;;
