Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso;Kukurydza;Mieszanki na ziarno: Jęczmień;Mieszanki na ziarno: Inne mieszanki zbóż;Groch;Fasola, bób, soczewica;Len;Konopie;Rzepak i rzepik;Chmiel;Tytoń
BIAŁOSTOCKIE;AUGUSTOWSKI;2631,00;14996,00;3796,00;11266,00;8783,00; -   ;1131,00;8,00;1,00;119,00;199,00;1640,00;136,00;612,00;44,00;5,00; -   ;111,00
BIAŁOSTOCKIE;BIAŁOSTOCKI;4102,00;33264,00;5050,00;15048,00;15554,00; -   ;1210,00;7,00; -   ;186,00;407,00;2782,00;49,00;1073,00;43,00;144,00; -   ; -   
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);;;;;;;;;;;;;;;;;;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);11461,00;51681,00;7542,00;22566,00;23801,00; -   ;1598,00;253,00; -   ;150,00;1001,00;4119,00;199,00;2169,00;150,00;243,00; -   ; -   
BIAŁOSTOCKIE;GRODZIEŃSKI;6144,00;49277,00;10146,00;22642,00;19449,00; -   ;4480,00;24,00;3,00;398,00;373,00;3408,00;81,00;1219,00;135,00;9,00; -   ;38,00
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);5305,00;26289,00;1985,00;5136,00;9780,00;37,00;1825,00;150,00; -   ;352,00;238,00;1492,00;45,00;563,00;14,00;86,00; -   ; -   
BIAŁOSTOCKIE;OSTROŁĘCKI;4372,00;33935,00;2111,00;5232,00;15237,00;90,00;2509,00;288,00;3,00;198,00;100,00;2114,00;19,00;1442,00;43,00;53,00; -   ; -   
BIAŁOSTOCKIE;SOKÓLSKI;2540,00;36508,00;5111,00;21236,00;12896,00; -   ;1914,00; -   ; -   ;151,00;290,00;2520,00;142,00;1463,00;123,00;46,00; -   ; -   
BIAŁOSTOCKIE;SUWALSKI;3650,00;26995,00;5026,00;26711,00;10032,00; -   ;545,00; -   ; -   ;160,00;107,00;3781,00;488,00;1165,00;99,00;19,00; -   ; -   
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);47131,00;20607,00;2500,00;8164,00;9979,00; -   ;643,00;29,00; -   ;312,00;660,00;2195,00;6,00;285,00;18,00;58,00; -   ; -   
BIAŁOSTOCKIE;WOŁKOWYSKI;65891,00;61615,00;11561,00;28735,00;21419,00; -   ;5249,00;10,00;1,00;199,00;528,00;1975,00;102,00;914,00;172,00;110,00; -   ;158,00
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;8502,00;24080,00;3472,00;8513,00;10117,00;39,00;106,00;32,00;2,00;662,00;1110,00;1848,00;16,00;711,00;67,00;31,00; -   ; -   
BIAŁOSTOCKIE;ŁOMŻYŃSKI;11135,00;56747,00;4158,00;19432,00;23525,00;61,00;2331,00;217,00; -   ;316,00;718,00;3627,00;68,00;783,00;53,00;270,00; -   ; -   
KIELECKIE;BĘDZIŃSKI;670,00;9393,00;1428,00;1400,00;7295,00; -   ;7,00; -   ; -   ;58,00;15,00;11,00;1,00; -   ;1,00; -   ; -   ; -   
KIELECKIE;CZĘSTOCHOWA (MIASTO);;;;;;;;;;;;;;;;;;
KIELECKIE;CZĘSTOCHOWSKI;2114,00;50754,00;3047,00;8021,00;20818,00;34,00;160,00;188,00;8,00;217,00;158,00;130,00;77,00;54,00; -   ;62,00;4,00; -   
KIELECKIE;IŁŻECKI;5667,00;35873,00;13976,00;18022,00;16293,00;47,00;2360,00;768,00; -   ;302,00;66,00;402,00;180,00;223,00;76,00;372,00;18,00; -   
KIELECKIE;JĘDRZEJOWSKI;13992,00;23896,00;7234,00;7659,00;13502,00;17,00;17,00;360,00;9,00;179,00;134,00;410,00;69,00;16,00;4,00;81,00; -   ; -   
KIELECKIE;KIELECKI;6251,00;31191,00;6259,00;7270,00;20422,00; -   ;311,00;253,00; -   ;83,00;70,00;204,00;31,00;245,00;28,00;6,00; -   ; -   
KIELECKIE;KONECKI;1899,00;29375,00;2743,00;5440,00;18665,00; -   ;163,00;252,00;1,00;11,00;34,00;102,00;9,00;106,00;8,00;31,00; -   ; -   
KIELECKIE;KOZIENICKI;3790,00;38388,00;8918,00;12332,00;13695,00;113,00;2824,00;921,00;1,00;153,00;216,00;189,00;110,00;234,00;47,00;132,00;23,00; -   
KIELECKIE;MIECHOWSKI;22179,00;20464,00;10437,00;14465,00;12589,00;688,00;34,00;497,00;75,00;121,00;252,00;306,00;110,00;32,00;18,00;195,00; -   ;108,00
KIELECKIE;OLKUSKI;5132,00;25144,00;7097,00;8999,00;17188,00; -   ;149,00;3,00; -   ;151,00;95,00;87,00;19,00;16,00;10,00;34,00; -   ; -   
KIELECKIE;OPATOWSKI;14605,00;25294,00;12329,00;19787,00;16071,00;1133,00;451,00;570,00; -   ;248,00;192,00;645,00;66,00;64,00;19,00;452,00;21,00; -   
KIELECKIE;OPOCZYŃSKI;2904,00;46617,00;4355,00;11128,00;17787,00; -   ;822,00;669,00;3,00;75,00;71,00;241,00;60,00;280,00;31,00;129,00;1,00; -   
KIELECKIE;PIŃCZOWSKI;15103,00;17404,00;8575,00;8174,00;9845,00;1147,00;53,00;1594,00;13,00;353,00;181,00;236,00;121,00;10,00;12,00;259,00; -   ; -   
KIELECKIE;RADOM (MIASTO);;;;;;;;;;;;;;;;;;
KIELECKIE;RADOMSKI;5046,00;56022,00;10418,00;15980,00;21910,00;5,00;1232,00;1126,00;4,00;170,00;63,00;725,00;519,00;587,00;56,00;532,00;17,00; -   
KIELECKIE;SANDOMIERSKI;10540,00;16554,00;9106,00;10486,00;11700,00;826,00;72,00;1310,00;6,00;124,00;97,00;481,00;135,00;57,00;70,00;251,00;14,00; -   
KIELECKIE;SOSNOWIEC;;;;;;;;;;;;;;;;;;
KIELECKIE;STOPNICKI;12866,00;30792,00;9015,00;11361,00;17374,00;46,00;126,00;1974,00;15,00;251,00;374,00;395,00;210,00;26,00;23,00;114,00;2,00; -   
KIELECKIE;WŁOSZCZOWSKI;8806,00;21929,00;3004,00;5236,00;12150,00; -   ;33,00;139,00;4,00;198,00;110,00;196,00;41,00;106,00;9,00;63,00;10,00; -   
KIELECKIE;ZAWIERCIAŃSKI;1912,00;18923,00;2565,00;3177,00;11429,00; -   ;112,00;11,00;1,00;138,00;42,00;94,00;48,00;18,00;3,00;7,00; -   ; -   
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);1318,00;7327,00;536,00;7186,00;6534,00;31,00;3,00; -   ;3,00;199,00;32,00;3,00;22,00; -   ; -   ;13,00; -   ; -   
KRAKOWSKIE;BOCHEŃSKI;8452,00;10345,00;3450,00;6245,00;7343,00; -   ; -   ;202,00;41,00;75,00;13,00;73,00;62,00;1,00;3,00;15,00;5,00; -   
KRAKOWSKIE;BRZESKI (BRZESKO);8035,00;12439,00;4199,00;7041,00;8702,00;15,00;21,00;455,00;44,00;74,00;37,00;96,00;95,00;13,00;11,00;6,00; -   ; -   
KRAKOWSKIE;CHRZANOWSKI;1706,00;10797,00;1064,00;3858,00;8525,00; -   ;1,00;46,00;5,00;48,00;25,00;36,00;64,00; -   ; -   ; -   ; -   ; -   
KRAKOWSKIE;DĄBROWSKI;7800,00;10858,00;3494,00;5597,00;6063,00;44,00;10,00;504,00;263,00;62,00;122,00;106,00;158,00;10,00;23,00;45,00; -   ; -   
KRAKOWSKIE;GORLICKI;7204,00;9017,00;4378,00;12908,00;7607,00; -   ;4,00;4,00;2,00;498,00;125,00;87,00;167,00;189,00;2,00;2,00; -   ; -   
KRAKOWSKIE;JASIELSKI;9449,00;11167,00;4800,00;8623,00;8885,00;15,00;59,00;123,00;16,00;490,00;88,00;144,00;419,00;53,00;35,00;5,00; -   ; -   
KRAKOWSKIE;KRAKOWSKI;9901,00;15428,00;2681,00;9735,00;9491,00;90,00;23,00;51,00;7,00;111,00;182,00;106,00;63,00;1,00; -   ;49,00; -   ; -   
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;;;;;;;;;;;;;;
KRAKOWSKIE;LIMANOWSKI;5513,00;6129,00;3985,00;10156,00;6426,00; -   ; -   ; -   ; -   ;260,00;126,00;81,00;29,00;92,00;20,00; -   ; -   ; -   
KRAKOWSKIE;MIELECKI;7326,00;13450,00;3455,00;7601,00;9013,00;3,00;86,00;325,00;11,00;304,00;146,00;74,00;62,00;24,00;12,00;13,00; -   ; -   
KRAKOWSKIE;MYŚLENICKI;6331,00;9261,00;3619,00;13639,00;8864,00; -   ; -   ;11,00;3,00;121,00;97,00;86,00;59,00;77,00;1,00;2,00; -   ; -   
KRAKOWSKIE;NOWOSĄDECKI;6984,00;9906,00;8213,00;18990,00;11221,00; -   ;2,00;8,00;6,00;1159,00;52,00;261,00;235,00;320,00;95,00;7,00; -   ; -   
KRAKOWSKIE;NOWOTARSKI;324,00;4229,00;7429,00;33891,00;12961,00; -   ;5,00; -   ; -   ;393,00;4,00;234,00;69,00;510,00;26,00; -   ; -   ; -   
KRAKOWSKIE;ROPCZYCKI;11204,00;19912,00;5705,00;10790,00;12523,00;111,00;77,00;355,00;12,00;301,00;89,00;77,00;120,00;50,00;48,00;13,00; -   ; -   
KRAKOWSKIE;TARNOWSKI;8055,00;13279,00;4034,00;8499,00;7957,00;25,00;136,00;155,00;19,00;151,00;113,00;129,00;178,00;21,00;11,00;5,00;7,00; -   
KRAKOWSKIE;WADOWICKI;5451,00;12532,00;1484,00;14943,00;11758,00;80,00; -   ;3,00;8,00;275,00;65,00;55,00;51,00;10,00; -   ; -   ; -   ; -   
KRAKOWSKIE;ŻYWIECKI;1529,00;5666,00;2773,00;13922,00;10215,00; -   ; -   ; -   ; -   ;193,00;24,00;7,00;11,00;83,00; -   ;2,00; -   ; -   
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);6538,00;38166,00;3486,00;14766,00;18162,00;23,00;1297,00;647,00;1,00;245,00;258,00;874,00;114,00;488,00;177,00;373,00; -   ; -   
LUBELSKIE;BIŁGORAJSKI;5336,00;17943,00;5060,00;10690,00;9763,00; -   ;5016,00;858,00;1,00;65,00;24,00;142,00;57,00;639,00;664,00;2,00; -   ; -   
LUBELSKIE;CHEŁMSKI;18305,00;30927,00;10081,00;10177,00;15701,00;511,00;1850,00;578,00;2,00;891,00;156,00;519,00;173,00;272,00;241,00;367,00;11,00;16,00
LUBELSKIE;GARWOLIŃSKI;5344,00;37756,00;9378,00;12326,00;18360,00;3,00;2501,00;965,00;3,00;253,00;171,00;325,00;86,00;466,00;53,00;278,00;4,00; -   
LUBELSKIE;HRUBIESZOWSKI;24616,00;16804,00;10210,00;12819,00;10031,00;1564,00;2049,00;778,00;15,00;333,00;216,00;380,00;320,00;273,00;248,00;604,00;16,00;98,00
LUBELSKIE;JANOWSKI;10233,00;26849,00;11046,00;16990,00;13423,00;321,00;5501,00;1386,00;52,00;3239,00;285,00;281,00;181,00;577,00;356,00;307,00;35,00; -   
