Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso;Kukurydza;Mieszanki na ziarno: Jęczmień;Mieszanki na ziarno: Inne mieszanki zbóż;Groch;Fasola, bób, soczewica;Len: Nasienie;Len: Włókno;Konopie: Nasienie;Konopie: Włókno;Rzepak i rzepik;Chmiel;Tytoń
BIAŁOSTOCKIE;AUGUSTOWSKI;26982,00;132349,00;43759,00;84431,00;876227,00; -   ;4046,00;24,00;7,00;1063,00;1648,00;12057,00;1175,00;3679,00;2359,00;224,00;197,00;20,00; -   ;2260,00
BIAŁOSTOCKIE;BIAŁOSTOCKI;37341,00;375139,00;58035,00;165663,00;1613844,00; -   ;4813,00;78,00; -   ;2252,00;4169,00;26493,00;412,00;5669,00;3193,00;92,00;179,00;647,00; -   ; -   
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);110273,00;440664,00;74730,00;223538,00;2245964,00; -   ;7901,00;2865,00; -   ;1491,00;4123,00;35466,00;1822,00;14958,00;6739,00;662,00;636,00;1258,00; -   ; -   
BIAŁOSTOCKIE;GRODZIEŃSKI;30761,00;299844,00;65042,00;120363,00;1385858,00; -   ;14505,00;720,00;30,00;1260,00;1982,00;18502,00;392,00;5372,00;3233,00;602,00;492,00;38,00; -   ;284,00
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);43449,00;225512,00;20108,00;52183,00;916211,00;8627,00;15684,00;1955,00; -   ;3305,00;1653,00;14966,00;535,00;2410,00;1743,00;55,00;34,00;572,00; -   ; -   
BIAŁOSTOCKIE;OSTROŁĘCKI;43124,00;399090,00;26602,00;71860,00;1431306,00;21690,00;20706,00;4199,00;70,00;2414,00;1219,00;17676,00;194,00;7465,00;4040,00;155,00;123,00;404,00; -   ; -   
BIAŁOSTOCKIE;SOKÓLSKI;20897,00;337356,00;55671,00;163066,00;957241,00; -   ;10419,00; -   ; -   ;824,00;2184,00;21287,00;1531,00;8318,00;5286,00;656,00;481,00;223,00; -   ; -   
BIAŁOSTOCKIE;SUWALSKI;34339,00;216135,00;50214,00;236452,00;860280,00; -   ;2416,00; -   ; -   ;1286,00;729,00;23280,00;2721,00;4777,00;3589,00;501,00;332,00;61,00; -   ; -   
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);43100,00;206038,00;29814,00;87273,00;978889,00; -   ;3918,00;418,00; -   ;2927,00;6460,00;18783,00;36,00;1319,00;931,00;72,00;64,00;413,00; -   ; -   
BIAŁOSTOCKIE;WOŁKOWYSKI;38189,00;366192,00;77466,00;160033,00;1951466,00; -   ;19741,00;73,00;13,00;1172,00;2627,00;10114,00;927,00;4341,00;1653,00;535,00;449,00;434,00; -   ;2223,00
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;71255,00;250980,00;34872,00;75556,00;881500,00;8428,00;687,00;128,00;31,00;5443,00;10367,00;13627,00;173,00;3209,00;2199,00;341,00;183,00;284,00; -   ; -   
BIAŁOSTOCKIE;ŁOMŻYŃSKI;115642,00;678086,00;55811,00;264131,00;2729911,00;13328,00;18672,00;1836,00; -   ;3473,00;6905,00;35233,00;531,00;3233,00;2956,00;243,00;173,00;2011,00; -   ; -   
KIELECKIE;BĘDZIŃSKI;5482,00;98139,00;15262,00;16298,00;798663,00; -   ;40,00; -   ; -   ;660,00;87,00;90,00;13,00; -   ; -   ;7,00;4,00; -   ; -   ; -   
KIELECKIE;CZĘSTOCHOWA (MIASTO);0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
KIELECKIE;CZĘSTOCHOWSKI;22113,00;584995,00;35766,00;115455,00;2404803,00;7752,00;1053,00;2585,00;193,00;2464,00;1628,00;1465,00;1056,00;491,00;170,00; -   ; -   ;634,00;13,00; -   
