Region;District;Typ Kategorii;Total;1. All types of professional purchasing (total);a. Professional purchasing (agricultural products);b. Professional purchasing (livestock);c. Professional purchasing (plant and animal products);2. Food and colonial goods (exclusively);3. Food products along with non-food items (excluding wine and spirits);4. Meat, fats, and meat products (exclusively);5. Catering establishments with and without alcohol;6. Wine, spirits, and beer (possibly with food and colonial goods);7. Tobacco monopoly products;8. Textiles;9. Textiles with clothing, haberdashery, garments, and footwear;10. Ready-made clothing and haberdashery;11. Garments, garment parts, furs, and fur products;12. Footwear;13. Footwear with leather and shoemaking accessories;14. All types of leather and leather products (excluding footwear);15. Machinery, tools, and technical goods (excluding agricultural);16. Building materials and fuels;17. Furniture and all wooden products;18. Iron, ironware, enameled and aluminum goods (possibly with other goods);19. Kitchenware, porcelain, faience, glassware, window panes, and mirrors;20. Soap, candles, paints, gasoline, kerosene, mineral oils, lubricants (soap shops);21. Musical, optical, surgical instruments, photographic equipment and accessories;22. Watchmaking, jewelry, and silver-plated products;23. Electrical equipment, radio equipment, and all lighting accessories;24. Pharmacies;25. Pharmaceutical warehouses, perfumeries, and cosmetic shops;26. Rubber goods, oilcloth, linoleum, galoshes, tarpaulins, tires, inner tubes, etc.;27. Bookstores, stationery, and paper products (possibly with other goods);28. Agricultural machinery, tools, and goods;29. Agricultural-commercial syndicates and cooperatives;30. Banks, exchange offices, and other short- and long-term credit institutions;31. Forwarding, transport, and communication enterprises;32. Other service enterprises (reading rooms, clinics, laundries, bathhouses, garages, dance halls, etc.);33. Hotels, boarding houses, furnished rooms, lodging houses;34. Theaters, cinemas, and other performances;35. Insurance companies;36. Offices: commission, trade brokerage, advertising, legal advice, agency, technical, etc.;37. Other enterprises not listed above;38. Cards with no industry/branch specified;ZP. Industrial activities
BIAŁOSTOCKIE;AUGUSTOWSKI;Kategoria III;349.0;19.0;15.0;1.0;2.0;79.0;69.0;27.0;73.0;9.0;1.0;7.0;7.0;6.0;1.0;1.0;9.0;3.0;0.0;1.0;0.0;4.0;5.0;1.0;0.0;2.0;0.0;7.0;3.0;0.0;6.0;1.0;1.0;0.0;3.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0
BIAŁOSTOCKIE;BIAŁOSTOCKI;Kategoria III;604.0;3.0;1.0;0.0;2.0;158.0;140.0;47.0;79.0;19.0;10.0;27.0;14.0;10.0;2.0;5.0;5.0;8.0;0.0;5.0;1.0;10.0;2.0;5.0;0.0;0.0;0.0;10.0;6.0;0.0;2.0;1.0;1.0;0.0;32.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);Kategoria III;1283.0;27.0;2.0;0.0;9.0;365.0;73.0;130.0;149.0;23.0;21.0;48.0;12.0;88.0;21.0;26.0;16.0;16.0;5.0;33.0;14.0;37.0;14.0;22.0;4.0;12.0;4.0;2.0;20.0;2.0;32.0;0.0;3.0;1.0;4.0;8.0;6.0;2.0;0.0;19.0;22.0;2.0;18.0
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);Kategoria III;1022.0;41.0;29.0;2.0;7.0;382.0;105.0;111.0;98.0;17.0;13.0;36.0;23.0;34.0;7.0;9.0;11.0;15.0;1.0;8.0;8.0;24.0;10.0;7.0;0.0;0.0;1.0;14.0;11.0;0.0;15.0;4.0;0.0;0.0;5.0;0.0;1.0;2.0;0.0;5.0;1.0;3.0;0.0
BIAŁOSTOCKIE;GRODZIEŃSKI;Kategoria III;1385.0;39.0;26.0;0.0;6.0;369.0;241.0;114.0;177.0;12.0;12.0;61.0;6.0;71.0;14.0;12.0;3.0;18.0;0.0;22.0;3.0;34.0;14.0;19.0;3.0;4.0;1.0;12.0;25.0;13.0;26.0;1.0;5.0;0.0;14.0;11.0;3.0;0.0;0.0;19.0;4.0;3.0;14.0
BIAŁOSTOCKIE;KOLNEŃSKI;Kategoria III;238.0;15.0;9.0;4.0;0.0;62.0;66.0;8.0;29.0;2.0;0.0;8.0;4.0;3.0;2.0;3.0;1.0;3.0;0.0;2.0;0.0;11.0;1.0;2.0;0.0;0.0;1.0;4.0;2.0;0.0;3.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);Kategoria III;475.0;6.0;3.0;0.0;3.0;146.0;80.0;52.0;56.0;3.0;6.0;13.0;10.0;15.0;1.0;4.0;9.0;1.0;0.0;10.0;0.0;11.0;3.0;10.0;0.0;4.0;0.0;9.0;3.0;0.0;6.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;1.0;2.0;0.0;10.0;1.0
BIAŁOSTOCKIE;OSTROŁĘCKI;Kategoria III;439.0;4.0;2.0;0.0;2.0;160.0;42.0;14.0;79.0;3.0;2.0;13.0;19.0;23.0;1.0;2.0;6.0;7.0;0.0;6.0;1.0;13.0;7.0;1.0;1.0;4.0;1.0;6.0;3.0;0.0;7.0;3.0;2.0;0.0;1.0;1.0;1.0;1.0;0.0;2.0;0.0;3.0;0.0
BIAŁOSTOCKIE;SOKÓLSKI;Kategoria III;473.0;14.0;12.0;0.0;2.0;83.0;133.0;40.0;78.0;11.0;5.0;18.0;20.0;8.0;2.0;3.0;5.0;7.0;0.0;4.0;2.0;8.0;3.0;5.0;0.0;1.0;0.0;7.0;6.0;0.0;2.0;0.0;1.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0
BIAŁOSTOCKIE;SUWALSKI;Kategoria III;622.0;31.0;19.0;0.0;8.0;145.0;126.0;39.0;104.0;10.0;10.0;18.0;13.0;25.0;7.0;12.0;1.0;11.0;0.0;4.0;0.0;13.0;8.0;10.0;0.0;3.0;1.0;3.0;0.0;0.0;7.0;0.0;0.0;0.0;2.0;1.0;2.0;1.0;0.0;5.0;4.0;6.0;4.0
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);Kategoria III;402.0;14.0;11.0;0.0;2.0;76.0;102.0;52.0;37.0;10.0;1.0;18.0;16.0;9.0;9.0;2.0;6.0;4.0;1.0;8.0;1.0;6.0;2.0;6.0;0.0;2.0;0.0;2.0;1.0;0.0;8.0;2.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;2.0
BIAŁOSTOCKIE;WOŁKOWYSKI;Kategoria III;729.0;32.0;27.0;0.0;2.0;206.0;103.0;70.0;89.0;8.0;7.0;37.0;16.0;13.0;10.0;11.0;9.0;6.0;0.0;9.0;0.0;22.0;7.0;5.0;0.0;4.0;1.0;11.0;13.0;0.0;11.0;0.0;4.0;0.0;6.0;1.0;4.0;0.0;0.0;1.0;1.0;12.0;2.0
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;Kategoria III;542.0;18.0;9.0;1.0;7.0;130.0;106.0;57.0;66.0;14.0;7.0;31.0;14.0;10.0;2.0;4.0;13.0;5.0;0.0;10.0;1.0;11.0;2.0;7.0;0.0;0.0;0.0;6.0;3.0;0.0;5.0;3.0;4.0;0.0;5.0;0.0;1.0;1.0;0.0;2.0;1.0;3.0;0.0
BIAŁOSTOCKIE;ŁOMŻYŃSKI;Kategoria III;699.0;19.0;13.0;0.0;4.0;213.0;62.0;72.0;95.0;13.0;5.0;20.0;10.0;32.0;10.0;9.0;10.0;6.0;4.0;16.0;5.0;19.0;8.0;12.0;0.0;7.0;0.0;7.0;7.0;0.0;16.0;1.0;1.0;0.0;8.0;0.0;1.0;2.0;0.0;5.0;4.0;0.0;2.0
KIELECKIE;BĘDZIŃSKI;Kategoria III;1768.0;25.0;5.0;3.0;6.0;418.0;394.0;245.0;183.0;15.0;31.0;63.0;13.0;69.0;37.0;30.0;31.0;2.0;4.0;21.0;14.0;29.0;12.0;23.0;2.0;6.0;1.0;13.0;10.0;0.0;24.0;13.0;1.0;0.0;9.0;3.0;1.0;3.0;1.0;7.0;9.0;6.0;1.0
KIELECKIE;CZĘSTOCHOWA (MIASTO);Kategoria III;1068.0;15.0;5.0;3.0;2.0;233.0;173.0;118.0;90.0;19.0;14.0;36.0;20.0;56.0;32.0;22.0;15.0;7.0;4.0;32.0;10.0;28.0;12.0;16.0;3.0;9.0;3.0;8.0;11.0;0.0;30.0;6.0;0.0;1.0;13.0;5.0;2.0;2.0;0.0;8.0;6.0;9.0;10.0
KIELECKIE;CZĘSTOCHOWSKI;Kategoria III;342.0;3.0;0.0;3.0;0.0;69.0;138.0;16.0;28.0;18.0;0.0;5.0;8.0;3.0;2.0;6.0;4.0;1.0;0.0;3.0;0.0;8.0;1.0;3.0;0.0;0.0;0.0;7.0;1.0;0.0;0.0;5.0;0.0;0.0;8.0;0.0;1.0;0.0;0.0;1.0;0.0;3.0;0.0
KIELECKIE;IŁŻECKI;Kategoria III;500.0;14.0;10.0;0.0;0.0;77.0;172.0;29.0;51.0;15.0;22.0;20.0;9.0;19.0;3.0;6.0;4.0;3.0;0.0;1.0;2.0;16.0;1.0;2.0;0.0;0.0;2.0;9.0;2.0;0.0;6.0;0.0;1.0;0.0;6.0;2.0;2.0;0.0;0.0;2.0;1.0;1.0;0.0
KIELECKIE;JĘDRZEJOWSKI;Kategoria III;383.0;13.0;6.0;3.0;4.0;50.0;130.0;19.0;23.0;10.0;18.0;19.0;4.0;9.0;2.0;5.0;11.0;4.0;0.0;19.0;0.0;7.0;1.0;4.0;0.0;1.0;0.0;7.0;3.0;0.0;7.0;2.0;3.0;0.0;1.0;0.0;2.0;1.0;0.0;3.0;0.0;5.0;1.0
KIELECKIE;KIELECKI;Kategoria III;782.0;7.0;1.0;0.0;3.0;138.0;140.0;36.0;102.0;26.0;13.0;39.0;8.0;46.0;12.0;30.0;9.0;9.0;3.0;33.0;6.0;16.0;4.0;20.0;2.0;7.0;4.0;8.0;7.0;0.0;18.0;2.0;4.0;0.0;1.0;6.0;4.0;2.0;0.0;8.0;5.0;7.0;1.0
