Region;District;Typ Kategorii;Total;1. All types of professional purchasing (total);a. Professional purchasing (agricultural products);b. Professional purchasing (livestock);c. Professional purchasing (plant and animal products);2. Food and colonial goods (exclusively);3. Food products along with non-food items (excluding wine and spirits);4. Meat, fats, and meat products (exclusively);5. Catering establishments with and without alcohol;6. Wine, spirits, and beer (possibly with food and colonial goods);7. Tobacco monopoly products;8. Textiles;9. Textiles with clothing, haberdashery, garments, and footwear;10. Ready-made clothing and haberdashery;11. Garments, garment parts, furs, and fur products;12. Footwear;13. Footwear with leather and shoemaking accessories;14. All types of leather and leather products (excluding footwear);15. Machinery, tools, and technical goods (excluding agricultural);16. Building materials and fuels;17. Furniture and all wooden products;18. Iron, ironware, enameled and aluminum goods (possibly with other goods);19. Kitchenware, porcelain, faience, glassware, window panes, and mirrors;20. Soap, candles, paints, gasoline, kerosene, mineral oils, lubricants (soap shops);21. Musical, optical, surgical instruments, photographic equipment and accessories;22. Watchmaking, jewelry, and silver-plated products;23. Electrical equipment, radio equipment, and all lighting accessories;24. Pharmacies;25. Pharmaceutical warehouses, perfumeries, and cosmetic shops;26. Rubber goods, oilcloth, linoleum, galoshes, tarpaulins, tires, inner tubes, etc.;27. Bookstores, stationery, and paper products (possibly with other goods);28. Agricultural machinery, tools, and goods;29. Agricultural-commercial syndicates and cooperatives;30. Banks, exchange offices, and other short- and long-term credit institutions;31. Forwarding, transport, and communication enterprises;32. Other service enterprises (reading rooms, clinics, laundries, bathhouses, garages, dance halls, etc.);33. Hotels, boarding houses, furnished rooms, lodging houses;34. Theaters, cinemas, and other performances;35. Insurance companies;36. Offices: commission, trade brokerage, advertising, legal advice, agency, technical, etc.;37. Other enterprises not listed above;38. Cards with no industry/branch specified;ZP. Industrial activities
BIAŁOSTOCKIE;AUGUSTOWSKI;Ogółem;610.0;68.0;41.0;4.0;3.0;138.0;92.0;56.0;86.0;13.0;14.0;13.0;10.0;21.0;10.0;2.0;9.0;10.0;0.0;2.0;3.0;5.0;7.0;2.0;0.0;2.0;1.0;7.0;4.0;0.0;6.0;1.0;1.0;0.0;7.0;8.0;5.0;2.0;0.0;2.0;0.0;3.0;2.0
BIAŁOSTOCKIE;BIAŁOSTOCKI;Ogółem;871.0;65.0;29.0;1.0;12.0;218.0;149.0;110.0;87.0;23.0;24.0;34.0;19.0;14.0;4.0;6.0;7.0;11.0;0.0;6.0;2.0;16.0;5.0;5.0;0.0;0.0;0.0;10.0;9.0;0.0;5.0;2.0;1.0;1.0;32.0;3.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);Ogółem;2275.0;83.0;14.0;2.0;25.0;662.0;94.0;276.0;168.0;32.0;48.0;96.0;22.0;151.0;42.0;43.0;17.0;27.0;10.0;56.0;25.0;43.0;34.0;43.0;6.0;16.0;7.0;8.0;27.0;10.0;53.0;2.0;3.0;11.0;28.0;43.0;10.0;5.0;5.0;30.0;32.0;7.0;44.0
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);Ogółem;1613.0;161.0;92.0;4.0;38.0;494.0;135.0;175.0;114.0;34.0;23.0;59.0;39.0;66.0;42.0;28.0;12.0;21.0;5.0;9.0;8.0;32.0;23.0;16.0;1.0;2.0;1.0;14.0;13.0;0.0;19.0;6.0;0.0;3.0;10.0;21.0;7.0;2.0;0.0;6.0;4.0;8.0;2.0
BIAŁOSTOCKIE;GRODZIEŃSKI;Ogółem;2146.0;182.0;113.0;3.0;12.0;556.0;280.0;140.0;219.0;36.0;24.0;80.0;12.0;104.0;28.0;27.0;4.0;39.0;7.0;29.0;11.0;39.0;32.0;38.0;3.0;8.0;5.0;16.0;35.0;16.0;41.0;8.0;7.0;4.0;23.0;37.0;9.0;3.0;0.0;22.0;13.0;9.0;19.0
BIAŁOSTOCKIE;KOLNEŃSKI;Ogółem;546.0;58.0;43.0;6.0;2.0;134.0;98.0;81.0;32.0;8.0;2.0;24.0;6.0;12.0;17.0;9.0;3.0;6.0;1.0;3.0;6.0;15.0;2.0;2.0;0.0;1.0;1.0;4.0;2.0;0.0;3.0;2.0;1.0;0.0;3.0;4.0;1.0;0.0;0.0;2.0;2.0;1.0;1.0
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);Ogółem;917.0;30.0;12.0;1.0;12.0;278.0;103.0;132.0;64.0;14.0;11.0;32.0;14.0;51.0;11.0;19.0;10.0;6.0;3.0;17.0;9.0;21.0;11.0;12.0;0.0;4.0;1.0;9.0;3.0;0.0;10.0;2.0;2.0;3.0;3.0;9.0;1.0;1.0;1.0;3.0;0.0;17.0;1.0
BIAŁOSTOCKIE;OSTROŁĘCKI;Ogółem;921.0;41.0;24.0;2.0;11.0;279.0;54.0;142.0;92.0;11.0;6.0;18.0;22.0;48.0;33.0;31.0;8.0;12.0;1.0;16.0;2.0;21.0;14.0;4.0;1.0;5.0;1.0;6.0;3.0;0.0;14.0;4.0;2.0;2.0;4.0;6.0;2.0;2.0;0.0;2.0;1.0;11.0;1.0
BIAŁOSTOCKIE;SOKÓLSKI;Ogółem;709.0;47.0;32.0;0.0;6.0;134.0;151.0;54.0;86.0;21.0;19.0;18.0;21.0;19.0;11.0;12.0;7.0;16.0;0.0;9.0;2.0;12.0;6.0;7.0;0.0;1.0;1.0;7.0;7.0;0.0;9.0;0.0;1.0;0.0;6.0;17.0;1.0;1.0;0.0;2.0;1.0;3.0;1.0
BIAŁOSTOCKIE;SUWALSKI;Ogółem;964.0;79.0;36.0;5.0;15.0;207.0;137.0;69.0;121.0;22.0;24.0;26.0;16.0;54.0;26.0;23.0;2.0;17.0;3.0;6.0;2.0;21.0;11.0;14.0;1.0;5.0;2.0;5.0;6.0;0.0;10.0;4.0;0.0;5.0;4.0;12.0;2.0;2.0;0.0;5.0;10.0;11.0;4.0
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);Ogółem;734.0;71.0;59.0;1.0;6.0;148.0;118.0;114.0;47.0;18.0;7.0;22.0;18.0;15.0;20.0;12.0;9.0;10.0;2.0;10.0;7.0;9.0;5.0;7.0;0.0;2.0;1.0;3.0;3.0;0.0;9.0;5.0;0.0;1.0;14.0;11.0;2.0;1.0;0.0;0.0;8.0;5.0;2.0
BIAŁOSTOCKIE;WOŁKOWYSKI;Ogółem;1182.0;98.0;68.0;2.0;13.0;303.0;122.0;119.0;107.0;21.0;15.0;48.0;26.0;24.0;23.0;15.0;12.0;12.0;2.0;14.0;2.0;25.0;22.0;9.0;0.0;6.0;2.0;11.0;18.0;1.0;17.0;0.0;5.0;6.0;12.0;19.0;7.0;0.0;0.0;3.0;2.0;54.0;10.0
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;Ogółem;833.0;67.0;31.0;3.0;24.0;187.0;125.0;103.0;77.0;20.0;14.0;47.0;17.0;29.0;17.0;7.0;14.0;6.0;2.0;12.0;5.0;12.0;11.0;7.0;0.0;0.0;0.0;6.0;3.0;0.0;7.0;5.0;4.0;3.0;7.0;9.0;2.0;1.0;0.0;2.0;1.0;4.0;0.0
BIAŁOSTOCKIE;ŁOMŻYŃSKI;Ogółem;1323.0;84.0;55.0;0.0;16.0;325.0;80.0;168.0;114.0;30.0;11.0;60.0;16.0;83.0;46.0;57.0;13.0;14.0;8.0;24.0;10.0;22.0;15.0;18.0;0.0;10.0;3.0;9.0;9.0;0.0;20.0;2.0;1.0;4.0;18.0;21.0;7.0;4.0;0.0;5.0;12.0;0.0;6.0
KIELECKIE;BĘDZIŃSKI;Ogółem;3236.0;58.0;8.0;11.0;18.0;901.0;487.0;311.0;245.0;47.0;54.0;195.0;41.0;216.0;89.0;76.0;42.0;18.0;13.0;40.0;32.0;58.0;23.0;33.0;4.0;11.0;5.0;14.0;18.0;0.0;51.0;30.0;1.0;12.0;13.0;36.0;4.0;8.0;2.0;12.0;19.0;17.0;20.0
KIELECKIE;CZĘSTOCHOWA (MIASTO);Ogółem;2165.0;47.0;10.0;6.0;14.0;541.0;205.0;171.0;127.0;30.0;46.0;108.0;34.0;186.0;67.0;46.0;19.0;19.0;8.0;115.0;18.0;41.0;36.0;48.0;6.0;12.0;5.0;11.0;24.0;0.0;55.0;10.0;0.0;13.0;25.0;26.0;4.0;5.0;3.0;17.0;12.0;25.0;26.0
KIELECKIE;CZĘSTOCHOWSKI;Ogółem;907.0;26.0;7.0;19.0;0.0;267.0;268.0;72.0;54.0;26.0;3.0;26.0;17.0;23.0;27.0;20.0;4.0;7.0;0.0;11.0;0.0;10.0;2.0;6.0;0.0;0.0;0.0;7.0;1.0;0.0;2.0;5.0;0.0;1.0;9.0;2.0;1.0;0.0;0.0;1.0;0.0;9.0;1.0
KIELECKIE;IŁŻECKI;Ogółem;1291.0;70.0;37.0;4.0;22.0;215.0;318.0;165.0;78.0;16.0;53.0;62.0;18.0;74.0;41.0;45.0;7.0;16.0;0.0;12.0;5.0;23.0;18.0;2.0;0.0;1.0;2.0;9.0;3.0;0.0;9.0;1.0;1.0;0.0;6.0;4.0;3.0;1.0;0.0;2.0;6.0;5.0;1.0
KIELECKIE;JĘDRZEJOWSKI;Ogółem;1060.0;122.0;60.0;18.0;43.0;68.0;348.0;70.0;35.0;11.0;38.0;57.0;12.0;45.0;49.0;23.0;13.0;25.0;2.0;36.0;9.0;14.0;7.0;9.0;0.0;3.0;0.0;7.0;3.0;0.0;15.0;4.0;3.0;2.0;3.0;4.0;3.0;1.0;0.0;5.0;5.0;9.0;1.0
KIELECKIE;KIELECKI;Ogółem;2291.0;62.0;21.0;9.0;20.0;587.0;401.0;164.0;208.0;40.0;37.0;98.0;18.0;140.0;75.0;54.0;14.0;41.0;8.0;63.0;16.0;37.0;15.0;36.0;4.0;7.0;4.0;12.0;11.0;1.0;34.0;7.0;4.0;11.0;3.0;26.0;8.0;4.0;1.0;13.0;17.0;10.0;4.0
KIELECKIE;KONECKI;Ogółem;2022.0;75.0;15.0;7.0;32.0;542.0;336.0;199.0;109.0;29.0;25.0;95.0;43.0;155.0;77.0;43.0;26.0;20.0;4.0;39.0;14.0;37.0;30.0;26.0;0.0;1.0;3.0;9.0;8.0;0.0;21.0;0.0;2.0;8.0;6.0;3.0;0.0;3.0;0.0;3.0;5.0;26.0;2.0
KIELECKIE;KOZIENICKI;Ogółem;1284.0;80.0;37.0;12.0;29.0;238.0;219.0;214.0;106.0;22.0;44.0;58.0;25.0;62.0;36.0;45.0;6.0;18.0;2.0;19.0;7.0;18.0;12.0;4.0;0.0;0.0;1.0;7.0;4.0;0.0;6.0;3.0;2.0;2.0;1.0;0.0;0.0;3.0;0.0;2.0;0.0;18.0;0.0
KIELECKIE;MIECHOWSKI;Ogółem;1235.0;142.0;74.0;25.0;42.0;216.0;329.0;90.0;60.0;23.0;25.0;41.0;20.0;53.0;40.0;22.0;8.0;22.0;1.0;37.0;4.0;15.0;17.0;8.0;0.0;1.0;1.0;7.0;4.0;0.0;10.0;3.0;2.0;1.0;11.0;3.0;2.0;0.0;0.0;1.0;2.0;14.0;2.0
KIELECKIE;OLKUSKI;Ogółem;1546.0;140.0;57.0;27.0;47.0;145.0;427.0;147.0;98.0;24.0;25.0;85.0;9.0;75.0;48.0;64.0;12.0;38.0;0.0;38.0;10.0;35.0;11.0;18.0;0.0;1.0;0.0;10.0;5.0;0.0;11.0;6.0;6.0;5.0;17.0;4.0;1.0;4.0;0.0;3.0;3.0;21.0;4.0
