Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso
BIAŁOSTOCKIE;AUGUSTOWSKI; 2 742 ; 16 120 ; 3 744 ; 11 270 ; 8 630 ; -   ; 1 215 ; 1 
BIAŁOSTOCKIE;BIAŁOSTOCKI; 4 107 ; 34 761 ; 6 545 ; 16 423 ; 16 246 ; -   ; 920 ; 8 
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);;;;;;;;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI); 13 727 ; 56 290 ; 7 713 ; 21 277 ; 26 959 ; -   ; 1 606 ; 314 
BIAŁOSTOCKIE;GRODZIEŃSKI; 6 922 ; 53 335 ; 10 949 ; 23 151 ; 22 321 ; -   ; 3 810 ; 27 
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA); 5 290 ; 26 850 ; 2 525 ; 5 394 ; 10 031 ; 45 ; 1 562 ; 134 
BIAŁOSTOCKIE;OSTROŁĘCKI; 4 476 ; 36 303 ; 1 563 ; 5 181 ; 14 568 ; 73 ; 2 253 ; 197 
BIAŁOSTOCKIE;SOKÓLSKI; 2 250 ; 37 409 ; 4 741 ; 19 798 ; 13 966 ; -   ; 1 844 ; -   
BIAŁOSTOCKIE;SUWALSKI; 3 778 ; 27 313 ; 5 350 ; 25 388 ; 10 375 ; -   ; 434 ; 1 
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE); 4 694 ; 21 748 ; 2 644 ; 6 750 ; 10 305 ; -   ; 602 ; 69 
BIAŁOSTOCKIE;WOŁKOWYSKI; 6 174 ; 61 974 ; 11 399 ; 29 087 ; 23 320 ; -   ; 5 137 ; 25 
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI; 9 180 ; 24 527 ; 3 280 ; 8 566 ; 10 671 ; 57 ; 71 ; 25 
BIAŁOSTOCKIE;ŁOMŻYŃSKI; 12 205 ; 56 129 ; 4 331 ; 17 477 ; 25 587 ; -   ; 1 857 ; 158 
KIELECKIE;BĘDZIŃSKI; 523 ; 9 946 ; 1 372 ; 1 470 ; 6 991 ; -   ; 6 ; 2 
KIELECKIE;CZĘSTOCHOWA (MIASTO);;;;;;;;
KIELECKIE;CZĘSTOCHOWSKI; 2 074 ; 49 814 ; 2 858 ; 7 857 ; 20 811 ; 37 ; 225 ; 320 
KIELECKIE;IŁŻECKI; 5 106 ; 36 485 ; 13 159 ; 17 685 ; 15 512 ; -   ; 2 042 ; 544 
KIELECKIE;JĘDRZEJOWSKI; 14 007 ; 25 456 ; 7 287 ; 8 343 ; 13 739 ; 10 ; 25 ; 296 
KIELECKIE;KIELECKI; 5 310 ; 31 571 ; 5 804 ; 7 950 ; 20 379 ; -   ; 263 ; 325 
KIELECKIE;KONECKI; 1 717 ; 29 982 ; 2 493 ; 5 251 ; 19 456 ; -   ; 129 ; 246 
KIELECKIE;KOZIENICKI; 3 837 ; 38 652 ; 8 141 ; 12 225 ; 13 938 ; 106 ; 2 333 ; 652 
KIELECKIE;MIECHOWSKI; 19 628 ; 21 538 ; 9 880 ; 14 262 ; 13 093 ; 561 ; 19 ; 491 
KIELECKIE;OLKUSKI; 4 516 ; 26 370 ; 6 266 ; 9 092 ; 16 562 ; -   ; 191 ; 8 
KIELECKIE;OPATOWSKI; 14 226 ; 26 115 ; 11 143 ; 19 878 ; 15 966 ; 1 159 ; 205 ; 475 
KIELECKIE;OPOCZYŃSKI; 2 970 ; 47 482 ; 4 209 ; 11 168 ; 18 169 ; -   ; 732 ; 590 
KIELECKIE;PIŃCZOWSKI; 13 999 ; 18 927 ; 8 546 ; 7 712 ; 9 931 ; 1 046 ; 27 ; 1 400 
KIELECKIE;RADOM (MIASTO);;;;;;;;
KIELECKIE;RADOMSKI; 5 653 ; 57 423 ; 9 561 ; 16 908 ; 22 497 ; 1 ; 941 ; 1 084 
KIELECKIE;SANDOMIERSKI; 8 683 ; 16 502 ; 7 279 ; 9 120 ; 10 319 ; 816 ; 37 ; 853 
KIELECKIE;SOSNOWIEC;;;;;;;;
KIELECKIE;STOPNICKI; 12 472 ; 32 311 ; 8 789 ; 10 937 ; 17 325 ; 18 ; 85 ; 1 793 
KIELECKIE;WŁOSZCZOWSKI; 8 684 ; 23 100 ; 2 455 ; 4 980 ; 12 217 ; 7 ; 27 ; 186 
KIELECKIE;ZAWIERCIAŃSKI; 1 777 ; 20 395 ; 2 410 ; 3 230 ; 11 338 ; -   ; 108 ; 15 
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA); 1 301 ; 7 726 ; 569 ; 7 401 ; 6 801 ; 9 ; 3 ; -   
KRAKOWSKIE;BOCHEŃSKI; 6 713 ; 8 377 ; 2 536 ; 5 412 ; 5 806 ; 1 ; 1 ; 163 
KRAKOWSKIE;BRZESKI (BRZESKO); 5 793 ; 10 028 ; 2 765 ; 5 610 ; 6 642 ; 8 ; 12 ; 279 
KRAKOWSKIE;CHRZANOWSKI; 1 330 ; 11 315 ; 908 ; 3 830 ; 7 846 ; -   ; -   ; 63 
KRAKOWSKIE;DĄBROWSKI; 2 289 ; 5 000 ; 1 617 ; 2 467 ; 2 314 ; -   ; 6 ; 176 
KRAKOWSKIE;GORLICKI; 6 427 ; 8 804 ; 4 186 ; 13 442 ; 7 633 ; -   ; -   ; 20 
KRAKOWSKIE;JASIELSKI; 8 483 ; 10 722 ; 4 192 ; 8 016 ; 8 149 ; 5 ; 23 ; 104 
KRAKOWSKIE;KRAKOWSKI; 10 001 ; 16 440 ; 2 614 ; 9 336 ; 9 733 ; 77 ; 8 ; 85 
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;;;;
KRAKOWSKIE;LIMANOWSKI; 4 784 ; 5 623 ; 4 033 ; 9 902 ; 6 108 ; -   ; -   ; 2 
KRAKOWSKIE;MIELECKI; 3 275 ; 6 986 ; 1 362 ; 3 101 ; 2 876 ; -   ; 67 ; 151 
KRAKOWSKIE;MYŚLENICKI; 5 815 ; 8 486 ; 4 043 ; 13 658 ; 8 830 ; -   ; -   ; 10 
KRAKOWSKIE;NOWOSĄDECKI; 6 323 ; 8 927 ; 7 513 ; 17 668 ; 10 158 ; -   ; -   ; 11 
KRAKOWSKIE;NOWOTARSKI; 263 ; 4 081 ; 6 873 ; 34 708 ; 12 528 ; -   ; 46 ; -   
KRAKOWSKIE;ROPCZYCKI; 10 519 ; 19 354 ; 5 672 ; 10 255 ; 11 665 ; 77 ; 64 ; 377 
KRAKOWSKIE;TARNOWSKI; 6 696 ; 11 955 ; 2 878 ; 6 943 ; 7 470 ; 18 ; 53 ; 143 
KRAKOWSKIE;WADOWICKI; 4 989 ; 11 646 ; 1 686 ; 14 609 ; 11 476 ; 67 ; 1 ; 12 
KRAKOWSKIE;ŻYWIECKI; 1 212 ; 5 722 ; 2 654 ; 13 982 ; 11 108 ; -   ; -   ; -   
LUBELSKIE;BIALSKI (BIAŁA PODLASKA); 7 159 ; 38 342 ; 3 542 ; 14 951 ; 19 450 ; -   ; 1 284 ; 456 
LUBELSKIE;BIŁGORAJSKI; 4 975 ; 19 773 ; 4 896 ; 10 879 ; 10 414 ; -   ; 4 784 ; 873 
LUBELSKIE;CHEŁMSKI; 18 402 ; 31 657 ; 9 996 ; 9 281 ; 15 831 ; 501 ; 1 715 ; 490 
LUBELSKIE;GARWOLIŃSKI; 4 711 ; 38 874 ; 7 848 ; 12 514 ; 18 327 ; 1 ; 1 917 ; 746 
LUBELSKIE;HRUBIESZOWSKI; 25 530 ; 17 488 ; 9 482 ; 12 665 ; 10 794 ; 1 634 ; 1 530 ; 743 
LUBELSKIE;JANOWSKI; 10 295 ; 27 557 ; 10 506 ; 16 904 ; 14 792 ; 283 ; 4 744 ; 806 
LUBELSKIE;KRASNOSTAWSKI; 22 738 ; 21 197 ; 9 439 ; 11 445 ; 12 122 ; 989 ; 2 361 ; 632 
LUBELSKIE;LUBARTOWSKI; 4 831 ; 33 649 ; 3 239 ; 8 254 ; 13 253 ; 200 ; 5 834 ; 410 
LUBELSKIE;LUBELSKI; 27 406 ; 32 966 ; 13 457 ; 18 270 ; 18 132 ; 2 734 ; 2 738 ; 525 
LUBELSKIE;LUBLIN (MIASTO);;;;;;;;
LUBELSKIE;PUŁAWSKI; 8 624 ; 28 738 ; 10 020 ; 9 930 ; 14 024 ; 1 435 ; 3 327 ; 1 110 
LUBELSKIE;RADZYŃSKI; 8 368 ; 24 723 ; 1 819 ; 12 916 ; 13 598 ; 54 ; 2 180 ; 621 
LUBELSKIE;SIEDLECKI; 8 376 ; 40 621 ; 2 511 ; 15 015 ; 19 537 ; -   ; 316 ; 201 
LUBELSKIE;SOKOŁOWSKI; 8 163 ; 24 021 ; 2 869 ; 7 947 ; 13 432 ; 717 ; 190 ; 111 
LUBELSKIE;TOMASZOWSKI; 17 559 ; 16 006 ; 9 684 ; 10 870 ; 10 183 ; 1 109 ; 1 485 ; 849 
