Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe
BIAŁOSTOCKIE;AUGUSTOWSKI;25975;136196;26006;101049;878666; -   
BIAŁOSTOCKIE;BIAŁOSTOCKI;47616;402717;59530;166421;1583740; -   
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);;;;;;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);131348;606260;72176;175789;2522992; -   
BIAŁOSTOCKIE;GRODZIEŃSKI;66476;559266;108674;253492;2489236; -   
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);56243;280872;25347;83399;1296831; 22 137 
BIAŁOSTOCKIE;OSTROŁĘCKI;40193;361195;18520;74708;1482651; 7 224 
BIAŁOSTOCKIE;SOKÓLSKI;13774;362576;38139;156969;1273664; -   
BIAŁOSTOCKIE;SUWALSKI;32360;238101;49514;240678;540649;X
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);38561;199354;25674;86614;1259745;X
BIAŁOSTOCKIE;WOŁKOWYSKI;53035;577886;89076;225863;2426013;X
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;80207;270072;34272;101844;1196585; 4 738 
BIAŁOSTOCKIE;ŁOMŻYŃSKI;118732;627236;46630;210957;3057057; -   
KIELECKIE;BĘDZIŃSKI;5521;104645;11854;17054;623295; X 
KIELECKIE;CZĘSTOCHOWA (MIASTO);;;;;;
KIELECKIE;CZĘSTOCHOWSKI;29753;586786;34394;111356;2589645; 9 855 
KIELECKIE;IŁŻECKI;60769;405357;151522;245221;2132195; 7 727 
KIELECKIE;JĘDRZEJOWSKI;188551;320718;108145;111863;2083818; 1 519 
KIELECKIE;KIELECKI;61469;362818;56581;104564;2180162; -   
KIELECKIE;KONECKI;15501;321553;26238;65306;2349424; -   
KIELECKIE;KOZIENICKI;49051;430667;99753;176861;1949800; 23 371 
KIELECKIE;MIECHOWSKI;303996;346435;159150;243183;1977616; 121 367 
KIELECKIE;OLKUSKI;72938;341942;69725;124608;1805648; -   
KIELECKIE;OPATOWSKI;193786;353811;157651;272153;2572823; 297 640 
KIELECKIE;OPOCZYŃSKI;38072;522037;50266;144482;2664152;X
KIELECKIE;PIŃCZOWSKI;204960;275311;119476;133408;1397874; 271 336 
KIELECKIE;RADOM (MIASTO);;;;;;
KIELECKIE;RADOMSKI;70464;743855;129406;227961;3216065; -   
KIELECKIE;SANDOMIERSKI;161831;240090;128309;163257;1808772; 205 219 
KIELECKIE;SOSNOWIEC;;;;;;
KIELECKIE;STOPNICKI;162010;390191;106411;156402;2259172; 17 857 
KIELECKIE;WŁOSZCZOWSKI;143735;388096;38312;86696;1892861; 1 281 
KIELECKIE;ZAWIERCIAŃSKI;20056;204455;22362;33049;1267942;X
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);17836;111149;8883;106136;936097; 3 271 
KRAKOWSKIE;BOCHEŃSKI;88301;115624;42427;89819;892980; 451 
KRAKOWSKIE;BRZESKI (BRZESKO);94527;169063;53709;87485;1378776; 1 802 
KRAKOWSKIE;CHRZANOWSKI;19841;129200;8986;48464;720670; X 
KRAKOWSKIE;DĄBROWSKI;89910;141761;37440;63982;611199; 5 789 
KRAKOWSKIE;GORLICKI;65098;97151;46834;129745;786139; X 
KRAKOWSKIE;JASIELSKI;77219;117332;40980;105697;1270272; 1 441 
KRAKOWSKIE;KRAKOWSKI;131989;220183;41471;155362;1214056; 15 875 
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;;
KRAKOWSKIE;LIMANOWSKI;46190;55498;35905;95934;769776; X 
KRAKOWSKIE;MIELECKI;59622;154771;30129;88813;1131544; 434 
KRAKOWSKIE;MYŚLENICKI;61253;105941;36485;137191;814408; 814 408 
KRAKOWSKIE;NOWOSĄDECKI;75651;119832;79272;170662;1352273; 1 352 273 
KRAKOWSKIE;NOWOTARSKI;2288;68622;84070;275089;961178; 961 178 
KRAKOWSKIE;ROPCZYCKI;98964;200489;58982;117748;1693633; 1 693 633 
KRAKOWSKIE;TARNOWSKI;79795;135849;37240;97817;1260963; 1 260 963 
KRAKOWSKIE;WADOWICKI;70069;142450;26125;171144;1439761; 1 439 761 
KRAKOWSKIE;ŻYWIECKI;18377;71340;22022;136884;1126835; 1 126 835 
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);71484;525759;37719;199462;3242109;X
LUBELSKIE;BIŁGORAJSKI;45844;211480;47585;131179;974633;X
LUBELSKIE;CHEŁMSKI;233386;399032;144985;131482;1697915; 143 995 
LUBELSKIE;GARWOLIŃSKI;60833;422691;101310;190670;2339319; 115 
LUBELSKIE;HRUBIESZOWSKI;338799;258800;145996;201587;1406481; 300 476 
LUBELSKIE;JANOWSKI;151338;426429;165741;284032;2591408; 52 934 
LUBELSKIE;KRASNOSTAWSKI;284686;288956;139115;173416;1420903; 185 197 
LUBELSKIE;LUBARTOWSKI;66639;390974;44700;119695;1772667; 33 281 
LUBELSKIE;LUBELSKI;332092;437483;198066;270071;2371714; 544 549 
LUBELSKIE;LUBLIN (MIASTO);;;;;;
LUBELSKIE;PUŁAWSKI;101835;326349;142960;142394;1835009; 286 926 
LUBELSKIE;RADZYŃSKI;83304;307701;21410;166918;2181532; 8 475 
LUBELSKIE;SIEDLECKI;101555;473029;29547;215680;2497064; 11 580 
LUBELSKIE;SOKOŁOWSKI;105233;305924;39126;107599;1742598; 221 661 
LUBELSKIE;TOMASZOWSKI;194600;190981;114952;130782;1280900; 231 099 
LUBELSKIE;WĘGROWSKI;52547;244349;26550;110719;1453489; 39 642 
LUBELSKIE;WŁODAWSKI;68292;400458;34395;155822;1944769; 9 065 
LUBELSKIE;ZAMOJSKI;229493;230350;119530;169492;1393563; 167 041 
LUBELSKIE;ŁUKOWSKI;56023;525630;40892;197856;2723767; -   
LWOWSKIE;BRZOZOWSKI;69884;99005;54278;87914;661671; 661 671 
LWOWSKIE;BÓBRECKI;104613;76683;30120;65247;1180852; 1 180 852 
LWOWSKIE;DOBROMILSKI;53452;89921;19238;82722;833513; 833 513 
LWOWSKIE;DROHOBYCKI;41619;120678;29418;123340;1147533; 1 147 533 
LWOWSKIE;GRÓDECKI;58280;123256;30577;85706;800750; 800 750 
LWOWSKIE;JAROSŁAWSKI;135296;257167;52693;113585;1262214; 1 262 214 
LWOWSKIE;JAWOROWSKI;29416;144514;30826;70437;943007; 943 007 
LWOWSKIE;KOLBUSZOWSKI;23174;173476;32859;53524;892350; 892 350 
LWOWSKIE;KROŚNIEŃSKI;72871;126980;45110;82522;876216; 876 216 
LWOWSKIE;LESKI;23699;63682;18875;212304;669192; 669 192 
LWOWSKIE;LUBACZOWSKI;51311;131930;31030;98457;943610; 943 610 
LWOWSKIE;LWOWSKI;157147;158049;45644;140868;1256259; 1 256 259 
LWOWSKIE;LWÓW (MIASTO);;;;;;
LWOWSKIE;MOŚCISKI;76362;125279;29932;57812;959363; 7 096 
LWOWSKIE;NIŻAŃSKI;39738;121318;27737;43933;899995; 2 509 
LWOWSKIE;PRZEMYSKI;131609;150747;37025;74212;1159980; 70 520 
LWOWSKIE;PRZEWORSKI;78873;111315;14924;50871;520080; 302 909 
LWOWSKIE;RAWSKI (RAWA RUSKA);121560;188735;92832;104288;1322095; 22 700 
LWOWSKIE;RUDECKI;69785;87467;34549;58531;1053971; 31 167 
LWOWSKIE;RZESZOWSKI;132187;240131;70086;125725;1463774; 17 696 
LWOWSKIE;SAMBORSKI;84693;172444;47265;103050;1276731; 3 553 
LWOWSKIE;SANOCKI;54900;79385;55064;157442;995972; 7 899 
LWOWSKIE;SOKALSKI;234182;177353;78685;96146;1427361; 55 169 
LWOWSKIE;TARNOBRZESKI;48322;130454;43447;55120;1152919; 31 322 
LWOWSKIE;TURCZAŃSKI;5435;53312;8601;221998;940881; X 
LWOWSKIE;ŁAŃCUCKI;65262;163101;38387;93963;1145311; 62 202 
LWOWSKIE;ŻÓŁKIEWSKI;101943;118074;34984;58644;736801; 1 006 
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;;
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;;;;;;
NOWOGRÓDZKIE;BARANOWICKI;33602;387682;97935;199403;2031752;X
NOWOGRÓDZKIE;LIDZKI;8872;533304;114592;235613;1883999;X
NOWOGRÓDZKIE;NIEŚWIESKI;38402;350784;87633;245963;1947810;X
NOWOGRÓDZKIE;NOWOGRÓDZKI;51797;374248;87680;248838;1343057;X
NOWOGRÓDZKIE;STOŁPECKI;28890;303799;62478;137215;1299280;X
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);12346;212989;58807;85095;932656;X
NOWOGRÓDZKIE;SŁONIMSKI;28118;360840;66845;144990;1597547;X
NOWOGRÓDZKIE;WOŁOŻYŃSKI;11120;212807;75636;119092;1050518;X
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);91797;655124;99467;201706;3352337; X 
POLESKIE;DROHICKI;20482;216835;30848;109414;1636532; X 
POLESKIE;IWACEWICKI;6017;222161;26952;75849;1250810; X 
POLESKIE;KOBRYŃSKI;37860;356383;39517;99641;1611334; X 
POLESKIE;KOSZYRSKI;4712;223164;26229;48209;1029410; X 
POLESKIE;PIŃSKI;14299;454360;33429;161063;1992958; X 
POLESKIE;PRUŻAŃSKI;26910;387981;42033;135882;1555408; X 
POLESKIE;STOLIŃSKI;10261;258952;15831;48206;1239060; X 
POLESKIE;ŁUNINIECKI;4957;177103;9563;42197;1463073; X 
POMORSKIE;BRODNICKI;44535;301908;81582;40175;1194455; 102 437 
POMORSKIE;CHEŁMIŃSKI;131255;188105;100627;44166;671743; 669 312 
POMORSKIE;CHOJNICKI;16146;302488;39704;73705;1033345; 3 967 
POMORSKIE;DZIAŁDOWSKI;6592;157962;35060;25322;1029798; 2 876 
POMORSKIE;GDYNIA (MIASTO);;;;;;
POMORSKIE;GRUDZIĄDZ (MIASTO);;;;;;
POMORSKIE;GRUDZIĄDZKI;136102;167430;100426;62128;765722; 310 207 
POMORSKIE;KARTUSKI;5505;259641;15790;116460;1323398; X 
POMORSKIE;KOŚCIERSKI;16497;254153;13601;54126;919861; X 
POMORSKIE;LUBAWSKI;28137;234163;77728;50955;1144184; 22 916 
POMORSKIE;MORSKI;16043;191401;19636;76075;900697; 1 989 
POMORSKIE;STAROGARDZKI;36531;209515;46068;36546;874816; 87 406 
POMORSKIE;SĘPOLEŃSKI;13895;199748;38752;54275;686028; 31 220 
POMORSKIE;TCZEWSKI;111953;115987;81188;50198;670612; 441 547 
POMORSKIE;TORUŃ (MIASTO);;;;;;
POMORSKIE;TORUŃSKI;124295;230548;88055;42138;863364; 679 874 
POMORSKIE;TUCHOLSKI;20711;215569;51376;37024;600746; 41 768 
POMORSKIE;WĄBRZESKI;98701;206843;84386;36029;778497; 230 163 
POMORSKIE;ŚWIECKI;64374;368724;91101;62786;1536139; 197 962 
POZNAŃSKIE;BYDGOSKI;77325;297635;100071;60656;875296; 175 089 
POZNAŃSKIE;BYDGOSZCZ (MIASTO);;;;;;
POZNAŃSKIE;CHODZIESKI;7591;201180;23482;29075;636720; 25 320 
POZNAŃSKIE;CZARNKOWSKI;13001;176836;14304;32859;674498; 28 758 
POZNAŃSKIE;GNIEZNO (MIASTO);;;;;;
POZNAŃSKIE;GNIEŹNIEŃSKI;49258;411972;82587;65714;805374; 308 586 
POZNAŃSKIE;GOSTYŃSKI;99541;168763;61635;45262;769633; 539 429 
POZNAŃSKIE;INOWROCŁAW (MIASTO);;;;;;
POZNAŃSKIE;INOWROCŁAWSKI;138770;228324;151254;24766;784798; 1 246 105 
POZNAŃSKIE;JAROCIŃSKI;72065;341992;54274;71020;1107796; 574 867 
POZNAŃSKIE;KOŚCIAŃSKI;87004;311254;64270;50059;1407086; 490 928 
POZNAŃSKIE;KROTOSZYŃSKI;110720;199859;44597;85491;837699; 347 643 
POZNAŃSKIE;KĘPIŃSKI;30911;367298;16556;78525;1547545; 114 411 
POZNAŃSKIE;LESZCZYŃSKI;44605;174173;22676;23938;658064; 274 259 
POZNAŃSKIE;MIĘDZYCHODZKI;14822;156138;19167;26487;509713; 80 661 
POZNAŃSKIE;MOGILEŃSKI;134302;401438;185100;48835;996825; 1 158 421 
POZNAŃSKIE;NOWOTOMYSKI;72041;454658;60777;48401;1197260; 490 317 
POZNAŃSKIE;OBORNICKI;55124;298301;54521;49834;760378; 188 194 
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);40458;283969;22816;46970;1444496; 72 505 
POZNAŃSKIE;POZNAŃ (MIASTO);;;;;;
POZNAŃSKIE;POZNAŃSKI;62206;426384;71271;53887;1314411; 318 191 
POZNAŃSKIE;RAWICKI;44571;99762;24429;22973;487744; 423 008 
POZNAŃSKIE;SZAMOTULSKI;82093;309411;68239;43434;972628; 517 109 
POZNAŃSKIE;SZUBIŃSKI;44315;328977;82487;43189;920713; 244 496 
POZNAŃSKIE;WOLSZTYŃSKI;10934;148468;10093;14812;756791; 75 295 
POZNAŃSKIE;WRZESIŃSKI;41553;180674;55290;33199;538452; 537 734 
POZNAŃSKIE;WYRZYSKI;95491;458539;136138;62597;1511563; 357 653 
POZNAŃSKIE;WĄGROWIECKI;41274;406679;89713;57152;1131170; 165 282 
POZNAŃSKIE;ŚREDZKI;76611;330755;75312;52194;764740; 441 708 
POZNAŃSKIE;ŚREMSKI;39967;228430;31067;30306;679680; 255 102 
POZNAŃSKIE;ŻNIŃSKI;57856;273173;100158;47217;858170; 313 106 
WOŁYŃSKIE;SARNEŃSKI;14171;503036;61344;114892;1535675; X 
STANISŁAWOWSKIE;DOLIŃSKI;7228;62301;4038;61045;610254; X 
STANISŁAWOWSKIE;HORODEŃSKI;152552;135887;70805;40092;995950; 333 835 
STANISŁAWOWSKIE;KAŁUSKI;37305;89039;12629;107747;1263785; X 
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);10244;14176;4573;8939;397550; X 
STANISŁAWOWSKIE;KOŁOMYJSKI;137593;179553;48792;111377;1592432; 37 688 
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;21505;78105;10987;77437;1298898; X 
STANISŁAWOWSKIE;ROHATYŃSKI;232158;159615;83849;105329;1952462; 112 078 
STANISŁAWOWSKIE;STANISŁAWOWSKI;79438;136239;19726;120944;1757396; 10 402 
STANISŁAWOWSKIE;STRYJSKI;34182;123088;15447;142807;1103605; X 
STANISŁAWOWSKIE;TŁUMACKI;116955;151604;29446;105044;1358422; 2 968 
STANISŁAWOWSKIE;ŚNIATYŃSKI;101558;89580;51059;41599;764360; 36 059 
STANISŁAWOWSKIE;ŻYDACZOWSKI;63051;102117;17097;69434;1204951; 26 199 
TARNOPOLSKIE;BORSZCZOWSKI;179598;181707;70256;20574;1042267; X 
TARNOPOLSKIE;BRODZKI;88598;118816;58684;84428;972488; X 
TARNOPOLSKIE;BRZEŻAŃSKI;145195;151000;91516;137410;1677615; 37 454 
TARNOPOLSKIE;BUCZACKI;143949;217760;90067;74046;1512525; 7 770 
TARNOPOLSKIE;CZORTKOWSKI;121521;133784;77960;14852;1078446; 26 278 
TARNOPOLSKIE;KAMIONECKI;94583;102923;37174;75616;835370; 28 022 
TARNOPOLSKIE;KOPYCZYNIECKI;127016;166180;108917;24596;1348177; 35 491 
TARNOPOLSKIE;PODHAJECKI;175637;150398;100383;108361;1403720; 25 408 
TARNOPOLSKIE;PRZEMYŚLAŃSKI;134466;108619;47274;76173;1246470; 7 914 
TARNOPOLSKIE;RADZIECHOWSKI;132427;120198;63888;80213;920905; 11 285 
TARNOPOLSKIE;SKAŁACKI;197509;123386;133832;39824;1218715; 21 117 
TARNOPOLSKIE;TARNOPOLSKI;238089;233164;132113;122601;1714214; 35 781 
TARNOPOLSKIE;TREMBOWELSKI;179003;172708;104865;58162;1196405; 5 973 
TARNOPOLSKIE;ZALESZCZYCKI;112951;94816;56661;18228;755985; 24 356 
TARNOPOLSKIE;ZBARASKI;177151;123107;91522;89704;818520; 5 442 
TARNOPOLSKIE;ZBOROWSKI;99146;132283;69494;97368;1087215; 3 850 
TARNOPOLSKIE;ZŁOCZOWSKI;143153;147487;86694;121308;1215486; 4 854 
WARSZAWSKIE;BŁOŃSKI;71627;285189;26611;88366;1068664; 343 430 
WARSZAWSKIE;CIECHANOWSKI;93402;312735;51065;64099;941704; 290 108 
WARSZAWSKIE;GOSTYNIŃSKI;61759;293589;25595;72054;1047763; 151 967 
WARSZAWSKIE;GRÓJECKI;101584;552804;38233;219851;2272226; 10 656 
WARSZAWSKIE;KUTNOWSKI;159145;290620;65942;98635;1020770; 637 456 
WARSZAWSKIE;LIPNOWSKI;68485;481339;111470;60503;1555457; 157 814 
WARSZAWSKIE;MAKOWSKI (MAKÓW MAZOWIECKI);52833;249906;16875;50805;973782; 16 772 
WARSZAWSKIE;MIŃSKI;28912;325254;37319;130345;1312530; -   
WARSZAWSKIE;MŁAWSKI;22855;441144;23646;42041;1952457; 34 547 
WARSZAWSKIE;NIESZAWSKI;179090;522521;168511;42596;1360401; 605 239 
WARSZAWSKIE;PRZASNYCKI;71742;256865;22289;29902;837825; 64 292 
WARSZAWSKIE;PUŁTUSKI;69450;428572;36375;91390;1424150; 34 977 
WARSZAWSKIE;PŁOCKI;114371;511716;111602;91081;1846175; 522 809 
