Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka
BIAŁOSTOCKIE;AUGUSTOWSKI;2904;15995;3770;11557;8956; -   ; 1 075 
BIAŁOSTOCKIE;BIAŁOSTOCKI;4433;35607;6098;15433;17081; -   ; 782 
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);;;;;;;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);13260;58099;5451;21089;28355; -   ; 152 411 
BIAŁOSTOCKIE;GRODZIEŃSKI;7341;54109;10453;23629;23043; -   ; 3 766 
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);5423;26747;2210;6324;10602; 32 ; 1 251 
BIAŁOSTOCKIE;OSTROŁĘCKI;4128;37176;1625;4921;14455; 39 ; 2 033 
BIAŁOSTOCKIE;SOKÓLSKI;2458;37055;4902;19798;13397; -   ; 1 357 
BIAŁOSTOCKIE;SUWALSKI;3783;27963;5435;25322;11193; -   ; 469 
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);4373;22217;3074;7156;10444; -   ; 614 
BIAŁOSTOCKIE;WOŁKOWYSKI;6793;67294;11364;29339;23817; -   ; 4 152 
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;7674;24566;3348;8674;10057; 108 ; 106 
BIAŁOSTOCKIE;ŁOMŻYŃSKI;11128;57303;4451;16092;27263; -   ; 1 631 
KIELECKIE;BĘDZIŃSKI;532;10068;1120;1713;6690; -   ; 9 
KIELECKIE;CZĘSTOCHOWA (MIASTO);;;;;;;
KIELECKIE;CZĘSTOCHOWSKI;2170;50237;2571;7861;21409; 35 ; 150 
KIELECKIE;IŁŻECKI;5326;35985;13396;18351;16853; 142 ; 2 638 
KIELECKIE;JĘDRZEJOWSKI;13381;24474;7669;8352;14448; 13 ; 33 
KIELECKIE;KIELECKI;5477;30771;5517;8490;20583; -   ; 287 
KIELECKIE;KONECKI;1627;30150;2288;5427;20649; -   ; 110 
KIELECKIE;KOZIENICKI;4097;38455;8509;12773;15379; 153 ; 1 846 
KIELECKIE;MIECHOWSKI;18896;22096;9709;14894;13118; 544 ; 42 
KIELECKIE;OLKUSKI;4791;26875;5909;9019;17791; -   ; 136 
KIELECKIE;OPATOWSKI;13746;26140;11253;20503;16129; 1 563 ; 174 
KIELECKIE;OPOCZYŃSKI;3218;46936;4282;11086;19501; -   ; 654 
KIELECKIE;PIŃCZOWSKI;14286;18834;8259;8318;10093; 1 443 ; 11 
KIELECKIE;RADOM (MIASTO);;;;;;;
KIELECKIE;RADOMSKI;5870;57648;8980;17240;22914; -   ; 942 
KIELECKIE;SANDOMIERSKI;10808;17363;8360;10458;11854; 1 064 ; 40 
KIELECKIE;SOSNOWIEC;;;;;;;
KIELECKIE;STOPNICKI;13015;31883;8251;12105;18035; 146 ; 91 
KIELECKIE;WŁOSZCZOWSKI;8684;23550;2460;5270;12846; 7 ; 30 
KIELECKIE;ZAWIERCIAŃSKI;1782;20515;2203;3307;11252; -   ; 140 
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);1097;8130;765;7263;7492; 14 ; -   
KRAKOWSKIE;BOCHEŃSKI;8052;10972;3398;6879;7687; 2 ; 2 
KRAKOWSKIE;BRZESKI (BRZESKO);8498;13731;4259;7325;9870; 9 ; 7 
KRAKOWSKIE;CHRZANOWSKI;1366;11989;860;3951;8907; -   ; 4 
KRAKOWSKIE;DĄBROWSKI;9095;12061;3483;5545;6467; 31 ; 7 
KRAKOWSKIE;GORLICKI;5985;9087;4686;12775;8492; -   ; 6 
KRAKOWSKIE;JASIELSKI;8489;12543;4116;10372;9414; 9 ; 36 
KRAKOWSKIE;KRAKOWSKI;10140;16573;3066;9895;11281; 105 ; 10 
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;;;
KRAKOWSKIE;LIMANOWSKI;5872;6283;3960;9433;7225; -   ; -   
KRAKOWSKIE;MIELECKI;7070;14185;2980;7840;10796; 2 ; 111 
KRAKOWSKIE;MYŚLENICKI;6165;9479;3230;11481;9730; -   ; -   
KRAKOWSKIE;NOWOSĄDECKI;7349;11194;8224;18606;12286; -   ; -   
KRAKOWSKIE;NOWOTARSKI;296;6541;8944;29254;14160; -   ; -   
KRAKOWSKIE;ROPCZYCKI;9714;20739;4368;8502;13336; 73 ; 45 
KRAKOWSKIE;TARNOWSKI;8269;13339;2805;8513;8910; 18 ; 19 
KRAKOWSKIE;WADOWICKI;5839;12771;1387;13400;12891; 98 ; -   
KRAKOWSKIE;ŻYWIECKI;1195;6066;2162;12823;10474; -   ; -   
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);7147;38259;3448;15774;20520; -   ; 999 
LUBELSKIE;BIŁGORAJSKI;4835;20967;4700;11023;9773; -   ; 4 492 
LUBELSKIE;CHEŁMSKI;17284;30165;10364;9773;16893; 578 ; 1 675 
LUBELSKIE;GARWOLIŃSKI;5269;38993;8177;13283;19453; 1 ; 1 805 
LUBELSKIE;HRUBIESZOWSKI;24774;18150;10220;13462;10895; 1 664 ; 1 616 
LUBELSKIE;JANOWSKI;10045;27627;10355;17419;15372; 327 ; 4 250 
LUBELSKIE;KRASNOSTAWSKI;22429;21555;8961;11868;12545; 1 108 ; 2 094 
LUBELSKIE;LUBARTOWSKI;5450;32736;3224;8291;14007; 201 ; 5 742 
LUBELSKIE;LUBELSKI;26831;32802;14105;18681;18785; 2 961 ; 2 382 
LUBELSKIE;LUBLIN (MIASTO);;;;;;;
LUBELSKIE;PUŁAWSKI;8661;27912;10824;9736;14822; 1 719 ; 3 689 
LUBELSKIE;RADZYŃSKI;8816;24607;1668;13332;14785; 78 ; 2 016 
LUBELSKIE;SIEDLECKI;9011;40403;2285;16619;20920; 55 ; 220 
LUBELSKIE;SOKOŁOWSKI;8246;23175;2896;8286;14162; 998 ; 163 
LUBELSKIE;TOMASZOWSKI;16749;16913;9498;10615;10556; 1 335 ; 1 689 
LUBELSKIE;WĘGROWSKI;5066;22073;2344;7900;13708; 146 ; 469 
LUBELSKIE;WŁODAWSKI;7264;36145;3228;12471;14373; 30 ; 4 619 
LUBELSKIE;ZAMOJSKI;17940;18052;8485;11973;11640; 1 363 ; 1 688 
LUBELSKIE;ŁUKOWSKI;4751;42691;2980;13893;18928; -   ; 2 645 
LWOWSKIE;BRZOZOWSKI;6559;9997;3900;6006;6103; 28 ; 9 
LWOWSKIE;BÓBRECKI;10622;7196;3281;6480;8806; 13 141 ; 532 
LWOWSKIE;DOBROMILSKI;6319;10216;2176;9288;7717; 22 ; 16 
LWOWSKIE;DROHOBYCKI;4540;10201;2822;9836;9876; -   ; 69 
LWOWSKIE;GRÓDECKI;5787;9868;2846;7171;6979; 46 ; 992 
LWOWSKIE;JAROSŁAWSKI;11361;23133;4798;9854;10893; 969 ; 477 
LWOWSKIE;JAWOROWSKI;3569;14995;3578;7967;8652; 2 ; 960 
LWOWSKIE;KOLBUSZOWSKI;2796;16065;3152;5064;8826; -   ; 641 
LWOWSKIE;KROŚNIEŃSKI;7817;12278;4158;7384;8101; 16 ; 54 
LWOWSKIE;LESKI;3235;9054;2563;24787;10595; -   ; -   
LWOWSKIE;LUBACZOWSKI;5819;13360;2788;9586;8331; -   ; 1 964 
LWOWSKIE;LWOWSKI;13867;13335;3521;11345;11465; 78 ; 1 212 
LWOWSKIE;LWÓW (MIASTO);;;;;;;
LWOWSKIE;MOŚCISKI;7955;13086;2828;5706;7844; 42 ; 407 
LWOWSKIE;NIŻAŃSKI;3573;11131;2397;3891;8082; 11 ; 783 
LWOWSKIE;PRZEMYSKI;13199;15032;3455;6841;9888; 317 ; 16 
LWOWSKIE;PRZEWORSKI;5899;7699;1071;3617;3733; 1 206 ; 95 
LWOWSKIE;RAWSKI (RAWA RUSKA);12783;18185;6875;9287;10945; 172 ; 1 472 
LWOWSKIE;RUDECKI;6237;6638;2428;4990;7601; 163 ; 390 
LWOWSKIE;RZESZOWSKI;14463;22557;5896;10258;10918; 89 ; 16 
LWOWSKIE;SAMBORSKI;8940;15196;4643;9770;10923; 19 ; 109 
LWOWSKIE;SANOCKI;8022;11169;6224;14161;9636; 43 ; -   
LWOWSKIE;SOKALSKI;20098;12205;6686;8982;10665; 347 ; 755 
LWOWSKIE;TARNOBRZESKI;3328;10294;3433;4357;8118; 184 ; 218 
LWOWSKIE;TURCZAŃSKI;533;7002;991;35463;9947; -   ; 11 
LWOWSKIE;ŁAŃCUCKI;7879;17637;4274;8595;7743; 173 ; 1 570 
LWOWSKIE;ŻÓŁKIEWSKI;9385;11801;3576;6374;8243; 6 ; 1 086 
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;;;
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;;;;;;;
NOWOGRÓDZKIE;BARANOWICKI;3695;41248;8128;17330;17240; -   ; 5 985 
NOWOGRÓDZKIE;LIDZKI;1011;53075;11481;22640;16948; -   ; 7 970 
NOWOGRÓDZKIE;NIEŚWIESKI;4435;29335;7600;16473;17333; -   ; 2 207 
NOWOGRÓDZKIE;NOWOGRÓDZKI;6019;34695;8816;19495;15131; -   ; 5 005 
NOWOGRÓDZKIE;STOŁPECKI;2967;28810;6329;12194;12282; -   ; 2 620 
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);1544;24648;6616;9598;8483; -   ; 2 520 
NOWOGRÓDZKIE;SŁONIMSKI;3342;39721;5494;14512;15682; -   ; 6 260 
NOWOGRÓDZKIE;WOŁOŻYŃSKI;1314;24462;7898;13137;11669; -   ; 1 432 
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);9751;55933;9323;21311;30004; -   ; 3 757 
POLESKIE;DROHICKI;2435;22795;3329;9969;12539; -   ; 841 
POLESKIE;IWACEWICKI;626;22801;3237;8448;11122; -   ; 2 025 
POLESKIE;KOBRYŃSKI;5059;35537;4517;9939;15638; -   ; 2 384 
POLESKIE;KOSZYRSKI;697;26234;3145;6274;12788; -   ; 1 685 
POLESKIE;PIŃSKI;1469;43512;3922;14306;19129; -   ; 4 169 
POLESKIE;PRUŻAŃSKI;3234;33950;6189;13661;14019; -   ; 1 324 
POLESKIE;STOLIŃSKI;1339;25593;2204;4953;11623; -   ; 3 139 
POLESKIE;ŁUNINIECKI;555;18236;1554;4575;11226; -   ; 2 457 
POMORSKIE;BRODNICKI;3023;19899;4690;2553;8869; 443 ; 11 
POMORSKIE;CHEŁMIŃSKI;7735;11171;5793;2595;6180; 2 818 ; -   
