Region;District;Konie;Bydło rogate;Trzoda chlewna;Owce;Kozy
BIAŁOSTOCKIE;AUGUSTOWSKI;14134.0;29756.0;31705.0;17987.0;15.0
BIAŁOSTOCKIE;BIAŁOSTOCKI;28252.0;58200.0;53012.0;25323.0;44.0
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);1062.0;1218.0;2065.0;87.0;130.0
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);40345.0;80955.0;71699.0;83201.0;119.0
BIAŁOSTOCKIE;GRODZIEŃSKI;35067.0;63141.0;51941.0;63110.0;128.0
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);15186.0;39306.0;36014.0;6733.0;68.0
BIAŁOSTOCKIE;OSTROŁĘCKI;20450.0;52380.0;34438.0;9423.0;15.0
BIAŁOSTOCKIE;SOKÓLSKI;25194.0;47134.0;45337.0;50824.0;17.0
BIAŁOSTOCKIE;SUWALSKI;20699.0;34478.0;39083.0;20625.0;59.0
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);14670.0;26826.0;20538.0;5252.0;13.0
BIAŁOSTOCKIE;WOŁKOWYSKI;29141.0;68398.0;60980.0;76096.0;94.0
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;18242.0;43469.0;31056.0;6114.0;30.0
BIAŁOSTOCKIE;ŁOMŻYŃSKI;32991.0;70273.0;54261.0;12582.0;54.0
KIELECKIE;BĘDZIŃSKI;5227.0;11771.0;3018.0;215.0;7349.0
KIELECKIE;CZĘSTOCHOWA (MIASTO);1040.0;1645.0;1423.0;25.0;583.0
KIELECKIE;CZĘSTOCHOWSKI;15447.0;50100.0;23941.0;4018.0;2427.0
KIELECKIE;IŁŻECKI;17148.0;51968.0;34566.0;1808.0;546.0
KIELECKIE;JĘDRZEJOWSKI;15786.0;38408.0;17802.0;2707.0;524.0
KIELECKIE;KIELECKI;14656.0;53857.0;13730.0;3035.0;404.0
KIELECKIE;KONECKI;11104.0;46661.0;18027.0;3915.0;393.0
KIELECKIE;KOZIENICKI;17700.0;44424.0;41972.0;1821.0;450.0
KIELECKIE;MIECHOWSKI;22194.0;52927.0;25410.0;1702.0;2676.0
KIELECKIE;OLKUSKI;12183.0;40945.0;11853.0;2628.0;4304.0
KIELECKIE;OPATOWSKI;18777.0;56912.0;32020.0;1798.0;1004.0
KIELECKIE;OPOCZYŃSKI;15048.0;44401.0;28833.0;17069.0;231.0
KIELECKIE;PIŃCZOWSKI;19413.0;43342.0;17444.0;1297.0;1036.0
KIELECKIE;RADOM (MIASTO);788.0;825.0;302.0;0.0;214.0
KIELECKIE;RADOMSKI;22052.0;60050.0;42790.0;3487.0;96.0
KIELECKIE;SANDOMIERSKI;14856.0;40776.0;23563.0;2005.0;334.0
KIELECKIE;SOSNOWIEC;1050.0;788.0;287.0;10.0;1778.0
KIELECKIE;STOPNICKI;20789.0;59471.0;22908.0;365.0;292.0
KIELECKIE;WŁOSZCZOWSKI;14676.0;36799.0;18483.0;2051.0;347.0
KIELECKIE;ZAWIERCIAŃSKI;6771.0;26429.0;3438.0;2416.0;2904.0
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);4442.0;26472.0;14784.0;625.0;2369.0
KRAKOWSKIE;BOCHEŃSKI;8430.0;39926.0;15677.0;871.0;974.0
KRAKOWSKIE;BRZESKI (BRZESKO);8284.0;39736.0;12168.0;584.0;1062.0
KRAKOWSKIE;CHRZANOWSKI;4630.0;19210.0;5018.0;204.0;5443.0
KRAKOWSKIE;DĄBROWSKI;8917.0;31063.0;10114.0;147.0;519.0
KRAKOWSKIE;GORLICKI;8448.0;47503.0;8437.0;4513.0;2482.0
KRAKOWSKIE;JASIELSKI;11311.0;49172.0;14715.0;3540.0;2895.0
KRAKOWSKIE;KRAKOWSKI;11004.0;40312.0;11484.0;537.0;2242.0
KRAKOWSKIE;KRAKÓW (MIASTO);1719.0;1499.0;1090.0;83.0;571.0
KRAKOWSKIE;LIMANOWSKI;4678.0;43994.0;7342.0;6957.0;1559.0
KRAKOWSKIE;MIELECKI;10283.0;37778.0;10482.0;137.0;175.0
KRAKOWSKIE;MYŚLENICKI;7384.0;45374.0;11460.0;1894.0;2658.0
KRAKOWSKIE;NOWOSĄDECKI;10275.0;68060.0;16646.0;9769.0;2849.0
KRAKOWSKIE;NOWOTARSKI;12173.0;62756.0;10800.0;29420.0;1073.0
KRAKOWSKIE;ROPCZYCKI;14316.0;52056.0;12515.0;390.0;698.0
KRAKOWSKIE;TARNOWSKI;10024.0;40389.0;10973.0;590.0;848.0
KRAKOWSKIE;WADOWICKI;7359.0;50072.0;18093.0;1292.0;3597.0
KRAKOWSKIE;ŻYWIECKI;4750.0;45865.0;10336.0;5426.0;2569.0
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);20067.0;41798.0;50459.0;25456.0;121.0
LUBELSKIE;BIŁGORAJSKI;17582.0;46401.0;24878.0;3608.0;157.0
LUBELSKIE;CHEŁMSKI;24239.0;51173.0;43022.0;1454.0;75.0
LUBELSKIE;GARWOLIŃSKI;20556.0;53506.0;69909.0;3159.0;275.0
LUBELSKIE;HRUBIESZOWSKI;27731.0;43303.0;41801.0;2860.0;42.0
LUBELSKIE;JANOWSKI;20353.0;59858.0;39705.0;2682.0;211.0
LUBELSKIE;KRASNOSTAWSKI;23764.0;51259.0;35139.0;877.0;114.0
LUBELSKIE;LUBARTOWSKI;15383.0;34187.0;49177.0;874.0;134.0
LUBELSKIE;LUBELSKI;23690.0;64413.0;54922.0;3150.0;65.0
LUBELSKIE;LUBLIN (MIASTO);1023.0;1014.0;1033.0;63.0;203.0
LUBELSKIE;PUŁAWSKI;18894.0;47184.0;50367.0;1848.0;324.0
LUBELSKIE;RADZYŃSKI;17474.0;33163.0;45660.0;6686.0;65.0
LUBELSKIE;SIEDLECKI;23527.0;52788.0;64139.0;17576.0;252.0
LUBELSKIE;SOKOŁOWSKI;14860.0;38385.0;37962.0;4831.0;32.0
LUBELSKIE;TOMASZOWSKI;20337.0;38983.0;27945.0;759.0;95.0
