Region;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;1313902;1350898,823;1386436,05;1417072;1449126;1479911;1507583;1538255;1567255;1594177;1636240;1677478;1702133;1726358;1752239;1777513;1799765;1819173
KIELECKIE;2571241;2627800,184;2668635,471;2698091;2731920;2766340;2796030;2834641;2875769;2913874;2946062;2979556;3020332;3060396;3103364;3145488;3182574;3214920
KRAKOWSKIE;2009205;2043871,775;2085681,319;2111115;2139791;2163727;2181609;2202708;2223332;2246692;2287184;2333951;2371432;2404224;2436322;2468529;2496167;2520650
LUBELSKIE;2115324;2167501,681;2206576,391;2235010;2265577;2296524;2323661;2351257;2380754;2413834;2458959;2507359;2545290;2582559;2622418;2661382;2695687;2725607
LWOWSKIE;2816291;2869880,692;2932495,38;2966973;3001474;3028282;3048720;3072927;3095941;3121579;3140447;3164882;3203498;3237284;3270404;3303685;3332244;3357543
M. ST. WARSZAWA;;;;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;817067;878945,0459;922645,0516;945270;965576;983152;999611;1014989;1030014;1047825;1062197;1078706;1100829;1119116;1135922;1152369;1167279;1182743
POLESKIE;752871;844408,3181;913802,429;948875;980775;1008540;1033975;1058479;1081179;1104491;1129094;1155078;1179530;1199742;1218420;1236802;1253467;1270750
POMORSKIE;958580;949651,8069;944985,9675;961460;979860;995990;1011207;1027618;1043068;1065157;1081096;1091201;1108489;1125231;1142108;1159436;1175255;1186274
POZNAŃSKIE;2004021;1987337,161;1975798,914;1996929;2019851;2041166;2060527;2081427;2098162;2127522;2151889;2165468;2188858;2211509;2234529;2258355;2280106;2295257
STANISŁAWOWSKIE;1270826;1296444,976;1329875,886;1353505;1377457;1395582;1409486;1424802;1437915;1451705;1477184;1503228;1519129;1533041;1546806;1560763;1572739;1583348
TARNOPOLSKIE;1446078;1471552,558;1500197,415;1516357;1534027;1549159;1561035;1574063;1586011;1598075;1609785;1623339;1639240;1653152;1666917;1680874;1692850;1703459
WARSZAWSKIE;3093547;3165774,943;3237400,228;3299196;3363039;3422098;3474578;3531751;3585966;3632954;3692492;3749694;3787626;3824894;3864754;3903718;3938023;3967942
WOŁYŃSKIE;1585531;1693090,102;1777839,787;1820136;1858876;1894669;1927571;1959660;1988730;2019402;2066474;2110924;2137705;2159842;2185333;2215324;2242515;2270714
ZIEMIA WILEŃSKA;1011631;1079506,534;1130962,732;1156969;1182623;1205739;1224043;1239222;1252227;1267832;1281135;1296142;1315937;1332299;1347725;1363205;1377239;1391793
ŁÓDZKIE;2284486;2336074,369;2380351,86;2415931;2454337;2489228;2516247;2548345;2582306;2614061;2641897;2666663;2691319;2715543;2741425;2766699;2788951;2808359
ŚLĄSKIE;1150699;1140561,032;1138415,119;1160661;1182488;1201995;1218366;1235605;1254120;1279121;1295115;1303682;1319953;1335710;1351563;1367808;1382639;1392969
