Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;817242,1463;837673,2;845910,78;816078,12;931624,2;1156864,8;1193992,8;789925,5;805623;756483;756483;756483;767482,1517;901901,9401;1034550,328
KIELECKIE;2814163,902;2884190,4;2912515,32;2809812,72;3208389,6;3983616;4111161,6;2720172;2774226;2604966;2604966;2604966;2642784,142;3105499,434;3562788,13
KRAKOWSKIE;7189301,854;7369034,4;7376981,04;7271996,16;8121079,2;9966028,8;10096195,2;6464094;6519240;6346704;6346704;6346704;6419843,521;7228436,805;7992566,527
LUBELSKIE;3241482,146;3322519,2;3355277,64;3236925,12;3695640;4589020,8;4735785,6;3133494;3195738;3000816;3000816;3000816;3044024,362;3577559,386;4104011,965
LWOWSKIE;6311493,659;6469281;6483957,48;6372940,86;7138684,8;8775093,6;8913340,8;5733819;5792377,5;5609331;5609331;5609331;5676336,575;6431854,415;7152185,894
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;416930,9268;427354,2;431513,94;416190,06;475230,6;590116,8;609117,6;402948;411001,5;385885,5;385885,5;385885,5;391457,2339;460040,6031;527838,3826
POLESKIE;352369,7561;361179;364675,74;351797,16;401676,6;498825,6;514768,8;340567,5;347392,5;326235;326235;326235;330830,2776;388825,9572;446074,2335
POMORSKIE;1142924,488;1171497,6;1182873,12;1141140;1303161,6;1617907,2;1669886,4;1104831;1126671;1058148;1058148;1058148;1073372,704;1261430,733;1446919,025
POZNAŃSKIE;5243517,659;5374605,6;5370530,88;5318364,48;5911588,8;7236902,4;7301548,8;4640454;4667754;4581486;4581486;4581486;4631348,31;5164113,524;5659949,855
STANISŁAWOWSKIE;532629,6585;545945,4;551333,64;531771,24;607269;753916,8;778159,2;514878;525115,5;493038;493038;493038;500172,3897;587746,1918;674272,0066
TARNOPOLSKIE;534387,5122;547747,2;553126,86;533564,46;609242,4;756537,6;780780;516652,5;526890;494676;494676;494676;501825,8522;589849,578;676529,7938
WARSZAWSKIE;9528206,049;11817357,55;11851821,35;11629318,62;13049620,58;16055623,58;16332572,26;10534884,36;10651821,18;10285154,88;10285154,88;10285154,88;10410254,67;11837610,95;13203771,51
WOŁYŃSKIE;702502,2439;720064,8;727069,2;701475,06;800841,6;994375,2;1026261,6;679087,5;692464,5;650286;650286;650286;659731,5157;775248,0444;889406,8684
ZIEMIA WILEŃSKA;1834240,39;1880096,4;1881902,88;1855982,7;2071531,8;2541520,8;2573625,6;1646190;1659703,5;1617525;1617525;1617525;1635687,724;1839861,929;2032492,251
ŁÓDZKIE;5862761,561;6009330,6;6024241,08;5918115,06;6632776,8;8155274,4;8286314,4;5334556,5;5390248,5;5215801,5;5215801,5;5215801,5;5278265,491;5986537,515;6662568,623
ŚLĄSKIE;3366129,951;3450283,2;3484715,52;3361472,4;3838442,4;4765488;4918368;3254160;3318588;3116568;3116568;3116568;3161420,196;3715180,939;4262057,066
