Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIA£OSTOCKIE;28 587;27 447;25 687;25 958;26 501;26 918;27 279;27 719;27 676;27 516;27 770;27 927;27 652;28 189;28 851
KIELECKIE;34 870;34 481;33 280;33 449;34 366;35 143;35 764;36 241;36 418;36 053;36 546;36 793;36 828;37 807;38 877
KRAKOWSKIE;52 863;53 111;51 777;53 021;53 617;54 154;54 519;54 866;55 122;55 046;55 249;55 420;55 636;61 166;65 485
LUBELSKIE;54 766;54 585;51 660;53 496;54 470;55 237;55 793;56 499;56 737;56 334;56 785;56 965;57 066;58 056;59 245
LWOWSKIE;150 107;150 338;147 256;149 761;150 581;151 283;151 690;152 224;152 437;152 319;152 634;152 809;153 055;153 799;154 698
£ÓDZKIE;52 595;52 523;50 855;51 941;52 574;53 105;53 435;53 841;54 006;53 795;54 105;54 256;54 356;55 172;55 797
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;25 273;23 990;22 057;22 360;22 695;22 915;23 090;23 358;23 187;23 139;23 394;23 477;23 120;23 464;23 781
POLESKIE;14 907;13 993;12 983;12 894;13 158;13 348;13 535;13 739;13 637;13 580;13 739;13 821;13 578;13 844;14 150
POMORSKIE;36 101;35 938;33 856;34 949;35 629;36 243;36 661;36 892;36 838;36 818;37 168;37 338;37 446;52 788;53 625
POZNAÑSKIE;68 825;68 979;67 001;68 554;69 050;69 501;69 734;69 923;69 982;70 031;70 280;70 399;70 606;71 152;71 557
STANIS£AWOWSKIE;24 977;24 710;23 364;24 065;24 543;24 951;25 218;25 443;25 516;25 459;25 741;25 873;25 865;26 263;26 730
ŒL¥SKIE;48 494;47 987;45 045;46 550;47 411;48 156;48 620;48 994;48 974;48 917;49 412;49 631;49 632;63 709;67 832
TARNOPOLSKIE;28 303;27 429;25 619;26 188;26 648;27 002;27 266;27 557;27 524;27 471;27 758;27 883;27 679;28 091;28 543
WARSZAWSKIE;91 466;91 526;89 386;90 573;92 166;93 746;94 796;95 241;95 494;95 533;96 255;96 843;97 226;98 392;100 053
WO£YÑSKIE;38 195;36 799;34 197;35 014;35 584;36 001;36 336;36 790;36 737;36 677;36 997;37 155;36 797;37 310;37 894
ZIEMIA WILEÑSKA;36 111;36 108;35 274;35 871;36 199;36 511;36 694;36 806;36 868;36 904;37 065;37 176;37 241;37 467;37 768
