Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;49515347,36;60523690,66;59412481,96;84158178,09;100251593,8;111961800,6;117031199,7;101839696,7;86821680,74;65131464,12;56489857,36;49114863,49;49490825,78;56781236,4;61800397,63
KIELECKIE;95391930,37;112535161,6;111287984,9;182087444,8;211199702,5;234276110,2;244883648,5;213095965,5;181671298;136285286,4;118203029,7;98513409,28;99267505,38;113890435,3;123957747,9
KRAKOWSKIE;141906483,8;140940806,9;138875133,7;211129239,8;236328061,9;266231029;278285420,1;242161943,7;206450997,4;154874400,2;134325750,2;122928999,9;123869991,4;142117072,2;154679470,4
LUBELSKIE;82664499,3;85106843,06;84346408,03;122080089;138435728,9;155036884,3;162056634,2;141020501,5;120224601,6;90189504,04;78223210,35;69161746,54;69691162,83;79957251,25;87025049,72
LWOWSKIE;107797116,1;128526819,1;108716224,6;167904511,5;190997578,6;213108615,6;222757733,5;193842155,6;165256793,7;123971533,8;107523059,1;92953614,3;93665151,52;107462808,1;116961952,4
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;16718599,62;24921371,65;23923057,64;34574160,29;41855280,83;46797495,28;48916389,2;42566685,24;36289494,92;27223475,94;23611480,16;20670984,13;20829215,47;23897532,3;26009947,87
POLESKIE;15432553,49;23004343,06;22082822,43;31914609,5;38635643,84;44000680,88;45992940,82;40022721,78;34120682,66;25596486,95;22200359,17;21578767,52;21743947,71;24947012,22;27152196,26
POMORSKIE;59491048,94;80340355,49;84788661,27;123211150,8;151257199,8;171270286,2;179025051;155786294,2;132812924;99632950,2;86413705,28;81397910,07;82020991,2;94103365,98;102421606,2
POZNAŃSKIE;190448689,7;202623951,6;231460578,5;323557327,3;364242282,8;395999463,8;413929501,5;360198434,4;307080976,2;230364505,8;199799870,2;144886010,5;145995077,5;167501367,7;182307603,5
STANISŁAWOWSKIE;48614385,68;57963075,27;49028885,6;75721642,45;86136162,91;92845556,17;97049411,17;84451690,04;71997834,92;54010983,91;46844836,33;31772418,43;32015628,53;36731797,13;39978693,88
TARNOPOLSKIE;54955392,5;65523476,39;55423957,64;85598378,42;97371314,6;108803404,9;113729798,3;98966841,33;84372477,34;63294132,69;54896302,04;47885195,24;48251744,72;55359628,39;60253126,99
WARSZAWSKIE;435025007,9;522877457,6;489766654,8;771605570,7;893508006,6;1000082975;1045364667;909668711,3;775522404,3;581777606,9;504587674,7;444605824,3;448009173,3;514004654;559439949,1
WOŁYŃSKIE;38962395,49;42624834,4;41349984,95;73949796,69;96384342,73;109060498,8;113998532,9;99200692,19;84571842,86;63443691,74;55026017,68;51630179,95;52025396,37;59689170,34;64965377,56
ZIEMIA WILEŃSKA;46572269,1;61161837,26;50264119,17;76934390,47;88708028,13;100517036,3;105068240,1;91429616,51;77946746,04;58473708,98;50715449,5;47961222,1;48328353,55;55447522,34;60348790,29
ŁÓDZKIE;200897178,9;207063588,4;194350083,9;292767923;339174109,7;391959636,6;409706759,3;356523834,9;303948259,6;228014419,8;197761592,3;207125908,7;208711407;239456334,6;260623009,2
ŚLĄSKIE;131197801;139738150,7;123783756;198314429,1;274538403,7;306273145,5;320140560,9;278583982;237501979,4;178168074,1;154528832,2;133463069,6;134484696,8;154295412,1;167934311,2
